그리스인	grieķi
열기	atklāts
열기	atvērts
열기	atvērta
열기	atvērt
열기	atver
순교자	mocekļu
순교자	moceklis
피스	miers
피스	mieru
피스	miera
정밀	precizitāte
정밀	precizitātes
같음	vienāda
같음	vienāds
샌드위치	sviestmaizes
모의	ņirgājas
센타우루스자리	centaura
에이전시	aģentūra
바리	bari
디렉터리	direktorija
디렉터리	direktoriju
디렉터리	mape
디렉터리	mapes
디렉터리	mapi
디렉터리	mape
디렉터리	mapes
떨어지지	krist
떨어지지	kritiens
떨어지지	kritums
떨어지지	krīt
열정	entuziasms
열정	entuziasma
열정	entuziasmu
열정	aizrauj
열정	aizraušanās
열정	kaislības
예배	pielūgšana
예배	dievkalpojumu
수백만	miljonos
수백만	miljoniem
수백만	miljoni
미즈호	midzuho
기린	žirafe
수년	gadus
수년	gadi
수년	gadiem
아이패드	ipad
파산	bankrotējusi
파산	bankrots
파산	bankrota
버펄로	bifeļu
무작위로	nejauši
무작위로	nejauša
무작위로	gadījuma
무작위로	nejaušības
무작위로	izlases
배경색	fons
배경색	fona
이겨	pārspēt
우울	nomākts
우울	nomācoši
우울	melanholija
홀로코스트	holokausta
클론	klonu
클론	klona
디스커버리	atklājums
디스커버리	atradums
디스커버리	atklāšana
테크	tech
샐리	sallija
절약	taupīšanas
절약	ekonomija
절약	saglabāšana
알마티	almati
곱셈	pavairošana
곱셈	reizināšanas
곱셈	vairoties
곱셈	reizina
투르	ekskursijas
투르	braucienos
교정	kalibrēšanas
교정	kalibrēšana
교정	korekcija
교정	koriģēšana
교정	labojumi
교정	labojums
교정	labots
교정	koriģēts
교정	jālabo
교정	koriģēta
앙투안	antuāns
리히텐슈타인	lihtenšteinā
리히텐슈타인	lihtenšteina
리히텐슈타인	lihtenšteinā
변동이	variācijas
장례식	bēres
장례식	apbedīšanas
오데사	odesā
사모아	samoa
레이먼드	raymond
저널리스트	žurnālists
저널리스트	žurnāliste
저널리스트	žurnālisti
저널리스트	žurnālistiem
저널리스트	žurnālistus
차드	čadas
차드	čadas
장학금	stipendijas
장학금	stipendiju
무하마드	muhameds
체르노빌	černobiļas
강력	spēcīgi
강력	spēcīgs
해석학	analītiskā
해석학	analīzes
해석학	analīzi
해석학	analīze
카사블랑카	kasablanka
어디로	kur
어디로	ja
레지던트	rezidentu
레지던트	rezidents
레지던트	iedzīvotājs
레지던트	rezidenti
레지던트	iedzīvotāji
레지던트	uzturēšanās
레지던트	rezidences
파라오	faraons
소음	troksnis
소음	trokšņi
소음	troksni
공백	atstarpes
공백	telpas
공백	atstarpes
공백	atstarpe
갇힌	iesprostoti
웹페이지	mājaslapā
제조사	piegādātājs
제조사	pārdevējs
제조사	izgatavotājs
제조사	ražotājs
레슬리	leslijs
에미레이트	emirātā
에미레이트	emirāti
학대	ļaunprātīgas
올림포스	olimps
세계화	globalizācija
에리크	ēriks
에리크	eric
에리크	ēriks
퍼레이드	parādi
퍼레이드	parāde
리버티	brīvība
투르크메니스탄	turkmenistānu
투르크메니스탄	turkmenistāna
투르크메니스탄	turkmenistānas
기저	pamats
기저	bāze
코카콜라	koksa
코카콜라	kokss
오스트레일리아인	aborigēni
화합	saskaņas
포탈	portālos
포탈	portāla
포탈	portālā
포탈	portāls
히브리	ebreju
맥도날드	mcdonald
맥도날드	makdonalds
윤리학	ētikas
윤리학	ētika
브레스트	brest
통치자	valdnieks
낚시	makšķerēšana
낚시	zveja
낚시	zivsaimniecība
낚시	zvejniecība
낚시	zvejas
밀리미터	milimetriem
