ve	та
bir	одна
bir	one
bir	одне
bir	один
bu	цей
bu	ця
bu	той
de	say
de	скажуть
de	кажу
de	сказати
de	кажеш
için	для
en	улюблені
en	улюблене
en	вибрані
en	вибране
en	обране
daha	більше
sonra	потім
sonra	тоді
sonra	після
sonra	згодом
sonra	пізніше
sonra	потому
ilk	перше
ilk	перша
ilk	перший
utc	utc
çok	дуже
çok	багато
çok	сильно
yer	місце
yer	розміщення
yer	місцезнаходження
yer	локація
yer	місце
yer	розташування
gibi	подобається
gibi	зразок
gibi	like
dış	зовнішнє
dış	dis
büyük	великі
büyük	великих
büyük	великі
büyük	велике
büyük	велика
büyük	великий
büyük	біг
büyük	величезна
büyük	величезний
büyük	величезні
bağlantılar	лінки
bağlantılar	посилання
bağlantılar	посиланнями
bağlantılar	посилань
bağlantılar	контакти
türkiye	туреччина
iki	два
iki	дві
iki	двоє
iki	двох
iki	двійка
ancak	однак
center	центр
arasında	серед
arasında	поміж
arasında	між
ayrıca	також
ayrıca	окрім
istanbul	стамбула
istanbul	стамбулі
istanbul	стамбул
türk	турка
türk	турок
türk	турецька
türk	турецький
türk	турецькою
türk	турецькі
diğer	інший
diğer	інша
diğer	інші
diğer	інше
diğer	інших
yeni	нові
yeni	нове
yeni	нова
yeni	новий
yeni	створити
un	мука
un	борошно
her	кожен
her	кожні
aynı	збігається
aynı	однаковий
aynı	однакові
aynı	same
aynı	самий
kulüp	club
kulüp	клуб
bağlı	долучено
bağlı	залежить
bağlı	правильніше
iyi	хороші
iyi	гарні
iyi	добрий
iyi	добре
iyi	файно
iyi	добре
ne	що
ne	яка
ne	чим
ilgili	актуальна
ilgili	цікавиться
ilgili	зацікавлений
ilgili	зацікавило
ilgili	цікаво
ilgili	цікавить
ilgili	цікавляться
ilgili	схожі
son	останній
son	остання
son	останнє
son	завершити
son	кінець
son	закінчити
son	закінчиться
son	закінчення
alan	поля
alan	поле
alan	домен
alan	алан
alan	область
alan	ділянка
alan	площа
alan	місцевість
dünya	світовий
dünya	світ
dünya	світе
dünya	world
dünya	землею
dünya	earth
dünya	землі
dünya	земля
abd	сша
abd	usa
birlikte	разом
bulunan	розташовані
bulunan	знаходиться
bulunan	розташовано
bulunan	розташований
eski	старі
eski	старе
eski	старим
eski	стара
eski	старий
and	андійський
önemli	найважливіше
önemli	підсвічування
önemli	найголовніше
önemli	важлива
önemli	важливі
önemli	важливий
önemli	важливе
önemli	важливо
önemli	значний
madde	речовини
madde	речовина
madde	матеріал
madde	матеріали
madde	речовина
madde	стаття
madde	статтю
sağlık	медичних
sağlık	медичний
sağlık	medical
sağlık	медична
sağlık	медичні
genel	загальна
genel	загальні
genel	звичайний
genel	загальний
genel	загальне
genel	загальна
genel	загальний
genel	загальні
genel	генерал
genel	загальний
genel	загальне
mart	mart
mart	березні
mart	березень
mart	березня
adı	назва
film	films
film	фільми
film	фільмів
film	фільм
film	кіно
film	фільм
film	плівка
film	знімали
film	фільми
film	кіно
haziran	червня
haziran	червні
haziran	червень
mayıs	травнева
mayıs	травня
mayıs	травневі
mayıs	травні
mayıs	травень
dosya	файли
dosya	файлів
dosya	файл
ocak	ян
ocak	січні
ocak	січень
ocak	січня
ocak	плита
ocak	піч
ocak	заварювання
yıl	рік
dan	дан
dan	dan
dan	ден
dan	закохатися
kasım	листопаді
kasım	листопад
kasım	листопада
avrupa	європу
avrupa	європа
avrupa	європі
avrupa	europa
avrupa	уєфа
avrupa	європейський
avrupa	європейські
avrupa	європейська
ama	але
karşı	лічильник
karşı	проти
toplam	сума
toplam	суму
toplam	сум
toplam	усього
toplam	всього
toplam	загалом
toplam	загальна
toplam	загальний
toplam	загальна
toplam	загальний
jpg	jpg
ikinci	другий
ikinci	друге
ikinci	друга
ikinci	секунда
eylül	вересня
eylül	вересні
eylül	вересень
ağustos	серпні
ağustos	серпня
ağustos	серпень
içinde	inside
içinde	всередині
temmuz	липень
temmuz	липні
temmuz	липня
önce	перед
önce	before
önce	перше
önce	перша
önce	перший
tüm	цілу
tüm	цілий
tüm	ціла
den	ден
nisan	квітень
nisan	квітня
nisan	квітні
resim	picture
resim	зображення
resim	картинка
resim	фото
resim	зображення
resim	малювання
resim	картина
resim	живопис
resim	креслення
resim	малюнок
resim	малювання
üniversitesi	університет
ye	їж
ye	їсти
ekim	жовтень
ekim	жовтня
ekim	жовтні
ekim	жовтня
şehir	містечко
şehir	місто
şehir	місто
şehir	урбан
şehir	міський
zaman	тайм
zaman	час
bazı	дехто
bazı	деякі
bazı	якесь
bazı	якийсь
bazı	трохи
aralık	грудень
aralık	грудня
aralık	грудні
aralık	схилення
aralık	схил
aralık	dec
aralık	інтервал
aralık	проміжок
köy	село
yüksek	високий
yüksek	висока
yüksek	значне
yüksek	високе
yüksek	високі
yüksek	вищу
yüksek	вищий
yüksek	вище
yüksek	вищі
yüksek	вища
birçok	багато
birçok	багатьох
şubat	лютому
şubat	лютий
şubat	лютого
şubat	лютого
sadece	лише
sadece	тільки
sadece	просто
sadece	щойно
yol	контур
yol	шлях
yol	маршрут
yol	спосіб
yol	шлях
yol	дорожні
yol	дорога
fakat	але
grup	band
grup	гурт
grup	група
grup	групова
grup	груповий
grup	групу
grup	спільнота
takım	відділення
takım	загін
takım	команда
kendi	власне
kendi	власні
kendi	власний
şekilde	спосіб
şekilde	шлях
tek	розряд
tek	окремі
tek	single
tek	самотній
bilgi	info
bilgi	інформації
bilgi	інформація
bilgi	відомості
bilgi	інформація
bilgi	знань
bilgi	знання
kez	таймс
kez	час
kez	часи
kez	times
hakkında	приблизно
hakkında	інфо
hakkında	про
hakkında	щодо
latns	latns
longew	longew
latd	latd
osmanlı	турецький
longd	longd
longm	longm
latm	latm
devlet	стан
devlet	держава
devlet	правління
devlet	уряд
ankara	анкара
lats	лат
colspan	colspan
üç	три
üç	втрьох
üç	трійка
tarihi	дату
tarihi	дата
tarihi	датою
tarihi	історична
tarihi	історичне
tarihi	історичні
tarihi	журнал
tarihi	історія
tarihi	історії
başladı	почалося
başladı	почалось
başladı	почали
başladı	розпочато
başladı	почався
başladı	почато
başladı	почалась
başladı	почалося
başladı	почалось
küçük	малий
küçük	малі
küçük	маленькі
küçük	lil
küçük	маленька
küçük	маленький
küçük	маленькі
müzik	музика
müzik	музики
müzik	музик
müzik	музиці
müzik	музику
gelen	вхідний
gelen	вхідні
gelen	стріляють
resmi	формальні
resmi	формальна
resmi	picture
resmi	зображення
resmi	картинка
resmi	фото
resmi	офіційні
resmi	офіційна
resmi	офіційний
resmi	офіційне
kabul	згідний
kabul	домовилися
kabul	домовились
kabul	погодився
kabul	визнання
kabul	приймає
kabul	підтвердити
kabul	прийняти
kabul	прийміть
kabul	приймаємо
kabul	погодитися
kabul	приймаю
kabul	прийнято
kabul	прийняті
kabul	прийняли
kabul	прийнятий
kabul	згодна
kabul	згоден
kabul	згодні
kabul	погоджуюсь
kabul	погоджуюся
kabul	погодьтеся
devam	продовжувати
devam	продовжити
devam	продовжуємо
devam	тримай
kupası	чашка
kupası	чаша
kupası	кубок
fazla	надлишок
okulu	школа
okulu	училище
aldı	taken
aldı	взято
aldı	забрала
aldı	зроблено
aldı	взяли
aldı	забрали
aldı	взяв
aldı	забрала
aldı	забрав
aldı	отримано
aldı	отримані
aldı	отриманий
aldı	отримали
aldı	отримала
sahip	dominus
sahip	сахіб
farklı	different
farklı	інше
farklı	різні
farklı	різних
farklı	відмінні
futbol	футбол
futbol	футбол
ileti	повідомлення
doğru	точні
doğru	точна
doğru	акуратно
doğru	правий
doğru	права
doğru	право
doğru	праворуч
doğru	істина
doğru	правда
doğru	виправте
doğru	виправити
doğru	правильна
doğru	правильний
tarım	аграрна
tarım	аграрний
tarım	землеробства
tarım	землеробство
on	десять
on	десятка
on	десяти
on	тен
özel	ексклюзивний
özel	ексклюзив
özel	ексклюзивні
özel	приватні
özel	приватна
özel	особисте
özel	приватний
özel	особливий
özel	спеціальний
özel	особливі
özel	особливе
özel	спеціальні
özel	особлива
özel	власний
özel	особлива
özel	нетипові
özel	індивідуально
özel	нетиповий
biri	кимось
biri	когось
biri	хтось
biri	кимось
biri	когось
biri	хтось
biri	одна
biri	one
biri	одне
biri	один
alanı	поля
alanı	поле
alanı	область
alanı	ділянка
alanı	площа
alanı	місцевість
vikipedi	вікіпедія
uzun	високий
uzun	розширені
uzun	розширена
uzun	розширений
uzun	вищими
uzun	вища
uzun	вищий
uzun	довгий
uzun	хай
uzun	лонг
uzun	long
uzun	довга
uzun	довгі
şarkı	спів
şarkı	співати
şarkı	співає
şarkı	пісень
şarkı	пісні
şarkı	songs
şarkı	конкурс
şarkı	пісня
eden	едем
lig	ліга
orta	середня
orta	посередині
orta	середньої
orta	середина
orta	середній
orta	середній
orta	носій
orta	середня
orta	середні
orta	середина
orta	середини
orta	центр
orta	центр
oyuncu	гравця
oyuncu	програвач
oyuncu	гравець
oyuncu	актор
oyuncu	актриса
oyuncu	акторка
geri	назад
geri	back
geri	назад
geri	ззаду
geri	повернулася
geri	спина
geri	назад
#ccf	#ccf
mesaj	текстовий
mesaj	текст
mesaj	повідомлення
mesaj	повідомлення
mesaj	повідомлень
elektrik	електрику
elektrik	електрика
elektrik	електрики
elektrik	електроенергії
elektrik	електричний
elektrik	електрика
elektrik	електричний
ardından	після
merkezi	central
merkezi	центральний
merkezi	центральна
merkezi	центр
merkezi	центр
kısa	коротше
kısa	виступи
