から	dari
日本	jepang
日本	japan
日本	nippon
この	ini
まで	hingga
まで	sampai
まで	till
また	juga
昭和	showa
もの	things
もの	hal
もの	perkara
大学	universitas
大学	universitas
大学	university
大学	kuliah
大学	college
大学	kampus
テレビ	televisi
テレビ	television
テレビ	televisi
放送	siarkan
放送	siaran
放送	broadcast
放送	penyiaran
放送	siaran
放送	penyiaran
東京	tokyo
より	daripada
より	than
削除	terhapus
削除	dihapus
削除	menghapus
削除	penghapusan
削除	buang
削除	hapus
削除	menghapus
削除	hilangkan
削除	hapus
削除	delete
現在	current
現在	arus
現在	skrg
現在	sajikan
現在	hadir
現在	present
学校	sekolah
学校	sekolah
これ	ini
世界	world
世界	dunia
アメリカ	amerika
アメリカ	america
でも	tapi
でも	tetapi
について	tentang
について	ttg
について	perihal
について	sekitar
作品	karya
作品	bekerja
作品	works
作品	diskografi
時代	zaman
時代	era
映画	movie
映画	bioskop
映画	film
映画	cinema
映画	bioskop
映画	sinema
映画	film
映画	movies
映画	bioskop
映画	film
監督	sutradara
監督	direktur
鉄道	railroad
鉄道	rel
鉄道	apian
鉄道	railway
使用	menggunakan
使用	gunakan
使用	pakai
使用	penggunaan
出演	penampilan
出演	tampil
出演	penampilan
出演	tampil
出演	tampilan
出演	cor
出演	dilemparkan
出演	pemeran
出演	cast
出演	melemparkan
明治	meiji
時間	jam
時間	jam
時間	kali
時間	waktu
時間	waktunya
時間	time
開始	mulai
開始	begin
開始	mulai
開始	mulailah
開始	start
開始	inisiasi
シリーズ	deret
シリーズ	series
シリーズ	seri
のみ	only
のみ	saja
のみ	hanya
記事	pasal
記事	artikel
記事	cerita
記事	story
記事	berita
記事	kisah
記事	cerita
記事	stories
記事	artikel
活動	kegiatan
活動	aktifitas
活動	aktivitas
選手	pemain
選手	atlet
選手	atlit
しかし	tapi
しかし	tetapi
研究	studi
研究	riset
研究	penelitian
会話	percakapan
会話	percakapan
大阪	osaka
大会	konvensi
チーム	tim
チーム	tim
チーム	team
存在	keberadaan
存在	keberadaannya
存在	eksistensi
優勝	memenangkan
優勝	menang
作詞	lirik
作詞	lyrics
所属	afiliasi
所属	belong
所属	milik
国際	internasional
国際	international
国際	mancanegara
一部	some
一部	beberapa
一部	sebagian
結果	hasil
結果	result
結果	hasilnya
結果	hasil
アルバム	album
アルバム	album
バス	bus
バス	bis
バス	bass
バス	kakap
バス	bus
バス	bis
ゲーム	gaming
ゲーム	permainan
ゲーム	game
ゲーム	permainan
ゲーム	game
ゲーム	permainan
ゲーム	games
ゲーム	game
問題	masalah
問題	isu
問題	masalah
問題	problem
問題	masalah
問題	masalah
問題	isu
リーグ	league
リーグ	liga
リーグ	liga
利用	menebus
利用	tebus
利用	tukarkan
開発	pengembangan
開発	perkembangan
開発	pembangunan
事業	bisnis
事業	business
決定	keputusan
決定	keputusan
音楽	music
音楽	musik
転送	forward
転送	maju
転送	teruskan
転送	transfer
転送	mentransfer
転送	transfer
情報	info
情報	information
情報	informasi
公式	formula
公式	rumus
公式	official
公式	resmi
参加	bergabung
参加	gabung
参加	bergabunglah
参加	join
参加	partisipasi
地域	daerah
地域	wilayah
地域	region
地域	kawasan
地域	daerah
地域	wilayah
地域	provinsi
地域	region
地域	kawasan
変更	perubahan
変更	mengubah
変更	modifikasi
変更	ubah
変更	memodifikasi
変更	berubah
変更	ganti
変更	perubahan
変更	mengubah
変更	ubah
編曲	arranger
編曲	diatur
編曲	pengaturan
サイト	situs
サイト	site
サイト	situs
丁目	chome
記録	merekam
記録	rekaman
記録	perekaman
記録	rekor
記録	rekam
記録	record
関係	hubungan
関係	relasi
関係	hubungan
関係	relasi
クラブ	club
クラブ	klub
クラブ	klub
クラブ	club
クラブ	keriting
中央	chūō
中央	central
中央	tengah
中央	pusat
中央	sentral
中央	upt
中央	tengah
中央	pusat
中央	center
中央	tengah
中央	pusat
中央	centre
同じ	same
設立	didirikan
設立	mapan
設立	pembentukan
設立	pendirian
考え	memikirkan
考え	thinking
考え	pemikiran
考え	berpikir
考え	pemikiran
考え	fikiran
考え	pikiran
教育	edukasi
教育	pendidikan
プロ	pro
設置	pemasangan
設置	penginstalan
設置	instalasi
発表	pengumuman
発表	pengumuman
小学校	sd
編集	edit
編集	sunting
編集	sunting
編集	penyuntingan
編集	suntingan
編集	menyunting
編集	editing
編集	penyuntingan
編集	mengedit
編集	modifikasi
編集	ubah
編集	memodifikasi
シーズン	season
シーズン	musim
シーズン	musimnya
シーズン	seasons
シーズン	musim
ファイル	berkas
ファイル	file
ファイル	berkas
ファイル	file
フランス	prancis
フランス	france
フランス	perancis
都市	city
都市	kota
都市	kota
出版	penerbit
出版	penerbit
出版	terbitan
出版	penerbitan
出版	publikasi
出版	menerbitkan
出版	publikasi
出版	penerbitan
出版	terbitan
会社	firma
会社	teguh
会社	tegas
会社	perusahaan
会社	company
会社	perusahaan
世紀	abad
世紀	century
ノート	note
ノート	catatan
ノート	notebook
ノート	catatan
ノート	notes
ノート	notebook
京都	kyoto
社会	society
社会	masyarakat
社会	masyarakat
ドイツ	jerman
開催	dipegang
開催	ditahan
開催	diadakan
シングル	single
シングル	lajang
シングル	jomblo
シングル	tunggal
センター	tengah
センター	pusat
センター	center
センター	tengah
センター	pusat
センター	centre
終了	keluar
終了	selesaikan
終了	finish
終了	akhiri
終了	end
終了	akhir
終了	selesai
終了	exit
終了	keluar
中心	tengah
中心	pusat
中心	center
中心	tengah
中心	pusat
中心	centre
内容	isi
内容	konten
内容	isi
文化	kultur
文化	kebudayaan
文化	budaya
イギリス	inggris
ドラマ	drama
ドラマ	drama
中国	tiongkok
中国	china
中国	jatim
中国	cina
撮影	sinematografi
撮影	photography
撮影	fotografi
撮影	merekam
撮影	syuting
撮影	memfilmkan
選手権	kejuaraan
選手権	championship
選手権	kejuaraan
野球	baseball
野球	bisbol
指定	penunjukan
指定	nyatakan
指定	tentukan
指定	menentukan
指定	sebutkan
位置	posisi
位置	jabatan
以下	dibawah
マン	mann
卒業	lulus
卒業	wisuda
卒業	kelulusan
人物	person
人物	orang
文庫	bunko
公開	publik
公開	public
公開	publikasikan
公開	terbitkan
北海道	hokkaido
最終	last
最終	terakhir
最終	final
アニメ	anime
確認	konfirmasi
確認	mengonfirmasi
確認	konfirmasi
一般	umum
一般	jendral
一般	jenderal
歴史	history
歴史	riwayat
歴史	sejarah
選挙	pemilu
選挙	pemilu
計画	merencanakan
計画	terencana
計画	direncanakan
計画	merencanakan
計画	berencana
計画	perencanaan
計画	rencana
計画	plan
計画	rencanakan
計画	rencana
経済	perekonomian
経済	ekonomi
ページ	page
ページ	halaman
ページ	halaman
教授	profesor
教授	professor
記念	kinen
ラジオ	radio
劇場	theater
劇場	teater
劇場	bioskop
劇場	theatre
劇場	teater
劇場	bioskop
グループ	group
グループ	kelompokkan
グループ	grup
グループ	kelompok
グループ	grup
グループ	kelompok
英語	inggris
英語	indonesian
英語	english
女性	woman
女性	wanita
女性	perempuan
女性	permpuan
女性	female
女性	betina
女性	perempuan
女性	wanita
女性	perempuan
女性	women
地区	distrik
地区	kecamatan
地区	raionul
地区	kabupaten
地区	daerah
獲得	ern
得点	score
得点	skor
コメント	comment
コメント	komen
コメント	komentari
コメント	komentar
コメント	mengomentari
コメント	berkomentar
コメント	mengomentari
コメント	berkomentar
コメント	dikomentari
コメント	komentar
漫画	komik
漫画	manga
他の	lain
他の	lainnya
就任	asumsi
廃止	abolisi
販売	jual
販売	menjual
販売	penjualan
販売	sales
攻撃	menyerang
攻撃	serangan
攻撃	penyerangan
攻撃	menyerang
攻撃	serangan
攻撃	serang
攻撃	penyerangan
サッカー	sepakbola
サッカー	soccer
リー	lee
議員	senator
全国	nasional
デビュー	debut
デビュー	debutnya
協会	asosiasi
協会	perhimpunan
協会	association
路線	rute
フジ	fuji
自分	myself
自分	diri
戦争	perang
戦争	peperangan
戦争	war
戦争	perang
戦争	wars
戦争	peperangan
製作	production
製作	produksi
部分	part
部分	bagian
高校	highschool
高校	sma
番号	angka
番号	nomor
番号	bilangan
番号	nomer
当初	awalnya
最初	pertama
最初	duluan
最初	dulu
最初	first
受賞	penghargaan
受賞	penghargaan
受賞	award
期間	durasi
期間	periode
広島	hiroshima
場所	tempatkan
場所	place
場所	tempat
場所	lokasi
場所	tempat
技術	teknologi
海軍	navy
リンク	pranala
リンク	link
リンク	tautan
リンク	taut
リンク	taut
リンク	pranala
リンク	link
リンク	tautan
リンク	links
合併	merger
合併	merger
道路	jalan
道路	road
特定	spesifik
特定	tertentu
特定	khusus
特定	dispesifikasikan
特定	ditentukan
特定	dinyatakan
朝日	asahi
意味	arti
意味	artinya
意味	makna
意味	makna
システム	sistem
システム	system
システム	sistem
システム	systems
モデル	models
モデル	model
モデル	model
対応	korespondensi
対応	menyurat
列車	train
列車	kereta
建設	konstruksi
建設	pembangunan
とき	kapan
とき	saat
とき	apabila
とき	ketika
最後	last
最後	terakhir
科学	ilmu
科学	sains
理由	alasan
理由	alasannya
理由	alasan
そして	dan
一つ	satu
一つ	one
大正	taisho
大正	taisho
最高	terbaik
最高	best
ブロック	blok
ブロック	pemblokiran
ブロック	blokir
ブロック	blok
ブロック	block
ブロック	blokir
車両	kendaraan
車両	kendaraan
自動車	car
自動車	mobil
自動車	mobil
自動車	otomotif
人口	populasi
人口	penduduk
人口	populasi
特に	terutama
特に	khususnya
特に	terutama
営業	bisnis
営業	business
発生	kejadian
新聞	koran
新聞	koran
連続	kontinuitas
連続	berkelanjutan
連続	kontinu
政府	pemerintah
政府	pemerintahan
構成	konfigurasi
構成	komposisi
構成	struktur
最大	maksimum
最大	maksimal
最大	maximum
最大	terbesar
キャラクター	character
キャラクター	tokoh
キャラクター	karakter
キャラクター	aksara
キャラクター	karakter
小説	novel
小説	novel
それぞれ	setiap
それぞれ	tiap
それぞれ	each
機関	organ
機関	institusi
機関	lembaga
機関	institusi
機関	lembaga
参照	acuan
参照	referensi
参照	rujukan
参照	referensi
参照	rujukan
参照	referensi
参照	merujuk
参照	mereferensikan
メンバー	anggota
メンバー	member
メンバー	anggota
発行	diterbitkan
発行	dikeluarkan
発行	masalah
発行	isu
画像	gambar
画像	citra
画像	picture
画像	gambar
画像	gambar
画像	image
画像	citra
画像	bergambar
状態	negara
状態	keadaan
状態	state
状態	syarat
状態	kondisi
名称	denominasi
名称	nama
名称	nama
名称	names
名称	mamang
ダム	dam
ダム	waduk
ダム	bendungan
ホーム	home
ホーム	rumah
ホーム	pulang
ホーム	beranda
運行	operasi
投稿	kiriman
投稿	posting
投稿	kirimkan
投稿	kirim
投稿	post
投稿	kiriman
投稿	posting
投稿	posting
投稿	mengirim
投稿	mengirimkan
名前	nama
名前	nama
名前	names
名前	mamang
福岡	fukuoka
施設	fasilitas
施設	institusi
施設	lembaga
施設	fasilitas
調査	survei
調査	investigasi
調査	penyelidikan
調査	survey
調査	survei
