заслуговує	প্রাপ্য
холодна	ঠান্ডা
холодна	ঠাণ্ডা
холодна	কোল্ড
фільтр	ফিল্টার
сильна	শক্তিশালী
сильна	মজবুত
сильна	শক্ত
мера	মেয়র
ваз	ভাজ
ярмарок	মোটামুটি
ярмарок	মেলা
ярмарок	ন্যায্য
ярмарок	অনুকূল
ліцензія	লাইসেন্স
ліцензія	লাইসেন্স
геть	দূরে
геть	অনুপস্থিত
геть	অন্যত্র
пісок	বালু
пісок	বালি
пера	pera
гірше	খারাপ
ворог	শত্রু
невдало	ব্যর্থ
невдало	বিফল
девіз	নীতিবাক্য
тривалості	অবহেলা
часті	ঘনঘন
спокійно	স্বচ্ছন্দ
спокійно	নিশ্চিন্ত
завершити	সম্পন্ন
завершити	সমাপ্ত
завершити	সমাপ্তি
завершити	শেষ
завершити	সমাপ্ত
завершити	পুরোদমে
завершити	সম্পন্ন
завершити	সম্পূর্ণ
завершити	সমাপ্ত
підняти	লিফট
відсутнє	শূণ্য
розквіт	ফোটে
клер	ক্লেয়ার
клер	clair
нікого	কেউ
нікого	কাউকে
нікого	যেকেউ
нікого	কারো
раннє	প্রারম্ভিক
раннє	তাড়াতাড়ি
вибрана	মনোনীত
інфраструктура	পরিকাঠামো
присвячено	নিবেদিত
присвячено	একনিষ্ঠ
присвячено	উৎসর্গ
спорядження	গিয়ার
кіото	কিয়োটো
навчальної	টিউটোরিয়াল
математичної	অঙ্ক
черепаха	কচ্ছপ
черепаха	কাইট্টা
черепаха	কাছিম
черепаха	কচ্ছপ
синонім	synonym
тези	থিসিস
кінематограф	সিনেমাটোগ্রাফি
кінематограф	সিনেমা
страв	খাবারের
браян	ব্রায়ান
гільдії	গিল্ড
рон	রন
ілюстрація	চিত্র
схему	স্কিম
схему	স্কীম
традиційна	প্রথাগত
традиційна	সনাতন
симон	সাইমন
залізний	লোহা
залізний	লোহার
залізний	আয়রন
залізний	আর্গন
якоб	ইয়াকুব
воскресіння	পুনরুত্থান
воскресіння	কিয়ামতের
рукописи	পাণ্ডুলিপি
вихідний	বহির্গামী
