wolf	вовк
notable	поліпшити
doublage	дубляжу
secrète	таємний
secrète	секретний
secrète	таємна
secrète	таємниця
secrète	таємно
considérablement	різко
louisiane	луїзіана
professionnelles	фахівець
professionnelles	професійний
professionnelles	професіонал
professionnelles	professional
professionnelles	професійні
absolue	абсолютна
absolue	абсолютний
absolue	абсолютне
médiéval	середньовічна
spécialité	specialty
intégrale	інтеграл
prime	бонус
prime	prime
prime	високоякісний
prime	преміум
prime	premium
occupent	займають
sonore	sound
sonore	звук
classées	оголошення
classées	класифікованих
oracle	oracle
age	віці
age	вік
age	ера
age	доба
melbourne	мельбурн
polémique	фасаді
polémique	спір
sauvages	дикі
sauvages	дикий
sauvages	wild
sauvages	диких
vivants	живі
vivants	живий
vivants	жива
vivants	живим
vivants	alive
compréhension	розуміючи
compréhension	взаєморозуміння
compréhension	розуміння
tournées	тури
tournées	турів
tournées	турне
three	три
three	втрьох
three	трійка
bade	баден
bade	попрощався
catastrophe	катастрофа
catastrophe	катастрофа
catastrophe	катастрофи
démonstration	демонстрація
démonstration	демо
démonstration	продемонструвати
démonstration	демонстрація
démonstration	демонстрацію
réussite	успіх
citoyen	житель
citoyen	громадянин
thriller	трилер
configuration	налаштувати
configuration	налаштування
configuration	конфігурація
configuration	налаштування
configuration	налаштуваннях
configuration	налаштування
configuration	параметри
bleus	blue
bleus	блакитні
bleus	блакитний
bleus	блакитна
bleus	синій
bleus	сині
bleus	блюз
bleus	blues
bleus	блакить
bleus	сині
creuse	копати
creuse	dig
creuse	крез
creuse	пуста
greg	грег
nuits	ночі
nuits	ночей
lincoln	лінкольн
cavaliers	вершники
cavaliers	вершники
cavaliers	кавальєрс
char	char
char	візок
cardiaque	серцевий
cardiaque	серцеві
volcan	вулкан
kent	кент
parlant	говоримо
parlant	говорили
parlant	говорячи
parlant	speaking
grille	сітку
grille	сітка
grille	сітки
grille	grid
grille	ґратка
fernández	фернандес
marvel	marvel
voisines	сусіди
voisines	сусіди
remarques	нотаток
remarques	нотатки
remarques	примітки
remarques	коментарях
remarques	коментарів
remarques	коментарі
tend	тенденцію
sofia	софійська
sofia	софія
quête	квест
quête	quest
hébreu	єврейська
hébreu	іврит
inhumé	похований
inhumé	поховані
pat	пет
pat	пат
variables	змінну
variables	змінної
variables	змінна
variables	змінні
vignoble	виноградник
vignoble	виноградники
roue	кермо
roue	колесо
autorisé	статутний
autorisé	надавати
autorisé	дозволено
autorisé	дозволені
cavalier	прокату
cavalier	cavalier
sierra	сьєрра
retenu	збереглося
navigateur	навігатор
navigateur	браузер
navigateur	навігатор
navigateur	переглядач
organes	органи
organes	тіл
organes	тіла
originaires	вихідного
sylvain	сільвен
compétence	компетенції
compétence	майстерність
compétence	уміння
compétence	компетенція
décerné	нараховується
provinciale	провінційний
éliminer	усунути
éliminer	знищити
usages	використовує
usages	користується
usages	використання
fonctionnaires	чиновники
fonctionnaires	чиновників
démocrates	демократи
démocrates	демократичний
bords	краї
directrice	режисер
directrice	директор
directrice	керівник
directrice	менеджер
espérance	надії
espérance	надія
espérance	надіюсь
fragments	фрагмент
fragments	фрагменти
seattle	seattle
existant	існуюче
existant	існуючий
existant	існуючі
existant	існуючу
bond	бонд
mulhouse	мюлуз
