категорија	категория
година	година
година	годината
како	как
како	като
како	like
што	какво
дека	че
бил	бил
бил	законопроект
кои	кой
кои	което
кои	която
кој	кой
тоа	че
други	друго
други	друг
други	други
други	другите
други	други
која	което
која	която
била	бе
македонија	македония
додека	докато
кога	когато
кога	кога
страна	страна
страна	страничен
биле	бяха
дел	част
дел	дел
дел	del
дел	дел
дел	dell
околу	относно
околу	около
околу	наоколо
време	времето
време	време
век	век
век	вековен
век	века
под	отдолу
под	под
може	могат
може	can
неговата	неговият
неговата	неговата
неговата	му
неговата	неговия
еден	една
еден	един
еден	едно
врски	вратовръзки
врски	връзки
исто	същият
исто	същата
исто	същото
надворешни	външна
надворешни	външно
надворешни	външни
надворешни	външен
повеќе	повече
повеќе	още
податоци	дейта
податоци	данни
каде	къде
многу	много
многу	лот
објекти	съоръжения
објекти	съоръженията
објекти	предмети
објекти	обектите
објекти	обекти
години	години
години	годините
календар	календар
календар	календара
сите	всички
сите	всичко
сите	всички
сите	всеки
една	една
една	един
една	едно
меѓу	сред
меѓу	между
пред	преди
ова	това
јазик	език
јазик	езикът
јазик	езика
јазик	език
само	само
само	единствено
само	просто
само	само
каталог	каталог
каталог	каталог
каталог	каталога
таа	тя
број	брой
број	число
број	номер
овој	това
градот	град
градот	градът
градот	сити
градот	city
беше	бе
општ	общи
оваа	това
тие	тези
тие	те
нов	ню
нов	ново
нов	нов
нов	нови
нов	нова
селото	сапоро
времето	времето
времето	времето
времето	време
некои	някои
претставува	представлява
претставува	позира
претставува	пози
место	спот
место	петно
место	място
овие	тези
општина	община
започнува	започва
започнува	започва
светот	свят
светот	света
преку	виа
преку	via
преку	чрез
преку	чрез
преку	през
македонски	македонска
македонски	македонски
неколку	няколко
неколку	малцина
неколку	няколко
земјата	земно
земјата	земята
земјата	земен
земјата	земя
две	двама
две	две
небо	скай
небо	небе
небо	небето
небо	небесата
небо	небе
небо	небеса
уште	още
уште	повече
уште	още
список	списък
неговиот	неговият
неговиот	неговата
неговиот	му
неговиот	неговия
септември	септември
споменува	споменава
кое	което
кое	която
сјај	блясък
сјај	светят
сјај	сияние
град	град
град	градът
град	градче
град	град
град	градът
град	сити
град	city
агол	ъгъл
агол	ъгъла
агол	ъгъл
село	село
информации	информация
информации	info
информации	инфо
информации	информация
информации	информиране
германија	германия
помеѓу	между
црква	църква
црква	чърч
црква	църквата
познати	позната
познати	известни
познати	познат
познати	известна
познати	известен
познати	прочут
познати	известни
познати	прочута
познати	известна
