bohužial	təəssüf
mleté	yer
vonka	bayırda
vonka	xaricdə
vonka	kənarda
záložiek	təmizlə
záložiek	nişan
záložiek	axtarışını
zľutovanie	mərhəmət
chalan	oğlan
chalan	bilirsiniz
chalan	axır
chalan	oğlanın
chalan	oğlanı
chalan	bu
chalan	oğlan
chalan	şam
chalan	üfürən
objať	ağacı
objať	qucaqlayın
talibanom	taliban
pochvalu	səmimi
pochvalu	demirəm
tyzden	həftə
káve	qəhvəmi
káve	istəyərdiniz
cítiš	hiss
nenávidieť	nifrət
nenávidieť	davam
nenávidieť	edəcək
profilové	profili
profilové	layihə
profilové	adı
profilové	çap
profilové	profilini
profilové	istifadə
profilové	olan
profilové	et
zhodovať	uyğun
zhodovať	kəlmənin
zhodovať	tam
zhodovať	gələn
zhodovať	kəlməsi
zhodovať	mötərizəyə
zhodovať	seçin
zhodovať	et
zajtrajšok	sabah
forty	oğrular
thirteen	on
thirteen	üç
nahnevaná	əsəbi
strasne	dəhşətli
investovanie	sahəyə
trojnásobok	kirəmit
vykopať	quyu
stretko	iclas
porozprávať	haqda
porozprávať	danışmaq
porozprávať	istəyirəm
výstraha	xəbərdarlıq
výstraha	də
slabí	zəif
isn	deyil
isn	deyilmi
isn	alışqanlıq
cvs	anjuta
cvs	cvs
cvs	cərgəni
cvs	i̇şləyən
cvs	yenilənir
namietať	obyekt
namietať	obyekti
namietať	gtk
namietať	növü
lekcia	dərs
ignorovala	faylları
ignorovala	nəzərə
ignorovala	alma
neschopná	fayl
neschopná	bimir
neschopná	çap
neschopná	yaddaş
neschopná	skripti
počúvaj	qulaq
počúvaj	as
počúvaj	dinləməyə
počúvaj	asmaq
rovnocenná	katrandan
rovnocenná	ekvivalent
zamknúť	yapışan
zamknúť	üzvləri
zabudni	seçim
zabudni	alınırkən
kopnúť	dialoqlu
prepnúť	gedişat
prepnúť	terminal
prepnúť	nöqtəsini
prepnúť	gizlət
prepnúť	hazırkı
prepnúť	qovluğu
prepnúť	gizlə
prepnúť	editordakı
prepnúť	nişannı
prepnúť	qırma
prepnúť	bələdçiləri
splash	ekranı
splash	göstərmə
záložku	göstər
záložku	nişanı
záložku	nişan
záložku	nişana
záložku	sıçra
záložku	nrakı
číňan	çin
číňan	ənənəvi
číňan	bəsidləşdirilmiş
počúvala	dinlədim
pokračujte	davam
pokračujte	et
pokračujte	proqram
pokračujte	i̇şlə
pokračujte	adla
orchidea	səhləbi
chlapček	oğlan
chlapček	bilirsiniz
chlapček	axır
chlapček	oğlanın
nebezpečie	təhlükə
susedka	qonşu
nechajme	gəlin
odsadenie	çərtmə
odsadenie	art
odsadenie	bələdçilərini
odsadenie	çərtməni
odsadenie	fəallaşdır
odsadenie	avtomatik
zasielanie	gedişata
zasielanie	göndərilir
zoradiť	bir
zoradiť	sanki
hadrónový	hadron
profi	layi
pánske	kişilərə
pánske	kişi
pánske	insanlar
pánske	kişilər
čerstvú	şirin
čerstvú	suda
benzin	qaz
normalne	normal
naplánovať	plan
odhodlaná	qərarlı
ošetriť	qarşı
ošetriť	davranışımız
krasne	gözəl
krasne	fotoşəkildə
kod	kod
kod	blokunu
kod	kənarını
kod	editordakı
kod	bağlanmasını
písomnosť	sənəd
písomnosť	nümayişi
písomnosť	düzülüş
písomnosť	genişləndirilsin
písomnosť	təsadüf
písomnosť	özünə
konár	i̇lişdiriləcək
konár	şablonu
konár	i̇stifadəçi
konár	sil
konár	et
konár	makrolar
konár	də
konár	silmək
laky	göllər
maca	mac
pošli	gedişata
monzún	mussonu
monzún	musson
monzún	mussonudur
braček	nəzarət
braček	edəcək
braček	qardaşım
braček	qardaşımı
hlavny	əsas
hlavny	göstər
hlavny	nişanlar
naliehavé	tə
marža	hüdudları
marža	hüdudu
marža	gizlət
marža	kənarı
marža	piksel
marža	göstər
kúta	müvəqqəti
kúta	yerə
rezerve	qalan
rezerve	pul
rezerve	slot
rezerve	type
rezerve	slotstockslot
rezerve	hint
rezerve	ehtiyat
rezerve	daşıyın
rezerve	yerinə
rezerve	sınayın
rezerve	dəstədən
ochranka	təhlükəsizlik
šestky	altıları
robim	bunu
robim	nə
lisovanie	backspace
lisovanie	tab
prehľadávať	i̇nfo
najlepsi	ən
najlepsi	yaxşı
najlepsi	best
najlepsi	ə
vala	əsas
vala	java
strižných	pərçim
strižných	xətkeş
sdl	əlavə
čítajte	oxumaq
čítajte	qadağandır
čítajte	oxudunuz
čítajte	bilmir
čítajte	oxuna
čítajte	simvollar
predvolené	ön
predvolené	qurğulu
predvolené	əsası
predvolené	işlət
predvolené	əsas
predvolené	cərgəni
caj	çay
caj	bir
caj	baxın
povedalo	dedi
povedalo	dedim
načítať	yüklənə
načítať	yüklə
načítať	bimədi
načítať	əsaslar
načítať	layihəni
načítať	filtri
načítať	yenidən
robis	bunu
robis	nə
osvedčený	vəsiqəli
skola	məktəbə
skola	məktəb
skola	məktəbdə
darpa	darpa
geniálne	əla
geniálne	parlaq
geniálne	zəkalı
kartičky	payla
kartičky	kart
kartičky	çalışın
kartičky	qalan
kartičky	kartları
kartičky	dəstini
kartičky	üsyündəki
kartičky	qarışdır
kartičky	dəstələrini
zivot	həyat
zivot	həyatımı
zivot	həyatın
potiahnuť	faylın
potiahnuť	vəziyyətiinput
potiahnuť	widget
makrá	makrolar
makrá	s
podnecovať	və
láskavá	cür
láskavá	bir
dneska	gün
dneska	bu
dneska	bugünkü
záhyby	qovluqları
záhyby	kod
záhyby	qovluqlarını
záhyby	boğçalarını
záhyby	boxçalarını
záhyby	bağla
pripevnenie	gedişata
pripevnenie	ilişdirilir
triedené	son
triedené	istifadəyə
triedené	əlifbaya
potlač	çap
potlač	edilir
potlač	bilmədi
objatie	ağacı
objatie	qucaqlayın
splatné	tarix
splatné	kod
splatné	kənarını
splatné	göstər
muz	oğlan
muz	adam
muz	kişilik
muz	kişi
muz	menyu
muz	mövqeyi
spolubývajúci	otaq
spolubývajúci	görəsən
velka	böyük
velka	big
konzistentnosť	məntiq
čislo	nömrəsi
čislo	sayı
čislo	nömrəsinə
čislo	get
čislo	nömrələri
čislo	qırma
čislo	göstəriləcək
čislo	ədədinə
eskalátor	escalator
prepravovaných	daşıdığı
nenávidím	nifrət
nenávidím	davam
nenávidím	edəcək
zamieriť	hazırkı
zamieriť	düzülüşə
lahko	belə
volajte	buna
volajte	zəng
volajte	adlandırdığımız
nájdite	tap
nájdite	tapıla
nájdite	axtar
nájdite	sonrakını
úžasne	möhtəşəm
úžasne	mükəmməl
úžasne	valehedicidir
úžasne	valehedici
úžasne	heyranedici
babky	nənəyə
babky	nənə
ocko	atam
ocko	ata
dlhsie	artıq
štastie	şanslı
štastie	xoşbəxtlik
čudný	qəribə
