pirro	pirus
legjendë	efsane
kozmike	evrensel
kozmike	kozmik
brandt	brandt
internacional	international
internacional	yurtdışı
internacional	uluslararası
zgjidhen	çözüldü
zgjidhen	çözülmüş
fushatën	kampanya
ricardo	ricardo
hir	sake
zagrebit	zagrep
zagrebit	zagreb
gjyqi	duruşma
delle	delle
kurorë	çelenk
kurorë	tacı
kurorë	taç
kurorë	crown
josip	josip
barbara	barbara
hugo	hugo
selman	selman
bekuar	kutsanmış
bekuar	hayirli
bekuar	kutlu
bekuar	hayırlı
bekuar	mübarek
përparësi	öncelikli
përparësi	önceliği
përparësi	öncelik
production	imalat
production	yapım
production	üretim
production	prodüksiyon
pronar	sahibi
pronar	sahibinden
qumësht	süt
qumësht	milk
qumësht	sütlü
jersey	forma
jersey	jersey
përparuar	ilerlemiş
përparuar	ileri
përparuar	gelişmiş
dhuratë	hediye
dhuratë	armağan
shiu	yağmur
shiu	rain
shiu	yagmur
polare	kutup
zeusi	zeus
rada	rada
skenat	sahneler
çela	cela
revolucionar	devrim
revolucionar	devrimci
cover	koru
cover	kapak
rusë	ruslar
rusë	rusları
rusë	ruslarla
financuar	finanse
pallat	saray
pallat	sarayı
pallat	palace
arkitekti	mimar
oslo	oslo
roosevelt	roosevelt
vetëdijshëm	farkında
vetëdijshëm	bilinçli
dimri	kış
dimri	winter
presionin	basınç
presionin	baskı
gjumë	kestirmek
gjumë	uyku
gjumë	şekerleme
gjumë	uyku
gjumë	uyu
gjumë	uyumak
motër	abla
motër	abla
motër	bacım
motër	rahibe
motër	kardeş
atlantique	atlantique
daljen	görünüşü
daljen	görünümü
daljen	görünüş
daljen	görünüm
tektonike	tektonik
kolonë	köşe
kolonë	kol
kolonë	sütun
ulliri	olive
ulliri	zeytin
ulliri	zeytin
foli	konuştu
ndërtime	inşaat
martínez	martínez
kepi	pelerin
kepi	cape
kepi	pelerini
kepi	burnu
saga	saga
graubünden	graubünden
skulpturë	heykel
playstation	playstation
dino	dino
piloti	kılavuz
piloti	pilot
menaxher	yöneticisi
menaxher	menajer
