길버트	gilbert
안드레	andre
안드레	andré
안드레	andré
로버스	rovers
펭귄	pingouins
펭귄	manchots
펭귄	manchot
펭귄	pingouin
펭귄	manchots
펭귄	pingouins
물류	logistique
물류	accomplissement
루터교	luthérienne
마키노	makino
변속기	transmission
변속기	transmissions
다이토	taito
갑작스러운	abrupte
조수	tide
조수	marée
조수	assistant
조수	adjointe
조수	adjoint
조수	assistante
아카이브	archivage
아카이브	archiver
아카이브	archive
아카이브	archives
정체성	identités
정체성	identité
정착	réglés
정착	réglé
다이렉트	directe
다이렉트	directement
다이렉트	direct
다이렉트	directs
희생	sacrifices
희생	sacrifices
희생	sacrifié
희생	sacrifice
희생	sacrifier
도박	jeu
도박	parier
도박	pari
도박	gamble
캔버라	canberra
아름다워	beau
아름다워	superbe
아름다워	magnifiques
아름다워	magnifique
아름다워	belle
점원	commis
점원	clerc
점원	greffier
점원	commis
발급	émis
발급	émises
발급	délivrés
발급	émise
발급	délivré
발급	réclamations
발급	créances
발급	allégations
발급	revendications
유학생	étudiants
유학생	etudiants
유학생	élèves
스윙	balancer
스윙	balançoire
스윙	swing
터키어	turques
터키어	turque
터키어	turc
터키어	turcs
그레그	greg
그레그	gregg
테러리스트	terroriste
테러리스트	terroristes
테러리스트	terroristes
하단	fond
충격	choquante
충격	choquer
충격	choquant
충격	choquantes
충격	chocs
충격	choc
충격	choquer
충격	choqué
충격	choqués
충격	choquée
교차	croisée
교차	croix
교차	traverser
교차	croisé
교차	croisement
교차	intersection
교차	carrefour
코로나	corona
부두	vaudou
부두	pier
부두	jetée
부두	embarcadère
슬라이드	glissières
슬라이드	diapositives
슬라이드	slide
슬라이드	glisser
슬라이드	glisse
슬라이드	manège
슬라이드	carrousel
잠재적	potentialités
잠재적	potentiels
잠재적	potentielle
잠재적	potentiel
검정색	noire
검정색	black
검정색	noires
검정색	noir
검정색	noirs
애슬레틱	athlétique
애슬레틱	athlétisme
풍자	sarcasmes
풍자	sarcasme
풍자	satirique
풍자	satirique
풍자	satire
간디	hépatique
간디	foies
간디	foie
간디	hépatiques
쓰루미	tsurumi
가속	accélération
가속	accélérations
가속	accélération
가속	accélérés
가속	accélérée
가속	accéléré
테크노	techno
노스웨스트	northwest
상속	hérite
상속	héritier
상속	héritière
상속	héritiers
상속	héritage
상속	héritages
크리스토프	kristoff
맞춤법	orthographe
버디	pote
버디	copain
버디	buddy
시어도어	theodore
시어도어	théodore
조종	manipuler
보헤미아	bohême
간략하게	brièvement
휠체어	fauteuil
럭키	chanceux
럭키	chanceuse
럭키	lucky
럭키	veinard
스노보드	snowboard
스노보드	snowboard
미타	mita
인스턴트	instantané
인스턴트	instantanée
인스턴트	instant
인스턴트	instantanés
애틀랜틱	atlantique
호놀룰루	honolulu
정치국	politburo
쇼크	chocs
쇼크	choc
쇼크	choquer
단말기	appareil
단말기	dispositif
단말기	périphérique
아바나	havane
가와카미	kawakami
나이로비	nairobi
셰퍼드	berger
셰퍼드	bergers
셰퍼드	shepherd
그라나다	grenade
그라나다	granada
루키	lou
부드럽게	douce
부드럽게	doux
부드럽게	douceur
부드럽게	douces
부드럽게	tendre
부드럽게	soft
부드럽게	lisser
부드럽게	lisses
부드럽게	lisse
부드럽게	délicatement
부드럽게	doucement
묘사	descriptif
묘사	description
제미니	gémeaux
제미니	gemini
미란다	miranda
항만	harbor
트랜지스터	transistors
트랜지스터	transistor
세이	essai
코발트	cobalt
차이점	différence
차이점	diff
차이점	différence
차이점	différences
논리학	logique
논리학	logiques
버틀러	butler
버틀러	majordome
마르셀	marcelle
마르셀	marcel
이니셜	initiale
이니셜	initial
이니셜	initiales
이니셜	initiales
일치	matches
일치	correspondances
일치	matchs
일치	allumettes
일치	appariement
일치	adéquation
일치	correspondance
일치	correspondant
일치	correspondance
일치	allumette
일치	match
일치	assorti
모리야마	moriyama
성숙한	maturité
성숙한	mûr
성숙한	mûres
성숙한	mûre
성숙한	mature
갈라타사라이	galatasaray
나오코	naoko
비정상적인	anormale
비정상적인	anormal
비정상적인	anomalie
비정상적인	anormaux
코스트	côte
바스크	basque
음절	syllabe
간섭	intervention
간섭	interférence
간섭	ingérence
간섭	interférences
간섭	interférences
켈러	keller
비너스	venus
비너스	vénus
손상	endommagé
손상	endommagées
손상	endommagés
손상	abîmés
손상	abîmé
손상	endommagée
손상	dégats
손상	dommages
손상	dégâts
손상	dommage
소매	détail
소매	manchons
소매	manches
소매	manchon
소매	manches
소매	manche
인피니티	infinité
인피니티	infinity
인피니티	infini
호흡	souffle
호흡	respiration
호흡	haleine
호흡	respire
호흡	respirer
호흡	respiratoire
호흡	respiratoires
호흡	respiration
호흡	respirer
호흡	respiration
경쟁력	compétitif
경쟁력	concurrentiel
경쟁력	compétition
경쟁력	concurrentielle
경쟁력	compétitifs
경쟁력	compétitivité
불완전한	imparfaite
불완전한	imparfait
캐럴	carol
캐럴	carole
캐럴	carroll
파이브	five
파이브	cinq
긴자	ginza
루피	roupies
루피	roupie
사라예보	sarajevo
침대	lits
침대	lit
모닝	matin
모닝	morning
모닝	matinée
모닝	matinale
카린	karine
카린	karin
페루자	pérouse
악당	méchant
악당	scélérat
악당	vilain
인디언스	indiens
사노	sano
보르네오	bornéo
합법적인	légitime
합법적인	juridique
합법적인	légal
합법적인	légales
합법적인	légale
나미비아	namibie
나미비아	namibienne
나미비아	namibien
휴식	break
휴식	pause
휴식	rupture
휴식	briser
휴식	reposant
휴식	repos
휴식	repose
휴식	détente
휴식	relaxation
리코	ricoh
북극	arctique
퀄컴	qualcomm
똑바로	hétéro
캘거리	calgary
친절한	aimable
로테르담	rotterdam
빌드	bâtir
빌드	construire
빌드	bâtit
빌드	construit
학술지	revue
학술지	journal
실리콘	silicon
실리콘	silicone
실리콘	silicium
실리콘	silicone
생선	poissons
생선	pêcher
생선	poisson
히로사키	hirosaki
레프	lev
히로코	hiroko
리에주	liège
브루나이	brunei
쌓인	empilés
움직여	déménagement
움직여	bouger
움직여	déménager
움직여	déplacer
냉방	refroidissement
급속한	rapide
급속한	rapid
급속한	rapides
정화	purifier
정화	purifie
정화	épuration
정화	purification
나카타	nakata
원고	plaignante
원고	plaignant
원고	demandeur
원고	demandeurs
원고	plaignants
크리스티	christie
해외로	outremer
해외로	etranger
유리코	yuriko
엑스포	expo
엑스포	expos
컴파일러	compilation
컴파일러	recueil
컴파일러	compilateur
컴파일러	compilateurs
컴파일러	compilateur
앙상블	ensemble
시체	organisme
시체	carrosserie
시체	organe
시체	corps
시체	cadavres
시체	cadavre
시체	cadavre
거미	spider
