ツチ	tutsi
オラクル	เทพพยากรณ์
モデム	โมเด็ม
モデム	โมเด็ม
ロマーニャ	romagna
アンダンテ	andante
ペール	ซีด
パーダーボルン	paderborn
エスパニョール	espanyol
皮革	หนัง
セイント	นักบุญ
セイント	เซนต์
ニッキー	nicky
ニッキー	nikki
スケルトン	โครง
リリアン	lilian
アレーナ	สังเวียน
ハンカチ	ผ้าเช็ดหน้า
スチーム	steam
アントワープ	antwerp
曲率	โค้ง
マッシュ	บด
マッシュ	แมช
短剣	กริช
立方体	ลูกบาศก์
アンバー	อำพัน
ビバ	viva
ミシュラン	michelin
ボット	บ็อต
ボット	bot
ソフトウエア	ซอฟต์แวร์
ソフトウエア	ซอฟแวร์
ソフトウエア	ซอฟท์แวร์
タングステン	ทังสเตน
ジンジャー	ขิง
玄海	genkai
汚い	สกปรก
汚い	สกปรก
増額	เพิ่ม
三十五	xxxv
論証	อาร์กิวเมนต์
陰茎	จู๋
陰茎	องคชาติ
思いやり	ห่วงใย
コアラ	koala
マーリン	เมอร์ลิน
流産	แท้ง
流産	ทำแท้ง
流産	แท้ง
慈悲	เมตตา
慈悲	ปราณี
沸騰	ต้ม
沸騰	เดือด
バリ島	บาหลี
ひよこ	เจี๊ยบ
ひよこ	ลูกไก่
大連市	เหลียน
浅瀬	ตื้นๆ
浅瀬	ตื้น
リフレッシュ	สดชื่น
話し合う	อภิปราย
ベリーズ	เบลิซ
ビーフ	เนื้อ
陪審員	ลูกขุน
陪審員	ลูกขุน
恵み	พร
恵み	อวยพร
隠れ家	รัง
ティアラ	เกล้า
メフメト	mehmet
メフメト	mehmed
音素	phoneme
ココア	โกโก้
奇抜	sassy
棚田	ระเบียง
セラピー	บำบัด
メンバ	member
メンバ	สมาชิก
メンバ	สมาชิก
アクト	ทำท่า
浴室	ห้องน้ำ
ディーノ	dino
サトウキビ	อ้อย
ジャパニーズ	ญี่ปุ่น
チャ	ชะ
チャ	ชา
口蓋	โหว่
中間子	meson
ヴァーツラフ	václav
コカイン	โคเคน
キャンドル	เทียน
キャンドル	เทียนไข
キャンドル	เทียน
タトゥー	tattoo
慰め	สบาย
慰め	สบายใจ
征夷大将軍	โชกุน
ダビデ	เดวิด
ダビデ	david
ダック	เป็ด
競売	ประมูล
マールブルク	marburg
イノシシ	หมูป่า
ウランバートル	ulaanbaatar
セインツ	นักบุญ
コケ	moss
無謀	สะเพร่า
無謀	มุทะลุ
クーポン	เสนอ
クーポン	คูปอง
ローウェル	โลเวลล์
パラナ	paraná
クオリティ	คุณภาพ
団塊	nodule
ドワーフ	แคระ
アビス	เหว
イシュトヴァーン	istván
阿木	agi
簒奪	usurpation
雑談	แชต
雑談	แชท
霊魂	วิญญาณ
霊魂	วิญญาณ
ユング	จอง
ユング	จุง
賭ける	พนัน
エントリ	รายการ
ロザリオ	ประคำ
玉座	บัลลังก์
マークス	เครื่องหมาย
シャクルトン	shackleton
老化	ริ้ว
ジュラ紀	jurassic
リデル	liddell
かむ	เคี้ยว
タイソン	tyson
ファイ	พี
お守り	เครื่องราง
お守り	เครื่องราง
一貫性	สอดคล้อง
天誅	tenchu
プレハブ	สำเร็จรูป
スポンジ	ฟองน้ำ
フォルダ	โฟลเดอร์
フォルダ	โฟลเดอร์
ブレイザー	blazer
侮蔑	ดูถูก
従姉妹	ญาติ
シンドバッド	sinbad
蜂蜜	ที่รัก
ムーブ	เลื่อน
ムーブ	ขยับ
ムーブ	ย้าย
カラム	คอลัมน์
カラム	คอลัมน์
ニンニク	กระเทียม
辛口	แห้ง
辛口	แล้ง
辛口	แห้งๆ
ムーラン	moulin
エコロジー	นิเวศวิทยา
モンツァ	monza
エスケープ	หนี
お祝い	ฉลอง
お祝い	ฉลอง
好機	โอกาส
サラン	ศรัณย์
サラン	ศรัณ
スノー	หิมะ
職権	อำนาจ
対位法	counterpoint
フロスト	ฟรอสท์
エクストラ	พิเศษ
ファイティング	สู้
デール	dale
デール	เดล
デール	ดล
伊福部	ifukube
イスタンブール	อิสตันบูล
ヒツジ	แกะ
ペンダント	จี้
カウフマン	kauffman
ハンザ	hansa
あご	กราม
あご	ราม
あご	ชิน
あご	คาง
貴久	takahisa
チュニス	ตูนิส
シャンパン	ฟอง
シャンパン	แชมเปญ
友和	tomokazu
カル	คาล
カル	คา
イマジン	จินตนาการ
ことわざ	สุภาษิต
ダッチ	ดัตช์
フォーエバー	forever
かっこ	วงเล็บ
ハサミ	ฉุบ
ハサミ	กรรไกร
シャネル	chanel
バルコニー	ระเบียง
バルコニー	ระเบียง
デイル	dale
デイル	เดล
デイル	ดล
ディスカウント	ส่วนลด
ディスカウント	ส่วนลด
義行	yoshiyuki
アンブレラ	ร่ม
摩天楼	ตึกระฟ้า
おなじみ	คุ้นๆ
おなじみ	คุ้น
入り江	ปากน้ำ
シレジア	silesia
とんぼ	แมลงปอ
トリップ	ทริป
矩形	สี่เหลี่ยม
バーベキュー	บาร์บีคิว
バーベキュー	บาร์บีคิว
バーベキュー	bbq
バーベキュー	บาร์บีคิว
公訴	โจทก์
照会	สอบถาม
ミュンスター	münster
祝賀会	ฉลอง
ヤフー	yahoo
ハバロフスク	khabarovsk
新屋	araya
カシミール	แคชเมียร์
愚か	โง่
祭事	เทศกาล
祭事	เทศกาล
布団	ฟูก
サソリ	แมงป่อง
サソリ	แมงป่อง
アカデミア	accademia
真鍮	เหลือง
胡桃	เกาลัด
スタディオ	stadio
エカテリーナ	ekaterina
イリュージョン	ภาพลวงตา
ボーイフレンド	แฟน
チョップ	สับ
チョップ	สับ
フィラー	filler
退役軍人	ทหารผ่านศึก
スライム	slime
スライム	เมือก
休む	พัก
ラベンダー	ลาเวนเดอร์
ペンタックス	pentax
スピカ	spica
マイソール	mysore
封筒	ซอง
国安	guoan
ブレザー	blazer
緊縛	พันธนาการ
買物	ชอปปิ้ง
スレイマン	suleiman
あゆむ	ayumu
クー	กู
エルナンデス	hernández
マーシー	เมตตา
マーシー	ปราณี
半透明	โปร่งแสง
アンティーク	โบราณ
ハッキング	แฮ็ก
ハッキング	แฮ็ค
ハッキング	แฮ็ก
プロムナード	esplanade
曲がる	เลี้ยว
曲がる	หัน
曲がる	พลิก
曲がる	เปิด
台南市	tainan
ごちそう	ฉลอง
スティング	sting
スティング	ต่อย
単調	monotone
はしご	บันได
リシュリュー	richelieu
梯子	บันได
ウィスキー	วิสกี้
ウィスキー	วิสกี้
ドロテア	dorothea
絨毯	พรม
パワーズ	พลัง
母乳	อก
出稼ぎ	ต่างด้าว
乞食	ขอทาน
セス	เซ็ท
セス	เซธ
セス	เซท
セス	เซ็ธ
シベリウス	sibelius
歯茎	เหงือก
歯茎	ฝรั่ง
一生懸命	แรง
一生懸命	โหม
一生懸命	ลำบาก
一生懸命	หนัก
一生懸命	ฮาร์ด
一生懸命	ยาก
トラフィック	จราจร
こぶし	หมัด
こぶし	กำปั้น
こぶし	ปั้น
人道的	มนุษยธรรม
アカデミック	วิชาการ
瑕疵	บกพร่อง
マッサ	massa
サチ	sachi
木炭	ถ่าน
ローデシア	rhodesian
骨盤	เชิงกราน
マクミラン	mcmillan
バズ	บัซ
フンボルト	humboldt
エティエンヌ	etienne
アデル	อะเดล
アデル	อเดล
チャプター	บท
チャプター	บท
クラック	ร่อง
クラック	ร้าว
ロナウド	ronaldo
ルツェルン	lucerne
トランザクション	ธุรกรรม
トランザクション	ธุรกรรม
アーリー	ต้น
なぞなぞ	ปริศนา
仮釈放	ทัณฑ์บน
ビンゴ	bingo
ビンゴ	บิงโก
ゴーグル	แว่นตา
リラックス	relax
直観	สัญชาตญาณ
ホアキン	joaquín
クルップ	krupp
三軒茶屋	กันยายน
ゴラン	goran
リコ	rico
神託	เทพพยากรณ์
スナップ	snap
ヨーテボリ	gothenburg
漬物	ดอง
シンディ	cindy
ボーダフォン	vodafone
粘液	เมือก
カワイイ	kawaii
手芸	หัตถกรรม
おじいちゃん	ปู่
スリット	ปาด
サドル	อาน
ネイト	เนต
ネイト	เน็ต
ネイト	เน็ท
ネイト	เนท
パウルス	paulus
刻む	แล่
巻物	เลื่อน
ガーラ	กาลา
分娩	แรงงาน
分娩	labour
分娩	แรงงาน
無礼	หยาบ
風化	weathering
ウケ	uke
納屋	ยุ้ง
納屋	โรงนา
さび	sabi
バニー	กระต่าย
バニー	บัน
リファレンス	อ้างอิง
リファレンス	อ้างอิง
スワップ	สลับ
ブルッヘ	brugge
めっき	ชุบ
ヴォルフスブルク	wolfsburg
アセンブリ	สมัชชา
ベレッタ	beretta
モーゼス	โมเสส
ミケーレ	michele
ソール	โซล
ソール	ซอล
錠剤	แท็บเล็ต
錠剤	เม็ด
モルディブ	มัลดีฟ
包む	ห่อ
マンゴー	มะม่วง
マンゴー	mango
マンゴー	มะม่วง
尿素	urea
焼成	ขนมอบ
守衛	ภารโรง
エレジー	elegy
ポンチョ	ปัน
格付	คะแนน
プロテクト	ป้องกัน
プロテクト	ปกป้อง
リベロ	libero
ゴージャス	งดงาม
ゴージャス	งามๆ
クリシュナ	กฤษณะ
金物	ฮาร์ดแวร์
マグネット	magnet
象牙	งาช้าง
大騒ぎ	เอะอะ
ブランカ	blanca
ハラスメント	ก่อกวน
ミュウ	มิว
盲人	บอด
盲人	ตาบอด
ストッパー	stopper
グリフォン	griffon
台中市	ไถ
台中市	taichung
試す	ลอง
レンダリング	render
ダッジ	dodge
ボディーガード	bodyguard
パラメーター	พารามิเตอร์
可読性	readability
十一月	พฤศจิกายน
下書き	ร่าง
下書き	ร่าง
掘る	ขุด
掘る	ขุด
スライス	เฉือน
スライス	เฉือน
アンクル	ลุง
グーフィー	เพลิน
錯覚	ภาพลวงตา
ヒメネス	jiménez
ファンシー	หรู
ファンシー	แฟนซี
仏教徒	พุทธ
仏教徒	พระพุทธ
仏教徒	พุทธ
尼僧	นูน
サーンス	saëns
嘲笑	เหน็บแนม
アストラ	astra
輝石	olivine
手錠	กุญแจมือ
空腹	หิว
治す	หาย
治す	รักษา
治す	เยียวยา
ダール	ดาล
トーゴ	โตโก
ホイッスル	หวีด
ホイッスル	นกหวีด
ホイッスル	ผิวปาก
勤勉	ขยัน
勤勉	ขยัน
ホットライン	hotline
沼地	บึง
コラーゲン	collagen
めがね	แว่น
めがね	แว่นตา
めがね	แก้ว
エミュレータ	จำลอง
リューネブルク	lüneburg
唯物論	วัตถุนิยม
ローション	โลชั่น
ダブ	พากย์
アントニウス	antonius
異教徒	นอกรีต
疼痛	ปวด
モンタギュー	montagu
テンダー	นุ่ม
合成樹脂	พลาสติก
プリンツ	prinz
余暇	leisure
余暇	สันทนาการ
摩耗	สวม
摩耗	ใส่
ボディガード	bodyguard
品物	รายการ
コモンウェルス	เครือจักรภพ
ブローカー	โบรกเกอร์
ブローカー	broker
セリーヌ	céline
福利	ประโยชน์
いす	เก้าอี้
アーミー	ทัพ
アーミー	กองทัพ
スプリット	แยก
スプリット	แบ่ง
テイト	เทท
テイト	เทต
テイト	เท็ท
テイト	เท็ต
ロッキング	โยก
無音	เงียบ
バケツ	ถัง
バケツ	ถัง
フール	โง่
フール	หลอก
バケット	ถัง
おかあさん	แม่
セミノール	seminole
消しゴム	ยางลบ
スウィング	แกว่ง
スウィング	สวิง
スウィング	เหวี่ยง
アメデーオ	amedeo
おじいさん	ปู่
オルデンブルク	oldenburg
メチオニン	methionine
絞首刑	ห้อย
絞首刑	แขวน
絞首刑	เที่ยว
モンスーン	มรสุม
ロルフ	rolfe
引っ張る	ดึง
オシャレ	แฟชั่น
令状	หมาย
精液	อสุจิ
検死	ชันสูตร
暗記	จำ
暗記	ท่องจำ
ヴィチェンツァ	vicenza
バスケス	vazquez
醜い	ขี้เหร่
温かい	อบอุ่น
温かい	อุ่น
ベイダー	vader
旅券	หนังสือเดินทาง
バイオレット	ไวโอเล็ต
フィックス	แก้
フィックス	แก้ไข
フィックス	ซ่อม
ゆきえ	yukie
ミミズ	หนอน
テクスチャ	texture
レッジョ	reggio
角膜	กระจกตา
賢い	ฉลาด
賢い	ฉลาด
背広	สูท
デュラント	durant
空欄	ว่าง
ドメニコ	domenico
海藻	สาหร่าย
パドック	คอก
ウェス	เวสส
ウェス	เวส
アロイス	alois
卑弥呼	himiko
リネン	ลินิน
アマースト	แอม
筆跡	ลายมือ
ディベート	โต้วาที
感嘆	ชื่นชม
苦い	ขื่นขม
苦い	ขม
苦い	ขมขื่น
ロゴス	โลโก้
マンスール	mansour
爽やか	สดชื่น
乗算	คูณ
乗算	ทวีคูณ
乗算	คูณ
トライアンフ	triumph
庭師	ชาวสวน
庭師	คนสวน
ヴロツワフ	wrocław
ヴロツワフ	breslau
インタプリタ	ล่าม
ムーディ	หงุดหงิด
近況	สถานะ
近況	สถานภาพ
近況	สถานะ
溶ける	ละลาย
溶ける	ละลาย
マロリー	mallory
教本	บรรยาย
イルクーツク	irkutsk
シャチ	ปลาวาฬ
トリル	trill
フィラメント	ใย
メートル法	เมตริก
エンペラー	จักรพรรดิ
帳簿	หนังสือ
ミディアム	กลาง
クラスタ	คลัสเตอร์
ビング	บิง
ビング	bing
日課	กิจวัตร
アサド	ซัด
ファウンデーション	รากฐาน
ファウンデーション	foundation
ファウンデーション	มูลนิธิ
サレルノ	salerno
おとぎ話	เทพนิยาย
不老不死	อมตะ
乳酸菌	lactobacillus
寂しい	เหงา
学寮	หอพัก
クライミング	ปีน
お腹	ท้อง
お腹	กระเพาะ
品格	ศักดิ์ศรี
グー	กู
ヒーリング	รักษา
サンボ	sambo
股関節	hip
股関節	ฮิป
股関節	ฮิบ
股関節	สะโพก
股関節	สะโพก
寒天	agar
旱魃	แล้ง
灯油	ก๊าด
アンスバッハ	ansbach
澤井	sawai
流罪	เนรเทศ
ホルト	โฮลท์
ホルト	โฮล์ท
ホルト	โฮลต์
セオリー	ทฤษฎี
コージー	อบอุ่น
コージー	สบาย
おばあさん	ยาย
シナモン	อบเชย
アマル	amar
麦芽	มอลต์
ダガー	กริช
カボチャ	ฟักทอง
バナー	แบนเนอร์
バナー	แบนเนอร์
バナー	ป้าย
バナー	เครื่องหมาย
放蕩	มึนเมา
メッセ	messe
ソウザ	souza
僧院	วัด
僧院	อาราม
ウォルポール	walpole
荷車	เกวียน
荷車	ตะกร้า
荷車	เกวียน
仏陀	พระพุทธเจ้า
見どころ	ไฮไลท์
見どころ	ไฮไลต์
アーリア	เรีย
ルータ	เตอร์
ヴィジョン	นิมิตร
スムース	เรียบ
タンデム	tandem
震え	สั่น
スコーピオン	แมงป่อง
神経質	ประสาท
眉毛	คิ้ว
眉毛	คิ้ว
つづり	สะกด
クラスノダール	krasnodar
漆喰	ปูน
