ধমনী	arteries
বরিস	boris
হেসে	hesse
মমি	mummy
সারিকা	sarika
দিমিত্রি	dmitry
মরা	chết
পরিচর্যা	nursing
পরিচর্যা	care
বর্মা	varma
ঝাঁপ	nhảy
নিপীড়ন	persecution
ভোপাল	bhopal
থিসিস	thesis
ইকো	eco
ইকো	echo
কংক্রিট	tông
কাঞ্জি	kanji
বপন	gieo
শখের	amateur
ক্লদ	claude
মিশা	misha
সুইট	sweet
সুইট	ngọt
গোলাগুলি	bắn
দোস্ত	khứa
দোস্ত	dude
দোস্ত	kiss
দোস্ত	dost
ড্রসোফিলা	drosophila
বেরি	berry
আজকে	nay
রক্তপাত	ll
লুপ	lặp
লুপ	loop
চট্রগ্রাম	chittagong
গাউস	gauss
ওমেগা	omega
ফুয়াদ	fouad
ফুয়াদ	fuad
সাউন্ডট্র্যাক	soundtrack
শেফার্ড	shepherd
শহিদ	shahid
জানত	tú
অমর্ত্য	amartya
গ্যাব্রিয়েল	gabriel
ধোঁয়া	hút
ধোঁয়া	khói
পুষ্প	blossom
দারিদ্র্য	nghèo
সংশয়	reo
কোণায়	góc
অযৌন	asexual
খাদিজা	khadija
সেকশন	phần
ট্রেভর	trevor
অংশগ্রহনের	tooltip
বিলম্ব	hoãn
বিলম্ব	delay
ক্লেয়ার	claire
লিটন	lytton
পড়ছে	falling
পড়ছে	rơi
মোনাকো	khảm
মোনাকো	monaco
সোনিয়া	sonia
সস	ngao
সস	sốt
হ্যাট	mũ
হ্যাট	xịt
হ্যাট	nón
আবদেল	abdel
করিডোর	lang
ওনার	her
ওনার	cổ
মাখন	bơ
বিলাসপুর	bilaspur
রু	rue
সোডা	soda
মুসলমানের	muslim
পেঁচা	cú
পেঁচা	owl
ময়দা	bột
ময়দা	maida
শুয়ে	lay
শুয়ে	nằm
শুয়ে	xạo
হিলারি	hillary
হিলারি	hilary
হিলারি	hilary
আটলান্টা	atlanta
কিউব	cube
কিউব	rubik
পুকুরে	ao
অন্তর্বাস	lót
অন্তর্বাস	underwear
নির্গমন	emissions
রসুল	rasul
চন্দ	chanda
সামুরাই	samurai
মগ	mog
মগ	mug
ভদ্র	decent
ইভ	eva
ইভ	eve
অনির্দিষ্ট	any
জেসি	jessie
জেসি	jesse
লুডভিগ	ludwig
টিমোথি	timothy
আহাদ	ahad
জোসে	jose
দুল	pendant
কর্নেলিয়াস	cornelius
উমা	uma
এলটন	alton
ডেভি	davie
ডেভি	davey
নিশ্চিতভাবে	kĩ
জারা	zara
আবিদ	abid
দীপক	deepak
হাওয়াইয়ান	hawai
হাওয়াইয়ান	hawaii
রেন	wren
রেন	ren
রেন	nhâm
ইয়াসিন	yasin
পিচ	pitch
কপাল	trán
কেও	cũng
কেও	quá
কেও	khoáng
কেও	too
ব্যাগ	túi
ব্যাগ	bag
ব্যাগ	pose
ব্যাগ	túi
মরে	die
মরে	chết
মুরগি	gà
মুরগি	gà
অবশিষ্টাংশ	tàn
রোমা	roma
ছড়ানো	duỗi
হিচকক	hitchcock
হস্তশিল্প	crafting
অ্যালিস	alice
কাশ্মীরে	kashmir
যন্ত্রণা	đau
এন্টি	anti
সিরামিক	gốm
সিরামিক	ceramic
হন্ডুরাস	honduras
সাইফ	saif
ডুমুর	ficus
সোফি	sophie
মালহোত্রা	malhotra
প্রিমেরা	primera
তালিবান	taliban
নিম	nim
শকুন	vulture
কীটপতঙ্গ	pest
কাক	quạ
কাক	corvus
কাক	quạ
কাক	crows
দরিয়া	daria
অ্যানালগ	analogue
অ্যানালগ	analog
অয়েল	nhớt
অয়েল	dầu
কলিন্স	collins
কারিনা	carina
কারিনা	karina
ফ্রেজার	fraser
খুলি	skull
খুলি	sọ
খুলি	quang
বর্ণালী	spectrum
পাঙ্ক	punk
সোয়াহিলি	swahili
বারমুডা	bermuda
রায়গড়	raigarh
চেস্টার	chester
পুরা	pura
বেল্ট	đai
আসলাম	aslam
চুম্বক	magnet
লস্কর	lashkar
লস্কর	lasker
রুজভেল্ট	roosevelt
মুবারক	mubarak
সুত্ত	sutta
মেহেদী	mehdi
ফেরেশতা	angels
মূর্ধন্য	retroflex
কোয়া	koa
ডার	der
আজিম	azim
সেশন	mùa
সেশন	season
সেশন	phiên
সেশন	phiên
যোগী	yogi
কাশি	ho
কাশি	khạc
কাশি	host
কাশি	ho
তাইপে	taipei
কই	koi
তাং	taung
শা	sha
গার্সিয়া	garcia
গার্সিয়া	garcia
গার্সিয়া	garcía
কারাগারের	giam
কারাগারের	tù
হ্যালো	alo
হ্যালো	hello
হাইতি	haiti
অ্যান্টি	anti
ফার্নান্দো	fernando
লিবার্টি	liberty
নিশান	cờ
রলিন্স	rollins
রলিন্স	rollins
রলিন্স	rawlins
ইসলামপুর	islampur
ঐকমত্য	consensus
ক্লোরিন	clo
ক্লোরিন	chlorine
আসিয়ান	asean
হং	hong
হং	hồng
হীরক	zô
হীরক	diamond
মুজাফফর	muzaffar
রম	rom
হার্ডি	hardy
পুনর্বাসন	rehab
টলেমি	ptolemaios
টলেমি	ptolemy
নীরব	silent
নীরব	thoả
নীরব	câm
নীরব	tắt
ট্রাঙ্ক	cốp
ট্রাঙ্ক	rương
কর্মশালা	xưởng
স্ট্যাম্প	stamp
স্ট্যাম্প	tem
ডার্বি	darby
ডার্বি	derby
বার্টন	burton
জাম্বিয়া	gambia
জাম্বিয়া	zambia
চৌ	choi
চৌ	chou
বেলে	belle
মন্টি	monte
মন্টি	monty
আর্মস্ট্রং	armstrong
অট্টালিকা	mansion
সিড	sid
পাপড়ি	petals
তেও	teo
লয়	finale
জিওফ	geoff
প্রত্ন	proto
সালিম	saleem
সালিম	salim
নারীবাদ	feminism
বিঘ্ন	ngắt
হরতাল	strike
হরতাল	đâm
হরতাল	slr
হ্যামিলটন	hamilton
নিকিতা	nikita
জেনি	jenni
জেনি	jenny
শিকারি	hunter
লোপ	mát
ঝগড়া	cãi
আউয়াল	awal
রুমি	rumi
স্থিতিশীলতা	stabilization
মিনা	mina
কটক	cuttack
মার্কোস	marcos
উচিৎ	nên
রিয়ার	rear
আদনান	adnan
সালভাদোর	salvador
ন্যাটো	nato
ফিল্ডার	fielder
বিজয়া	vijaya
লিন্ডসে	lindsey
লিন্ডসে	lindsay
কবুতর	dua
কবুতর	pigeon
কবুতর	patagioenas
তাজা	tươi
কিলো	kilo
ভক্তরা	fans
ভক্তরা	fan
মাছি	fly
মাছি	ruồi
মাছি	bay
স্ট্রিপ	strip
পেরি	perry
চাকার	wheeler
ফারাহ	farah
ভিজে	ngâm
ভিজে	trơn
ভিজে	vat
ভিজে	ướt
শিমলা	shimla
ম্যাকডোনাল্ড	mcdonald
ম্যাকডোনাল্ড	mcdonalds
গিরি	giri
পৃথ্বী	prithvi
জাং	jang
জাং	jung
জুতো	giày
জুতো	giầy
জুতো	móng
জুতো	giày
পেন্সিল	chì
আন্তঃ	inter
চ্যাট	chát
চ্যাট	chat
গার্ডিয়ান	guardian
ব্যানার	banner
এমএসসি	msc
পবিত্রতা	holiness
নওয়াজ	nawaz
চোয়াল	hàm
নির্বাণ	nirvana
স্টোকস	stokes
অঞ্জলি	anjali
ওয়াজ	nawaz
কার্টিস	curtis
ডিএসসি	dsc
প্রেমিকা	girlfriend
প্রেমিকা	bồ
প্রেমিকা	lover
গুজ	ngỗng
গুজ	goose
রেডিয়াম	radium
এহসান	ehsan
রসুন	tỏi
বেলিজ	be
বেলিজ	belize
গ্রিড	lưới
বিজেপির	bjp
ডিরেক্টরি	directory
দ্বারকা	dwarka
ওসাকা	osaka
দীপিকা	deepika
ইথানল	ethanol
অবয়ব	nhê
কামড়ে	bit
কামড়ে	đớp
কামড়ে	táp
কামড়ে	cắn
উল্কা	meteor
বেলুচিস্তান	balochistan
হাশেম	hashem
হায়	haye
লিংকন	lincoln
ক্লান্ত	trau
ক্লান্ত	mệt
টিফিন	tiffin
পট	nồi
পট	pot
ভয়েজার	voyager
গেলো	khi
কিউবান	cuba
সিঙ্গেল	single
সিঙ্গেল	đơn
গুস্তাভ	gustav
ভাঙ্গার	phá
ভাঙ্গার	breaking
ডজন	chục
ডজন	tá
মিথানল	methanol
পাতিয়ালা	patiala
বঙ্গে	bengal
ব্রুক	brooke
বাসে	bus
পরীক্ষিত	xua
ইউরেনাস	uranus
জুডোকা	judoka
লিডস	leeds
চিন্তিত	lo
মথ	moth
বাজি	cược
বাজি	cược
সিম্পসন	simpsons
সিম্পসন	simpsons
সিম্পসন	simpson
হোল্ডিং	lay
বুদ্ধির	pet
রেনে	renee
রেনে	rene
রেনে	rené
রেনে	rene
স্টুডেন্ট	bmi
শকুন্তলা	shakuntala
গিলক্রিস্ট	gilchrist
নব্বই	ninety
কার্বি	kirby
জোসেপ	josep
মোম	sáp
মোম	wax
যুদ্ধক্ষেত্র	battlefield
যথেষ্ঠ	tô
যথেষ্ঠ	soo
তৃষ্ণা	khát
জোশ	josh
মানবতাবাদ	humanism
ভগ্নাংশ	hướng
ভগ্নাংশ	float
ভগ্নাংশ	nổi
নিরক্ষীয়	equatorial
আদা	ginger
আদা	gừng
হিউ	sắc
হিউ	huế
হিউ	hugh
পারভীন	parvin
সিগমা	sigma
লাও	layout
অবিশ্বাস্য	unbelievable
তুষারপাত	tuyết
তুষারপাত	snow
আতঙ্ক	panic
সুলতানি	sultani
ইলা	ilà
ইলা	ila
বালু	bi
বালু	cát
মঈন	moin
নৈপুণ্য	craft
কিল	kiel
মাইলস	miles
মাইলস	phít
মাইলস	km
মাইলস	dặm
ক্রমিক	serial
ফিতর	fitr
কার্পেট	chăn
