augusta	아우구스타
belegering	포위전
sullivan	설리번
crystal	크리스털
crystal	크리스탈
betrouwbaar	신뢰
betrouwbaar	신뢰성
betrouwbaar	안정적
nauwkeurig	정확한
nauwkeurig	정확도
orléans	올리언스
kruistocht	십자군
kruistocht	십자군
moselle	모젤
passeren	지나가다
passeren	지나가다가
passeren	지나가
passeren	지나가는
passeren	패스
drive	드라이브
malcolm	맬컴
malcolm	말콤
kapitaal	자본
kapitaal	수도
kapitaal	캐피탈
kapitaal	자본주의
kapitaal	캐피털
straatsburg	스트라스부르
maatregel	측정
maatregel	측도
kast	옷장
mijnen	광산
mijnen	지뢰
eed	맹세
touw	로프
touw	밧줄
touw	줄넘기
joey	조이
limited	한정
limited	제한된
decreet	법령
snuit	주둥이
url	url
bevestigen	확인하기
bevestigen	확인
braun	브라운
isabelle	이사벨
isabelle	이자벨
brandon	브랜던
trinidad	트리니다드
mathieu	마티외
crazy	미쳐
crazy	미친
imago	그림
imago	이미지
kinshasa	킨샤사
matthias	마티아스
grotten	동굴
afval	낭비
afval	폐기물
afval	쓰레기통
afval	휴지통
afval	쓰레기
afval	쓰레기
afval	폐기물
eagles	eagles
eagles	이글스
rechters	판사
trots	자존심
trots	프라이드
trots	자랑
aankoop	구매
aankoop	구입
aankoop	구매하기
aankoop	구매
aankoop	습득
aankoop	획득
aankoop	인수
aankoop	수집
aankoop	구매
marsh	습지
marsh	마시
sao	sao
toegepaste	응용
alba	알바
jackie	재키
wii	wii
verwondingen	부상
gladde	부드럽게
browser	브라우저
vuurtoren	등대
dierentuin	동물원
geluiden	소리
geluiden	소음
burton	버튼
aut	aut
hero	히어로
hero	영웅
meesters	마스터즈
meesters	마스터스
verwerven	습득
verwerven	확보
verwerven	획득
saxofoon	삭스
saxofoon	색소폰
vietnamese	베트남어
vietnamese	베트남
vietnamese	베트남인
goal	목표
familienaam	성씨
spijt	후회
spijt	후회
kristallen	크리스털
kristallen	크리스탈
kristallen	크리스탈
alliance	동맹
alliance	얼라이언스
genezen	낫다
genezen	치료
genezen	힐링
apparaten	가전제품
apparaten	기기
apparaten	디바이스
apparaten	장치
besliste	결심
elektronica	일렉트로닉스
elektronica	전자제품
elektronica	전자공학
hel	지옥
content	콘텐츠
content	컨텐츠
content	내용
gebed	기도
gebed	기도
madison	매디슨
vensters	윈도우
maag	위장
gezondheidszorg	의료
hagedissen	도마뱀과
hagedissen	도마뱀
hagedissen	도마뱀과
hagedissen	도마뱀
haïti	아이티
alinea	문단
alinea	단락
stijlen	스타일스
stijlen	스타일
schelp	껍질
lutherse	루터교
vitamine	비타민
freddy	프레디
routes	경로
routes	노선
sally	샐리
jake	제이크
inname	섭취
vereiste	요구사항
vereiste	필요함
vereiste	필수
jungle	정글
vernield	파괴됨
ist	ist
naoorlogse	전후
onderwijzer	선생님
onderwijzer	교사
onderwijzer	스승
third	세번째
third	셋째
oosterse	동양
jeremy	제레미
hobby	취미
toneelstukken	연극
toneelstukken	연주
toneelstukken	재생
qatar	카타르
geïntegreerd	통합
nationalistische	국민주의
beweringen	주장
beweringen	발급
rivaal	라이벌
branden	굽기
branden	화상
branden	불타는
crash	추락사고
crash	추락
crash	충돌
trilogie	삼부작
winnares	승리자
winnares	우승자
winnares	winner
winnares	승자
trappen	계단
rijkdom	재물
rijkdom	재산
dmitri	드미트리
punk	펑크
plakken	붙이기
plakken	붙여넣기
schoten	촬영
schoten	총격
schoten	사격
schoten	총격
jodendom	유대교
gematigde	적당히
schaken	체스
koppeling	클러치
koppeling	링크
dynamo	다이너모
komiek	만화
komiek	만화가
komiek	코믹
komiek	희극인
komiek	코미디언
komiek	희극
weergeven	표시
weergeven	표시하기
weergeven	디스플레이
weergeven	표시
weergeven	보이기
weergeven	공연
rijders	운전자
rijders	드라이버
rijders	운전사
rijders	라이더스
rijders	라이더
conventies	컨벤션
broeders	형제단
broeders	형제
broeders	브라더스
broeders	형제들
vierkant	제곱
vierkant	스퀘어
vierkant	광장
vierkant	사각형
vierkant	정사각형
impuls	충동
impuls	임펄스
genieten	즐길
genieten	즐겨라
genieten	즐기기
close	닫기
close	닫습니다
close	닫아
mercury	수성은
mercury	수성
mercury	머큐리
rusten	휴식
rusten	쉬어
rusten	휴식
volkswagen	폭스바겐
propaganda	선전
bon	쿠폰
crawford	크로포드
crawford	크로퍼드
dominante	지배
dominante	지배자
nac	nac
reims	랭스
fictief	허구
pool	수영장
torres	토레스
archeologisch	고고학
iraanse	이란
iraanse	이란어군
iraanse	이란
bella	벨라
veer	깃털
bros	브라더스
vrijwillige	자발적
uitgezonderd	제외
veren	스프링
veren	스프링스
veren	깃털
veren	깃털
foster	포스터
shell	껍질
terugtrekken	인출
terugtrekken	후퇴
terugtrekken	철수
terugtrekken	금단
uniform	유니폼
uniform	유니폼
eve	이브
eve	에이브
mondiale	글로벌
mondiale	전역
commander	지휘관
commander	사령관
commander	커맨더
kosovo	코소보
cox	콕스
promoten	홍보
promoten	홍보
promoten	프로모션
promoten	승진
promoten	홍보
promoten	홍보하기
promoten	홍보
promoten	홍보하기
vfb	vfb
sloop	슬루프
sloop	폭파
cijfer	숫자
alejandro	알레한드로
eagle	독수리
eagle	이글
winston	윈스턴
explosie	폭발
far	멀다
hoef	발굽
lionel	라이오넬
lionel	리오넬
installaties	설치
ida	ida
marokkaanse	모로코
marokkaanse	모로코
verplichte	필수
carnaval	사육제
carnaval	카니발
veldslagen	전투
wijsheid	지혜
noordoost	북동
noordoost	북동부
satelliet	인공위성
satelliet	위성
ruïnes	폐허
vegetatie	식물
radicaal	급진주의
geologie	지질학
keizers	황제
cleveland	클리블랜드
deelstaten	랜더
barnes	반즈
vriendschappelijk	친근한
belofte	약속
beheerder	운영자
beheerder	관리자
beheerder	운영자
beheerder	관리자
joel	조엘
zimbabwe	짐바브웨
kijker	시청자
kijker	뷰어
noah	노아
uitgang	종료
uitgang	출구
uitgang	나가기
uitgang	exit
uitgang	끝내기
heroes	영웅
heroes	히어로
heroes	히어로즈
gegoten	깁스
gegoten	캐스트
gegoten	캐스팅
zacht	부드러워
zacht	청량
zacht	부드럽게
zacht	부드러운
zacht	소프트
weimar	바이마르
shadow	섀도우
shadow	섀도
shadow	그림자
ruiter	라이더
viering	축하
accounts	계좌
accounts	계정
