del	del
che	welke
che	dat
per	voor
con	met
una	one
una	één
una	een
una	eén
non	niet
dell	dell
come	hoe
come	zoals
come	like
sono	zijn
dal	dal
dal	van
dal	uit
dal	vanaf
più	more
più	meer
anche	zelfs
anche	ook
team	team
due	twee
due	two
tra	tussen
era	was
era	tijdperk
era	era
dalla	van
dalla	uit
dalla	vanaf
suo	zijn
dopo	na
dopo	after
dopo	later
dopo	straks
prima	voordat
prima	vóór
prima	eerste
prima	eerst
parte	deel
parte	gedeelte
stato	status
stato	staat
stato	state
altri	overige
altri	andere
altri	ander
altri	overig
altri	overige
altri	andere
altri	overigen
altri	anderen
bar	bar
cest	cest
anni	anni
anni	jaar
anni	jaren
italiano	italiaanse
italiano	italiaan
italiano	italiaans
questo	dit
questo	deze
esterni	extern
esterni	uitwendig
esterni	externe
esterni	buitenkant
collegamenti	connecties
collegamenti	aansluitingen
collegamenti	verbindingen
collegamenti	links
nell	nell
serie	serie
serie	reeks
serie	reeksen
serie	series
viene	komt
cet	cet
questa	dit
questa	deze
film	films
film	films
film	bioscoop
film	film
film	filmpje
film	film
regia	regisseren
regia	regia
città	stad
città	stad
città	steden
solo	solo
solo	alleen
solo	enkel
solo	slechts
solo	gewoon
uno	one
uno	één
uno	een
uno	eén
loro	hun
loro	hen
loro	ze
loro	zij
primo	primo
primo	eerste
primo	eerst
nome	naam
dall	dall
poi	dan
poi	daarna
secondo	tweede
msg	msg
voce	voice
voce	stem
progetti	projecten
sia	sia
dove	waar
quando	wanneer
anno	jaar
durante	tijdens
durante	gedurende
mentre	terwijl
voci	vermeldingen
voci	inzendingen
voci	ingangen
voci	geruchten
voci	stemmen
voci	voices
italia	italië
fino	tot
tre	tre
tre	drie
tre	three
molto	zeer
molto	veel
molto	much
from	van
from	uit
from	vanaf
può	mogen
può	may
può	mei
può	mag
può	moge
può	kan
può	kunt
può	kunnen
hanno	heb
hanno	hebben
comune	gemeenschappelijk
comune	vaak
stesso	hetzelfde
stesso	zelfde
stesso	same
tutti	iedereen
tutti	allen
tutti	alle
tutti	allemaal
tutti	alles
tutti	iedereen
stagione	seizoen
gruppo	groep
gruppo	fractie
stati	staten
contro	tegen
dai	dai
calciatore	voetballer
calciatore	profvoetballer
roma	rome
tempo	tijd
abitanti	inwoners
abitanti	bewoners
chiesa	kerk
grande	large
grande	groot
grande	grote
grande	big
grande	groot
