جاپا	entrega
جات	clase
جات	da
جات	última
جات	unha
جات	como
جات	de
جات	tipo
جات	especie
جات	familia
جات	familiar
جات	natureza
جات	da
جات	a
جات	fillo
جات	nacín
جات	naceu
جات	nacer
جات	naciches
جات	nacen
جات	clan
جات	do
جات	dos
جات	clans
جاتا	marchou
جاتا	vou
جاتا	vai
جاتا	imos
جاتا	vas
جاتک	a
جاتک	luz
جاتک	nacemento
جاتک	orixe
جاتک	de
جاتی	vou
جاتی	vai
جاتی	imos
جاتی	vas
جاتی	carreira
جاتی	raza
جاتی	a
جاتی	internacional
جاتی	comunidade
جاٹ	forte
جاٹ	fortes
جاچِت	pregunteille
جاچِت	preguntou
جاچِت	lle
جاچنا	perdón
جاچنا	perdoe
جاچنا	desculpe
جاچنا	petición
جاداد	propiedade
جادُو	maxia
جادُو	máxico
جادُو	máxica
جادوگر	mago
جادُوئی	misterioso
جادُوئی	máxicos
جادُوئی	máxico
جادہ	xeito
جادہ	maneira
جادہ	estrada
جادہ	camiño
جادہ	ruta
جادہ	modo
جاذِب	agradable
جاذِب	á
جاذِب	atractiva
جاذِب	fermosa
جار	violencia
جار	a
جارِحانہ	ofensivo
جارِحانہ	ofensiva
جارَن	combustible
جارنا	luz
جارنا	queimalos
جارنا	queiman
جارنا	queimar
جارنا	queimade
جاری	xogo
جاری	actual
جاری	actuais
جاری	que
جاری	súa
جاری	corrente
جاری	continuo
جاری	continua
جارِیہ	moza
جارِیہ	rapaza
جارِیہ	nena
جاڑ	orixe
جاڑ	raíz
جاڑا	no
جاڑا	inverno
جاڑا	o
جازِم	sólida
جاسُوس	espía
جاکِٹ	chaqueta
جاکِٹ	da
جاگ	levanta
جاگ	esperta
جاگ	espertar
جاگ	arriba
جاگا	comisaría
جاگا	estación
جاگا	lugar
جاگا	casa
جاگا	sitio
جاگا	sala
جاگا	habitación
جاگا	cuarto
جاگا	esperta
جاگتا	esperta
جاگرت	esperta
جاگری	melaza
جاگِیر	inmobiliario
جاگِیر	propiedade
جال	maxia
جال	máxico
جال	máxica
جال	rede
جال	a
جال	ilusión
جال	maxia
جال	máxico
جال	máxica
جال	trampa
جال	boca
جال	rede
جال	a
جال	ilusión
جالِس	sentada
جالِس	sentados
جالِس	sentado
جالِک	fowler
جالِک	pescador
جالِکا	rede
جالِکا	cadea
جالِکا	subministración
جالِکا	traballos
جالِکا	armadura
جالُوت	goliat
جالُوت	goliath
جالُوت	cruel
جالی	medicinas
جالی	medicina
جالی	baseada
جالی	na
جالی	médicos
جالی	menciña
جالی	rede
جالی	de
جالی	medicinas
جالی	medicina
جالی	baseada
جالی	na
جالی	médicos
جالی	menciña
جالی	rede
جالی	de
جالی	rede
جام	pratos
جام	bowl
جام	cunca
جام	sementes
جام	semente
جام	fillo
جام	cunca
جام	café
جامِد	sólida
جامِد	aínda
جامِد	segue
جامدار	garda
جامدار	de
جامِعہ	universidade
جامِعہ	de
جامِعہ	da
جامِعہ	universidades
جامِعہ	universitaria
جامگی	soldo
جامگی	salario
جامگی	arma
جامگی	pistola
جامگی	revólver
جامہ	roupa
جامی	irán
جامی	irmá
جامی	a
جان	conciencia
جان	cognición
جان	saber
جان	sabendo
جان	sabe
جان	amado
جان	querido
جان	opinión
جان	que
جان	a
جان	na
جان	espírito
جان	o
جان	déixate
جان	forza
جان	a
جان	policía
جان	exército
جان	coñecemento
جان	coñecía
جان	coñecementos
جان	alma
جان	enerxía
جان	consumo
جان	enerxético
جان	enerxética
جان	conciencia
جان	cognición
جان	saber
جان	sabendo
جان	sabe
جان	amado
جان	querido
جان	opinión
جان	que
جان	a
جان	na
جان	espírito
جان	o
جان	déixate
جان	vida
جان	a
جان	forza
جان	a
جان	policía
جان	exército
جان	coñecemento
جان	coñecía
جان	coñecementos
جان	alma
جان	enerxía
جان	consumo
جان	enerxético
جان	enerxética
جانا	que
جانا	comprendín
جانا	entendían
جانا	entendeu
جانا	entendía
جانا	ir
جانا	coñecido
جانا	coñecidos
جانا	de
جاناں	amado
جاناں	querido
جانانہ	amado
جانانہ	querido
جانانہ	fermoso
جانانہ	encantador
جانانہ	preciosa
جانِب	dirección
جانِب	lado
جانِب	secundarios
جانِب	parte
جانِب	cuarto
جانِب	ao
جانِب	cara
جانِب	a
جانچ	probar
جانچ	proba
جانچ	exame
جانچ	probas
جانچ	de
جانچ	test
جانچ	exames
جانچ	ensaio
جانچ	xuízo
جانچ	proceso
جانچ	probar
جانچ	proba
جانچ	exame
جانچ	probas
جانچ	de
جانچ	test
جانچ	exames
جانچنا	examinar
جانچنا	tentar
جانچنا	intentar
جانچنا	probar
جانچنا	proba
جانچنا	exame
جانچنا	probas
جانچنا	de
جانچنا	test
جانچنا	exames
جانچنا	examinar
جانچنا	tentar
جانچنا	intentar
جانگر	fortaleza
جانگر	forzas
جانگر	forza
جانگر	a
جانگر	radica
جانگل	bosque
جانگُل	veleno
جانگلُو	salvaxe
جانگلُو	salvaxes
جانگلُوس	salvaxe
جانگلُوس	salvaxes
جانگیا	interior
جانگیا	lencería
جاننا	cres
جاننا	creo
جاننا	que
جاننا	crer
جاننا	cremos
جاننا	recoñecer
جاننا	te
جاننا	recoñecera
جاننا	aceptar
جاننا	aceptalo
جاننا	acepto
جاننا	que
جاننا	supoño
جاننا	asumo
جاننا	que
جاننا	supoño
جاننا	entender
جاننا	comprender
جاننا	entendo
جاننا	percibir
جاننا	identificar
جاننا	identificalos
جاننا	identifiques
جاننا	identificamos
جاننا	que
جاننا	cres
جاننا	creo
جاننا	que
جاننا	crer
جاننا	cremos
جاننا	recoñecer
جاننا	te
جاننا	recoñecera
جاننا	aceptar
جاننا	aceptalo
جاننا	acepto
جاننا	sabes
جاننا	sabe
جاننا	sei
جاننا	sabemos
جاننا	que
جاننا	supoño
جاننا	asumo
جاننا	que
جاننا	supoño
جاننا	entender
جاننا	comprender
جاننا	entendo
جاننا	percibir
جاننا	identificar
جاننا	identificalos
جاننا	identifiques
جاننا	identificamos
جاننا	que
جانور	parva
جانور	parvo
جانور	idiota
جانور	toleaches
جانور	paspán
جانور	tomo
جانور	ridículo
جانورک	bacteria
جانی	amado
جانی	querido
جانی	culpable
جانی	culpábel
جانی	culpábeis
جانی	querido
جانی	querida
جاواں	picos
جاوِداں	eterna
جاوِدانہ	permanente
جاوِدانی	eterna
جاوید	eterna
جاہ	dignidade
جاہ	última
جاہِلیّت	ignorancia
جاہِلیّت	a
جائِداد	posto
جائِداد	poste
جائِداد	correos
جائِداد	correo
جائِداد	de
جائِداد	bens
جائِداد	recursos
جائِداد	última
جائِداد	efectos
جائِداد	inmobiliario
جائِز	axeitada
جائِز	o
جائِز	de
جائِز	só
جائِز	posúe
جائِز	estabelecido
جائِز	ben
جائِز	xudicial
جائِز	legal
جائِز	legais
جائِزہ	enquisa
جائِزہ	inspección
جائِزہ	recompensa
جائِزہ	presentar
جائِزہ	actual
جائِزہ	presente
جائِزہ	presentes
جائِزہ	agasallo
جائِگاہ	lugar
جائِگاہ	casa
جائِگاہ	sitio
جائی	filla
جایا	fillo
جایا	nacín
جایا	naceu
جایا	nacer
جایا	naciches
جایا	nacen
جب	cando
جب	cada
جب	vez
جب	cando
جب	cada
جب	vez
جب	cando
جب	se
جِبا	impostos
جُبا	nova
جُبا	mozos
جُبا	mozo
جُبا	novo
جُبا	moza
جبّار	todopoderoso
جِبال	montañas
جِبال	das
جِبال	andes
جِبال	montes
جِبال	lorenzo
جِبال	montaña
جِبال	monte
جِبال	outeiros
جبان	covarde
جبانت	covardía
جبدّا	incómodo
جبدّا	pesada
جبدّا	pesados
جبدّا	pesado
جبدّا	forte
جبدّا	pesa
جبدّا	moito
جبدّا	peso
جبدّا	intenso
جبدی	india
جبر	mellora
جبر	vexas
جبر	mellor
جبر	da
جبر	represión
جبر	forza
جبر	a
جبر	policía
جبر	exército
جبر	violencia
جبر	a
جبر	mellora
جبر	vexas
جبر	mellor
جبر	opresión
جبر	da
جبر	represión
جبر	forza
جبر	a
جبر	policía
جبر	exército
جبر	violencia
جبر	a
جبری	obrigado
جبری	a
جبری	forzado
جبری	todo
جبری	obrigoume
جبری	recrutado
جبل	montaña
جبل	montañosa
جبل	outeiro
جبل	hill
جبل	outeiros
جبل	924
جِبلّت	esencia
جِبلّت	natureza
جِبلّت	da
جِبلّت	a
جِبلّت	instinto
جِبلّتاً	natural
جِبلّتاً	forma
جِبلّتاً	naturalmente
جِبلّتاً	non
جِبلّی	natural
جِبلّی	normal
