অব্যয়	prieveiksmis
ফ্যাক্ট	faktas
গুজরাতি	gudžaratų
হেরা	hera
ককেশাস	kaukazas
ককেশাস	kaukazo
সন্তোষজনক	atitinkančiu
সূফী	sufi
শৃঙ্খল	grandinės
শৃঙ্খল	grandinė
আমু	amu
গলে	lydymosi
গলে	skystą
স্টোক	stoke
এসো	ateik
বিশুদ্ধতা	vientisumas
বিশুদ্ধতা	vientisumą
বিশুদ্ধতা	grynumas
ব্ল্যাকবেরি	blackberry
লক্ষ্ণৌ	laknau
ঝাল	aštrus
পিয়া	pia
ফ্রিডরিখ	friedrich
নার্সারি	darželio
আলুর	bulvės
আলুর	bulvių
জনস্টন	johnston
খরগোশ	triušiai
খরগোশ	triušio
খরগোশ	triušis
খরগোশ	rabbit
সংশ্লিষ্টতা	sužadėtuvių
নিউক্লিক	nukleino
রাগের	pyktis
মং	mong
মজুরি	alga
মজুরি	atlyginimai
কলেরা	choleros
এসএমএস	sms
কার্স্টেন	kirsten
খুনি	žudikas
শার্টের	marškiniai
শার্টের	marškinėliai
ইউক্লিড	euklido
ডোম	kupolu
বিবর্ধক	stiprina
প্রাপ্য	nusipelno
প্রাপ্য	verti
প্রাপ্য	nusipelnė
প্রাপ্য	nusipelno
প্রাপ্য	nusipelnė
ডাইভিং	nardymo
আজকাবান	azkabaną
মনযোগ	koncentracija
দাই	dai
ষাঁড়	bull
পুতিন	putinas
হুকুম	dekretas
লবণাক্ততা	druskingumas
স্থায়িত্ব	patvarumo
স্থায়িত্ব	ilgaamžiškumo
স্থায়িত্ব	patvarumas
সাশ্রয়ী	prieinamas
জিম্মি	įkaitų
জিম্মি	įkaitu
তদন্তকারী	tyrėjai
তদন্তকারী	tyrėjas
তদন্তকারী	tyrėjo
ক্রিস্টিনা	kristina
বিসাউ	bisau
লম্ব	statmena
পুরুষরা	vyrai
তারকাদের	įžymybių
শিম	pupelių
শিম	pupos
শিম	pupelių
শিম	pupelės
প্রোব	zondai
সন্দেহভাজন	įtariama
সন্দেহভাজন	įtariamieji
সন্দেহভাজন	įtariamieji
সন্দেহভাজন	įtariamasis
কোষাগার	iždo
কোষাগার	iždas
স্লিপ	slydimo
সঙ্গতি	suderinamumas
সঙ্গতি	pastovumas
সঙ্গতি	nuoseklumą
সঙ্গতি	nuoseklumas
ড্রেক	drake
অভিবাদন	linkėjimai
অভিবাদন	sveikinimai
আয়ুর্বেদ	ajurveda
ভেগাস	vegasą
নামগুলি	vardai
রিজ	ridge
ধাবি	dabis
ভাগ্নে	sūnėnas
মৌলবাদী	fundamentalistai
ঘুমিয়ে	miegas
ঘুমিয়ে	miego
ঘুমিয়ে	npp
ঘুমিয়ে	miega
আনন্দিত	laiminga
আনন্দিত	laimingas
আনন্দিত	laimingi
সমকামীদের	gėjai
স্যান্ডি	smėlio
দূষিত	užteršta
দূষিত	užterštas
দূষিত	užkrėstas
দূষিত	piktai
দূষিত	užteršta
আশাবাদী	optimistiškai
মুসলমানেরা	musulmonai
মিলিশিয়া	kovinė
পিয়ার্স	pyrsas
শিন	shin
যোনির	makšties
হিংস্র	aršios
হিংস্র	smurtinių
ইথাইন	acetileno
মেরা	mera
আলেকজান্দ্রিয়া	aleksandrija
ফটোগ্রাফ	nuotraukos
ফটোগ্রাফ	fotografijos
ফটোগ্রাফ	nuotraukų
ইটন	eaton
