மற்றும்	és
ஒரு	egy
இந்த	ezt
இந்த	ez
இந்த	ezek
இந்த	ezeket
ஆம்	igen
இது	ezt
இது	ez
மக்கள்	népek
மக்கள்	emberek
என்ற	az
என்ற	származtatott
ஆண்டு	évjárat
ஆண்டு	éve
ஆண்டு	évi
ஆண்டு	év
என்று	ez
தமிழ்	tamil
இந்திய	indián
இந்திய	indiai
இருந்து	től
இருந்து	tól
இருந்து	from
பல	sok
பல	sokan
பல	többszörös
பல	többszörösen
முதல்	től
முதல்	tól
முதல்	from
முதல்	először
முதல்	első
மேலும்	több
மேலும்	more
மேலும்	további
மேலும்	tobb
தொகை	összeg
சில	kevesen
சில	pár
சில	kevés
சில	kevesek
சில	néhány
சில	néhány
உள்ளது	elérhető
உள்ளது	rendelhető
உள்ளது	létezik
அவர்	őt
அவர்	neki
இருக்கும்	meglévő
இருக்கும்	meglevő
இருக்கும்	létező
வெளி	külső
வெளி	űr
வெளி	tér
அமைந்துள்ளது	található
மூலம்	forrás
மூலம்	eredeti
கொண்ட	tartalmazta
கொண்ட	tartalmazott
வரை	rajzolni
வரை	sorsolás
வரை	rajzol
வரை	döntetlen
பின்னர்	akkor
பின்னர்	aztán
பின்னர்	később
ஆனால்	de
வேண்டும்	kell
வேண்டும்	szükséges
வேண்டும்	akarsz
வேண்டும்	akar
வேண்டும்	akarod
வேண்டும்	akarom
வேண்டும்	kéne
வேண்டும்	kellene
கொண்டு	hozták
கொண்டு	hozott
கொண்டு	hoztam
கொண்டு	hozta
கொண்டு	hozz
கொண்டு	hozd
கொண்டு	with
பட்டியல்	jegyzék
பட்டியல்	lista
அமைந்துள்ள	található
பெண்கள்	nőstények
பெண்கள்	csajok
பெண்கள்	lányok
பெண்கள்	nők
பெண்கள்	asszonyok
பெண்கள்	női
பெண்கள்	nő
கொண்டுள்ளது	tartalmazza
கொண்டுள்ளது	tartalmaz
போது	során
போது	mikor
போது	amikor
இணைப்புகள்	kapcsolatai
இணைப்புகள்	kapcsolatok
இணைப்புகள்	mellékletek
இணைப்புகள்	linkek
இணைப்புகள்	hivatkozások
இணைப்புகள்	kapcsolatok
இரண்டு	kettő
தகவல்	info
தகவல்	infó
தகவல்	információ
தகவல்	infók
தகவல்	információk
தகவல்	információ
தகவல்	tájékoztatás
தகவல்	információk
தகவல்	üzenetet
தகவல்	üzenet
மாவட்ட	körzet
மாவட்ட	járás
மாவட்ட	kerület
மொத்த	teljes
மொத்த	összesen
வளர்ச்சி	fejlesztés
வளர்ச்சி	fejlődés
வளர்ச்சி	fejlesztési
வளர்ச்சி	növekedés
மாவட்டம்	körzet
மாவட்டம்	járás
மாவட்டம்	kerület
அந்த	ez
மிகவும்	nagyon
திட்டம்	projekt
திட்டம்	project
திட்டம்	terv
தேசிய	nemzeti
