発光	zářící
ちび	tiny
ダウ	dow
リッチモンド	richmond
リッチモンド	richmondu
海岸線	pobřeží
海岸線	pobřeží
カーネル	jádro
カーネル	jádra
電線	kabel
電線	kabely
電線	kabelová
電線	kabelové
スペンサー	spencer
スペンサー	spencera
居酒屋	hospodě
居酒屋	hospoda
ギルバート	gilbert
興奮	nadšení
興奮	vzrušení
興奮	nadšení
興奮	nadšená
モータースポーツ	motorsport
台地	plošina
台地	plošině
パルマ	palma
パルマ	parma
日数	dní
日数	dnů
日数	dny
再戦	odveta
再戦	odvetu
機密	důvěrnost
機密	důvěrný
機密	důvěrné
未遂	pokus
未遂	pokusů
未遂	pokusy
未遂	pokus
クライアント	klienta
クライアント	zákazník
クライアント	klient
クライアント	klienti
クライアント	klienty
衣笠	kinugasa
掃除	úklid
掃除	čištění
微生物	mikroorganismů
微生物	mikroorganismy
ウシ	skot
ウシ	dobytek
ソマリア	somálsku
穀物	obilí
穀物	zrna
穀物	zrní
パオ	pao
音色	tóny
スカイライン	panorama
鉱石	ruda
鉱石	rudy
保育園	školka
シンポジウム	sympozium
美香	mika
ブランデンブルク	brandenburg
エドガー	edgara
エドガー	edgar
下線	zdůraznila
下線	podtrženo
下線	zdůraznit
トラスト	důvěru
トラスト	věřit
トラスト	důvěra
エリカ	erika
フラット	plochý
フラット	byt
フラット	ploché
フラット	plochá
アニメーター	animátor
カバ	hroch
カバ	hroch
ジョーカー	joker
ジョーカー	vtipálek
受け入れる	přijmout
迫撃砲	malta
迫撃砲	malty
補助金	dotace
補助金	subvence
補助金	dotací
補助金	dotované
シェフ	šéfkuchař
シェフ	kuchař
スクープ	scoop
歯車	výbava
大当たり	jackpot
俊夫	tošio
グレッグ	greg
パスワード	heslo
パスワード	hesla
メカニック	mechanika
メカニック	mechanik
申告	vyhlásit
申告	prohlásit
申告	prohlášení
申告	deklarace
赤ちゃん	baby
赤ちゃん	zlato
赤ちゃん	dítě
赤ちゃん	miláček
赤ちゃん	miminka
赤ちゃん	děti
細分	dělení
壱岐	iki
スクロール	rolování
スクロール	svitek
会う	potkat
弾頭	hlavice
セクター	sektor
セクター	odvětví
セクター	sektoru
セクター	odvětví
セクター	sektorů
セクター	sektory
濃い	silně
濃い	silná
濃い	silné
濃い	silný
減らす	pokles
減らす	snížit
減らす	snížení
減らす	omezit
減らす	snížit
ショパン	chopina
トロンボーン	trombón
ネック	krk
ネック	šíje
ネック	krku
ストライキ	strike
ストライキ	stávka
最低限	minimální
最低限	minimum
最低限	minimálně
レター	dopis
レター	písmeno
回廊	chodba
回廊	koridor
回廊	koridoru
プレゼン	prezentaci
プレゼン	prezentace
プレゼン	prezentace
プレゼン	prezentací
モスク	mešity
モスク	mešity
ルーカス	lucas
ルーカス	lukas
ルーカス	lukáš
プライド	pýcha
プライド	hrdost
清算	likvidace
清算	likvidaci
テロリスト	teroristické
テロリスト	teroristický
テロリスト	terorista
テロリスト	teroristy
テロリスト	teroristé
バーンズ	barnes
バーンズ	popáleniny
バーンズ	burns
バーンズ	hoří
管理人	správce
管理人	správci
管理人	správci
管理人	správce
持ち込み	nést
持ち込み	přinést
持ち込み	přivést
サンガ	sanga
コスチューム	kostýmy
コスチューム	kostým
コスチューム	kostýmy
コスチューム	kostýmů
カージナルス	kardinálové
波動	vlna
エアバス	airbus
スペック	zrnko
スペック	specifikace
ボリス	boris
サンバ	samba
原告	žalobce
原告	žadatel
地主	domácí
チキン	kuřecí
チキン	kuřata
チキン	kuře
インデックス	index
インデックス	rejstřík
インデックス	indexy
さおり	saori
中道	mírná
中道	mírné
中道	středně
中道	mírný
ピックアップ	vyzvednutí
コールド	studené
コールド	studený
コールド	studená
コールド	zima
コールド	chlad
プライス	ceny
プライス	price
プライス	cena
プライス	cenu
ハロルド	harold
待遇	zacházení
待遇	léčby
待遇	léčba
待遇	ošetření
待遇	léčení
北極	arktické
フレンチ	francouzština
フレンチ	francouzské
フレンチ	francouzsky
フレンチ	francouzská
フレンチ	francouz
すごい	pecka
すごい	úžasný
すごい	super
すごい	paráda
すごい	úžasný
すごい	úžasné
すごい	úžasná
吹雪	blizzard
ライプツィヒ	lipsko
アダムズ	adamsová
アダムズ	adams
ジュース	šťáva
ジュース	džus
ジュース	šťávy
ジュース	šťávy
ゴルファー	golfista
ルージュ	rouge
従兄弟	sestřenice
従兄弟	bratranec
用心棒	vyhazovač
ギルド	cech
ギルド	cechy
回生	rekuperační
ニュルンベルク	nürnberg
ニュルンベルク	norimberku
ブラザー	bratře
ブラザー	bratr
チューリッヒ	curychu
チューリッヒ	curychu
内線	prodloužení
内線	rozšíření
ルクス	lux
ステッカー	nálepku
ステッカー	nálepka
ステッカー	samolepky
ステッカー	nálepky
ステッカー	samolepky
浅い	povrchní
カブ	mládě
パウル	paul
パウル	pavla
パウル	pavel
故人	zesnulý
アッパー	zvedák
ハンドボール	házená
オークス	oaks
エッグ	vejce
エッグ	vajec
エッグ	vajíčka
エッグ	vajíčko
エッグ	vejce
更生	reorganizaci
更生	reorganizace
更生	rehabilitaci
更生	rehabilitace
スキン	kůže
スキン	kůži
スキン	pleť
スキン	kůže
スキン	pokožka
まさし	masaši
パース	perthu
エマ	emmou
エマ	emma
ヌード	nahotu
ヌード	nahota
ヌード	nahý
ヌード	nahé
ヌード	nahá
ヌード	akty
メビウス	moebius
公害	znečištění
コペンハーゲン	kodani
コペンハーゲン	kodaň
りんご	jablek
りんご	jablka
りんご	jablko
りんご	jablečný
りんご	apple
りんご	jablka
ヒカル	hikaru
インフルエンザ	chřipka
インフルエンザ	chřipku
インフルエンザ	chřipka
インフルエンザ	chřipku
イラ	ila
関税	tarif
オーボエ	hoboj
毒性	toxické
毒性	toxická
毒性	toxický
毒性	toxicity
毒性	toxicita
毒性	toxicitu
メカニズム	mechanismus
メカニズム	mechanismů
メカニズム	mechanismy
メカニズム	mechanismus
やさしい	snadný
やさしい	snadné
やさしい	jednoduché
ジャンボ	jumbo
燃える	pálení
燃える	hořící
燃える	hoří
芳賀	haga
体質	ústava
体質	ústavy
イヌ	psí
イヌ	pejsek
イヌ	pes
苦しみ	trpící
苦しみ	utrpení
キノコ	houby
キノコ	houby
キノコ	houba
グラン	gran
厚い	hustý
厚い	husté
厚い	tlustý
厚い	hustá
終着駅	terminus
ヤンキー	yankee
ボア	boa
麻痺	ochrnutí
オリンピア	olympia
クラウス	kraus
クラウス	klaus
証人	svědky
証人	svědci
証人	svědkové
証人	svědek
証人	svědka
証人	svědkyně
石碑	stéla
賞賛	obdivovat
賞賛	obdiv
賞賛	chvála
賞賛	chválím
シリアル	sériový
シリアル	sériová
シリアル	sériové
シリアル	obiloviny
シリアル	vločky
シリアル	obiloviny
シリアル	cereálie
子育て	rodičovství
子育て	rodičovské
ウィンドウ	okénko
ウィンドウ	okno
乱闘	rvačka
乱闘	potyčce
水分	vlhkost
水分	vlhkosti
バーバラ	barbaru
バーバラ	barbara
遊ぶ	hrajte
遊ぶ	hra
遊ぶ	play
遊ぶ	přehrát
遊ぶ	hrát
決済	plateb
決済	platby
決済	splátky
決済	vypořádání
決済	zúčtování
決済	vyrovnání
決済	urovnání
決済	výplata
決済	platbu
決済	platby
決済	platba
サニー	sunny
サニー	slunečný
嫉妬	žárlivý
嫉妬	žárlivost
嫉妬	žárlivosti
嫉妬	závist
ディスコ	disco
ディスコ	disko
ブタ	prasata
ブタ	prasat
ブタ	prase
ノーマン	norman
尾翼	tail
尾翼	ocásek
尾翼	nb
尾翼	ocas
退却	ústup
退却	ustoupit
悪意	škodlivý
悪意	zášť
オタク	geek
屋台	stánky
伝導	vodivost
受け取る	obdržet
受け取る	přijímat
アーロン	aaron
アンチ	anti
ベストセラー	bestseller
ピコ	pico
ステンレス	nerezavějící
壁画	malbu
エンブレム	emblémy
エンブレム	znak
素敵	krásné
素敵	pěkný
素敵	hezky
素敵	hezký
素敵	pěkné
素敵	nice
思想家	myslitelů
ピクセル	pixelu
ピクセル	pixel
ピクセル	pixelů
コントローラ	regulátory
コントローラ	ovladače
コントローラ	správci
コントローラ	regulátor
コントローラ	ovladač
コントローラ	kontrolor
たまに	občas
たまに	příležitostně
外科医	chirurg
伝送	převodovka
伝送	vysílání
伝送	předávání
伝送	přenos
伝送	předání
トロイ	troy
タンカー	tanker
気体	benzín
気体	plynové
気体	plyn
気体	plyny
気体	plyny
処罰	potrestat
処罰	trestat
処罰	potrestání
処罰	trest
ロータス	lotus
キャンセル	zrušit
キャンセル	zrušen
キャンセル	zrušené
キャンセル	zrušeno
キャンセル	zrušena
キャンセル	zrušen
キャンセル	zrušené
キャンセル	zrušeno
キャンセル	zrušena
キャンセル	zrušení
不完全	nedokonalé
ウィキ	wiki
リスボン	lisabonská
リスボン	lisabon
リスボン	lisabonské
リスボン	lisabonu
掘削	vykopávky
掘削	vrtání
ボリビア	bolivijské
ボリビア	bolívie
ボリビア	bolívie
棄却	zamítnutí
棄却	propuštění
幼虫	larvy
演目	programů
演目	programy
標準化	normalizace
標準化	normalizaci
チェルシー	chelsea
ナンシー	nancy
カタール	kataru
カタール	katarský
解読	rozluštit
解読	dekódování
ゲイリー	garyho
ゲイリー	gary
やまと	yamato
出血	krvácející
出血	krvácení
出血	krvácení
タンゴ	tango
濡れ	mokrý
濡れ	mokro
濡れ	vlhký
