que	to
del	dela
con	sa
una	jedan
una	jedna
categoría	kategorije
categoría	kategorija
para	za
como	kako
como	kao
fue	bio
fue	bila
más	više
sus	njihova
sus	njihovo
sus	njihov
sus	njegovo
sus	njegov
sus	njegova
sus	tvoje
sus	vaš
sus	tvoj
sus	vaše
sus	tvoja
sus	vaša
también	također
también	takođe
también	previše
también	previse
entre	medju
entre	među
entre	izmedju
entre	između
este	ovo
este	istočna
este	istočno
este	istok
pero	ali
años	godine
años	godinama
años	godina
dos	dos
dos	dva
son	su
son	jesu
sobre	omotnica
sobre	omotnicu
año	godine
año	godina
desde	od
desde	iz
esta	ovo
enlaces	poveznice
hasta	čak
hasta	dok
externos	vanjski
externos	vanjska
ciudad	town
ciudad	grad
ciudad	grad
ciudad	gradom
ciudad	ciudad
ser	ser
parte	tulum
parte	zabava
parte	stranka
parte	party
parte	dijelom
parte	dio
durante	tijekom
sin	bez
sin	grijeha
sin	grijeh
sin	greh
donde	gdje
san	san
san	sveti
san	svetac
san	saint
era	bio
era	bila
nacional	nacionalni
nacional	nacionalna
nacional	nacional
primera	prvo
primera	prvi
team	ekipa
team	momčad
team	reprezentacija
team	tim
cuando	kada
cuando	kad
nombre	naziv
nombre	ime
estados	države
estados	drzava
estados	stanja
utc	utc
siglo	siglo
siglo	vijek
siglo	stoljeće
siglo	stoljeća
después	nakon
después	poslije
después	kasnije
españa	španjolska
españa	španjolskoj
españa	španjolske
otros	drugi
otros	drugo
otros	druga
otros	ostali
otros	drugi
otros	druge
gran	velika
gran	veliki
gran	velike
gran	veliko
gran	super
gran	grand
unidos	united
unidos	ujedinjeni
puede	može
puede	mogu
puede	moze
estado	status
estado	stanje
estado	stanje
estado	država
estado	stanja
estado	stanju
estado	stanje
estado	uvjet
uno	uno
uno	jedan
uno	jedna
lugar	mjesto
lugar	mesto
lugar	lokacija
lugar	lokaciju
primer	prvo
primer	prvi
población	stanovništvo
población	populacija
muy	vrlo
había	imao
había	imali
había	imala
mismo	isti
mismo	ista
mismo	isto
nueva	novo
nueva	nova
nueva	novi
fueron	bile
fueron	bili
historia	priča
historia	prica
historia	povijest
historia	istorija
club	klub
club	club
eran	bile
eran	bili
cual	koje
cual	koja
cual	koji
universidad	fakultet
universidad	sveučilište
universidad	fakultet
universidad	koledž
universidad	college
forma	oblik
forma	oblik
forma	forma
forma	obrazac
tres	tres
tres	tri
grupo	grupa
general	općenito
guerra	rat
guerra	rata
guerra	ratovanja
guerra	ratovanje
aunque	iako
aunque	iako
tras	nakon
tras	poslije
familia	obitelji
familia	obiteljima
familia	porodice
familia	obitelji
familia	porodica
familia	obitelj
familia	familija
además	također
además	takođe
además	plus
todo	sve
todo	sve
todo	svi
sur	južni
sur	južna
sur	južnoj
sur	sur
sur	jugu
sur	južno
sur	jug
mayor	major
mayor	bojnik
tiempo	vrijeme
tiempo	vreme
tiempo	vrijeme
provincia	pokrajina
provincia	pokrajine
provincia	pokrajini
provincia	provincija
partido	tulum
partido	zabava
partido	stranka
partido	party
partido	meč
partido	podudaranje
contra	kontra
contra	brojač
contra	protiv
encuentra	pronađite
encuentra	naći
