agterstallig	aniversario
indians	indios
debate	debate
runs	corre
enjoy	guste
enjoy	gozamos
enjoy	a
enjoy	da
enjoy	que
enjoy	gozar
enjoy	gusta
ekskuus	perdón
ekskuus	perdoe
ekskuus	desculpe
coronation	da
coronation	coroación
embassy	embaixada
hasbro	hasbro
vlaggie	bandeira
diet	dieta
uitbuit	ningún
magellan	magalhães
tape	cinta
traffic	tráfico
onklaar	recuperar
photograph	fotografía
photograph	foto
nurse	enfermeira
revenge	vinganza
revenge	vingar
menswaardigheid	dignidade
banderas	banderas
globaal	mundial
globaal	de
globaal	global
globaal	globais
shade	sombra
leisure	libre
leisure	tempo
leisure	ocio
kwartiel	cuartil
mccoy	mccoy
airplanes	avións
bui	humor
bui	ánimo
mien	mien
missions	misións
flu	gripe
mmm	mmm
mmm	mmmh
watse	que
watse	o
watse	que
watse	cal
herd	manada
herd	rabaño
gamble	apostar
sight	ven
sight	vista
sight	visión
sight	seguramente
sight	ver
vital	vital
vast	amplo
vast	gran
coin	moeda
misdrywe	crimes
misdrywe	delitos
emergency	urxencias
emergency	de
emergency	emerxencia
emergency	urxencia
emergency	estado
emergency	tribunal
afpersing	chantaxe
brennan	brennan
brutal	brutal
frankie	frankie
loo	baño
loo	de
anybody	alguén
anybody	a
anybody	ninguén
anybody	calquera
rumi	rumi
trommel	maleteiro
piccadilly	picadilly
fancy	bonitas
slaappille	pílulas
slaappille	pastillas
slaappille	somníferos
rapporte	reportando
rapporte	información
barones	baronesa
advantage	vantaxe
prepared	preparada
prepared	listo
prepared	preparado
sinneloos	senso
punishment	castigo
punishment	punishment
deadly	mortal
deadly	pecados
besonderheid	detalle
besonderheid	detalles
outlaw	ladrón
prejudice	prexuízos
kkk	sálvate
bokse	caixas
bokse	palcos
merrill	merrill
grégoire	grégoire
knock	toc
knock	knock
knock	vouche
strikes	folgas
werkie	traballo
slimmer	máis
slimmer	intelixente
kontroles	controla
subway	metro
subway	sen
subway	pantalóns
edna	edna
essence	esencia
kinds	tipo
kinds	tipos
medals	medallas
violent	violentos
violent	violenta
violent	violentas
violent	violento
violent	violencia
astronaut	astronauta
aangehegte	pegados
inbetaal	caixa
inbetaal	depósito
actress	actriz
objektiwiteit	obxectividade
doll	boneca
corp	nosa
corp	corporación
shame	mágoa
shame	vergoña
shame	que
interviews	entrevistas
joking	brincar
winslow	winslow
santi	santi
geweldadig	violentos
geweldadig	violenta
geweldadig	violentas
geweldadig	violento
geweldadig	violencia
stalletjies	está
stalletjies	entre
stalletjies	queda
drums	batería
drums	tambores
drums	os
staircase	escaleiras
extraordinary	extraordinario
extraordinary	cantidade
extraordinary	extraordinarias
extraordinary	extraordinarios
extraordinary	extraodinarios
extraordinary	extraordinaria
tiene	decenas
raising	a
useless	inútiles
useless	inútil
ngo	ngo
gebasseer	baseándose
gebasseer	en
gebasseer	baséase
gebasseer	baseándonos
gebasseer	baseada
gebasseer	base
gebasseer	baseado
temptation	tentación
temptation	deixes
perception	percepción
dinosaur	de
dinosaur	dinosauro
dinosaur	dinosauros
mansion	mansión
lêerstelsel	sistema
lêerstelsel	de
temba	tyler
experts	expertos
mechanical	mecánica
mechanical	mecánico
syndicate	sindicato
largely	en
largely	gran
largely	parte
sokkies	os
sokkies	calcetíns
besparings	aforros
aansê	di
aansê	que
aansê	lle
mob	turba
mob	mafia
tube	tubo
wouldn	non
nintendo	nintendo
