partnerství	associacions
kladně	positivament
napsáno	escrit
místnost	room
místnost	sala
místnost	habitació
autobus	bus
autobus	autobús
vlád	governs
rámec	fotograma
rámec	marc
instrukce	instrucció
instrukce	instruccions
chovu	cria
změněn	alterades
front	front
diego	diego
statut	estatut
werner	werner
dáma	dames
dáma	senyora
dáma	dama
stb	stb
komunistická	comunista
experiment	experiment
rukopis	manuscrit
richter	richter
vltava	vltava
subjekty	entitats
subjekty	assignatures
přísně	estrictament
atentát	atemptat
snížit	disminució
discovery	descobriment
grafika	gràfics
vyučování	ensenyament
vyučování	docència
úkolů	tasques
kirk	kirk
jarmila	jarmila
hlasovací	votacions
identity	identitats
identity	identitat
hráz	presa
hráz	corrompre
ukázala	mostrava
blokování	bloquejant
blokování	bloqueja
blokování	bloc
definitivní	definida
definitivní	definit
ponorka	submarí
ponorka	sub
smíšený	mixta
smíšený	mixt
smíšený	mesclat
kritizoval	criticat
plošina	plataforma
plošina	altiplà
sedí	assegut
sedí	fits
hladina	nivell
uložen	emmagatzemada
uložen	emmagatzemat
svatební	boda
svatební	casament
udržuje	manté
abecedy	alfabet
povinné	obligatori
povinné	obligatòria
ústní	oral
ústní	orals
dně	bottom
dně	fons
tis	tis
řecká	grec
kapacitu	capacitat
odolnost	resistència
připojit	adjunta
připojit	uneix
připojit	connecta
zajímavý	interesant
zajímavý	interessant
classic	classic
classic	clàssic
přispívá	contribuint
přispívá	contribuir
přispívá	contribueix
vyhrát	guanyar
jídla	menjar
jídla	alimentació
jídla	àpats
jídla	menjars
vyvolat	evocar
turistika	turisme
turistika	excursionisme
turistika	senderisme
rozhovory	converses
rozhovory	entrevistes
plánované	planificat
plánované	planejat
kfar	kefar
radost	alegria
radost	feliç
office	despatx
office	office
office	oficina
odměny	recompenses
odměny	premia
odměny	retribucions
odměny	retribució
dědice	hereu
dědice	hereus
ukázat	mostra
ukázat	espectacle
impérium	imperi
podrobně	detallat
podrobně	detallats
roberto	roberta
roberto	roberto
ledu	gel
prozatímní	provisional
prozatímní	provisionals
obilí	gra
působnosti	àmbit
působnosti	abast
odborník	especialista
odborník	perit
odborník	expert
portály	portals
deklarace	declaració
upravené	editada
upravené	editat
upravené	modificats
upravené	modificades
upravené	modificat
přidání	sumant
přidání	afegir
přidání	afegeix
náměstek	adjunt
plod	fetus
chlapci	nois
chlapci	boys
organické	organic
organické	orgànic
organické	orgànica
revize	revisions
revize	revisió
indiana	indiana
morální	moral
koalici	coalició
double	doble
nelson	nelson
utrpení	patiment
utrpení	sofriment
utrpení	patint
utrpení	misèria
pseudonym	pseudònim
nářečí	là
závislé	dependent
báze	bases
báze	base
fotografování	fotografia
rozšiřuje	estén
vysoko	alta
vysoko	high
vysoko	alt
sadu	hort
ken	ken
luigi	luigi
rozšířený	prorrogat
rozšířený	ampliat
dobýt	conquerir
získávání	adquisició
vlastník	propietari
politiků	polítics
střela	disparat
střela	míssil
ptáky	polla
ptáky	aus
ptáky	ocells
ptáky	cigales
hluboko	deep
hluboko	profunds
hluboko	profund
definovat	definir
definovat	defineix
nacisty	nazis
eddie	eddie
snadné	fàcil
barry	barry
vizuální	visual
viditelné	visible
viditelné	visibles
pochod	març
pochod	march
dětská	nen
dětská	infant
trpěl	patit
hit	encertar
hit	hit
připojen	connectat
poznal	reconeguts
poznal	reconegut
vždycky	sempre
sankt	sankt
spiknutí	trama
spiknutí	conspiració
spiknutí	conspiracions
diskutovat	debatre
naději	esperançat
naději	esperança
nan	nan
stanoví	especifica
továrně	fàbrica
pořady	espectacles
křesťanská	christian
křesťanská	cristià
nepomuk	nepomuk
odhalení	revelació
odhalení	revelacions
pojmenoval	anomenat
cyril	cyril
keith	keith
toulouse	toulouse
toulouse	tolosa
terén	terreny
sociolog	sociòleg
trend	tendència
dno	bottom
dno	fons
přesvědčen	persuadir
přesvědčen	convençut
přesvědčen	convençuts
aktivista	activista
arabové	àrabs
císařovna	emperadriu
zachycuje	capta
aspekty	aspectes
souvislost	connexió
souvislost	vinculació
souvislost	enllaç
výuky	ensenyament
výuky	docència
nejoblíbenější	preferit
nejoblíbenější	favorit
pobočka	subdivisió
pobočka	sucursal
pobočka	branca
irena	irena
irena	irene
švýcarské	suís
ukládání	desant
ukládání	estalvi
dočasné	temporal
chaty	xats
chaty	cabina
chaty	cabana
fakta	fets
admirál	almirall
ontario	ontario
řazení	ranking
řazení	rànquing
tkáně	teixit
tkáně	teixits
orel	àguila
orel	àliga
orel	cues
jasný	neteja
jasný	clars
ozbrojené	armat
ozbrojené	armats
poskytl	aportada
jennifer	jennifer
podzimní	tardor
patnáct	quinze
tibetu	tibet
klíčové	tecla
klíčové	clau
tragédie	tragèdies
tragédie	tràgic
tragédie	tragèdia
kritické	crític
cenné	valuós
cenné	valuosa
faktor	factor
hebrejsky	hebreu
soudy	tribunals
příbuzný	relatiu
chodit	caminant
chodit	passeig
nežádoucí	indesitjables
vrah	killer
vrah	assassí
tvůrci	creadors
potenciální	potencials
potenciální	potencial
koho	qui
koho	who
souboj	duel
znečištění	contaminació
bytosti	éssers
léčení	curació
léčení	millorant
léčení	tractament
písničky	cançons
písničky	songs
vyžadují	exigeixen
vyžadují	requereixen
bolest	dolor
ploché	plànols
ploché	bemoll
ploché	plana
elitní	elit
peugeot	peugeot
ali	alí
ali	ali
opakování	recurrència
opakování	repeticions
opakování	repetició
roviny	avions
rozvíjí	desenvolupa
klasického	clàssica
bloků	blocs
ohně	incendis
doporučená	recomanats
doporučená	recomanada
doporučená	recomanable
doporučená	recomanat
sněhu	neu
sněhu	snow
veden	guiat
leonard	leonard
florencie	florence
florencie	florència
propagaci	promoció
vegas	vegas
stupnice	escala
zeleně	green
zeleně	verd
stuart	stuart
přehrada	presa
přehrada	embassament
přehrada	jaciment
kristina	kristina
menšiny	minoria
menšiny	minories
sebastian	sebastian
sebastian	sebastián
ted	ted
prokopa	procopi
odráží	reflectits
photo	foto
usnesení	resolucions
usnesení	resolució
stěna	paret
stěna	mur
tendence	tendències
tendence	tendencies
berdych	berdych
tma	foscor
tma	tenebres
madridu	madrid
počítačová	ordinador
prsten	anell
kořist	botí
kořist	presa
skladatelů	compositors
virginie	virgínia
virginie	virginia
účastníky	participants
demonstrace	demostració
demonstrace	manifestació
demonstrace	manifestacions
demonstrace	demostracions
demonstrace	mobilitzacions
posílení	enfortiment
posílení	reforç
posílení	reforçament
blood	sang
způsobilo	causat
způsobilo	ocasionat
způsobilo	provocada
metoděje	metodi
interní	intern
interní	interna
rohy	cantonades
rohy	racons
rohy	banyes
odstraněny	retirats
odstraněny	eliminat
tokio	tòquio
tokio	tokyo
spuštění	llançament
lotus	lotus
váhy	balança
váhy	lliura
váhy	peses
váhy	pesos
váhy	pes
váhy	barems
váhy	escales
váhy	escates
váhy	bàscula
závislá	dependent
závislá	addicte
závislá	addicta
marseille	marseille
marseille	marsella
bibliografie	bibliografia
hnědá	marró
hnědá	brown
potter	potter
charlotte	charlotte
charlotte	carlota
roland	roland
vlajku	bandera
těsné	ajustat
kibucu	quibuts
náboje	cartutxos
náboje	bales
náboje	pics
náboje	projectils
náboje	closques
indianapolis	indianapolis
náhradní	sobra
náhradní	recanvi
náhradní	substitució
sportovec	atleta
sportovec	esportista
sportovec	esportista
vykonává	realitza
vykonává	efectua
fyzika	física
warner	warner
krk	krk
krk	coll
rameno	espatlla
edmund	edmund
udělení	atorgament
pri	pri
klein	klein
automatické	auto
automatické	automàtica
automatické	automàtic
automatické	automàtica
oskar	oskar
oskar	òscar
oskar	oscar
živá	viure
živá	live
spektrum	espectre
integrace	integració
mediawiki	mediawiki
upozornit	notificar
upozornit	notifica
pečlivě	atentament
kardinála	cardenal
vyzval	impugnat
vyzval	impugnades
faktorů	factors
disciplíny	disciplina
disciplíny	disciplines
robinson	robinson
duo	duo
lékařská	mèdica
otevřeně	obertament
arch	arch
vražda	homicidi
vražda	assassinat
příjmy	ingrés
příjmy	ingressos
příjmy	rebuts
hnízdo	niu
rozlišuje	distingeix
knihovnu	biblioteca
argentiny	argentina
rozvod	divorci
poskytování	disposició
poskytování	provisió
spotřeba	consum
fyzicky	físicament
herců	actors
sofie	sofia
sofie	sophia
sofie	sofie
vítězslav	vítězslav
ponechání	retenció
bohatý	ric
bohatý	rich
bohatý	rics
výchova	nodrir
výchova	criança
konflikty	conflictes
konflikty	conflicte
main	main
main	principals
main	principal
růžové	pink
růžové	rosa
creek	creek
saturn	saturn
malba	pintura
šedé	gray
šedé	gris
šedé	grey
graham	graham
podloží	subsòl
atmosféru	atmosfera
nalezena	trobat
vánoce	nadal
byliny	herbes
byliny	herb
dánské	danès
kvartet	quartet
pořádání	acollir
sériové	serial
plavání	natació
výrazy	expressions
výrazy	termes
výrazy	condicions
popsat	descrigui
popsat	descriu
popsat	descriure
stewart	stewart
těžká	heavy
těžká	pesats
těžká	pesada
těžká	pesant
těžká	pesades
voličů	votant
voličů	electors
voličů	votants
mostů	ponts
svazky	feixos
svazky	volums
předsednictva	bureau
kódování	codificació
kódování	codificació
výměna	intercanvi
výměna	permuta
nesouhlasím	discrepen
vyjednávání	negociació
vyjednávání	negociant
vyjednávání	negociacions
smetana	crema
smetana	nata
zachovat	preserva
zachovat	preservar
zachovat	mantén
zaměstnance	empleat
zaměstnance	empleats
alberto	alberta
alberto	alberto
slovesa	verbs
příroda	natura
příroda	naturalesa
maďarská	hongarès
zubů	dents
formulace	formulacions
formulace	formulació
experimenty	experiments
experimenty	experimentació
šířku	amplada
kultur	cultures
obtížně	difícil
lidský	humà
lidský	humans
thompson	thompson
svatyně	santuari
svatyně	temple
jam	yam
jam	jam
jam	melmelada
magnetické	magnètic
norské	noruec
potlačení	repressió
subjektivní	subjectiu
lou	lou
omezit	restringeix
omezit	límit
nehody	accidents
úředníků	funcionaris
hrobky	tomba
hrobky	tombs
referendum	referèndum
referendum	referèndums
přepis	transcripció
přepis	transcripció
určeno	destina
larvy	larva
larvy	larves
reklamy	anuncis
reklamy	ads
reklamy	publicitat
vyhnout	evitar
vyhnout	evitat
tenis	tennis
bakterií	bacteris
uzel	node
uzel	nus
hostinec	inn
hostinec	hostal
ahoj	hola
léčby	tractament
filharmonie	filharmònica
ann	ann
obranné	defensiva
obranné	defensiu
bayern	bayern
návštěva	visitant
návštěva	visiteu
návštěva	visita
návštěva	visitant
limit	límit
pevný	sòlid
pevný	ferm
magic	màgia
přítomen	presents
přítomen	present
specifický	específics
specifický	específic
stáhnout	descàrrega
stáhnout	descarrega
stáhnout	retirar
tennessee	tennessee
hluboká	deep
hluboká	profunds
hluboká	profund
očekávání	anticipació
očekávání	expectatives
očekávání	expectativa
nowrap	nowrap
vyrobené	fetes
vyrobené	feta
vyrobené	fabricat
vyrobené	fabricats
vyrobené	produït
catherine	caterina
catherine	catherine
potřebují	necessitat
překonat	superar
víra	fe
víra	creença
harrison	harrison
swe	swe
joachim	joachim
okrsek	districte
spáchal	comès
marián	marián
specialista	especialista
strachu	temor
strachu	fear
strachu	por
erupce	erupció
masakr	massacre
nezávislá	independents
nezávislá	independent
bezprostřední	imminent
bezprostřední	immediata
bezprostřední	immediat
