zastupnici	mps
atom	aatom
mladu	pruut
leopard	leopard
lijep	mõnus
lijep	kena
lijep	nice
pijesak	liiv
pijesak	liiva
armenski	armeenia
konstantno	pidevalt
konstantno	pidevalt
konstantno	pidev
vaš	sinu
vaš	teie
castro	castro
raja	raja
raja	taevas
raja	paradiisi
raja	paradiis
manastira	kloostrid
full	täis
full	täielik
povećan	suurenenud
povećan	suurendatud
prefektura	prefektuur
opisati	kirjelda
opisati	kirjeldada
misu	missa
misu	massi
misu	mass
autonomna	autonoomne
spremnik	mahuti
spremnik	paak
spremnik	tanki
spremnik	tank
spremnik	konteiner
spremnik	mahuti
efekti	mõjud
efekti	mõju
efekti	toime
violinu	viiulit
violinu	viiul
violinu	viiul
povjerenstvo	komisjon
povjerenstvo	komisjoni
atmosfera	atmosfääri
atmosfera	atmosfäär
pristaše	toetajad
abraham	abraham
zvezda	täht
zvezda	tähe
zvezda	staar
ice	jää
ice	ice
ice	jääd
atrakcija	külgetõmme
atrakcija	atraktsioone
izjave	avaldused
lipa	huule
litve	leedus
litve	leedu
liang	liang
staklo	klaasi
staklo	klaasist
staklo	klaas
lang	lang
biskupi	piiskopid
negativno	negatiivne
negativno	negatiivsed
prestižnu	prestiižne
prince	vürst
prince	prints
prince	prince
gov	gov
leća	objektiivi
leća	läätsed
leća	läätsed
leća	läätsed
ponudi	paku
ponudi	pakkumine
ponudi	pakkuda
skladišta	ladu
skladišta	laohoone
skladišta	laod
ikona	ikoonilise
ikona	ikoon
ikona	ikooni
pueblo	pueblo
main	põhi
main	peamised
main	main
main	peamine
usmjerena	suunatud
prikazivanje	kuvatakse
zaključuje	järeldab
pećina	koobas
preci	esivanemad
dres	jersey
voyager	voyager
ralph	ralf
ralph	ralph
lišće	lehti
lišće	lehed
mještani	kohalikud
inspiriran	inspireeritud
lubanja	kolju
lubanja	pealuu
proze	proosa
pokrenula	käivitatud
mare	mare
mare	mära
projekcija	projektsioon
dominik	dominic
dominik	dominik
bear	mõmmi
bear	karu
kraći	lühem
primirje	vaherahu
primirje	vaherahu
studiji	studios
obnavlja	taastab
mitchell	mitchell
kljun	nokk
neprijatelji	vaenlased
izložen	paljastatud
podjelu	partitsiooni
tan	tan
luna	luna
zvjezdana	tähise
zabrane	keelud
fotograf	fotograaf
greben	riff
alen	allen
alen	alleni
božice	jumalannad
ain	ain
bože	jumal
make	make
ansambl	ansambel
divlji	wild
divlji	metsik
rijetka	harv
rijetka	harva
rijetka	haruldased
rijetka	haruldane
nichols	nichols
bon	bon
singer	singer
singer	laulja
joan	joan
hardcore	hardcore
nila	niiluse
otpornost	vastupidavus
spisateljica	kirjutaja
spisateljica	kirjanik
ten	tan
otpad	murd
otpad	jäägid
otpad	jäätmed
spremni	valmis
dvorište	õu
dvorište	hoovis
dvorište	tagahoovis
dvorište	õu
dvorište	õue
pogreške	vigu
pogreške	vead
pogreške	vead
lisa	lisa
oslobodio	vabastatud
marsa	mars
marsa	marss
kemija	keemia
groba	haud
groba	hauda
groba	haua
rossi	rossi
marketing	turustamise
marketing	turundus
marketing	turustamine
izložena	paljastatud
mlijeko	piima
mlijeko	piim
označeni	märgitud
označeni	märgistatud
znakove	sildid
znakove	märgid
znakove	märke
legije	leegionid
počast	andamit
tehničar	tehnik
gljiva	seened
gljiva	seene
generator	generaator
peruu	peruu
ispit	test
ispit	katse
ispit	eksami
ispit	eksam
tak	tak
poslužitelj	server
pomak	vahetus
pomak	nihe
pomak	shift
pomak	nihe
pomak	kompenseerida
inicijativa	algatuse
inicijativa	algatus
wien	wien
kreolski	kreooli
gubitaka	kahjum
gubitaka	kaod
jabuka	õun
jabuka	apple
jabuka	õuna
pearl	pearl
pearl	pärl
pearl	pärli
božanstvo	jumalus
božanstvo	jumalikkuse
morris	morris
nastava	õpetamine
nastava	õpetamise
nastava	klassid
nastava	tunnid
nedavni	hiljutine
nedavni	hiljutised
vjerska	usklik
vjerska	religioosne
baterije	patarei
baterije	aku
baterije	patareid
baterije	akud
meksički	mehhiko
meksički	mehhiklane
sicilije	sitsiilia
ćelija	rakk
ćelija	lahter
ćelija	rakkude
ćelija	raku
ćelija	lahtri
shvati	mõista
rothschild	rothschild
uvjerenja	uskumused
brojeve	numbrid
pjevao	laulis
pjevao	sang
pjevao	laulsid
krater	kraater
vitamin	vitamiin
vitamin	vitamiini
aplikacija	taotlus
aplikacija	rakendus
aplikacija	kohaldamine
aplikacija	app
aplikacija	rakendus
torino	torino
igračke	mänguasjad
šupljine	õõnsus
spašavanje	päästmine
spašavanje	salvestamine
spašavanje	säästmine
spašavanje	päästmine
spašavanje	päästa
spašavanje	pääste
wei	wei
stambene	elamu
glover	glover
čuda	imesid
čuda	imed
čuda	imesid
dublje	sügavam
dublje	sügavamal
dublje	sügavamalt
dublje	sügavamale
opsada	piiramine
springs	vedrud
prodor	läbimurre
turista	turist
turista	turistid
kampanja	kampaania
obveze	kohustused
obveze	kohustused
obveze	kohustus
puebla	puebla
mara	mara
odredište	sihtkoht
drvena	puust
drvena	puidust
drvena	puit
pošta	mail
pošta	post
pošta	kirjad
pošta	posti
predavač	lektor
predavač	õppejõud
fontana	fontana
fontana	purskkaev
fontana	purskkaevud
sektora	sektor
sektora	sektorid
faust	faust
duke	vürst
duke	duke
duke	hertsog
andreas	andreas
piramide	püramiid
piramide	püramiidid
glad	näljahäda
glad	nälg
zeleno	roheline
dick	munn
dick	dick
izbjeglice	pagulased
izbjeglice	pagulaste
spojena	ühendatud
spojena	ühinenud
zastupljenost	esindus
zastupljenost	esindatus
izumio	leiutatud
izumio	leiutas
izvješća	ettekanded
izvješća	aruanded
izvješća	raportid
zabave	peod
zabave	osalised
sánchez	sánchez
siriji	süüria
postojeći	olemasolevad
postojeći	olemasolev
standardna	standardne
standardna	standard
aluminija	alumiiniumi
aluminija	alumiinium
aluminija	alumiiniumist
aluminija	alumiinium
vozi	sõida
donald	donald
naredbe	käsud
naredbe	korraldused
naredbe	käsud
naredbe	tellimused
umjetni	kunstlik
profesionalno	professionaal
profesionalno	professionaalne
profesionalno	ametialane
profesionalno	professionaalselt
okus	maitsed
okus	maitse
tropske	troopiline
canis	canis
almanah	almanahh
poplava	üleujutuste
poplava	üleujutus
poplava	üleujutus
poplava	üleujutused
poplava	üleujutused
sergio	sergio
primjeni	rakenda
primjeni	kehti
tramvaj	trammi
tramvaj	tramm
tramvaj	tramm
kraljevsko	kuninglik
kraljevsko	royal
kraljevsko	kuninglikud
sim	sim
bosanskih	bosnia
leone	leone
leone	leon
probiti	tungida
urb	urb
ukratko	lühidalt
ukratko	lühike
ukratko	lühikesed
pjevala	laulis
pjevala	sang
pjevala	laulsid
japansko	jaapani
japansko	jaapanlased
pečat	pitser
pečat	tempel
pečat	pitser
pečat	pitsat
prehrane	toitumine
prehrane	toitumise
natječaj	pakkumise
natječaj	pakkumine
natječaj	võistlus
natječaj	konkurss
violina	viiulit
violina	viiul
maxim	maksim
počinio	pühendunud
proteina	valk
proteina	proteiin
proteina	valgud
odbacio	rahuldamata
lyon	lyoni
osvajača	sissetungijad
barcelone	barcelona
augustin	augustin
miles	miles
miles	miili
zrcala	peeglid
zaštitnika	patroon
esej	essee
izbijanja	puhang
postizanje	saavutamine
postizanje	jõudmine
postizanje	jõuda
konvencije	konventsioonid
konvencije	konventsiooni
konvencije	konventsioon
odražava	kajastades
odražava	peegeldab
odražava	kajastab
iznutra	sees
grijeha	patu
grijeha	patt
bratstvo	vennaskonna
