dhe	và
një	xả
një	một
një	one
nga	khỏi
nga	từ
për	cho
edhe	chính
tij	ngành
nuk	không
nuk	ko
ishte	aw
ishte	bị
janë	re
janë	đang
janë	là
shumë	cực
shumë	rất
por	nhưng
pas	theo
pas	sau
këtë	này
parë	thấy
tyre	nhị
tyre	them
tyre	cói
tyre	chúng
tyre	họ
gjatë	lâu
gjatë	dài
gjatë	long
disa	cầy
lidhje	xích
lidhje	links
lidhje	hã
lidhje	link
kjo	này
kjo	thế
kjo	rằng
kjo	điều
kjo	mà
kjo	vn
kur	khi
mbi	qua
mbi	hết
mbi	over
mbi	trên
saj	its
saj	her
saj	cổ
kishte	nan
kishte	xịt
ajo	cổ
vetëm	độc
vetëm	chỉ
vetëm	duy
vetëm	chỉ
vetëm	funny
ata	them
ata	cói
ata	chúng
ata	họ
ata	những
ata	quất
ata	những
ata	chúng
ata	họ
tjera	khác
pjesë	phần
pjesë	saga
pjesë	part
pjesë	phần
shqiptare	albania
madhe	lớn
madhe	to
madhe	đúc
madhe	đại
madhe	big
rreth	khoảng
rreth	về
rreth	ban
rreth	khoảng
rreth	vòng
para	tiền
para	tien
para	cash
para	trước
per	khoảng
per	về
per	ban
per	cho
këto	những
komuna	municipality
cila	mà
nje	xả
nje	một
nje	one
kundër	dũng
kundër	chống
lista	kê
lista	list
lista	danh
qenë	lơn
qenë	tụt
qenë	cẩu
kantoni	tổng
kantoni	canton
gjithashtu	cũng
ndërsa	phiêu
ndërsa	mens
cilat	mà
ndryshme	khác
ndryshme	divergent
etj	etc
etj	vv
duhet	cần
duhet	phải
ato	them
ato	cói
ato	chúng
ato	họ
ato	quất
ato	những
ato	chúng
ato	họ
ato	những
përgjithshëm	tướng
përgjithshëm	chung
tjetër	khác
tjetër	kế
tjetër	tiếp
tjetër	kit
njohur	quen
njohur	quen
shqiptar	albania
style	style
dytë	giây
mirë	tốt
mirë	hay
mirë	ngon
fundit	cuối
pasi	theo
pasi	sau
shiko	xem
shiko	xem
shiko	nhìn
nën	dưới
nën	sub
nën	dưới
nën	under
jpg	jpg
herë	gấp
herë	lần
herë	times
viti	năm
sot	nay
çdo	mỗi
çdo	hằng
çdo	any
lartë	cao
kosovës	kosovo
komunë	municipality
jetë	đời
bërë	lam
bërë	xong
mes	trung
mes	giữa
mes	đọng
mes	mid
mes	giữa
vonë	sen
vonë	trễ
vonë	khuya
vonë	muộn
vend	quốc
vend	nơi
vend	chỗ
shqipëri	albania
pak	nhỏ
pak	tiểu
pak	hơi
francë	pháp
fshat	quê
fshat	làng
kryetari	loa
vendosur	nằm
pasur	nan
pasur	xịt
pasur	vương
pasur	giàu
pasur	rich
sepse	vì
sepse	chi
kishin	nan
kishin	xịt
vitet	chèo
vitet	năm
tre	triplets
tre	tre
tre	ba
tre	three
fund	váy
fund	dâu
fund	end
fund	kết
marrë	taken
marrë	bắt
marrë	chụp
tjerë	khác
mbreti	king
mbreti	guy
mbreti	vua
midis	giữa
vogël	xíu
vogël	tiny
kosovë	kosovo
vjet	chèo
vjet	năm
pastaj	rồi
shtetit	bang
tiranë	tirana
kombëtare	gạt
emrin	tên
ish	cựu
mars	march
mars	mars
file	tệp
file	file
lindur	sinh
lindi	lindi
lindi	lindy
lindi	sinh
kryesore	chính
kryesore	main
qyteti	phố
qyteti	phố
qyteti	by
qershor	june
pse	sao
maj	may
vetë	self
vetë	tự
thotë	nói
vet	ngành
brenda	brenda
shteteve	kỳ
ditë	ngày
ditë	day
ditë	ngày
shkurt	tháng
shkurt	bài
shkurt	ngắn
shkurt	short
shkurt	lá
vjetër	cũ
vjetër	tuổi
vjetër	già
kodi	code
kodi	mã
monark	symposiachrus
monark	monarch
mbret	king
mbret	guy
mbret	vua
gjuhën	lưỡi
gjuhën	ngữ
tani	giờ
tani	ngay
frëngjisht	pháp
shtetet	kỳ
shume	cực
shume	rất
shume	nhiều
gusht	august
shba	kỳ
shba	mỹ
shba	usa
pranë	cạnh
pranë	gần
top	nắp
top	top
top	đỉnh
katër	bốn
rëndësishme	trọng
prishtinë	pristina
jashtë	ngoài
jashtë	ra
jashtë	tứ
shën	saint
shën	thánh
qytet	phố
qytet	phố
qytet	by
këtu	đây
përdorur	phơi
faqja	page
faqja	trang
aty	kia
aty	đó
nëpër	qua
krijuar	tạo
del	del
zona	zone
zona	múi
zona	vùng
zona	loạt
zona	vực
zona	vùng
këshilltarëve	councillors
vit	năm
përfshirë	gồm
përfshirë	kèm
data	ngày
kryesor	chính
kryesor	main
kryesor	chính
emri	tên
jane	jane
new	new
new	mới
new	sâm
isbn	isbn
zakonisht	thuồng
zakonisht	thường
reja	new
reja	mới
reja	sâm
qarkun	quận
