magnolia	magnolia
informare	briefing
informare	unterrichtung
informare	besprechung
populatii	bevölkerung
populatii	populationen
populatii	bevölkerungen
bere	biere
bere	biergarten
bere	bier
solicitat	beantragt
solicitat	angefordert
solicitat	beantragte
solicitat	gewünscht
solicitat	verlangt
mandatul	beschluss
mandatul	vollmacht
mandatul	haftbefehl
mandatul	mandat
mandatul	auftrag
cape	cape
cape	kap
cape	umhang
cape	kapstadt
expert	fachmann
expert	experten
expert	experte
expert	sachverständiger
expert	sachverständige
zahar	saccharose
zahar	zuckergehalt
zahar	zucker
zahar	sugar
zahar	zuckergehalt
zahar	zucker
zahar	sugar
wagner	wagner
calugar	mönch
calugar	monk
calugar	mönch
calugar	monk
titu	titu
scandal	skandal
scandal	skandalös
scandal	affäre
scandal	skandale
digitala	digitalkamera
digitala	digitalen
digitala	digitales
digitala	digitale
digitala	digital
mentiune	begriff
fals	falschen
fals	falsch
fals	false
fals	falsche
fals	falsches
fals	gefälscht
fals	fälschung
fals	fake
ruta	streckenführung
ruta	route
ruta	anfahrt
ruta	strecke
ruta	streckenführung
ruta	route
ruta	anfahrt
ruta	strecke
clement	clément
clement	clément
clement	clement
liberi	frei
liberi	kostenlose
liberi	kostenlos
liberi	free
liberi	freien
arhiducele	erzherzog
amintirea	erinnerungen
amintirea	gedächtnis
amintirea	erinnerung
amintirea	arbeitsspeicher
amintirea	speicher
medicamente	medikamenten
medicamente	drogen
medicamente	arzneimittel
medicamente	medizin
medicamente	medikamenten
medicamente	medikamente
intrebat	gebeten
intrebat	fragte
intrebat	fragt
intrebat	gefragt
intrebat	gebeten
intrebat	fragte
intrebat	fragt
intrebat	gefragt
stari	staaten
stari	launen
stari	stimmungen
stari	stari
colaborator	beitrag
colaborator	mitwirkenden
opiniile	gutachten
opiniile	stellungnahmen
opiniile	meinungen
opiniile	meinung
lunar	monatlich
lunar	monat
lunar	monats
lunar	monatliche
lunar	monatlichen
lunar	lunar
omenirii	menschheit
celulele	zelle
celulele	zellen
percutie	percussion
percutie	schlagzeug
short	kurze
short	kurzer
short	short
short	kurz
short	kurzen
depaseste	überschreitet
depaseste	übersteigt
baron	freiherr
baron	baron
suficienta	hinreichend
suficienta	genügend
suficienta	ausreichende
suficienta	ausreichend
suficienta	ausreichenden
atelier	werkstatt
atelier	workshop
atelier	workshops
atelier	werkstätten
barry	barry
mercur	mercury
mercur	quecksilber
mercur	merkur
tun	kanone
tun	cannon
tun	kanonen
tun	tun
cresc	anbauen
cresc	wachsen
cresc	wächst
concluzie	fazit
concluzie	abschluss
concluzie	schlußfolgerung
concluzie	schlussfolgerung
admis	zugegeben
admis	aufgenommen
admis	zugelassen
astrofizica	astrophysik
egalitate	gleichberechtigung
egalitate	gleichstellung
egalitate	gleichbehandlung
egalitate	gleichheit
egalitate	chancengleichheit
domnit	herrschte
identificare	identifizierung
identificare	kennzeichnung
identificare	kennung
identificare	identifikation
astronomic	astronomischen
astronomic	astronomische
demonstreaza	nachweisen
demonstreaza	demonstrieren
demonstreaza	nachweisen
demonstreaza	demonstrieren
ideal	idealen
ideal	ideal
ideal	idealer
ideal	ideale
ungureanu	ungureanu
gasita	gefunden
gasita	fanden
gasita	fand
haine	bekleidung
haine	kleidung
haine	klamotten
haine	kleider
structurii	strukturen
structurii	aufbau
structurii	gliederung
structurii	struktur
abdallah	abdullah
abdallah	abdallah
repetat	wiederholen
repetat	wiederholten
repetat	wiederholte
repetat	wiederholt
repetat	mehrfach
repetat	wiederholt
tinere	jung
tinere	jungen
tinere	jugend
tinere	junge
gros	dicken
gros	dick
gros	dicker
gros	dicke
calendar	kalenders
calendar	veranstaltungskalender
calendar	kalender
calendar	terminkalender
patrimoniu	kulturerbe
patrimoniu	denkmalschutz
patrimoniu	welterbe
patrimoniu	erbe
vocale	vokale
vocale	gesang
vocale	vocal
vocale	lautstark
donat	gespendet
donat	spendete
donat	gestiftet
dakota	dakota
valle	valle
mansur	mansur
susan	susanne
susan	susan
holt	holt
federala	federal
federala	bundes
pont	pont
pont	tipp
pont	trinkgeld
pont	tip
pont	spitze
inlocuirea	ersetzen
inlocuirea	ersetzung
inlocuirea	ersatz
inlocuirea	ersetzen
apple	äpfel
apple	apfel
apple	apple
nepenthes	nepenthes
dame	dame
dame	dame
