atomi	atomok
bratstva	testvériség
bratstva	testvériség
diktature	diktatúra
poštovanje	tiszteletet
poštovanje	tisztelet
nude	kínál
jar	jar
obična	közönséges
obična	hétköznapi
imanje	birtok
rama	rama
zatvara	bezárja
zatvara	zár
zatvara	bezár
bilja	gyógynövény
bilja	gyógynövények
mons	mons
ferrari	ferrari
povod	alkalom
reagira	reagál
reagira	fogékony
reagira	reagáló
barnard	barnard
dokazuje	bizonyítja
goveda	marha
goveda	szarvasmarha
goveda	marhák
goveda	szarvasmarhák
argentinski	argentína
argentinski	argentin
komunistički	kommunisták
komunistički	kommunista
moskvu	moszkvai
moskvu	moszkvában
moskvu	moszkva
stavi	rakd
stavi	tedd
obećao	megígérte
obećao	ígéret
obećao	ígért
obećao	megígértem
znajući	tudván
znajući	ismerve
znajući	tudva
zaštićeni	védett
hughes	hughes
vidljive	látható
procese	folyamatok
procese	eljárások
izbjegao	kerülni
curtis	curtis
marx	marx
ujedinjeni	united
ujedinjeni	egyesült
opcija	opció
opcija	lehetőség
temeljni	alapvető
ovisnost	függőség
ovisnost	függőség
plinovi	gázok
čuvanje	őrzi
čuvanje	megtartása
čuvanje	tartása
tunela	alagutak
tunela	alagút
dennis	dennis
arterija	artéria
bor	fenyő
bor	pine
položio	elhunyt
hendrix	hendrix
financija	pénzügyi
financija	pénzügyek
financija	finanszírozás
obljetnica	évforduló
obljetnica	évfordulója
obljetnica	évfordulót
lorenzo	lorenzo
apsolutno	abszolút
salvador	salvador
građanin	polgár
građanin	állampolgár
građanin	polgárok
dario	dario
vjerovali	hittem
vjerovali	hitte
vjerovali	megbízható
radno	munkahelyi
radno	munka
radno	dolgozó
radno	dolgozik
radno	dolgozom
radno	dolgozok
mirage	mirage
preživjelih	túlélő
preživjelih	túlélők
opisana	leírt
okružuje	körülvevő
okružuje	környező
zrakom	levegőben
naučiti	tanulni
naučiti	tanuljon
naučiti	tanul
hebrejski	héber
albanija	albánia
balada	balladát
srbe	szerbek
wolfgang	wolfgang
aerodrom	reptér
aerodrom	repülőtér
din	din
din	dean
din	dékán
slavenski	szláv
zastupnici	törvényhozók
atom	atom
mladu	menyasszony
leopard	leopárd
leopard	párduc
lijep	szep
lijep	szép
pijesak	homok
armenski	örmény
konstantno	folyamatosan
konstantno	folyamatosan
konstantno	állandóan
konstantno	állandó
konstantno	folyamatos
castro	castro
raja	mennyben
raja	mennyország
raja	menny
raja	paradicsom
raja	mennyország
raja	paradise
manastira	kolostorok
full	full
full	teljes
povećan	fokozott
povećan	emelkedett
povećan	megnövelt
povećan	megnőtt
povećan	megnövekedett
povećan	nőtt
prefektura	prefektúra
opisati	ismertesse
opisati	leírni
misu	tömeges
misu	tömege
misu	mise
misu	tömeg
autonomna	autonóm
autonomna	önálló
spremnik	tartály
spremnik	tank
spremnik	tároló
spremnik	tartály
spremnik	konténer
efekti	hatások
efekti	hatásai
efekti	hatás
violinu	hegedű
violinu	hegedű
povjerenstvo	bizottság
povjerenstvo	jutalék
povjerenstvo	jutalékot
atmosfera	légkör
atmosfera	atmoszféra
atmosfera	hangulat
pristaše	támogatók
pristaše	támogatói
abraham	ábrahám
abraham	abraham
zvezda	csillagos
zvezda	csillag
zvezda	sztár
ice	jég
ice	ice
atrakcija	vonzalom
atrakcija	látnivalók
izjave	kimutatások
izjave	állítások
izjave	nyilatkozatok
lipa	lip
litve	litvániában
litve	litvánia
liang	liang
staklo	glass
staklo	üveg
staklo	pohár
lang	lang
biskupi	püspökök
negativno	negatív
prestižnu	rangos
prestižnu	tekintélyes
milovan	milovan
biljni	gyógynövény
zapošljava	foglalkoztat
zapošljava	alkalmaz
prince	herceg
prince	prince
leća	objektív
leća	lencse
leća	lencse
leća	lencsék
leća	lencse
ponudi	ajánlat
ponudi	ajánlatot
skladišta	raktár
skladišta	raktárban
skladišta	raktárak
ikona	ikonikus
ikona	ikon
pueblo	pueblo
velebit	velebit
main	fő
main	main
main	főbb
magnitude	nagysága
usmjerena	rendezte
usmjerena	rendezett
usmjerena	irányított
pećina	barlang
pećina	barlangot
preci	őseink
preci	ősök
dres	jersey
voyager	voyager
ralph	ralph
lišće	levelek
mještani	helyiek
inspiriran	inspirált
lubanja	koponya
lubanja	koponyát
proze	próza
pokrenula	elindított
pokrenula	indított
mare	mare
dominik	dominic
dominik	dominik
bear	medve
bear	bear
bear	mackó
bear	maci
kraći	rövidebb
primirje	fegyverszünet
primirje	fegyverszünet
studiji	studios
obnavlja	helyreállítja
mitchell	mitchell
kljun	csőre
neprijatelji	ellenségek
neprijatelji	ellenségei
neprijatelji	ellenség
izložen	kitett
podjelu	partíció
tan	tan
luna	luna
zvjezdana	csillagos
zabrane	tilalmak
fotograf	fotós
fotograf	fényképész
greben	zátony
alen	allen
božice	istennők
ain	ain
bože	isten
ansambl	együttes
edo	edo
divlji	wild
divlji	vadon
divlji	vadak
divlji	vad
rijetka	ritka
nichols	nichols
bon	bon
singer	énekesnő
singer	énekes
singer	singer
joan	joan
joan	jeanne
hardcore	kőkemény
hardcore	hardcore
nila	nílus
otpornost	rugalmasság
otpornost	rugalmasságát
spisateljica	író
ten	tan
otpad	törmelék
otpad	pazarlás
otpad	hulladék
otpad	hulladékok
intermedia	intermedia
spremni	kész
dvorište	udvar
dvorište	udvarra
dvorište	udvaron
dvorište	udvar
dvorište	yard
dvorište	hajógyár
dvorište	udvaron
dvorište	udvar
pogreške	hibák
pogreške	hibákat
pogreške	hibák
pogreške	hibákat
lisa	lisa
lisa	liza
oslobodio	freed
marsa	marsi
marsa	marson
marsa	mars
kemija	kémia
groba	sírba
groba	sír
siska	sisko
rossi	rossi
marketing	marketing
marketing	értékesítés
marketing	forgalmazás
izložena	kitett
mlijeko	tejjel
mlijeko	tej
mlijeko	tejet
označeni	megjelöltek
označeni	megjelölt
