جانداران	fauna
جولی	julie
ساختگی	attrap
شارلوت	charlotte
اتوماتیک	automatiske
اتوماتیک	automatisk
اتوماتیک	automatgear
لوید	lloyd
گاندی	gandhi
ثانی	sani
ثانی	thani
گریه	græd
گریه	græder
گریه	tud
گریه	græde
گریه	gråd
گریه	græd
گریه	græder
گریه	tuder
ذات	storslåethed
واگن	vogn
لئونارد	leonard
راد	rad
راد	rod
راد	ke
راد	stang
هفتگی	ugentlig
هفتگی	ugentligt
مستمر	kontinuerlig
مستمر	fortløbende
مستمر	løbende
مستمر	kontinuerligt
مستمر	kontinuert
مستمر	erhverv
مارسی	marseille
مارسی	marcy
مارسی	marseille
مارسی	marseilles
درامز	trommerne
درامز	trommer
درامز	tromler
درامز	tønder
مرتکب	forpligte
مرتکب	begå
مرتکب	forpligte
مرتکب	begår
تدریجی	gradvist
تدریجی	gradvis
مستندات	dokumentation
رقابتی	konkurrencedygtige
رقابتی	konkurrencedygtig
کسری	underskuddet
کسری	underskud
کسری	fraktioneret
نخ	garn
نخ	tråd
میلیمتر	millimeter
میلیمتر	millimeter
شاعری	poet
شاعری	digter
سیارات	planetariske
سیارات	planeterne
سیارات	planeter
مخالفم	uenig
مخالفم	uenige
روشنفکران	intellektuelle
غلات	korn
غلات	cornflakes
پاسکال	pascal
مقدونی	makedonske
ترغیب	overtalelse
عطر	parfume
هجده	atten
هجده	eighteen
آندری	andrej
آندری	andrej
آندری	andrei
عنکبوت	edderkoppen
عنکبوت	spider
عنکبوت	edderkop
قیاس	monumental
قیاس	analogi
بازیافت	genbrug
بازیافت	genbruge
بازیافت	genbrug
بازیافت	genvinding
بازیافت	genanvendelse
بازیافت	recirkulering
موس	moose
موس	elg
مؤسسات	institutioner
مؤسسات	institutionerne
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	oplevelser
تجربیات	erfaringer
ریاضیدان	matematiker
خونین	blodigt
کافه	cafeen
کافه	cafe
کافه	caféen
کافه	café
کافه	cafe
کافه	café
لیل	lil
لیل	lille
دستان	hænder
دستان	hænderne
فروشی	shop
فروشی	butik
فروشی	forretning
فروشی	shoppe
دریک	drake
مراسمی	ceremoni
مراسمی	højtidelighed
مراسمی	ceremonien
مراسمی	ceremonier
مراسمی	ceremonier
نصرت	nusrat
گشتی	patruljen
گشتی	patruljere
گشتی	patruljer
گشتی	patrulje
مرجان	koral
پلاسما	plasma
سقراط	socrates
سقراط	sokrates
بوتان	bhutan
تعمیم	generalisering
باردار	gravide
باردار	drægtige
باردار	gravid
مالیاتی	afgift
مالیاتی	skatte
مالیاتی	skatter
مالیاتی	afgifter
تداوم	vedholdenhed
تداوم	stædighed
تداوم	ihærdighed
تداوم	udholdenhed
سینت	sint
آریا	aria
آریا	arya
گزیده	bidt
گزیده	selektivt
گزیده	selektive
گزیده	selektiv
بره	vædder
بره	aries
دیوارها	vægge
دیوارها	væggene
دیوارها	murer
دیوارها	mure
افراطی	yderliggående
افراطی	ekstremistiske
افراطی	ekstrem
افراطی	ekstremt
افراطی	ekstreme
آژاکس	ajax
فرشتگان	engle
فرشتگان	angels
فرشتگان	englene
جیوه	kviksølv
جیوه	mercury
فاضلاب	kloakken
فاضلاب	kloak
فاضلاب	kloakker
فاضلاب	spildevand
فاضلاب	kloakering
فاضلاب	kloak
فاضلاب	kloakkerne
فاضلاب	kloak
فاضلاب	kloakker
وادی	wadi
لیاقت	fortjener
لیاقت	fortjene
لیاقت	fortjent
لیاقت	fortjeneste
جودی	judy
حفر	graver
حفر	grav
حفر	grave
حفر	udgravning
حفر	graver
حفر	grave
شعله	flamme
شعله	flammen
شعله	flammer
شعله	flammerne
شعله	flammer
کوچولو	små
کوچولو	lille
تلفیق	fusion
تلفیق	sammenslutning
تلفیق	sammenlægning
تلفیق	blander
تلفیق	blanding
تلفیق	blande
فک	kæben
فک	kæbe
زعفران	safran
تعاریف	definitioner
دامن	nederdel
دامن	nederdele
گیلمور	gilmour
گیلمور	gilmore
مفصلی	gigt
مفصلی	arthritis
گیتاریست	guitarist
گوینده	oplæser
حرام	ulovligt
حرام	ulovlige
حرام	ulovlig
حرام	forbudte
حرام	forbudt
حرام	forbudte
حرام	forbudt
محراب	alteret
محراب	alter
محراب	fristed
محراب	helle
اقیانوسی	oceanic
اقیانوسی	havet
اقیانوسی	hav
اقیانوسی	ocean
گیتی	univers
گیتی	universet
گیتی	kosmos
رید	reid
رید	reed
عموی	onkel
عموی	uncle
عموی	farbror
جودو	judo
پژو	peugeot
رجایی	rajai
مسائلی	problemer
بالاتری	højere
تامیل	tamilske
نوسنگی	neolitisk
کورت	curt
کورت	kurt
خطبه	prædiken
نزاع	tvister
نزاع	tvist
نزاع	strid
نزاع	uoverensstemmelse
نزاع	strid
نزاع	konflikten
نزاع	konflikter
نزاع	konflikt
نزاع	skændes
نزاع	skænderi
داروین	darwin
غواصی	dykning
غواصی	dykker
غواصی	dykker
غواصی	dykke
غواصی	dyk
بلوط	kastanje
بلوط	agern
بلوط	kastanjer
بلوط	balut
بلوط	egetræ
بلوط	eg
بلوط	oak
دستورات	kendelser
دستورات	ordre
دستورات	bestillinger
دستورات	ordrer
تقارن	symmetri
رونمایی	afsløret
اسراییل	israel
اسراییل	israelsk
اسراییل	israelske
اسراییل	israelsk
اسراییل	israelere
اشباع	mætning
اشباع	mættet
اشباع	mættede
کوئین	quinn
پلاتین	platin
پشتیبان	understøttelse
پشتیبان	support
پشتیبان	støt
پشتیبان	støtte
پشتیبان	backup
پشتیبان	forstærkning
اسکندریه	alexandria
مرکوری	kviksølv
مرکوری	mercury
پخت	kogning
پخت	koge
پخت	madlavning
پخت	bager
پخت	bage
موری	maury
موری	murray
تضعیف	underminere
تضعیف	underminering
تضعیف	undergraver
تضعیف	underminerer
تضعیف	dæmpning
تضعیف	svækker
تضعیف	svækkelse
تضعیف	svække
تضعیف	svækket
خزانه	statskassen
خزانه	finansministeriet
خزانه	statskasse
شهروندی	borgerskab
شهروندی	medborgerskab
شهروندی	statsborgerskab
شهروندی	unionsborgerskab
شهروندی	statsborger
شهروندی	borgeren
شهروندی	borger
فین	finn
زانو	knæ
زانو	knæet
زانو	knæ
زانو	knæene
آرنا	arena
فلش	flash
فلش	blitz
فلش	blink
ناتمام	ufærdige
ناتمام	uafsluttede
ناتمام	ufuldstændigt
ناتمام	ufuldstændige
ناتمام	ufuldstændig
ورنر	werner
تنبیه	straffes
تنبیه	straffede
