और	dan
से	dari
है	hai
एक	satu
एक	one
श्रेणी	kategori
श्रेणी	deret
श्रेणी	series
श्रेणी	seri
श्रेणी	kategori
भी	even
भी	genap
भी	bahkan
भी	juga
भी	terlalu
भी	too
यह	ini
किया	selesai
किया	beres
किया	dilakukan
किया	done
इस	ini
हैं	adalah
हैं	are
कि	that
कि	itu
कि	bahwa
कि	yang
भारत	india
जो	joe
जो	siapa
जो	who
ही	hee
रूप	formulir
रूप	membentuk
रूप	form
रूप	bentuk
रूप	penampilan
रूप	tampil
रूप	tampilan
कर	pajak
कर	tax
कर	pajak
नहीं	not
नहीं	bukan
नहीं	tidak
नहीं	nope
उत्तराखण्ड	uttarakhand
साथ	along
साथ	sepanjang
साथ	dengan
साथ	bareng
साथ	together
साथ	bersama
पूर्व	east
पूर्व	timur
पूर्व	mantan
होता	akan
बाद	kemudian
बाद	nanti
बाद	sesudah
बाद	after
बाद	setelah
तक	hingga
तक	sampai
तक	till
तक	tak
अपने	own
अपने	sendiri
अपने	your
जिले	distrik
था	euy
था	was
राज्य	negara
राज्य	negara
राज्य	keadaan
राज्य	state
बाहरी	outdoor
बाहरी	outer
बाहरी	eksternal
बाहरी	outdoor
कुछ	some
कुछ	beberapa
कुछ	something
कुछ	sesuatu
ईसा	yesus
ईसा	jesus
गाँव	kampung
गाँव	dusun
गाँव	desa
गाँव	village
सरकार	merinding
सरकार	pemerintah
सरकार	pemerintahan
कड़ियाँ	rantai
कड़ियाँ	taut
कड़ियाँ	pranala
कड़ियाँ	link
कड़ियाँ	tautan
कड़ियाँ	links
प्रदेश	daerah
प्रदेश	wilayah
प्रदेश	provinsi
प्रदेश	region
प्रदेश	kawasan
इसके	menta
इसके	its
दिया	diberikan
दिया	diberi
अन्य	lain
अन्य	lainnya
अन्य	lain
अन्य	lainnya
जा	jaa
वर्ष	tahun
वर्ष	tahun
वर्ष	year
समय	timing
समय	kali
समय	waktu
समय	waktunya
समय	time
नाम	nama
वे	mereka
प्रकार	kind
प्रकार	jenis
प्रकार	jenis
प्रकार	tipe
प्रकार	ketik
प्रकार	jenis
प्रकार	tipe
भारतीय	indian
भारतीय	india
भारतीय	hindia
किसी	seseorang
किसी	someone
तहसील	tehsil
क्षेत्र	daerah
क्षेत्र	wilayah
क्षेत्र	luas
क्षेत्र	kawasan
क्षेत्र	area
क्षेत्र	daerah
क्षेत्र	wilayah
क्षेत्र	provinsi
क्षेत्र	region
क्षेत्र	kawasan
क्षेत्र	area
अधिक	selengkapnya
अधिक	lebih
अधिक	lainnya
अधिक	lagi
कई	banyak
कई	beberapa
वाले	wale
स्थित	berlokasi
स्थित	bertempat
स्थित	terletak
मण्डल	zona
मण्डल	zone
आधिकारिक	official
आधिकारिक	resmi
कारण	alasan
कारण	alasannya
कारण	alasan
कारण	penyebab
कारण	sebab
कारण	sebabkan
कारण	cause
कारण	menyebabkan
कारण	penyebabnya
कारण	penyebab
कारण	menyebabkan
होने	being
होने	menjadi
जैसे	suka
जैसे	sukai
जैसे	seperti
जैसे	like
करता	pengganggu
उनके	mereka
सबसे	kebanyakan
सबसे	paling
हिन्दी	hindi
बहुत	sangat
पहले	sebelum
पहले	sebelumnya
पहले	before
पहले	ago
पहले	silam
पहले	sebelumnya
पहले	tadi
पहले	pertama
पहले	duluan
पहले	dulu
पहले	first
अपनी	own
अपनी	sendiri
अपनी	duniawi
दो	dua
दो	two
जिला	distrik
जिला	kecamatan
जिला	raionul
जिला	kabupaten
जिला	daerah
जब	kapan
जब	saat
जब	apabila
जब	ketika
उन्होंने	mereka
जन्म	born
जन्म	lahir
जन्म	terlahir
जन्म	dilahirkan
जन्म	kelahiran
जन्म	lahir
कोई	koi
कोई	setiap
कोई	sembarang
कोई	any
इन	inn
इन	penginapan
लेकिन	tapi
लेकिन	tetapi
ये	ini
कम	rendah
कम	low
कम	kurang
कहा	said
कहा	berkata
कहा	mengatakan
कहा	katanya
कहा	kata
लोग	rakyat
लोग	orang
लोग	people
आदि	dll
आदि	selengkapnya
आदि	lebih
आदि	lainnya
आदि	lagi
आदि	adi
उसके	his
उसके	nya
उसके	nya
उसके	her
प्राचीन	primitif
प्राचीन	kuno
प्राचीन	praetor
देखें	menonton
देखें	watch
देखें	tonton
देखें	lihat
देखें	melihat
देखें	tampilan
देखें	lihat
उत्तर	jawab
उत्तर	jawaban
उत्तर	jawablah
उत्तर	menjawab
उत्तर	utara
उत्तर	north
उत्तर	jawaban
भाषा	bahasa
भाषा	bahasa
लिये	untuk
सभी	all
सभी	aii
सभी	semua
प्राप्त	diperoleh
प्राप्त	diterima
प्राप्त	menerima
इसका	menta
इसका	its
प्रयोग	percobaan
प्रयोग	eksperimen
प्रयोग	penggunaan
प्रयोग	kegunaan
प्रयोग	pemakaian
प्रयोग	percobaan
प्रयोग	eksperimen
प्रयोग	bereksperimen
शामिल	melibatkan
शामिल	terlibat
शामिल	termasuk
शामिल	sertakan
शामिल	mencakup
शामिल	menyertakan
शामिल	disertakan
शामिल	termasuk
शामिल	menyertakan
शामिल	diikutsertakan
शामिल	termasuk
शामिल	sertakan
शामिल	cantumkan
शामिल	menyertakan
शामिल	include
उन्हें	mereka
उस	that
उस	itu
उस	bahwa
उस	yang
स्थान	tempat
स्थान	lokasi
स्थान	tempatkan
स्थान	place
स्थान	tempat
स्थान	lokasi
प्रमुख	chief
प्रमुख	ketua
प्रमुख	kepala
प्रमुख	major
प्रमुख	mayor
प्रमुख	jurusan
प्रमुख	utama
हुई	hui
बीच	beach
बीच	pantai
बीच	tengah
बीच	pusat
बीच	center
गए	gone
मुख्य	chief
मुख्य	ketua
मुख्य	kepala
मुख्य	utama
थी	euy
थी	was
बिहार	bihar
उसे	nya
उसे	him
उसे	nya
उसे	her
कार्य	tugas
कार्य	tugas
कार्य	job
कार्य	pekerjaan
कार्य	ayub
कार्य	pekerjaan
कार्य	kerja
कार्य	bekerja
कार्य	pekerjaan
कार्य	tugas
आंध्र	andhra
आंध्र	andra
नगर	kotamadya
नगर	town
नगर	kota
नगर	city
नगर	kota
नगर	nagar
उपयोग	penggunaan
उपयोग	kegunaan
उपयोग	pemakaian
उपयोग	menggunakan
उपयोग	gunakan
उपयोग	pakai
उपयोग	penggunaan
उपयोग	penggunaan
उपयोग	menggunakan
उपयोग	kegunaan
लोगों	rakyat
लोगों	orang
लोगों	people
आधार	dasar
आधार	pangkalan
आधार	base
आधार	markas
आधार	basis
आधार	premis
आधार	basis
काम	pekerjaan
काम	kerja
काम	bekerja
जीवन	kehidupan
जीवन	life
जीवन	hidup
विश्व	world
विश्व	dunia
भाग	bagian
भाग	part
भाग	bagian
भाग	parts
भाग	bagian
भाग	onderdil
निर्माण	pembuatan
निर्माण	ciptaan
निर्माण	penciptaan
निर्माण	kreasi
निर्माण	konstruksi
निर्माण	pembangunan
निर्माण	membangun
निर्माण	bina
निर्माण	build
निर्माण	manufaktur
निर्माण	pabrikasi
दोनों	berdua
दोनों	keduanya
राष्ट्रीय	gimn
राष्ट्रीय	national
राष्ट्रीय	nasional
जानकारी	info
जानकारी	information
जानकारी	informasi
