that	kad
this	šio
his	jo
talk	kalbėti
but	bet
you	tu
they	jie
who	kas
who	kurie
should	turėtų
two	du
score	balu
would	būtų
more	daugiau
she	ji
she	jai
about	apie
time	laiko
time	laikas
team	komanda
american	amerikos
discussion	diskusijos
discussion	aptarimas
discussion	diskusija
links	nuorodos
only	tik
united	jungtinės
united	jungtinė
school	mokykla
school	mokyklos
university	universitetas
states	narės
then	tada
county	apskritis
where	kur
will	bus
what	kas
what	ko
what	kokie
delete	ištrinti
these	šių
film	filmas
film	plėvelė
him	jį
many	daug
like	lyg
like	kaip
between	eurus
june	birželis
june	birželio
war	karas
war	karo
war	karui
them	jais
them	jas
them	joms
them	jiems
them	jomis
them	juos
april	balandis
part	dalies
part	dalis
players	žaidėjai
players	žaidėjų
please	prašom
please	prašau
february	vasaris
history	istorijos
history	istorija
series	serija
series	serijos
just	tik
just	tiesiog
work	darbas
season	sezonas
both	abi
both	abu
district	rajonas
now	dabar
comments	komentarai
comments	pastabas
comments	pastabos
comments	komentaruose
football	futbolas
football	futbolo
league	lygos
league	lyga
debate	diskusijos
debate	debatai
english	anglų
family	šeima
family	šeimos
family	šeimyna
york	york
life	gyvenimo
life	gyvybės
life	gyvybė
life	gyvenimas
british	britanijos
british	britai
british	britų
game	žaidimas
club	klubas
your	tavo
your	savo
your	jūsų
best	geriausi
best	geriausia
best	aukščiausia
best	geriausios
best	geriausias
west	vakarų
west	vakarai
house	namas
company	bendrovė
company	įmonė
company	bendrovės
company	kompanija
general	bendri
general	bendra
general	bendrieji
left	paliko
very	labai
here	čia
here	cia
don	don
living	gyventi
living	gyvenimo
living	gyvos
college	koledžas
college	kolegijos
college	kolegija
college	koledžo
class	klasės
class	klasė
how	kaip
style	stilius
com	com
long	ilgai
long	ilga
long	ilgas
way	būdu
way	būdas
modify	pakeisti
won	laimėjo
released	išleistas
added	pridėtinės
games	žaidimų
games	žaidimai
films	filmų
films	filmai
films	filmuose
east	rytų
line	linija
good	gerai
good	geras
good	puikiai
good	gera
much	daug
still	dar
think	manau
song	daina
song	dainos
women	moterys
television	televizijos
television	televizija
seed	sėkla
seed	sėklos
goals	tikslai
goals	tikslų
book	knygą
book	knyga
station	stotis
station	stoties
old	senas
information	informacija
text	tekstas
river	upės
river	upė
language	kalbos
language	kalba
career	karjera
career	karjeros
age	amžiaus
age	amžius
website	svetainė
air	oro
air	oras
military	karinė
military	karinis
military	karinės
great	puikiai
great	puiku
great	puiki
clubs	klubai
park	park
park	parkas
times	kartus
village	kaimo
village	kaime
village	jonava
village	kaimas
closed	uždaryta
closed	uždara
player	žaidėjas
final	galutiniai
final	galutinis
final	galutinė
final	finalas
army	armijos
army	kariuomenė
army	armija
death	mirtis
death	mirties
built	statybų
men	vyrai
large	didelių
large	dideli
large	didelis
road	kelias
road	kelių
road	kelio
children	vaikai
england	anglija
england	anglijos
england	england
association	asociacijos
association	asociacija
california	kalifornija
california	kalifornijoje
california	kalifornijos
man	vyru
man	vyras
man	žmogus
black	juodai
black	juodas
black	juodi
black	juoda
though	nors
report	ataskaita
division	kvadratas
comment	komentaras
comment	komentarų
comment	komentuoti
king	karalius
stadium	stadionas
record	rekordas
undo	atšaukti
cup	taurė
few	keletą
received	gautas
power	galios
power	galia
education	švietimas
education	išsilavinimas
species	rūšis
species	rūšių
species	rūšys
field	laukas
near	arti
near	netoli
australia	australija
video	video
need	reikia
island	sala
island	islandija
island	islandijos
island	salos
served	tarnavo
served	vykdė
play	žaisti
play	groti
project	projekto
project	projektas
radio	radijas
radio	radijo
works	kūriniams
works	veikia
works	kūriniai
works	darbai
proposed	siūlomas
live	gyva
live	live
live	gyvi
live	gyventi
live	gyvos
india	indija
india	indijos
special	specialių
short	trumpa
short	trumpi
short	trumpai
short	trumpas
province	provincija
western	vakarų
son	sūnus
street	gatvė
street	gatvės
full	pilnas
full	visu
red	raudona
department	departamentas
preserved	konservuota
preserved	konservuoti
james	james
james	džeimsas
open	atverti
force	force
head	galvos
director	direktorius
father	tėvas
canada	kanada
canada	kanadoje
canada	kanados
late	vėlai
summer	vasara
summer	vasaros
society	visuomenė
office	tarnyba
office	biuro
office	biuras
championship	čempionatas
championship	čempionato
story	istorijos
story	pasakojimas
story	istorija
songs	dainas
songs	dainos
songs	dainų
file	failas
business	verslo
business	įmonė
business	verslas
america	amerikoje
america	amerika
america	amerikos
david	david
david	deividas
david	dovydas
science	mokslas
science	mokslo
rock	akmuo
rock	rokas
rock	rock
archived	esančius
railway	geležinkelis
become	tapti
election	rinkimai
election	rinkimų
albums	albumai
indian	indas
indian	indijos
books	knygos
love	myliu
love	meile
love	meilės
love	meilė
run	vykdyti
press	spaudos
came	atėjau
came	atėjo
schools	mokykla
germany	vokietija
production	gamyba
production	gamybos
male	patinas
male	patinų
male	vyrai
male	vyras
professional	profesinės
professional	profesionalus
say	pasakyti
lead	švino
common	bendras
common	dažni
overlap	sutampa
color	spalva
better	geresnė
better	geresnis
better	gerėja
better	geriau
bgcolor	bgcolor
museum	muziejus
museum	muziejų
already	jau
hall	salėje
hall	salė
historic	istorinis
historic	istorinė
considered	laikoma
must	turi
yes	aha
yes	taip
review	peržiūra
fact	faktas
japanese	japonijos
japanese	japonų
isbn	isbn
japan	japonija
japan	japonijos
control	kontrolė
modern	moderni
human	žmonijos
human	žmogaus
human	žmogus
design	projektavimas
design	dizaino
design	dizainas
events	renginiai
events	įvykiai
events	įvykių
real	tikras
personal	asmeninis
action	veiksmas
space	kosmosas
star	žvaigždės
star	žvaigždė
star	star
really	išties
really	tikrai
possible	įmanoma
paul	paulius
working	darbingo
working	darbo
lake	ežeras
popular	dažniausi
married	vedęs
married	ištekėjusi
founded	įkurta
away	šalin
teams	komandos
teams	komandas
big	didelės
big	dideli
big	didysis
big	didelis
want	nori
want	norit
wrote	parašiau
wrote	parašė
wrote	rašė
companies	bendrovės
companies	įmonėse
companies	bendrovių
thanks	dėkui
thanks	ačiū
worked	dirbau
worked	dirbo
route	maršrutas
someone	kažkas
civil	civilinė
civil	civilinės
police	policija
police	policijos
eastern	rytų
body	kūno
body	kūnas
close	uždaryti
close	glaudžiai
close	užverti
roman	romos
come	ateik
tour	kelionių
tour	ekskursija
tour	kelione
sea	jūra
sea	jūros
playing	žaidžia
health	sveikata
institute	institutas
caps	dangteliais
forces	pajėgos
green	žalia
evidence	įrodymai
aircraft	orlaivis
aircraft	orlaiviai
aircraft	lėktuvas
arts	meno
arts	menas
arts	menų
probably	tikriausiai
probably	greičiausiai
alumni	alumni
wife	žmona
magazine	lapą
magazine	žurnalas
completed	atliktas
completed	baigtos
elected	išrinkti
elected	išrinktas
elected	išrinkta
african	afrikos
african	afrika
google	google
ireland	airija
today	šiandienos
today	šiandien
academy	akademija
self	save
stations	stotys
mother	mama
mother	motina
culture	kultūra
culture	kultūros
spanish	ispanų
spanish	ispaniškai
spanish	ispanijos
grand	grand
things	daiktai
things	dalykai
fire	ugnies
fire	gaisro
fire	gaisras
fire	ugnis
gold	auksinis
gold	aukso
gold	gold
gold	auksas
female	moteris
female	patelės
female	moterys
female	moterų
female	patelė
course	žinoma
months	mėnesiai
chinese	kinų
chinese	kinijos
chinese	kinas
previous	ankstesnė
previous	ankstesnis
previous	ankstesnių
festival	festivalis
festival	festivalio
basketball	krepšinio
training	mokymai
training	mokymas
training	mokymo
artist	atlikėjas
word	žodžiai
value	vertė
catholic	katalikų
artists	atlikėjai
artists	menininkai
baseball	kamuoliukas
baseball	beisbolo
technology	technologijos
technology	technologija
technology	technologijų
olympics	žaidynėse
future	ateitis
return	grįžimas
return	grįžti
return	grąžos
construction	statyba
model	modelis
material	medžiaga
strong	stiprūs
strong	tvirtas
strong	stipri
strong	stiprus
coach	treneris
coach	trenerio
footballers	futbolininkai
organization	įstaiga
studies	tyrimai
richard	ričardas
attack	ataka
conference	konferencija
brother	broli
brother	brolis
names	vardai
musical	muzikos
nothing	nieko
border	pasienio
writing	rašant
medal	medaliu
fair	sąžiningą
bay	įlanka
library	bibliotekų
library	bibliotekos
library	biblioteka
eventually	galiausiai
features	ypatumai
features	savybės
guitar	gitara
hill	kalvos
sure	tikras
historical	istoriniai
historical	istorinis
historical	istorinė
daughter	dukra
daughter	dukrą
daughter	duktė
appointed	paskirtas
debut	debiutas
movement	judėjimas
specific	konkrečių
always	visada
actor	aktorė
actor	aktorius
got	gavo
chicago	čikagos
designed	suprojektuoti
designed	suprojektuotos
designed	suprojektuota
designed	suprojektuotas
designed	gaminamos
hand	ranka
sometimes	kartais
florida	florida
capital	kapitalas
capital	kapitalo
valley	slėnis
bank	bankas
energy	energija
energy	energetika
