ஈறு	歯茎
ஆமாம்	はい
மடகாஸ்கர்	マダガスカル
கேள்	ask
கேள்	尋ねる
கேள்	聴く
சோயா	soy
சோயா	醤油
துணிகளை	被服
துணிகளை	洋服
மறதி	健忘
பஜார்	バザール
உடம்பு	病気
கண்களால்	アイズ
கால்டுவெல்	コールドウェル
மாத்திரைகள்	錠剤
கோல்ஃப்	ゴルフ
வாட்ச்மென்	ウォッチメン
நாற்று	スプラウト
மாதாந்திர	毎月
மாதாந்திர	月間
மாதாந்திர	月刊
எழுது	書き込み
எழுது	書く
எழுது	書き込む
எழுது	焼き
எழுது	火傷
எழுது	やけど
எழுது	burn
பிரயன்	ブライアン
ராஜினாமா	辞表
ராஜினாமா	辞任
ராஜினாமா	辞職
பவள	サンゴ
நைஜல்	ナイジェル
ஆதாயம்	利得
அறிவிப்புகள்	通知
அறிவிப்புகள்	お知らせ
ஓரம்	マージン
ஓரம்	余白
ஓரம்	ボーダー
ஓரம்	国境
பிளேர்	ブレア
ஐன்ஸ்டீன்	アインシュタイン
கிளீசு	グリーゼ
அரட்டை	チャット
அரட்டை	雑談
நடத்தல்	ウォーキング
நடத்தல்	歩行
நடத்தல்	歩く
உணரி	センサ
உணரி	センサー
பேரம்	バーゲン
குயின்	女王
குயின்	クイーン
சட்டவிரோத	違法
சிக்கலானது	クリティカル
சிக்கலானது	複雑
ட்விட்டர்	twitter
ட்விட்டர்	ツイッター
புறக்கணிப்பு	ボイコット
முகவர்கள்	エージェント
வில்வித்தை	弓術
வில்வித்தை	アーチェリー
உணர்	感じる
உணர்	feel
உணர்	フィール
கோகோ	ココ
கோகோ	ココ
பிளஸ்	プラス
பாசிச	ファシズム
பரிவு	同情
ஏந்திய	持株
மேம்பாலம்	跨線橋
தூக்கம்	眠い
தூக்கம்	睡眠
தூக்கம்	眠る
தூக்கம்	スリープ
மீட்பர்	救世主
கழி	引く
கழி	減算
சமஸ்கிருதத்தில்	サンスクリット
வடிவமைக்கப்பட்டுள்ளன	工学
கவர்	表紙
கவர்	被覆
கவர்	カバー
கவர்	cover
அண்ட்ராய்டு	android
அண்ட்ராய்டு	アンドロイド
ருவாண்டா	ルワンダ
