五つ	ஐந்து
税金	வரி
税金	வரிகள்
登る	ஏறு
バーレーン	பஹ்ரைன்
球体	கோளம்
球体	கோலம்
球体	உருளை
球体	கோளங்கள்
未熟	முதிராத
小町	கோமாச்சி
マーキュリー	புதன்
知識人	அறிவியலாளர்கள்
知識人	அறிவுசார்
ウェディング	திருமணங்கள்
ウェディング	திருமணம்
ウェディング	திருமண
ウェディング	கல்யாணம்
着物	கிமோனோ
救急車	ஆம்புலன்ஸ்
神保	jimbo
花弁	இதழ்கள்
セグメント	பகுதிகள்
セグメント	பகுதி
ノエル	நோயல்
ナタリー	நடாலீ
在庫	சரக்கு
カーティス	கர்டிஸ்
セブ	செபு
スプリンター	broken
ドミニク	டோமினிக்
ビルバオ	பில்போ
原子核	கரு
ガリレオ	கலிலியோ
ポテンシャル	சாத்தியமான
生化学	உயிர்வேதியியல்
スピーチ	சொற்பொழிவு
スピーチ	பேச்சு
ジャスティン	ஜஸ்டின்
ジャスティン	justin
シング	சிங்கார
シング	சிங்கை
シング	சிங்
タスク	பணிகள்
タスク	பணி
ジュピター	ஜூபிடர்
ジュピター	வியாழன்
ジュピター	செவ்வாய்
キャプション	தலைப்பு
キャプション	வசனங்கள்
サイレン	சைரன்
小人	குள்ள
リビング	வாழ்ந்து
リビング	வாழும்
リビング	வசிக்கும்
リビング	வாழ்வது
チャド	சாட்
チャド	சாத்
バイオリン	வயலின்
ジャカルタ	ஜகார்த்தா
インターフェース	இடைமுகப்பு
インターフェース	இடைமுகம்
ドロー	வரைதல்
ドロー	எடு
ドロー	வரை
便宜	வசதிக்காக
収縮	ஏற்படுகின்றன
バングラデシュ	பங்களாதேஷ்
バングラデシュ	வங்கதேச
ペルシャ	பாரசீக
変種	பல்வேறு
アクセサリー	துணைக்கருவிகள்
アクセサリー	அணிகலன்கள்
肥料	உரம்
フォーチュン	அதிர்ஷ்ட
ラッパー	ராப்பர்
検知	கண்டறிதல்
検知	கண்டறியப்பட்டுள்ளது
検知	கண்டறியப்பட்டது
検知	கண்டறியும்
