les	the
est	đông
une	xả
une	một
une	one
catégorie	loại
pour	cho
qui	ai
qui	who
que	thế
que	rằng
que	điều
que	mà
que	vn
avec	với
avec	bằng
son	ngành
son	its
plus	cộng
plus	plus
plus	thêm
pas	không
pas	ko
sont	re
sont	đang
sont	là
elle	cổ
elle	elle
été	summer
été	hè
comme	như
comme	thích
comme	like
mais	nhưng
cette	này
pop	tía
pop	bốp
pop	pop
deux	hai
deux	two
ses	ngành
ses	ses
ses	its
naissance	naissance
naissance	sinh
naissance	sinh
aussi	cũng
france	pháp
saint	thánh
saint	saint
saint	thánh
après	theo
après	sau
fait	chế
fait	lam
fait	xong
entre	giữa
sous	dưới
sous	under
même	chính
même	cùng
nom	tên
français	francais
français	pháp
ont	có
ont	đã
paris	paris
lieu	nơi
lieu	chỗ
cet	này
autres	khác
autres	khác
décès	chết
liens	xích
liens	links
était	aw
était	bị
commune	xã
commune	chung
ville	phố
ville	phố
ville	by
jean	jean
jean	gioan
jean	john
leur	nhị
date	ngày
peut	may
depuis	khỏi
depuis	từ
première	premiere
première	trước
première	đầu
ans	ans
ans	chèo
ans	năm
alors	rồi
site	website
site	website
site	site
premier	premier
premier	trước
premier	đầu
ces	những
fut	aw
fut	bị
http	http
film	phim
film	phim
film	film
voir	xem
voir	xem
voir	view
pays	quốc
source	nguồn
ils	quất
ils	những
ils	chúng
ils	họ
grand	lớn
grand	lớn
grand	to
grand	đúc
grand	đại
grand	big
grand	tuyệt
grand	grand
tout	hết
tout	hết
groupe	ban
groupe	band
groupe	group
groupe	nhóm
également	cũng
titre	tựa
monde	giới
nord	bắc
nord	bắc
nord	nord
années	chèo
années	năm
bien	tốt
bien	hay
bien	ngon
bien	chà
bien	ừm
contre	dũng
contre	chống
liste	kê
liste	list
liste	danh
puis	rồi
équipe	squad
équipe	đội
équipe	tạo
équipe	đội
équipe	lớp
équipe	team
club	club
club	clb
sud	sud
sud	nam
partie	đảng
partie	party
partie	tiệc
partie	saga
partie	part
partie	phần
avant	trước
non	không
non	ko
très	cực
très	rất
trois	tre
trois	ba
trois	three
guerre	tranh
guerre	chiến
sans	sans
saison	mùa
saison	season
fin	vây
fin	fin
fin	end
fin	kết
vers	vers
année	năm
temps	gian
temps	thời
plusieurs	nhiều
plusieurs	nhiều
faire	làm
faire	pha
faire	faire
mars	march
mars	mars
série	series
série	serial
joueur	player
mai	may
mai	mai
tour	tour
tour	tower
tour	tháp
mort	chết
mort	chết
mort	mort
mort	chết
juin	tuấn
juin	jun
juin	june
jpg	jpg
française	pháp
pierre	đá
pierre	stone
