மற்றும்	та
ஒரு	одна
ஒரு	one
ஒரு	одне
ஒரு	один
இந்த	цей
இந்த	ця
இந்த	ці
ஆம்	yes
ஆம்	так
இது	цей
இது	ця
மக்கள்	народи
மக்கள்	народ
மக்கள்	людей
மக்கள்	люди
என்ற	на
என்ற	похідний
ஆண்டு	рік
என்று	той
தமிழ்	тамільська
இந்திய	індійська
இந்திய	індійський
இருந்து	від
பல	багато
பல	багатьох
பல	декілька
முதல்	від
முதல்	перше
முதல்	перша
முதல்	перший
மேலும்	більше
தொகை	сума
தொகை	суму
சில	кілька
சில	небагато
சில	дехто
சில	деякі
சில	якесь
சில	якийсь
சில	трохи
உள்ளது	доступні
உள்ளது	доступний
உள்ளது	наявні
உள்ளது	наявний
உள்ளது	існує
அவர்	нього
அவர்	постане
அவர்	йому
அவர்	ним
அவர்	його
அவர்	her
அவர்	нею
அவர்	її
அவர்	їй
இருக்கும்	існуюче
இருக்கும்	існуючий
இருக்கும்	існуючі
இருக்கும்	існуючу
வெளி	зовнішнє
வெளி	зовнішні
வெளி	зовнішній
வெளி	зовнішня
வெளி	простору
வெளி	пробіл
வெளி	простір
அமைந்துள்ளது	розташовані
அமைந்துள்ளது	знаходиться
அமைந்துள்ளது	розташовано
அமைந்துள்ளது	розташований
மூலம்	джерело
மூலம்	джерела
மூலம்	оригінал
மூலம்	оригінальна
மூலம்	оригінальне
மூலம்	початкове
மூலம்	оригінальний
கொண்ட	містяться
கொண்ட	міститься
வரை	намалювати
வரை	малювати
வரை	роздати
வரை	нічия
வரை	доки
வரை	до
வரை	поки
பின்னர்	потім
பின்னர்	тоді
பின்னர்	згодом
பின்னர்	пізніше
பின்னர்	потому
ஆனால்	але
வேண்டும்	need
வேண்டும்	треба
வேண்டும்	потрібно
வேண்டும்	потреби
வேண்டும்	потреба
வேண்டும்	вимагаємо
வேண்டும்	хочу
வேண்டும்	хочеш
வேண்டும்	повинен
வேண்டும்	слід
வேண்டும்	повинно
வேண்டும்	should
கொண்டு	привезли
கொண்டு	принесли
கொண்டு	приніс
கொண்டு	принести
கொண்டு	принесе
கொண்டு	привезти
பட்டியல்	перелік
பட்டியல்	list
பட்டியல்	список
அமைந்துள்ள	розташовані
அமைந்துள்ள	знаходиться
அமைந்துள்ள	розташовано
அமைந்துள்ள	розташований
அதன்	свої
அதன்	його
பெண்கள்	самиць
பெண்கள்	дівчатка
பெண்கள்	дівчата
பெண்கள்	жінок
பெண்கள்	жінки
கொண்டுள்ளது	має
கொண்டுள்ளது	містить
கொண்டுள்ளது	містяться
போது	підчас
போது	коли
இணைப்புகள்	долучення
இணைப்புகள்	лінки
இணைப்புகள்	посилання
இணைப்புகள்	посиланнями
இணைப்புகள்	посилань
இரண்டு	два
இரண்டு	дві
இரண்டு	двоє
இரண்டு	двох
இரண்டு	двійка
தகவல்	info
தகவல்	інформації
தகவல்	інформація
தகவல்	відомості
தகவல்	інформація
தகவல்	повідомлення
