terry	terry
nordice	nórdica
nordice	nórdico
nordice	nórdicos
desemneaza	designa
desemneaza	designar
viziune	visão
viziune	vision
partidele	festas
partidele	partidos
catalonia	catalunha
profesie	profissão
mayenne	mayenne
tablouri	pinturas
tablouri	quadros
dean	dean
dean	reitor
dean	decano
dean	reitora
zagreb	zagreb
exemplul	exemplo
magnolia	magnolia
informare	briefing
populatii	populações
bere	beer
bere	cerveja
bere	cervejas
solicitat	solicitada
solicitat	solicitado
solicitat	pedida
mandatul	mandado
mandatul	mandato
mandatul	mandato
cape	cape
cape	cabo
cape	capa
expert	perito
expert	expert
expert	especialista
zahar	sacarose
zahar	açúcares
zahar	açúcar
zahar	sugar
zahar	açucar
zahar	açúcares
zahar	açúcar
zahar	sugar
zahar	açucar
wagner	wagner
calugar	monk
calugar	monge
calugar	monk
calugar	monge
scandal	escândalo
scandal	escândalos
digitala	digitais
digitala	digital
mentiune	termo
fals	falsa
fals	false
fals	falsas
fals	falsos
fals	falso
fals	falsa
fals	falsos
fals	falso
fals	fake
ruta	rota
ruta	percurso
ruta	rota
ruta	percurso
clement	clément
clement	clemente
clement	clement
liberi	livre
liberi	grátis
liberi	free
liberi	gratuito
arhiducele	arquiduque
amintirea	memória
amintirea	lembrança
amintirea	memoria
medicamente	fármacos
medicamente	droga
medicamente	drogas
medicamente	medicamentos
medicamente	remédios
intrebat	pediu
intrebat	perguntei
intrebat	perguntou
intrebat	perguntado
intrebat	pediu
intrebat	perguntei
intrebat	perguntou
intrebat	perguntado
stari	estados
stari	stari
colaborator	colaborador
colaborator	contribuinte
colaborator	colaborador
auf	auf
opiniile	opiniões
opiniile	pareceres
lunar	mensal
lunar	mensalmente
lunar	mensais
lunar	lunares
lunar	lunar
omenirii	humanidade
celulele	células
celulele	celas
percutie	percussão
short	curto
short	short
short	curtas
short	curta
depaseste	excede
depaseste	ultrapassa
baron	barão
baron	baron
suficienta	suficiente
suficienta	suficientes
atelier	workshop
atelier	oficina
atelier	ateliê
barry	barry
mercur	mercury
mercur	mercúrio
tun	canhões
tun	cannon
tun	canhão
tun	tun
cresc	crescer
cresc	cresce
cresc	crescem
cresc	cresçam
cresc	cresça
concluzie	conclusão
admis	admitida
admis	admitido
admis	admitiu
admis	admitidos
astrofizica	astrofísica
egalitate	igualdade
domnit	reinou
identificare	identificação
astronomic	astronômico
astronomic	astronomia
demonstreaza	demonstrar
demonstreaza	demonstre
demonstreaza	demonstrar
demonstreaza	demonstre
ideal	ideal
ideal	ideais
ungureanu	ungureanu
gasita	encontrada
gasita	encontrados
gasita	achado
gasita	encontraram
gasita	encontrado
haine	roupas
haine	roupa
structurii	estrutura
abdallah	abdallah
repetat	repetido
repetat	repetidas
repetat	repetidos
repetat	repetida
repetat	repetidamente
tinere	young
tinere	jovem
tinere	jovens
gros	espesso
gros	grossa
gros	grosso
gros	espessa
calendar	calendário
patrimoniu	heritage
patrimoniu	património
patrimoniu	patrimônio
patrimoniu	herança
vocale	vogais
vocale	vocal
vocale	vocais
donat	doou
donat	doados
donat	doado
dakota	dakota
dakota	dacota
valle	valle
mansur	mansur
susan	susana
susan	susan
holt	holt
federala	federal
federala	federais
pont	pont
pont	dica
pont	ponta
pont	tip
inlocuirea	substituir
inlocuirea	substituindo
inlocuirea	substituto
inlocuirea	substituição
apple	maçã
apple	maçãs
apple	maça
apple	apple
nepenthes	nepenthes
dame	damas
dame	dama
dame	dame
strasbourg	estrasburgo
sportivi	atletas
tulburari	perturbações
apostoli	apóstolos
adaugarea	adição
adaugarea	adicionando
adaugarea	adição
adaugarea	acrescentando
bois	bois
formularul	formar
formularul	forma
formularul	formulário
grupate	agrupadas
grupate	agrupados
crima	assassinato
crima	assassínio
crima	homicídio
crima	criminalidade
crima	delito
crima	crime
crima	assassinato
crima	assassínio
crima	homicídio
crima	criminalidade
crima	delito
crima	crime
gotic	gótica
gotic	gótico
tre	tre
roz	pink
roz	rosa
ahmed	ahmed
latine	latim
latine	latino
latine	latinos
latine	latina
frunzele	folhas
compozitii	composições
moscovei	moscou
moscovei	moscovo
kashmir	caxemira
belgian	belga
belgian	belgas
parohiala	paroquial
wikimapia	wikimapia
orange	orange
orange	laranja
pierderile	perdas
pierderile	prejuízos
naviga	navegar
naviga	vela
echipament	equipamentos
echipament	equipamento
includerea	inclusão
simona	simona
joachim	joaquim
joachim	joachim
formal	formalmente
formal	formais
formal	formal
austin	austin
filozofia	filosofia
aedes	aedes
implicarea	participação
implicarea	envolvimento
wall	parede
wall	muro
wall	mural
wall	muralha
harald	harald
harald	haroldo
meridiane	meridianos
autonome	autónomo
autonome	autônomo
autonome	autónoma
autonome	autônoma
village	vila
village	aldeia
raspandirea	espalhando
raspandirea	espalhar
raspandirea	espalhe
raspandirea	propagação
raspandirea	espalhar
intensa	intensa
intensa	intensas
intensa	intensos
intensa	intenso
intensa	intensa
intensa	intensas
intensa	intensos
intensa	intenso
mutata	movida
mutata	movido
mutata	comovida
mutata	comovido
stramtoarea	estreito
refugiat	refugiados
refugiat	refugiado
ungara	húngaros
ungara	húngaro
ungara	húngara
scazuta	baixa
scazuta	baixos
scazuta	low
scazuta	baixo
compune	compor
compune	compõe
exterioara	exteriores
exterioara	exterior
interventie	intervenções
interventie	intervenção
galilor	gauleses
fenomene	fenómenos
fenomene	fenômeno
fenomene	fenômenos
austrieci	austríacos
austrieci	austríaca
austrieci	austrian
austrieci	áustria
austrieci	austríacos
austrieci	austríaco
costume	figurino
costume	trajes
costume	fatos
costume	figurinos
costume	ternos
costume	fatos
grija	carinho
grija	carinhoso
grija	carinhosa
grija	cuidando
grija	cuidados
grija	cuidado
grija	care
corul	coral
corul	coro
corul	refrão
corul	coro
modelele	models
modelele	modelos
indeplini	cumprir
indeplini	cumpra
reich	reich
józsef	józsef
agricol	agrícola
originile	origens
khan	cã
khan	khan
mutarea	movendo
moscheea	mesquita
latimea	largura
ladislau	ladislau
cooper	cooper
preah	preah
invazie	invasões
invazie	invasão
ehf	ehf
brabant	brabante
dealuri	colinas
dealuri	hills
danny	danny
danny	danni
determinata	determinado
determinata	determinada
determinata	determinados
tag	marcar
tag	marca
tag	marque
tag	etiqueta
tag	tag
perete	parede
perete	muro
perete	mural
perete	muralha
nicholas	nicolás
nicholas	nicholas
nicholas	nicolau
ixodes	ixodes
istoricii	historiadores
straina	estrangeiro
straina	estrangeira
straina	estrangeiras
straina	estrangeiros
iubit	amei
iubit	amava
iubit	amado
iubit	amada
iubit	amados
iubit	amadas
iubit	amada
iubit	amado
iubit	amados
iubit	namorado
entitate	entidade
entitate	entidades
platina	platina
rezolva	resolve
rezolva	solucionar
rezolva	resolver
rezolva	resolva
rezolva	resolve
rezolva	solucionar
rezolva	resolver
rezolva	resolva
indivizi	indivíduos
continental	continental
continental	continentais
caesar	caesar
caesar	cesar
caesar	césar
cruci	cruzes
cruci	cruzamentos
conferit	conferidos
conferit	conferido
conferit	conferida
conferit	conferidas
pcupdate	pcupdate
pierdute	perdido
pierdute	perdi
pierdute	lost
pierdute	perdida
pierdute	perdidos
pierdute	perdeu
perioadele	períodos
bianco	bianco
ilustreaza	ilustra
ilustreaza	ilustrar
ilustreaza	ilustram
cardinal	cardeal
cardinal	cardinal
clare	clare
vulcan	vulcão
vulcan	vulcano
mostenit	herdou
mostenit	herdado
mostenit	herdou
mostenit	herdado
curentului	correntes
curentului	atual
curentului	atuais
curentului	actual
curentului	corrente
destinatie	destino
destinatie	destino
hawaii	havaí
hawaii	hawaii
hawaii	havai
sunetul	sound
sunetul	som
xbox	xbox
gama	gamma
gama	gama
baby	nenê
baby	neném
baby	bebé
baby	bebê
baby	baby
evaluarea	valorização
evaluarea	avaliação
evaluarea	apreciação
evaluarea	avaliação
evaluarea	avaliação
cinematografie	cinematografia
danez	dinamarquesa
danez	dinamarqueses
danez	dinamarquês
raportat	denunciado
raportat	denunciou
raportat	relatado
raportat	comunicados
raportat	denunciada
raurilor	rios
paula	paula
acoperis	telhado
acoperis	telhados
acoperis	teto
acoperis	telhado
acoperis	telhados
acoperis	teto
acoperis	telhado
acoperis	telhados
acoperis	teto
legala	jurídica
legala	jurídico
legala	legal
legala	legais
civili	civis
elisabeth	elisabeth
citeste	lidos
citeste	ler
citeste	leia
