салон	சலூன்
греческая	hellenic
греческая	கிரீக்
греческая	கிரேக்க
тысячелетия	ஆயிரமாண்டு
серийный	சீரியல்
серийный	வரிசை
серийный	தொடர்
частное	தனியார்
частное	தனிப்பட்ட
частное	தனிப்பட்டது
частное	தனி
частное	தனிப்பட்டதாக
риска	ஆபத்து
риска	இடர்
зеркало	மிரர்
зеркало	கண்ணாடி
беседы	உரையாடல்கள்
пересадка	transplantation
регулярный	வழக்கமானது
регулярный	வழக்கம்
регулярный	வழக்கமான
рассказать	சொல்லு
рассказать	சொல்
грей	பழுப்பு
грей	சாம்பல்
райт	ரைட்
вертолёт	ஹெலிகாப்டர்
мали	மாலி
реакций	உணர்ச்சிகள்
реакций	பதில்கள்
независимая	சுதந்திர
грузовых	சரக்கு
украшения	நகைகள்
украшения	நகைகள்
украшения	நகை
украшения	அலங்காரங்கள்
правду	உண்மை
уровни	நிலைகள்
организатором	அமைப்பாளர்
организатором	நிறுவனர்
влиятельных	influential
разнообразие	வேற்றுமை
разнообразие	பல்வேறு
поворот	திருப்பம்
поворот	ட்விஸ்ட்
поворот	சுற்று
поворот	சுழற்று
молитвы	பிரார்த்தனைகள்
босния	பாஸ்னியா
конечной	அல்டிமேட்
конечной	இறுதியான
дэйв	டேவ்
алжир	அல்ஜியர்ஸ்
алжир	அல்ஜீரியா
коричневые	பழுப்பு
коричневые	பிரவுன்
саймон	சைமன்
нила	நீல்
нила	நைல்
саид	சையத்
саид	சையது
саид	syed
саид	சொன்னேன்
саид	சொன்னான்
саид	சொன்னார்
саид	சயீத்
декан	டீன்
низким	குறைவாக
низким	குறைவு
низким	குறைவான
низким	தாழ்வு
низким	குறைந்த
повсеместно	எங்கும்
феномен	phenomenon
руды	தாது
руды	ore
руды	ores
электрических	மின்னியல்
электрических	மின்சார
джеффри	ஜெப்ரி
джеффри	ஜெஃப்ரி
блюз	ப்ளூஸ்
ценные	மதிப்பானது
ценные	மதிப்புமிக்க
нефть	எண்ணெய்
нефть	ஆயில்
нефть	பெட்ரோலிய
нефть	பெட்ரோலியம்
существенное	குறிப்பிடத்தக்கது
существенное	குறிப்பிடத்தக்க
снег	பனி
виа	வழியாக
виа	மூலமாக
детройт	டெட்ராய்ட்
показывать	காட்சி
показывать	காட்டு
показывать	காட்டுக
показывать	நிகழ்ச்சி
преступников	குற்றவாளிகள்
воля	செய்வான்
теннесси	டென்னிசி
дженнифер	ஜெனிபர்
форд	ஃபோர்ட்
шар	char
шар	பலூன்
шар	பந்து
шар	உருண்டை
подарок	நடப்பு
подарок	தற்போதைய
подарок	பரிசு
подарок	அன்பளிப்பு
очко	புள்ளிகள்
очко	மதிப்பெண்
очко	ஸ்கோர்
очко	மதிப்பெண்கள்
очко	புள்ளி
группировка	தொகுத்தல்
стрелка	சுடுதல்
стрелка	சுடும்
стрелка	அம்புக்குறி
жидкость	திரவம்
жидкость	திரவ
жидкость	திரவம்
свойство	பண்பு
свойство	உடைமை
свойство	சொத்து
этаж	மாடியில்
этаж	மாடி
этаж	தரை
выполнено	நிறைவேறியது
контекста	சூழல்
контекста	சந்தர்ப்பம்
луга	மெடோஸ்
курорт	ரிசார்ட்
вектор	நெறியம்
горки	கோஸ்டர்
фантастический	அட்டகாசம்
фантастический	அருமை
закончить	முடி
закончить	முடிக்க
закончить	முடிக்கவும்
мирное	அமைதியான
саха	சாஃகா
присоединение	accession
барабанщик	டிரம்மர்
нож	கத்தி
трудах	படைப்புகள்
акция	செயலை
акция	செயல்
акция	ஆக்ஷன்
акция	நடவடிக்கை
акция	அதிரடி
изобретение	கண்டுபிடிப்பு
навыки	திறமைகள்
навыки	திறன்கள்
навыки	திறன்
навыки	திறமை
грубо	முரட்டுத்தனமாக
уменьшение	குறைப்பு
уменьшение	குறைத்தல்
уменьшение	குறைந்துள்ளது
уменьшение	குறை
физическая	பூத
ботаника	தாவரவியல்
рей	rei
рей	ரே
викимедиа	wikimedia
индивидуальные	தனிநபர்
спасение	சேமிப்பு
спасение	சேமிக்கப்படுகிறது
спасение	சேமிக்கிறது
спасение	சேமிக்கும்
спасение	மீட்பு
спасение	சாபவிமோசனம்
мичиган	மிச்சிகன்
кросс	குறுக்கு
кросс	கிராஸ்
кросс	சிலுவை
нельсон	நெல்சன்
западное	மேற்கு
фильтр	அலங்காரம்
фильтр	வடிகட்டி
фильтр	வடிகட்டு
электроники	மின்னணுவியல்
электроники	எலக்ட்ரானிக்ஸ்
квебек	quebec
колеса	வீல்
колеса	சக்கர
колеса	சக்கரம்
колеса	சக்கரங்கள்
аудио	ஒலி
аудио	ஆடியோ
лукас	லூகாஸ்
пал	விழுந்த
мужские	ஆண்
компакт	குறுவட்டு
компакт	காம்பேக்ட்
вычисления	கணி
вычисления	கணித்தல்
вычисления	கணிமை
продал	விற்கப்பட்டது
акул	சுறாக்கள்
реализм	நிஜம்
химическая	ரசாயன
химическая	ரசாயனம்
химическая	கெமிக்கல்
правильный	சரியான
операторов	ஆப்பரேட்டர்கள்
поляки	துருவங்கள்
тереза	தெரேஸ்
тереза	தெரசா
