distingeix	distingue
borja	borja
mancomunitat	commonwealth
mancomunitat	comunidade
fortificacions	fortificações
diòxid	dióxido
diana	diana
heretar	herdar
heretar	herda
burgesia	burguesia
burgesia	burguesa
dresden	dresden
tetra	tetra
manxa	foles
manxa	bellows
augusta	augusta
barana	corrimão
socialisme	socialismo
corporació	corporation
corporació	corporação
cervesa	beer
cervesa	cerveja
cervesa	cervejas
churchill	churchill
fugida	escapar
fugida	fuga
fugida	escape
eslovènia	eslovénia
eslovènia	eslovênia
alto	alto
breument	brevemente
breument	resumidamente
gaspar	gaspar
finalista	finalista
tragèdia	tragédia
tragèdia	tragédias
serp	cobra
serp	snake
serp	serpente
casino	cassino
casino	casino
paula	paula
riga	riga
morera	morera
albània	albânia
fortificació	fortificações
fortificació	fortificação
fals	falsa
fals	false
fals	falsas
fals	falsos
fals	falso
fals	falsa
fals	falsos
fals	falso
fals	fake
chapelle	chapelle
semi	semi
pcupdate	pcupdate
constantment	constantemente
casanova	casanova
nueva	nueva
fracció	fracção
fracció	fração
filmfare	filmfare
miami	miami
modificat	modificada
modificat	alterado
modificat	modificados
modificat	modificado
investigador	pesquisador
investigador	investigadora
investigador	investigador
ocasionalment	ocasionalmente
rescat	salvamento
rescat	resgate
crims	crimes
restriccions	restrições
restriccions	condicionalismos
restriccions	limitações
restriccions	constrangimentos
restriccions	restrições
tours	passeios
tours	tours
guadalajara	guadalajara
teclat	teclado
alfredo	alfredo
ses	ses
mus	mus
sensibilitat	sensibilidade
kentucky	kentucky
abundància	fartura
abundància	abundância
sergio	sergio
sergio	sérgio
inspirar	inspirar
inspirar	inspira
inspirar	inspire
atacat	atacado
atacat	atacaram
atacat	atacada
atacat	atacados
atacat	atacou
considerant	considerando
tràfic	trânsito
tràfic	tráfego
tràfic	tráfico
clínica	clinica
clínica	clínica
cervantes	cervantes
ian	lan
ian	ian
bus	autocarro
bus	ônibus
bus	autocarros
pasqual	pasqual
pasqual	pascoal
fabricants	fabricantes
walker	walker
sar	sar
calç	lime
calç	lima
calç	cal
julia	julia
julia	júlia
clergat	clérigos
clergat	clero
office	estância
office	gabinete
office	escritório
fisiologia	fisiologia
llacuna	lagoa
crani	caveira
crani	crânio
inspector	inspector
inspector	inspetor
senzills	singles
senzills	individuais
senzills	solteiros
consultar	consultar
consultar	consulte
xoc	choque
influït	influenciou
influït	influenciada
influït	influenciado
influït	influenciados
proclamació	proclamação
teodor	theodore
teodor	teodoro
fèlix	felix
fèlix	félix
parr	parr
menezes	menezes
vertebrats	vertebrados
càstig	punição
càstig	castigos
càstig	punições
càstig	castigo
forçar	forçando
linux	linux
precedent	precedentes
precedent	precedente
discorre	runs
elit	elite
elit	elites
magatzem	armazém
magatzem	entreposto
targeta	card
targeta	cartão
cultius	culturas
cultius	colheitas
superficial	raso
superficial	superficial
superficial	rasa
acceptada	aceitos
acceptada	aceites
acceptada	aceitado
acceptada	aceite
acceptada	aceita
acceptada	aceito
ira	ira
romanticisme	romantismo
coincideix	partidas
coincideix	correspondências
coincideix	fósforos
subjectes	sujeito
subjectes	assunto
subjectes	objecto
conspiració	conspiração
profeta	profeta
fibres	fibras
arn	rna
arn	arn
zaragoza	saragoça
rioja	rioja
fluid	fluido
fluid	fluidos
legend	legend
legend	lenda
legend	legenda
cessió	cessão
cessió	atribuição
componen	compor
componen	compõe
emma	emma
emma	ema
ultramar	ultramarinos
ultramar	ultramar
ferrocarrils	ferrovias
privats	privada
privats	privado
privats	private
ingrés	renda
ingrés	rendimento
ingrés	receitas
ingrés	proveitos
ingrés	rendimentos
envia	manda
envia	envie
envia	mandem
envia	enviar
envia	envia
neutral	neutral
neutral	neutro
neutral	neutra
neutral	neutralidade
neutral	neutros
adopció	adoção
adopció	adopção
pasta	macarrão
pasta	massa
pasta	massas
carreres	carreiras
carreres	carreira
biscaia	biscaia
comunica	comunica
corall	coral
corall	corais
explorador	escoteiro
explorador	batedor
explorador	scout
explorador	escuteiro
explorador	olheiro
explorador	explorer
explorador	explorador
nominal	nominais
nominal	nominal
promogut	promovido
promogut	promovidos
promogut	promovidas
promogut	promovida
mural	mural
louvre	louvre
converses	conversas
successors	sucessores
plató	platão
representats	representada
representats	representado
representats	representados
representats	representadas
representats	representou
tensions	tensões
plataformes	plataformas
identifica	identifica
quàntica	quantum
quàntica	quântico
quàntica	quântica
earth	earth
earth	terra
àlgebra	álgebra
carter	carter
carter	cárter
enterrament	enterro
rodrigo	rodrigo
michigan	michigan
kazakhstan	cazaquistão
esquerres	esquerdista
designa	designa
vèrtex	vértice
vèrtex	vértices
girar	rodar
girar	girar
miss	saudades
miss	menina
miss	saudade
diagonal	diagonal
degradació	degradação
afectats	afetado
afectats	afetadas
afectats	afectados
afectats	afetada
afectats	afectado
afectats	afetados
desenvolupant	desenvolver
desenvolupant	desenvolvendo
tendeix	tende
cantata	cantata
emergència	emergência
emergència	emergências
núria	nuria
aplicada	aplicados
