και	og
το	the
το	den
από	fra
από	from
από	frå
με	med
με	with
που	hvilket
που	hvilken
για	for
κατηγορία	kategori
κατηγορία	kategorien
τους	them
τους	dem
ήταν	var
ένα	one
ένα	en
ένα	ett
ένα	én
ότι	det
ότι	at
μια	one
μια	en
μια	ett
μια	én
έχει	har
θα	will
αλλά	men
μετά	deretter
μετά	så
μετά	da
μετά	etter
μετά	after
μετά	etterpå
μετά	efter
επίσης	òg
επίσης	også
όπως	som
όπως	liker
όπως	like
είχε	hadde
είχε	hatt
ενώ	mens
δύο	to
δύο	two
αυτό	this
αυτό	dette
αυτό	denne
αυτό	detta
αυτό	det
αυτό	at
αυτή	hun
αυτή	she
όπου	hvor
όταν	when
όταν	når
μέχρι	until
μέχρι	inntil
μία	one
μία	en
μία	ett
μία	én
μπορεί	kan
μπορεί	can
ομάδα	avdeling
ομάδα	squad
ομάδα	troppen
ομάδα	gruppe
ομάδα	gruppen
ομάδα	lag
ομάδα	laget
ομάδα	team
θέση	stilling
θέση	posisjon
μεταξύ	mellom
χρόνια	kronisk
χρόνια	ar
χρόνια	årevis
χρόνια	år
πρώτη	første
πρώτη	først
πρώτη	forst
πρώτη	first
πιο	fleire
πιο	fler
πιο	flere
πιο	mer
πιο	meir
πιο	mere
ένας	one
ένας	en
ένας	ett
ένας	én
πόλη	town
πόλη	byen
πόλη	by
πόλη	city
πόλη	byen
πόλη	poststed
πόλη	by
σύνδεσμοι	koblinger
σύνδεσμοι	linker
σύνδεσμοι	lenker
μόνο	berre
μόνο	only
μόνο	bare
μόνο	kun
έγινε	done
έγινε	gjort
έγινε	ferdig
πολύ	svært
πολύ	very
πολύ	meget
πολύ	veldig
κάθε	every
κάθε	hver
κάθε	hvert
κάθε	hver
κάθε	hvert
περιοχή	region
περιοχή	areal
περιοχή	område
περιοχή	området
περιοχή	area
αιώνα	århundre
αθήνα	aten
αθήνα	athen
περίοδο	punktum
περίοδο	perioden
περίοδο	periode
τότε	deretter
τότε	så
τότε	da
όνομα	namn
όνομα	navnet
όνομα	navn
ελλάδα	hellas
μέρος	del
μέρος	spisested
μέρος	place
μέρος	sted
σήμερα	today
σήμερα	idag
μέσα	innenfor
μέσα	innafor
μέσα	inside
μέσα	innsiden
μέσα	innvendig
μέσα	inne
πως	hvordan
πως	korleis
πως	how
μαζί	sammen
μαζί	together
διάρκεια	varighet
ιστορία	hendelse
ιστορία	story
ιστορία	historie
ιστορία	historikk
ιστορία	history
ιστορία	historie
πρωτάθλημα	league
πρωτάθλημα	forbund
πρωτάθλημα	liga
πρωτάθλημα	mesterskap
πρωτάθλημα	championship
αργότερα	senere
αργότερα	seinere
αργότερα	seinare
νέα	ny
νέα	nyhet
νέα	nye
νέα	new
νέα	nytt
νέα	nyheter
νέα	news
περίπου	om
περίπου	angående
περίπου	omtrent
