から	از
日本	ژاپن
日本	نیپون
この	این
まで	تا
まで	تا
また	همچنین
もの	اوضاع
もの	چیز
もの	چیزها
大学	دانشگاههای
大学	دانشگاهها
大学	دانشگاه
大学	qom
大学	کالج
大学	دانشکده
大学	دانشگاه
大学	دانشگاهی
テレビ	تلویزیون
テレビ	تلویزیونی
放送	پخش
放送	مخابره
東京	توکیو
より	than
削除	حذف
削除	حذف
削除	حذف
現在	جاری
現在	جریان
現在	حاضر
現在	هدیه
学校	مدارس
学校	مدرسه
学校	مکتب
これ	این
世界	جهان
世界	دنیا
世界	جهانی
アメリカ	آمریکای
アメリカ	امریکا
アメリカ	آمریکا
でも	ولی
でも	اما
について	درباره
について	دربارۀ
時代	دوران
時代	عصری
映画	فیلمی
映画	فیلم
映画	فیلمش
映画	سینمایی
映画	سینما
映画	سینمای
映画	cinema
映画	فیلم
映画	film
映画	سینما
映画	فیلمهایی
映画	فیلم
映画	فیلمها
監督	director
監督	کارگردان
監督	نظارت
監督	سرپرستی
出演	ظواهر
出演	ظاهر
出演	ظاهرش
出演	ظاهر
出演	گچ
出演	بیندازید
明治	میجی
時間	ساعتها
時間	ساعتهای
時間	ساعات
時間	ساعت
時間	ساعتی
時間	ساعت
時間	زمان
時間	تایم
時間	time
開始	شروع
開始	آغاز
開始	اغاز
シリーズ	سری
のみ	تنها
記事	مطلب
記事	مقالۀ
記事	مقاله
記事	داستان
記事	داستانی
記事	قصه
記事	داستان
記事	داستانها
記事	مقالات
記事	مقاله
活動	فعالیتها
選手	بازیکنان
選手	بازیکن
選手	ورزشکاران
しかし	ولی
しかし	اما
研究	مطالعات
研究	تحقیق
研究	تحقیقاتی
研究	تحقیقات
研究	پژوهش
会話	گفتگو
会話	مکالمه
会話	گفتگوی
会話	مکالمات
大阪	اوساکا
大会	کنوانسیون
大会	همایش
チーム	تیمهای
チーム	تیم
チーム	تیمی
存在	وجود
作詞	شعر
作詞	شعرای
所属	وابستگی
国際	اینترنشنال
国際	بینالمللی
国際	جهانی
一部	بعضیها
一部	برخی
結果	نتیجه
結果	نتیجۀ
結果	حاصل
結果	نتایج
結果	نتیجه
結果	نتایجی
アルバム	آلبوم
アルバム	آلبومهای
バス	اتوبوس
バス	bus
バス	بیس
バス	باس
ゲーム	بازی
ゲーム	گیم
ゲーム	بازیهای
ゲーム	بازیها
ゲーム	بازی
問題	مسئله
問題	مشکل
問題	مسئله
問題	مشکلی
問題	مسائلی
問題	مسائل
問題	مشکلات
問題	مسائل
リーグ	لیگ
リーグ	فرسنگ
利用	بازخرید
利用	رهایی
開発	توسعه
事業	تجارت
事業	کسب
事業	business
決定	تصمیم
決定	فیصله
決定	تصمیم
決定	تصمیمات
音楽	موسیقی
音楽	موزیک
転送	جلو
転送	انتقال
情報	اطلاعات
情報	اطلاعات
情報	معلومات
公式	فرمول
公式	رسمی
参加	بپیوندید
参加	پیوستن
参加	مشارکت
地域	منطقه
地域	ناحیه
地域	استان
地域	منطقۀ
変更	تغییرات
変更	تغییر
変更	تغییر
編曲	ترتیب
編曲	توافق
サイト	سایت
サイト	یونسکو
記録	ضبط
記録	ضبط
関係	نسبتی
関係	ارتباط
関係	رابطه
関係	روابط
クラブ	باشگاه
クラブ	چماق
クラブ	کلاب
クラブ	کلوب
クラブ	کلوپ
クラブ	خاج
中央	چوئو
中央	مرکزی
中央	سنترال
中央	مرکز
中央	سنتر
中央	مرکزش
中央	مرکز
中央	سنتر
中央	مرکز
同じ	همون
設立	تمکین
設立	موسسه
設立	تاسیس
設立	تأسیس
考え	تفکر
考え	فکر
考え	افکار
考え	افکارش
教育	آموزش
教育	تحصیلات
プロ	پرو
プロ	pro
プロ	حرفهای
設置	نصب
発表	حدیث
発表	اعلان
発表	اطلاعیه
小学校	ابتدایی
小学校	مقدماتی
編集	ویرایش
編集	تدوین
編集	ویرایش
編集	تغییر
シーズン	فصل
シーズン	فصلها
シーズン	فصول
ファイル	پرونده
フランス	فرانس
フランス	فرانسه
都市	شهری
都市	شهر
都市	سیتی
都市	شهرها
出版	ناشر
出版	نشر
出版	انتشار
出版	چاپخانه
会社	استوار
会社	استواری
会社	گروهان
会社	شرکت
会社	company
会社	کمپانی
会社	شرکتها
会社	شرکتهای
会社	احزاب
世紀	قرنها
世紀	قرن
世紀	قرنه
世紀	سده
ノート	یادداشت
ノート	نکته
ノート	نوت
ノート	یادداشتها
ノート	یادداشتهای
ノート	نوت
ノート	دفترچه
京都	کیوتو
社会	اجتماع
社会	جامعه
社会	انجمن
社会	جوامع
ドイツ	آلمان
シングル	تکی
シングル	single
シングル	تک
センター	سنتر
センター	مرکزش
センター	مرکز
センター	سنتر
センター	مرکز
終了	استعفا
終了	انصراف
終了	ترک
終了	پایان
終了	خروج
中心	سنتر
中心	مرکزش
中心	مرکز
中心	سنتر
中心	مرکز
内容	محتویات
内容	رضایت
内容	خرسند
内容	محتوای
内容	محتوا
内容	محتویات
文化	تمدن
文化	فرهنگی
文化	فرهنگ
イギリス	انگلستان
イギリス	انگلیس
ドラマ	درام
中国	چین
撮影	فیلمبرداری
撮影	عکاسی
撮影	photography
撮影	عکسبرداری
撮影	فیلمبرداری
撮影	بازیگران
選手権	قهرمانی
野球	بیسبال
位置	موضع
位置	موقعیت
以下	زیر
マン	مان
人物	شخص
公開	عمومی
公開	علنی
公開	همگانی
公開	public
公開	انتشار
北海道	هوکایدو
最終	آخری
最終	لست
最終	واپسین
最終	آخرین
最終	اخرین
最終	نهائی
最終	نهایی
最終	پایانی
最終	آخرین
最終	فاینال
アニメ	انیمه
確認	تاییدیه
確認	تأیید
確認	تصدیق
確認	تایید
確認	تأیید
確認	تصدیق
一般	عمومی
一般	ژنرال
一般	جنرال
歴史	تاریخچه
歴史	تاریخ
選挙	انتخاباتی
選挙	انتخابات
選挙	انتخابات
計画	تدبیر
計画	پلان
計画	نقشه
経済	اقتصاد
ページ	صفحۀ
ページ	صفحه
ページ	صفحات
教授	پروفسور
教授	پرفسور
ラジオ	رادیویی
ラジオ	رادیو
ラジオ	بیسیم
劇場	تئاتر
劇場	theater
劇場	سینماها
劇場	تئاتر
グループ	گروهبندی
グループ	گروپ
グループ	گروه
グループ	گروهها
英語	انگلیسی
英語	english
女性	زن
女性	زنی
女性	نسوان
女性	زن
女性	مؤنث
女性	مونث
女性	ماده
女性	زنانی
女性	زنها
女性	زنان
地区	منطقه
地区	ناحیه
地区	بخش
獲得	کسب
得点	نمره
得点	امتیاز
コメント	توضیح
コメント	نظر
コメント	نظرات
コメント	نظرها
コメント	توضیحات
漫画	کمیک
漫画	مانگا
他の	دیگران
他の	دیگر
自身	خودش
就任	فرض
就任	پندار
就任	گمان
販売	فروش
販売	فروختن
販売	فروش
攻撃	حملات
攻撃	حمله
サッカー	soccer
サッカー	فوتبال
リー	لی
議員	سناتور
協会	انجمن
路線	مسیرهای
路線	مسیرها
自分	خودم
戦争	جنگ
戦争	جنگی
戦争	جنگها
製作	تولید
部分	جزء
部分	قسمت
部分	پارت
番号	عدد
番号	شمارۀ
番号	شماره
最初	اول
最初	ابتدا
最初	نخستین
受賞	جوایز
受賞	جایزه
期間	دوام
期間	دوره
期間	دورهای
期間	پریود
期間	دورۀ
広島	هیروشیما
場所	محل
場所	مکانی
場所	مکان
場所	جای
場所	جایی
場所	محل
場所	مکان
場所	مکانهایی
場所	مکانها
場所	مساجد
技術	فناوری
技術	تکنولوژی
リンク	پیوند
リンク	لینک
リンク	پیوندها
リンク	پیوندهای
合併	ادغام
合併	تلفیق
道路	جاده
特定	خاص
特定	مشخص
朝日	آساهی
意味	معنای
意味	معنی
意味	معنا
意味	معانی
システム	سامانه
システム	سیستم
システム	سیستمها
モデル	مدلهای
モデル	model
モデル	مدل
対応	مکاتبات
対応	مکاتبه
列車	قطار
列車	قطارها
列車	متقاضیان
列車	قطاری
列車	قطار
建設	ساخت
建設	سازندگی
建設	ساختمان
とき	وقتی
とき	چون
最後	آخری
最後	لست
最後	واپسین
最後	آخرین
最後	اخرین
科学	علمی
科学	علم
科学	علوم
理由	دلایل
理由	دلیلی
理由	علت
理由	دلیل
一つ	یکی
一つ	یگانه
一つ	یک
大正	تایشو
最高	بهترین
最高	بهتر
最高	best
ブロック	بلوک
ブロック	بلوکهای
ブロック	بلوک
ブロック	بلاک
車両	خودرو
車両	ماشین
自動車	خودرو
自動車	خودروی
自動車	ماشین
自動車	اتومبیل
自動車	خودرو
人口	جمعیت
人口	جمعیتی
特に	مخصوصا
特に	بخصوص
営業	تجارت
営業	کسب
営業	business
発生	رخداد
新聞	روزنامه
連続	پیوستگی
連続	مستمر
連続	مداوم
連続	پیوسته
連続	پاینده
政府	دولتی
政府	حکومت
政府	دولت
構成	پیکربندی
構成	انشاء
構成	ترکیب
構成	ساختار
構成	سازه
最大	حداکثر
最大	بیشینه
キャラクター	شخصیت
キャラクター	نویسه
キャラクター	نویسه
小説	رمان
小説	رمان
それぞれ	هرکدوم
それぞれ	هریک
機関	ارگان
機関	اندامها
機関	اندام
機関	موسسه
機関	مؤسسه
機関	موسسات
機関	نهادهای
機関	مؤسسات
参照	ارجاع
参照	مرجع
参照	مراجع
メンバー	عضو
メンバー	عضوی
メンバー	اعضای
メンバー	اعضا
発行	مسئله
画像	تصاویر
画像	عکسه
画像	عکس
画像	تصویر
画像	نگاره
状態	حالت
状態	استیت
状態	دولت
状態	وضعیت
状態	ایالت
状態	شرط
状態	شرایط
名称	نام
名称	نامها
名称	نامهای
ダム	دم
ダム	سد
ホーム	خانه
ホーム	وطن
ホーム	خونه
ホーム	آغازه
運行	عملیات
運行	عمل
投稿	پست
投稿	پستی
投稿	post
投稿	پستها
名前	نام
名前	نامها
名前	نامهای
福岡	فوکوئوکا
施設	امکانات
施設	تأسیسات
施設	موسسه
施設	مؤسسه
施設	تاسیسات
調査	تحقیق
調査	تحقیقات
調査	سروی
調査	نظرسنجی
イタリア	ایتالیا
ロシア	روس
ロシア	روسیه
ロシア	روسی
ロシア	روسیه
独立	مستقل
独立	استقلال
独立	استقلالی
物語	monogatari
物語	داستان
物語	داستانی
物語	قصه
物語	روایت
神社	عبادتگاه
神社	معبد
神社	زیارتگاه
サン	san
サン	سن
サン	سان
名古屋	ناگویا
通常	معمولا
通常	معمولاً
通常	معمولا
企業	انترپرایز
企業	سازمانی
航空	هوانوردی
航空	هواپیمایی
航空	ایر
航空	هوا
航空	هوایی
スーパー	سوپر
スーパー	super
帝国	امپراطوری
帝国	امپایر
帝国	امپراتوری
トン	تن
トン	تن
影響	تاثیر
影響	تأثیر
影響	نفوذ
勝利	برنده
勝利	پیروز
勝利	برد
勝利	پیروزی
勝利	پیروز
勝利	فتح
デザイン	طراحیهای
デザイン	طرحهای
デザイン	دیزاین
デザイン	طرح
デザイン	طراحی
デザイン	طراحی
人間	انسان
人間	انسانی
人間	بشر
千葉	چیبا
アン	آن
アン	انگ
アン	ان
交通	ترافیک
交通	ترافیکی
交通	انتقال
交通	ترابری
組織	سازمان
組織	سازماندهی
組織	سازمان
組織	سازماندهی
構造	ساختار
構造	سازه
戦い	رزم
戦い	کارزار
戦い	بتل
戦い	نبرد
ここ	اینجا
以前	پیش
サービス	خدمات
サービス	خدمت
サービス	سرویس
サービス	خدمات
統合	مجتمع
統合	یکپارچه
統合	ادغام
統合	یکپارچگی
テーマ	چهره
テーマ	چهرۀ
テーマ	تم
面積	منطقه
面積	مساحت
面積	ناحیه
エンジン	موتور
ビル	بیل
日本語	ژاپنی
契約	قراردادهای
契約	قراردادها
契約	قرارداده
契約	قرارداد
設定	ترجیحات
設定	تنظیمات
設定	تنظیمات
設定	برپایی
設定	پیکربندی
含む	حاوی
含む	شامل
専門	تخصص
機能	کارکرد
機能	تابع
機能	ویژگیها
機能	ویژگیهای
機能	ویژگی
機能	کارآمدی
身長	ارتفاعی
身長	بلندی
身長	قد
身長	ارتفاع
身長	height
所在地	مکانهای
所在地	مکانها
所在地	محلهای
所在地	محل
所在地	مکان
完成	تکمیل
表記	نشانگذاری
表記	نماد
運転	رانندگی
写真	فتو
写真	photo
写真	عکس
写真	عکاسی
写真	photography
写真	عکسبرداری
写真	عکس
写真	عکسه
写真	عکس
関連	مربوط
関連	مربوطه
関連	مربوط
関連	مرتبط
書店	کتابفروشی
高い	والا
高い	رفیع
高い	بلند
高い	تل
高い	قد
高い	گران
高い	گرونه
生産	تولید
横浜	یوکوهاما
上の	فراز
宇宙	کائنات
宇宙	کیهان
宇宙	گیتی
管理	مدیریت
管理	مدیریت
バー	bar
バー	میله
バー	بار
ジョン	جان
ジョン	یوحنا
部隊	قافله
公園	park
公園	پارک
スポーツ	sport
スポーツ	اسپورت
スポーツ	ورزش
スポーツ	ورزشی
スポーツ	ورزشکار
スポーツ	اسپرت
スポーツ	اسپورت
スポーツ	ورزشی
スポーツ	ورزش
脚本	فیلمنامه
脚本	دستنوشته
目的	مقصود
目的	هدفی
目的	عینی
生活	زندگى
生活	زندگی
カード	کارتها
カード	ورق
カード	کارتهای
カード	کارت
カード	ورق
基本	مبانی
基本	اصول
基本	پایه
基本	پکیج
基本	بیسیک
女優	بازیگرها
女優	بازیگر
女優	actress
不明	ناشناخته
タイトル	عناوین
政治	سیاست
電気	الکتریسیته
電気	برق
電気	برقی
電気	الکتریکی
電気	الکتریک
警察	پولیس
警察	پلیس
作成	ایجاد
作成	آفرینش
作成	ایجاد
作成	خلقت
ガン	تفنگ
ガン	تفنگی
ガン	اسلحه
スター	استار
スター	ستاره
経営	مدیریت
自由	ازادی
自由	آزادی
自由	لیبرتی
自由	free
自由	آزادی
自由	رایگان
自由	آزاده
自由	آزاد
自由	آزادیهای
過去	past
過去	گذشته
陸軍	لشگر
陸軍	ارتش
陸軍	ارتشی
陸軍	سپاه
陸軍	لشکر
運営	عملیات
運営	عمل
愛知	آیچی
表示	نما
表示	نمای
社長	جمهور
団体	سازمانها
団体	سازمانهای
団体	سازمان
団体	سازماندهی
工業	صنعتی
通り	استریت
通り	خیابانی
通り	خیابان
通り	خیابون
外部	خارجی
通信	مکاتبات
