kaledonien	caledonia
ägaren	owner
ägaren	eier
myndighet	autoritet
myndighet	fullmakt
myndighet	authority
myndighet	myndighet
dök	spratt
campanula	campanula
roma	roma
asiatiska	asiatisk
asiatiska	asian
asiatiska	asiatiske
haven	havene
haven	hav
haven	haven
frukter	frukt
frukter	frukter
frukter	frukt
kemist	kjemiker
tolkas	tolket
tolkas	tolkes
mexikanska	meksikansk
osv	etc
osv	osv
berlins	berlin
bryan	bryan
tryckt	trykte
tryckt	trykt
tryckt	presset
tryckt	trykket
borgå	borgå
dubrovnik	dubrovnik
likaså	likeså
likaså	likeledes
traditioner	tradisjoner
traditioner	tradisjonene
traditioner	tradisjon
traditioner	tradisjonen
alingsås	alingsås
registrerade	registrerte
registrerade	registrert
brooks	brooks
ekonomin	økonomi
hong	hong
nathan	nathan
madeleine	madeleine
utredning	utredning
utredning	etterforskning
nations	nasjon
nations	nation
nations	nasjoner
handbok	håndbok
handbok	manuell
handbok	manual
india	india
kristiania	kristiania
felder	felder
gers	gers
ruth	ruth
perkins	perkins
officerare	betjenter
officerare	offiserer
officerare	offiserene
officerare	konstabler
slam	slam
burns	brannsår
burns	burns
burns	brannskader
burns	brenner
vella	vella
blake	blake
anhalt	anhalt
minnen	minner
minnen	minnet
minnen	hukommelse
minnen	minne
minnen	memory
ära	ære
ära	ære
ära	ære
ära	glory
ära	herlighet
grenen	grein
grenen	gren
grenen	grenen
grenen	branch
förtroende	tillit
förtroende	fortrolighet
förtroende	selvtillit
förtroende	tillit
förtroende	trust
château	château
bremen	bremen
jesper	jesper
tekniskt	teknisk
tekniskt	tekniske
snake	slange
snake	snake
däggdjur	pattedyr
däggdjur	pattedyr
vänstra	venstresiden
vänstra	venstre
vänstra	forlatt
vänstra	left
titta	watch
titta	titt
titta	look
titta	se
ystad	ystad
xbox	xbox
alexandria	alexandria
aktuell	gjeldende
aktuell	nåværende
kassel	kassel
dixon	dixon
rhin	rhin
skjuta	skyte
skjuta	skyt
skjuta	skyting
pat	pat
medlemskap	medlemskap
alexandra	alexandra
alexandra	aleksandra
konstnärliga	kunstnerisk
konstnärliga	kunstneriske
alternativa	alternative
alternativa	alternativ
alternativa	alternativ
theridion	theridion
praktisk	praktiske
praktisk	praktisk
begränsade	begrenset
begränsade	limited
begränsade	begrenset
lindqvist	lindqvist
shaanxi	shaanxi
hancock	hancock
motorvägen	freeway
motorvägen	motorvei
uppfyller	møter
uppfyller	tilfredsstillende
uppfyller	oppfyller
avsedda	tiltenkt
avsedda	ment
avsedda	tiltenkte
staterna	stater
staterna	delstater
riga	riga
styrkorna	styrker
möten	møter
möten	møtene
möten	avtaler
rymden	rom
rymden	space
rymden	verdensrommet
rymden	plass
sidney	sidney
