और	y
से	from
से	de
से	desde
है	hai
एक	una
एक	one
एक	uno
श्रेणी	categoria
श्रेणी	categoría
श्रेणी	serie
श्रेणी	series
श्रेणी	categorias
श्रेणी	categorías
भी	hasta
भी	incluso
भी	aun
भी	igualmente
भी	además
भी	también
भी	tambien
भी	también
भी	too
भी	demasiado
भी	tambien
यह	este
यह	esto
यह	esta
किया	did
किया	hizo
किया	hecho
इस	este
इस	esto
इस	esta
हैं	están
हैं	are
हैं	son
कि	eso
कि	que
भारत	india
जो	joe
जो	oms
जो	quiénes
जो	quién
जो	quien
ही	hee
रूप	forma
रूप	formulario
रूप	aspecto
रूप	aparición
रूप	comparecencia
रूप	apariencia
कर	fiscalidad
कर	impuesto
कर	tributación
कर	impuestos
कर	impuesto
कर	impuestos
नहीं	not
नहीं	no
नहीं	nop
उत्तराखण्ड	uttarakhand
साथ	junto
साथ	con
साथ	juntos
साथ	juntas
साथ	together
पूर्व	este
पूर्व	oriente
पूर्व	east
पूर्व	antiguo
पूर्व	ex
बाद	posteriormente
बाद	después
बाद	despues
बाद	after
बाद	tras
बाद	después
तक	hasta
तक	asta
तक	tak
अपने	propio
अपने	propios
अपने	propias
अपने	propia
अपने	tus
अपने	tu
अपने	sus
अपने	su
जिले	barrios
जिले	distritos
था	tenía
था	tenido
था	tuvo
था	había
था	fue
था	estaba
था	era
राज्य	estados
राज्य	state
राज्य	estado
बाहरी	exteriores
बाहरी	exterior
बाहरी	externa
बाहरी	externo
बाहरी	externos
बाहरी	exterior
कुछ	algunas
कुछ	algunos
कुछ	some
कुछ	algo
ईसा	jesús
ईसा	jesus
गाँव	pueblo
गाँव	poblado
गाँव	villa
गाँव	aldea
सरकार	gobierno
सरकार	gobierno
कड़ियाँ	cadenas
कड़ियाँ	acoplamientos
कड़ियाँ	vínculos
कड़ियाँ	enlaces
कड़ियाँ	links
प्रदेश	region
प्रदेश	comarca
प्रदेश	región
इसके	sus
इसके	su
दिया	dado
दिया	dados
दिया	dio
दिया	dió
अन्य	otras
अन्य	otro
अन्य	otros
अन्य	otras
अन्य	otros
जा	jaa
वर्ष	años
वर्ष	anos
वर्ष	año
समय	momento
समय	hora
समय	tiempo
समय	time
नाम	nombre
नाम	name
नाम	denominación
वे	ellos
वे	ellas
प्रकार	amable
प्रकार	escribe
प्रकार	type
प्रकार	escriba
प्रकार	tipo
प्रकार	tipos
भारतीय	indios
भारतीय	indio
भारतीय	india
भारतीय	hindú
किसी	alguien
क्षेत्र	superficie
क्षेत्र	zona
क्षेत्र	area
क्षेत्र	área
क्षेत्र	region
क्षेत्र	comarca
क्षेत्र	región
क्षेत्र	áreas
क्षेत्र	zonas
क्षेत्र	areas
अधिक	más
अधिक	mas
अधिक	more
कई	muchas
कई	muchos
कई	varios
कई	varias
स्थित	localizada
स्थित	localizado
स्थित	ubicado
स्थित	situado
मण्डल	zona
मण्डल	zone
आधिकारिक	oficial
आधिकारिक	funcionario
आधिकारिक	official
आधिकारिक	funcionaria
कारण	motivos
कारण	razones
कारण	razón
कारण	motivo
कारण	razon
कारण	causa
कारण	cause
कारण	causa
कारण	causas
होने	estar
होने	siendo
होने	ser
जैसे	gustar
जैसे	like
जैसे	como
करता	abusadores
करता	matones
करता	hace
