kingdom	kuningriik
amândoi	mõlemad
statuie	kuju
tennessee	tennessee
toamnă	sügis
moștenirea	pärand
moștenirea	päranduse
oslo	oslo
turner	turner
adăugate	lisatud
beta	beta
beta	beeta
aripi	tiibu
aripi	tiivad
golf	golf
interzisă	keelatud
interzisă	keelatud
numirea	kokkusaamine
numirea	nimetamine
contactul	kontakt
contactul	kontakti
java	java
alexandre	alexandre
siberia	siberi
inspector	inspektor
inspector	inspektori
cumva	kuidagi
ocean	ookean
claudia	claudia
plăcut	meeldis
plăcut	meeldiv
plăcut	meeldivaks
evans	evans
franceza	prantsuse
wien	wien
edge	serv
edge	edge
declarație	avaldus
declarație	deklaratsioon
discursul	sõnavõtt
discursul	kõne
alabama	alabama
folosire	kasutamine
folosire	kasutus
intrând	sisenemine
intrând	sisestamine
tabel	laua
tabel	laud
tabel	tabel
indiei	india
keith	keith
asigurată	kindlustatud
corrèze	corrèze
emise	emiteeritud
emise	väljastatud
manastirea	kloostri
manastirea	klooster
louisiana	louisiana
baschet	korvpall
organ	organi
organ	elundite
organ	organ
hotelul	hotell
hotelul	hotel
oarecum	mõneti
oarecum	mõnevõrra
finistère	finistère
tranziție	ülemineku
tranziție	üleminek
distanțe	vahemaad
cald	kuum
cald	kuumad
cald	hot
cald	palav
cald	soojad
cald	sooja
cald	soe
adânc	sügav
adânc	deep
adânc	sügavale
salvare	lunastus
salvare	päästmine
salvare	päästa
salvare	pääste
vacanță	puhkus
vacanță	pühal
vacanță	puhkus
malta	malta
manifestări	ilmingud
fotbalul	jalgpall
radical	radikaalne
asalt	kallaletung
asalt	rünnak
asalt	ründamine
renault	renault
sierra	sierra
specializate	spetsialiseerunud
specializate	spetsialiseerunud
dificultăți	raskusaste
dificultăți	raskused
dificultăți	raskused
râurile	jõed
tribuna	tribune
lapte	piima
lapte	piim
grove	grove
viteze	kiirused
studios	studios
clara	clara
vieți	elud
vieți	elab
boemia	čechy
letonia	läti
islanda	islandil
islanda	island
islanda	islandi
hanovra	hannoveri
hanovra	hannover
rahman	rahman
edinburgh	edinburghi
silva	silva
democratic	demokraatlikult
democratic	demokraatlik
democratic	demokraatlikud
vrei	tahaks
vrei	tahad
strategice	strateegilised
strategice	strateegiline
utilizând	kasutamine
utilizând	kasutades
numeric	numbriline
simte	tunneta
lloyd	lloyd
robinson	robinson
oldenburg	oldenburg
controverse	vaidlus
lunile	kuud
lunile	kuude
rase	tõugude
bordeaux	bordeaux
lecții	tunnid
lecții	õppetunnid
jay	jay
soră	õde
teste	katsetused
teste	katsed
teste	testid
aventuri	seiklused
aventuri	seiklus
aventuri	seiklused
autorități	võimud
autorități	ametiasutused
autorități	asutused
autorități	ametivõimud
estimare	hinnang
estimare	hinnang
comparativ	võrdlev
comparativ	võrdleva
islamice	islami
salt	hüpe
salt	soola
salt	sool
dezvolta	arendada
tensiune	pinge
tensiune	pingeid
tensiune	pinged
tensiune	pinge
banda	lindi
banda	lint
banda	linti
batman	batman
batman	batmani
pius	pius
trăiască	live
trăiască	elama
exprimate	valatud
exprimate	väljendatud
moneda	valuuta
moneda	rahaühik
moneda	vääring
moneda	münt
moneda	mündi
instalații	rajatised
romeo	romeo
concomitent	samaaegne
aruncă	viska
aruncă	visata
conservare	säilitamine
conservare	looduskaitse
conservare	säilitamine
conservare	säilimine
recentă	hiljutine
recentă	hiljutised
accentul	aktsent
trenul	rongi
trenul	rong
bate	peksa
bate	lööb
propuse	pakutud
manuscris	käsikiri
manuscris	käsikirja
tanc	mahuti
tanc	paak
tanc	tanki
tanc	tank
veliko	veliko
bolnav	haiged
bolnav	haige
bolnav	haigeks
prix	prix
nguyen	nguyen
afectează	mõjutab
fiice	tütreid
fiice	tütred
nigeria	nigeeria
gust	maitsed
gust	maitse
gilbert	gilbert
minnesota	minnesota
allah	allah
joan	joan
latina	ladina
latina	latina
vila	vila
vila	villa
bor	boori
muncitori	töötajad
muncitori	töölised
györgy	györgy
gabrovo	gabrovo
strategic	strateegiliselt
strategic	strateegilised
strategic	strateegiline
privit	jälgiti
privit	vaatasin
privit	vaatas
dennis	dennis
geografia	geograafia
miami	miami
lang	lang
multumesc	tänan
multumesc	aitäh
multumesc	tänud
bugetul	eelarve
matthew	matthew
intervalul	vahemik
intervalul	vahemikus
intervalul	intervall
wisconsin	wisconsinis
străzile	tänavaid
străzile	tänavad
sunete	helid
sunete	kõlab
cablu	kaabel
barajul	tamm
autonom	autonoomne
lucas	lucas
justin	justin
laurent	laurent
lingvistice	keelelise
northern	põhja
astea	need
astea	neid
procedura	menetlus
procedura	protseduur
marx	marx
lector	lektor
lector	õppejõud
primăvară	kevad
gândirea	mõtlemine
gândirea	mõeldes
gândirea	mõtled
gândirea	mõtleb
esențial	hädavajalik
consecutive	järjestikuse
navarra	navarre
asimov	asimov
carnivore	lihasööja
repere	rõhutab
cifră	kohaline
singapore	singapuri
singapore	singapuris
interpreta	tõlgendada
acoperire	katmine
acoperire	kata
acoperire	katke
acoperire	katta
acoperire	katma
acoperire	katvus
wells	wells
pasăre	linnu
pasăre	lind
pasăre	linnuke
pasăre	bird
dedesubt	all
dedesubt	allpool
fundul	tagumik
stadiul	lava
stadiul	staadium
stadiul	etapp
transforma	muuta
grădină	aia
grădină	aed
springs	vedrud
detaliate	detailne
detaliate	üksikasjalikud
detaliate	üksikasjalik
estimat	hinnanguline
estimat	hinnanguliselt
derivate	derivaadid
derivate	tuletatud
liban	liibanon
scaune	toolid
scaune	istmed
gov	gov
regii	kuningad
apărând	ilmuvad
emma	emma
persană	pärsia
doyle	doyle
efectuarea	tegemine
organe	organid
organe	organi
organe	elundite
organe	organ
surori	õed
goethe	goethe
aug	aug
eforturi	jõupingutused
eforturi	pingutused
kogălniceanu	kogălniceanu
bobby	bobby
ring	rõngas
ring	ring
ring	sõrmuse
ring	sõrmus
sever	raskekujuline
sever	tõsine
faze	etapid
pielea	nahka
pielea	nahk
pielea	naha
abordare	lähenemine
abordare	lähenemisviis
