और	in
से	iz
से	od
है	hai
एक	enga
एक	ena
एक	en
एक	eden
एक	eno
श्रेणी	kategorijo
श्रेणी	kategorija
श्रेणी	serijo
श्रेणी	serije
श्रेणी	serija
श्रेणी	kategorije
भी	celo
भी	tudi
भी	preveč
यह	to
यह	ta
यह	tole
यह	tega
किया	storjeno
किया	končano
किया	opravljeno
किया	narejeno
इस	to
इस	ta
इस	tole
इस	tega
हैं	so
कि	to
कि	tisto
भारत	indija
भारत	indijo
जो	joe
जो	ki
जो	kdo
ही	hee
रूप	oblika
रूप	obrazec
रूप	obliko
रूप	videz
कर	davki
कर	davčna
कर	davek
कर	davke
कर	davki
नहीं	ni
नहीं	ne
साथ	vzdolž
साथ	skupaj
पूर्व	vzhodni
पूर्व	vzhod
पूर्व	vzhodna
पूर्व	vzhodno
पूर्व	nekdanje
पूर्व	nekdanja
पूर्व	nekdanji
होता	bi
बाद	pozneje
बाद	kasneje
बाद	po
तक	do
तक	dokler
तक	tak
अपने	lastno
अपने	lastne
अपने	lastna
अपने	lastni
अपने	tvoje
अपने	tvoji
अपने	vaš
अपने	tvoj
अपने	tvoja
अपने	vaša
जिले	okrožij
जिले	okrožja
था	imelo
था	imeli
था	imel
था	imela
था	bil
था	bila
राज्य	države
राज्य	držav
राज्य	stanje
राज्य	država
राज्य	državno
बाहरी	zunanji
बाहरी	zunanja
बाहरी	zunanji
बाहरी	zunanja
बाहरी	zunanji
बाहरी	zunanja
बाहरी	zunanje
कुछ	nekatere
कुछ	nekaterim
कुछ	nekateri
कुछ	nekaj
कुछ	neki
कुछ	nekaj
ईसा	jezus
गाँव	vasi
गाँव	vasica
सरकार	govt
सरकार	vladna
सरकार	vlado
सरकार	vladno
सरकार	vlada
सरकार	vladni
सरकार	vlade
कड़ियाँ	verige
कड़ियाँ	povezave
प्रदेश	regiji
प्रदेश	regija
इसके	its
दिया	dano
दिया	danih
दिया	dal
दिया	dau
दिया	dala
अन्य	drugi
अन्य	drugo
अन्य	druga
अन्य	druge
अन्य	drugi
अन्य	drugih
अन्य	druge
वर्ष	leta
वर्ष	letih
वर्ष	let
वर्ष	leto
वर्ष	letnica
समय	čas
समय	časa
नाम	ime
वे	so
प्रकार	prijazen
प्रकार	prijazno
प्रकार	type
प्रकार	vrsta
प्रकार	tip
प्रकार	tipi
प्रकार	vrste
भारतीय	indijansko
भारतीय	indijsko
भारतीय	indijski
भारतीय	indijanec
भारतीय	indijska
किसी	nekdo
क्षेत्र	območje
क्षेत्र	površina
क्षेत्र	področje
क्षेत्र	regiji
क्षेत्र	regija
क्षेत्र	območja
क्षेत्र	področja
क्षेत्र	površine
अधिक	več
अधिक	bolj
कई	številni
कई	mnogi
कई	veliko
स्थित	nahaja
मण्डल	cona
मण्डल	območje
आधिकारिक	uradnik
आधिकारिक	uradna
आधिकारिक	uradno
आधिकारिक	uradni
कारण	razlogi
कारण	razlog
कारण	razlogi
कारण	vzrok
कारण	vzroki
होने	počutje
जैसे	kot
उनके	njihovi
उनके	njihov
उनके	njihovo
उनके	njuna
उनके	njihova
उनके	njihove
उनके	njimi
उनके	jih
उनके	njih
सबसे	večina
सबसे	večini
सबसे	največ
सबसे	najbolj
बहुत	zelo
पहले	pred
पहले	preden
पहले	prej
पहले	prej
पहले	prva
पहले	prvo
पहले	prvi
पहले	najprej
अपनी	lastno
अपनी	lastne
अपनी	lastna
अपनी	lastni
दो	dve
दो	dva
जिला	okrožje
जब	kadar
जब	ko
जब	kdaj
उन्होंने	so
उन्होंने	egipčani
जन्म	rojen
जन्म	rojena
जन्म	rojene
जन्म	rojeni
