warren	vorens
parlamentară	parlamentārā
ferenc	ferenc
stein	šteins
basel	bāzeles
basel	bāzele
étienne	étienne
trafic	satiksme
trafic	satiksmes
baraj	dam
baraj	dambis
baraj	aizsprostam
absolvent	absolventu
absolvent	absolvents
islamică	islāma
derivă	drift
balta	dīķi
balta	peļķe
roberts	roberts
kingdom	karaliste
amândoi	abas
amândoi	abus
amândoi	gan
amândoi	abi
statuie	statuja
tennessee	tenesī
toamnă	rudens
toamnă	rudenī
moștenirea	legacy
moștenirea	mantojums
moștenirea	mantojumā
moștenirea	mantojums
moștenirea	mantojuma
oslo	oslo
turner	tērnera
adăugate	pievienoti
adăugate	pievienots
adăugate	pievienota
beta	beta
aripi	spārni
aripi	spārnus
golf	golf
golf	golfa
interzisă	aizliegta
interzisă	aizliegts
interzisă	aizliegtas
interzisă	aizliegta
interzisă	aizliegts
interzisă	aizliegtas
interzisă	aizliegti
numirea	iecelšana
numirea	tikšanās
numirea	iecelšanu
contactul	saskarē
contactul	sazināties
contactul	kontakti
contactul	kontakts
java	java
alexandre	alexandre
siberia	sibīriju
inspector	inspektors
inspector	inspektora
cumva	kautkā
ocean	okeānā
ocean	okeāns
ocean	okeāna
claudia	klaudija
plăcut	iepatikās
plăcut	patika
plăcut	patīkama
plăcut	patīkami
plăcut	patīkamas
plăcut	patīkams
evans	evans
franceza	francijas
franceza	franču
wien	wien
edge	malas
edge	malu
edge	mala
declarație	paziņojums
declarație	deklarāciju
declarație	deklarācija
discursul	runā
discursul	runu
discursul	runas
discursul	runa
alabama	alabama
folosire	lietošana
folosire	izmantošana
folosire	lietojums
tabel	galds
tabel	galdiņš
tabel	tabula
tabel	galda
indiei	indija
indiei	indijā
indiei	indijas
keith	kīts
corrèze	korēza
emise	izdota
emise	izsniegta
emise	izdots
emise	izsniegts
campionatele	hokejā
manastirea	klostera
louisiana	luiziāna
baschet	basketbola
baschet	basketbols
baschet	basketball
organ	orgānu
organ	orgāns
hotelul	viesnīcā
hotelul	viesnīca
tranziție	pārejas
tranziție	pāreja
distanțe	attālumus
distanțe	attālumi
cald	hot
cald	karsts
cald	karsti
cald	silti
cald	silts
adânc	dziļa
adânc	dziļā
adânc	dziļi
adânc	deep
adânc	dziļš
salvare	pestīšanas
salvare	glābšana
salvare	glābšanas
vacanță	brīvdiena
vacanță	brīvdienu
vacanță	brīvdienas
vacanță	atvaļinājums
malta	maltas
malta	maltā
malta	malta
manifestări	izpausmes
fotbalul	futbols
radical	radikāli
radical	radikālas
asalt	uzbrukums
renault	renault
sierra	sierra
specializate	specializētās
specializate	specializēta
specializate	specializētā
specializate	specializētie
specializate	specializētas
specializate	specializēta
specializate	specializēti
buenos	buenos
dificultăți	grūtības
dificultăți	grūtības
râurile	upēm
râurile	upēs
râurile	upes
tribuna	tribīnes
lapte	piens
grove	audžu
memoriile	memuārus
memoriile	memoir
viteze	ātrumi
viteze	ātrumiem
studios	studijas
clara	klāra
vieți	dzīvības
boemia	bohēmijas
oferind	piedāvāšana
letonia	latvija
islanda	islandē
islanda	īslande
islanda	islande
hanovra	hannovere
hanovra	hannover
rahman	rahman
edinburgh	edinburgas
hlist	hlist
silva	silva
democratic	demokrātiskā
democratic	demokrātiski
democratic	demokrātiskas
democratic	demokrātisko
democratic	demokrātiskā
democratic	demokrātiska
vrei	gribu
vrei	gribam
vrei	gribi
vrei	grib
strategice	stratēģisks
strategice	stratēģiskā
strategice	stratēģiska
strategice	stratēģiski
