الاكتئاب	depresión
رقيقة	delgado
رقيقة	delgada
الفنادق	hoteles
الامبراطور	emperador
هبوط	desembarco
هبوط	desembarque
هبوط	aterrizando
هبوط	aterrizar
هبوط	aterrizaje
قطاعات	sectores
الحمر	rojos
الشحن	cargo
الشحن	cargamento
الشحن	carga
الشحن	cargando
الشحن	tarificación
الشحن	envio
الشحن	envío
الشحن	envíos
السيناريو	guión
السيناريو	guion
السيناريو	escenario
السيناريو	script
السيناريو	guion
السيناريو	guión
كلينتون	clinton
ثروة	fortuna
ثروة	fortune
ثروة	riquezas
ثروة	riqueza
المربع	cuadrado
المربع	square
المربع	cuadrada
المربع	plaza
اللهجات	dialectos
اللهجات	acentos
اللهجات	acento
الخيار	pepinos
الخيار	pepino
الخيار	opcion
الخيار	opción
الخيار	elección
الخيار	opción
الخيار	elegir
الخيار	choice
كواكب	planetas
سنوية	anualmente
سنوية	anual
سنوية	anuales
سنوية	anualmente
سنوية	anual
سنوية	anuales
شعارات	logos
شعارات	logotipos
شعارات	eslóganes
شعارات	consignas
شعارات	lemas
شعارات	banners
شعارات	banderas
شعارات	pancartas
السمع	audición
السمع	oído
الهزيمة	derrotas
الهزيمة	derrota
مرتفعات	heights
مرتفعات	alturas
ديترويت	detroit
الهاشمية	hachemita
تشاد	chad
الصعود	embarque
الصعود	abordar
الصعود	abordaje
الصعود	abordando
الصعود	embarcar
مفصل	detallada
مفصل	detalladas
مفصل	detallado
مفصل	bisagras
مفصل	bisagra
المرشحين	candidatas
المرشحين	candidaturas
المرشحين	candidatos
المغناطيسية	magnetismo
المغناطيسية	magnéticas
المغناطيسية	magnética
المغناطيسية	magnético
المغناطيسية	magnéticos
الحبل	cuerda
الحبل	soga
حاملة	portaaviones
حاملة	porteador
حاملة	transportista
المقارنة	comparativo
المقارنة	comparado
المقارنة	comparativas
المقارنة	comparativa
المقارنة	comparación
المقارنة	comparaciones
الدب	osos
الدب	osa
الدب	bear
الدب	oso
الدب	osito
اعداد	configurar
اعداد	configuración
اعداد	preparativos
اعداد	preparación
اعداد	preparaciones
اعداد	preparado
حجرة	cuarto
حجرة	sala
حجرة	habitación
عزبة	mansión
عزبة	manor
غشاء	chapa
غشاء	membrana
المعابد	templos
النطق	pronunciación
ثوم	allium
ثوم	ajos
ثوم	ajo
تهمة	cargos
تهمة	cargo
تهمة	carga
الناخبين	electorado
الناخبين	votantes
الناخبين	electores
اعتقل	detención
اعتقل	arresto
اعتقل	detenciones
اعتقل	detenida
اعتقل	detenido
اعتقل	arrestada
اعتقل	detenidos
اعتقل	arrestados
اعتقل	arrestado
النقوش	inscripciones
الزائدة	apéndice
الصنع	manufactura
الصنع	fabricación
تومي	tommy
ملحمة	epic
ملحمة	épica
ملحمة	épico
جلد	cuero
جلد	piel
جلد	cueros
جلد	piel
جلد	cutis
جلد	skin
الاعتداء	agresión
الاعتداء	asalto
مصممة	diseñadora
مصممة	diseñadores
مصممة	diseñador
ملحوظة	note
ملحوظة	nota
الجفاف	sequías
الجفاف	sequía
الجفاف	deshidratación
نافذة	ventana
نافذة	ventanilla
نافذة	window
نافذة	escaparate
العنب	uvas
العنب	uva
تحسن	mejorado
تحسن	mejoró
تحسن	mejorada
تحسن	mejoras
تحسن	mejoría
تحسن	mejoramiento
تحسن	perfeccionamiento
تحسن	mejora
يوافق	acuerda
اصل	procedencia
اصل	origen
الصدمة	conmoción
الصدمة	shock
الصدمة	choque
الصدمة	traumatismo
الصدمة	traumas
الصدمة	trauma
الصدمة	traumatismos
المسافرين	pasajeros
المسافرين	viajeros
المسافرين	nómadas
المسافرين	viajeros
ابرز	destacado
ابرز	resaltado
ابرز	destacó
ابرز	destacados
ابرز	subrayado
ابرز	resaltado
ابرز	destacamos
ابرز	destacar
ابرز	resaltar
ابرز	destacado
ابرز	destacadas
ابرز	destaca
ابرز	destacados
ابرز	reflejos
سرقة	robo
سرقة	atraco
سرقة	robo
سرقة	hurto
سرقة	robar
سرقة	robando
كانو	cano
بلو	blu
بلو	azules
بلو	blue
بلو	azul
الروحية	espirituales
الروحية	espiritual
هرم	pirámide
هرم	pirámides
الرومانسية	romance
الرومانسية	romanticismo
الرومانسية	romances
الغوص	buceo
الغوص	bucear
الغوص	submarinismo
الغوص	picado
الغوص	picada
الغوص	buceo
الغوص	bucear
الغوص	inmersión
ذرية	descendientes
ذرية	descendencia
ذرية	atómicos
ذرية	atómica
ذرية	atómico
ذرية	atómicas
البني	brown
البني	moreno
البني	marrones
البني	marrón
سامسونج	samsung
مدفع	cañón
مدفع	cañones
مدفع	cañon
شحن	cargo
شحن	cargamento
شحن	carga
شحن	cargando
شحن	tarificación
شحن	envio
شحن	envío
شحن	envíos
يان	jan
يان	enero
يان	ene
يان	yan
الرمل	arena
الرمل	sand
مانع	mind
مانع	mente
القاعة	vestíbulo
القاعة	pasillo
القاعة	hall
القاعة	salón
الحركية	cinética
المميز	destacada
المميز	destacado
المميز	destacados
المميز	destacadas
القنابل	bombas
وسائط	modos
جراحية	quirúrgicos
جراحية	quirúrgico
جراحية	cirugía
جراحية	quirúrgica
باول	paul
باول	pablo
استعمار	colonización
الملاعب	estadios
ينمو	crecer
ينمو	creciente
ينمو	creciendo
ينمو	crecen
ينمو	crecer
ينمو	crece
ينمو	crece
النواحي	aspectos
كليفلاند	cavs
كليفلاند	cleveland
يسجل	grabando
يسجل	grabación
يسجل	grabar
الفيل	elefante
البيانو	piano
تلمسان	tlemcen
التلفاز	televisor
التلفاز	television
التلفاز	televisión
التلفاز	televisiones
المتحدث	altavoz
المتحدث	orador
المتحدث	parlante
المتحدث	oradora
المتحدث	altavoces
خبير	experto
خبير	perito
خبير	expertos
خبير	experta
كمبيوتر	computadora
كمبيوتر	ordenador
كمبيوتر	informática
كمبيوتر	computadoras
كمبيوتر	ordenadores
روز	rose
روز	rosa
صعود	embarque
صعود	abordar
صعود	abordaje
صعود	abordando
صعود	embarcar
صعود	ascender
صعود	ascendente
صعود	ascendiendo
فالي	valle
فالي	valle
قضاة	jueces
قضاة	magistrados
منحة	subvención
منحة	subsidio
منحة	grant
التخلي	abandono
التعادل	paridad
التعادل	tie
التعادل	ate
التعادل	empate
التعادل	corbata
التعادل	deuces
القوس	sagitario
القوس	moño
القوس	reverencia
القوس	arco
القوس	proa
القوس	bow
ماثيو	matthew
ماثيو	mateo
صيدا	saida
صيدا	sidón
تسلم	recibo
تسلم	recepción
تسلم	reconoce
العنصرية	racista
العنصرية	racistas
العنصرية	racismo
المشي	caminar
المشي	caminando
المشي	pasear
المشي	paseando
المشي	caminar
المشي	camina
المشي	paseo
شئ	algo
الكاتبة	escritora
الكاتبة	escritor
الكاتبة	writer
هدى	orientación
هدى	orientaciones
الاندماج	fusión
الاندماج	integración
كراي	cray
اليومي	diarios
اليومي	diariamente
اليومي	diario
اليومي	cotidiano
اليومي	diaria
شمل	incluidos
