максимилијан	maximilian
конзул	konsul
конзул	konsuln
капа	kappa
капа	cap
капа	mössa
капа	keps
капа	hatten
капа	keps
капа	mössa
капа	hatt
капа	capa
микронезија	mikronesien
опција	alternativet
опција	alternativ
опција	möjlighet
исполнува	uppfyller
исполнува	uppfyller
исполнува	möter
гвајана	guyana
омега	omega
комунистите	kommunisterna
комунистите	kommunister
мешани	blandat
мешани	blandad
мешани	blandade
церемонијата	ceremoni
церемонијата	ceremonin
церемонијата	ceremonier
конфедерација	edsförbundet
познавање	kunskap
познавање	kunskaper
познавање	kännedom
познавање	vetskap
ленин	lenin
работен	jobbar
работен	arbeta
работен	fungerar
работен	fungerande
работен	arbetar
бокс	boxas
бокс	boxning
зелено	gröna
зелено	grön
зелено	grönt
зелено	green
разновидност	mångfald
разновидност	mångfalden
разновидност	sort
разновидност	variation
реони	valdistrikt
епоха	epok
јава	rider
јава	java
моја	mina
моја	mitt
моја	mine
моја	gruva
моја	min
балет	balett
балет	baletten
убеди	övertalade
убеди	övertalat
убеди	övertyga
убеди	övertygar
убеди	övertala
убеди	övertyga
убеди	övertala
вечера	middag
наполи	neapel
наполи	napoli
наведено	specificerat
наведено	specificerade
наведено	angiven
наведено	specificerad
наведено	angivet
зачувана	lagras
зачувана	lagrade
зачувана	lagrat
зачувана	lagrad
зачувана	räddade
зачувана	sparade
зачувана	sparat
зачувана	räddad
зачувана	sparad
зачувана	bevarade
зачувана	konserverade
зачувана	bevarat
зачувана	bevarad
зачувана	konserverad
шпанците	spanjorer
прикажано	visas
прикажано	visat
осман	osman
презиме	efternamn
присуствувале	närvarade
присуствувале	deltog
сигурни	pålitligt
сигурни	tillförlitliga
сигурни	pålitlig
сигурни	tillförlitligt
сигурни	tillförlitlig
обична	plain
обична	slätt
можностите	möjligheter
патуваат	resa
патуваат	resande
патуваат	reser
меша	mixer
меша	blandar
вејн	wayne
крокодил	krokodilen
крокодил	krokodil
драчево	connecticut
толкува	tolka
толкува	tolkas
толкува	tolkade
толкува	tolkat
толкува	tolkats
надворешно	utomhus
надворешно	extern
надворешно	externt
надворешно	yttre
надворешно	externa
луизијана	louisiana
кутии	lådor
кутии	askar
кутии	boxar
кутии	rutor
купер	coopers
купер	cooper
чичко	onkel
чичко	morbror
чичко	uncle
чичко	farbror
верувал	tros
верувал	trodde
момчиња	boys
момчиња	pojkar
момчиња	grabbar
убиец	mördare
убиец	killer
убиец	mördaren
убиец	mördare
убиец	lönnmördare
убиец	yrkesmördare
бери	barry
мермер	marmor
мермер	marble
сличности	likheter
сличности	likheterna
жупанија	county
жупанија	länet
жупанија	län
покана	inbjudan
бирмингем	birmingham
слаби	svagt
слаби	klen
слаби	svaga
слаби	svag
другари	kompisar
другари	kompisar
другари	polare
другари	kamrater
другари	kompisar
путин	putin
путин	putins
орландо	orlando
скулптура	skulptur
скулптура	staty
скулптура	skulpturer
ветрови	vindar
ветрови	vindarna
емануел	emanuel
емануел	emmanuel
брдо	brdo
брдо	kullen
брдо	backen
брдо	backe
брдо	kulle
брдо	hill
трајно	bestående
трајно	permanent
трајно	permanenta
трајно	permanent
еднаквост	jämlikhet
еднаквост	jämställdhet
племето	stam
племето	stammen
реченици	meningar
атланта	atlanta
мориња	hav
супстанци	ämnen
супстанци	substanser
кампањи	kampanjer
кампањи	kampanjerna
преводи	översättningar
белег	ärr
белег	markera
белег	märke
белег	mark
митови	myter
фелпс	phelps
астрономијата	astronomi
реагира	reagera
реагира	reagerar
реагира	reagerar
бомби	bomber
еврото	euron
еврото	euro
конг	kong
програм	programmera
програм	program
програм	programmet
орион	orion
споени	sammanslagna
комунизмот	kommunism
комунизмот	kommunismen
уништувањето	tug
ефикасноста	effektiviteten
ефикасноста	effektivitet
ефикасноста	effekt
ефикасноста	effektivitet
ефикасноста	effektiviteten
организатор	administrera
организатор	arrangör
организатор	organisatör
доделен	tilldelade
доделен	tilldelat
доделен	tilldelad
негативна	negativa
негативна	negativt
негативна	negativ
забите	tänder
најмладиот	yngsta
најмладиот	yngste
верона	verona
перо	pero
перо	fjädrar
перо	fjäder
перо	quill
илјада	thousand
илјада	tusen
кејт	kajsa
кејт	kate
геометриски	geometrisk
геометриски	geometriskt
геометриски	geometriska
авторите	författarna
авторите	upphovsmän
авторите	författare
коле	kole
непозната	okända
непозната	okänd
непозната	okänt
ранет	sårad
ранет	skadad
ранет	skadade
ранет	sårade
дарко	darko
дефиниции	definitioner
ресторан	fik
ресторан	restaurang
ресторан	restaurangen
вили	willy
вили	wille
вили	willie
вили	villor
развод	skilsmässor
развод	skilsmässa
електроника	electronics
електроника	elektronik
предок	förfader
подготовки	utarbetande
подготовки	beredning
подготовки	förberedelser
подготовки	förberedelse
подготовки	beredningar
подготовки	preparat
подготовки	förberedelser
гугл	google
гугл	googles
гугл	googla
кабли	kablar
конрад	conrad
конрад	konrad
алт	alt
подарок	nuvarande
подарок	närvarande
подарок	present
подарок	nutid
подарок	present
подарок	gåva
предлага	föreslå
предлага	föreslår
предлага	antyder
предлага	föreslår
предлага	friar
предлага	föreslår
предлага	föreslås
предлага	föreslår
дивината	vildmark
дивината	vildmarken
промет	omsättning
промет	cirkulation
промет	omlopp
промет	omsättningen
промет	omsättning
нега	skötsel
нега	bryr
нега	omsorg
нега	vård
нега	care
интересни	intressanta
интересни	intressant
михајло	mihajlo
предложени	föreslog
предложени	föreslagen
предложени	föreslaget
предложени	föreslagna
предложени	föreslaget
предложени	föreslagna
предложени	föreslagen
предложени	friade
предложени	friat
распространета	utbredd
распространета	utbrett
распространета	utbredda
пирс	pierce
пирс	piers
интерпретација	tolkningen
интерпретација	tolkning
беј	viken
беј	bay
сведоци	vittnen
сведоци	vittne
астон	aston
ројал	kungliga
ројал	royal
ројал	kunglig
ројал	kungligt
претседателски	presidentens
дишење	andas
дишење	andning
дишење	andningen
дишење	andningen
дишење	andning
стенли	stanley
сиера	sierra
секторот	borough
секторот	stadsdel
четириесет	fyrtio
четириесет	forty
божество	gudom
опфатени	täcks
опфатени	täckt
опфатени	täckta
опфатени	täckte
волфганг	wolfgang
возачите	chaufförer
возачите	förare
возачите	drivrutiner
тунел	tunnel
тунел	tunneln
освоен	erövrat
освоен	besegrade
освоен	segrade
освоен	erövrade
дијана	diana
дијана	diane
виртемберг	württemberg
именување	namnge
молитва	böner
молитва	bön
посетеност	närvaro
посетеност	deltagande
признае	erkänna
динамика	dynamisk
динамика	dynamiskt
динамика	dynamic
динамика	dynamiska
динамика	dynamiken
динамика	dynamik
динамика	dynamics
динамика	dynamik
динамика	slagkraft
динамика	drivkraft
огледало	spegel
огледало	spegla
дигитален	digitala
дигитален	digitalt
дигитален	digital
узбекистан	uzbekistan
видеа	filmklipp
видеа	videor
видеа	videos
видеа	videoklipp
пустината	öken
пустината	öknen
пустината	desert
дигитална	digitala
дигитална	digitalt
дигитална	digital
остри	skarp
остри	sharp
остри	vassa
остри	skarpa
остри	skarpt
остри	hårda
остри	hård
сексуални	sexuell
сексуални	sexuella
сексуални	sexuellt
обновен	förnyats
обновен	förnyat
обновен	förnyad
обновен	förnyade
обновен	återställts
обновен	återställd
обновен	återställt
