மற்றும்	और
ஒரு	एक
இந்த	ये
இந்த	यह
இந்த	इस
இந்த	ये
ஆம்	yes
ஆம்	हाँ
ஆம்	हां
ஆம்	यस
இது	ये
இது	यह
இது	इस
மக்கள்	लोग
மக்கள்	लोगों
என்ற	निकला
ஆண்டு	वर्ष
ஆண்டு	साल
என்று	उस
என்று	कि
தமிழ்	तमिल
இந்திய	भारतीय
இருந்து	से
இருந்து	इससे
பல	कई
பல	अनेक
பல	मल्टीपल
பல	बहुमुखी
பல	बहु
பல	अनेक
முதல்	से
முதல்	इससे
முதல்	प्रथम
முதல்	पहली
முதல்	पहले
முதல்	पहला
மேலும்	ज्यादा
மேலும்	आदि
மேலும்	अधिक
தொகை	मात्रा
தொகை	राशि
சில	कुछ
உள்ளது	उपलब्ध
உள்ளது	उपलब्धियाँ
அவர்	उससे
அவர்	उसको
அவர்	उसे
அவர்	उसे
அவர்	उसका
அவர்	उसकी
அவர்	उसके
இருக்கும்	मौजूदा
வெளி	आउटसोर्सिंग
வெளி	बाहरी
வெளி	बाह्य
வெளி	अंतरिक्ष
வெளி	समष्टि
வெளி	जगह
வெளி	स्पेस
அமைந்துள்ளது	स्थित
அமைந்துள்ளது	स्तिथ
மூலம்	स्रोत
மூலம்	स्त्रोत
மூலம்	सोर्स
மூலம்	मूल
மூலம்	मौलिक
மூலம்	असली
வரை	खींचें
வரை	चित्रण
வரை	तक
வரை	जबतक
பின்னர்	फिर
பின்னர்	तब
பின்னர்	बाद
ஆனால்	परन्तु
ஆனால்	लेकिन
ஆனால்	लेकीन
ஆனால்	मगर
ஆனால்	लकिन
வேண்டும்	चाहिए
கொண்டு	लाओ
கொண்டு	साथ
பட்டியல்	प्लेलिस्ट
பட்டியல்	सूची
அமைந்துள்ள	स्थित
அமைந்துள்ள	स्तिथ
அதன்	इसका
அதன்	इसकी
அதன்	इसके
பெண்கள்	महिलाएँ
பெண்கள்	महिलाएं
பெண்கள்	बेटियाँ
பெண்கள்	महिलाओं
பெண்கள்	लड़कियां
பெண்கள்	लड़कियाँ
பெண்கள்	girls
பெண்கள்	लड़कियों
பெண்கள்	औरतों
பெண்கள்	स्त्रियाँ
பெண்கள்	महिलाएँ
பெண்கள்	महिलाएं
பெண்கள்	महिलाओं
கொண்டுள்ளது	रै
போது	दौरान
போது	कब
போது	जब
இணைப்புகள்	कनेक्शन
இணைப்புகள்	कनेक्शन्स
இணைப்புகள்	संलग्नक
இணைப்புகள்	अनुलग्नक
இணைப்புகள்	लिंक
இணைப்புகள்	लिंक्स
இணைப்புகள்	कड़ियाँ
இணைப்புகள்	कड़ी
இரண்டு	दो
தகவல்	जानकारी
தகவல்	सूचना
தகவல்	सुचना
தகவல்	एनोटेशन
