پِزشک	lékař
پِزوہش	šetření
پِزوہش	vyšetřování
پِزوہش	hledej
پِزوہش	vyhledat
پِزوہش	hledání
پِزوہش	hledat
پِزوہش	vyhledávání
پِزوہش	zkoumání
پِزوہش	vyšetření
پِزوہش	výslechu
پِزوہش	výslech
پِزوہش	výslechy
پِژمان	smutný
پِژمان	smutná
پِژمان	smutné
پژمُردگی	smutku
پژمُردگی	smutek
پژمُردہ	smutný
پژمُردہ	smutná
پژمُردہ	smutné
پس	za
پس	proto
پس	zpět
پس	zpátky
پس	záda
پس	po
پس	poté
پس	tudíž
پس	proto
پِساچ	ghost
پِساچ	přízrak
پِساچ	duch
پِساچ	duchu
پِساچ	strašidlo
پسادست	dluhy
پسادست	dluh
پسادست	zadlužení
پسادست	výpůjční
پسادست	půjčování
پسارا	expanze
پسارا	rozšiřování
پسارا	rozšíření
پسارنا	rozbalit
پسارنا	rozšířit
پسارنا	prodloužit
پسارنا	rozšířit
پسارنا	protáhnout
پسارنا	natáhnout
پسارنا	zobrazení
پسارنا	displej
پسارنا	zobrazit
پسارنا	šíření
پِسان	prach
پِسان	prášek
پِسان	pudr
پِسان	moučka
پِسان	jídlo
پِسان	mouka
پِسان	mouky
پِسان	mouku
پساوا	reziduí
پساوا	rezidua
پساوا	zbytky
پساوا	odmítnout
پسپا	poražen
پسپا	poražený
پسپا	poraženi
پسپائی	ústup
پسپائی	ustoupit
پسپائی	porážka
پسپائی	porazit
پست	unavený
پست	unavená
پست	unaven
پست	pod
پست	neaktivní
پست	níže
پست	podpalubí
پست	bad
پست	špatný
پست	unavený
پست	unavená
پست	unaven
پست	pod
پست	down
پست	dolů
پست	dolu
پست	dole
پست	neaktivní
پست	níže
پست	podpalubí
پست	bad
پست	špatný
پِستان	vykopal
پِستان	zátah
پِستان	ňadra
پِستان	poprsí
پِستانیہ	savec
پُستک	kniha
پُستک	knihu
پُستک	rezervovat
پُستک	knížka
پُستک	rukopis
پُستک	objem
پُستک	svazek
