पोर्ट्रेट	retrato
खर्चे	gastos
वाकई	realmente
वाकई	moi
वाकई	que
वाकई	en
वाकई	verdade
कोहरा	néboa
कोहरा	brétema
समझदार	intelixente
समझदार	intelixentes
सैंटियागो	santiago
बकवास	carallo
बकवास	vai
बकवास	merda
बकवास	ao
बकवास	queres
बकवास	fodan
बकवास	malfodida
बकवास	parvada
हैम	xamón
गुणगान	gábote
गुणगान	teu
धुआँ	fume
धुआँ	fumar
धुआँ	para
धुआँ	fumo
मेकअप	maquillaxe
बलवान	forte
बलवान	fortes
प्रूफ	proba
प्रूफ	probas
पीसा	pisa
हॉर्न	corno
चमड़ी	pel
चमड़ी	ósos
हेरोल्ड	harold
तनिक	cando
तनिक	menos
तनिक	polo
सेनेगल	senegal
खातिर	deus
खातिर	amor
खातिर	polo
खातिर	ben
खातिर	bendito
खातिर	dios
दिमागी	mentais
दिमागी	mental
कतई	claro
कतई	que
कतई	certo
कतई	certamente
कतई	seguramente
शिफ्ट	de
शिफ्ट	quenda
शिफ्ट	quendas
शिफ्ट	horas
निशुल्क	libre
निशुल्क	libres
निशुल्क	balde
ट्रैन	tren
ट्रैन	entreno
ट्रैन	metro
रपट	informe
रपट	informar
रपट	informes
रपट	sobre
कनेक्ट	conectados
कनेक्ट	conectada
कनेक्ट	conectado
कनेक्ट	con
कनेक्ट	conectadas
कनेक्ट	conectan
कनेक्ट	conectarnos
बुआ	tía
फ़्रेम	foto
लॉबी	vestíbulo
लॉबी	lobby
ज़ारा	zara
श्रीमान	señor
श्रीमान	xefe
इरान	irán
एक्टर	actor
टूटा	roto
विडंबना	ironía
भाला	arpón
भाला	spear
आतिशबाजी	artificio
चिमनी	cheminea
चिमनी	limpeza
गधा	cu
भिन्नताएं	diferenzas
वृत	círculo
उज्जवल	e
उज्जवल	brillantes
उज्जवल	brillante
प्यारी	fermoso
प्यारी	encantador
प्यारी	preciosa
दवाएँ	medicamentos
दवाएँ	fármacos
दवाएँ	drogas
जिज्ञासु	curioso
रोना	chorar
रोना	chores
रोना	choro
रोना	berra
रोना	chorando
रोना	choraba
रोना	chorar
रोना	vergoña
रोना	choras
रोना	choran
चाबी	clave
चाबी	chave
मम	mm
प्रमाणिक	auténtica
प्रमाणिक	é
स्कर्ट	saia
स्कर्ट	saias
चुंबन	bico
चुंबन	bícame
चुंबन	bicar
चुंबन	un
चुंबन	biquiño
चोरों	ladróns
मिक्स	mestura
मिक्स	as
हताहत	baixas
पॉलिटिक्स	política
पॉलिटिक्स	a
पॉलिटिक्स	políticas
चिंगारी	chispa
हँसी	risos
हँसी	risas
क्लारा	clara
एस्केप	fuxida
एस्केप	escapar
एस्केप	da
एस्केप	fugarse
एस्केप	fuxir
एस्केप	fuga
बोलो	dicir
बोलो	di
बोलो	que
बोलो	falo
बोलो	falar
बोलो	falamos
बोलो	fala
बोलो	fale
बोलो	con
सालो	anos
पांचवा	quinta
पांचवा	quinto
दृश्यमान	visible
दृश्यमान	visibles
स्टेप	paso
स्टेप	un
स्टेप	escala
सिस्टर	irmá
सिस्टर	a
जॉब	traballo
जॉब	traballos
जॉब	traballo
ग़ौर	reflicten
ग़ौर	reflictan
वेंडी	wendy
सिन	pecado
वैक्यूम	aspirador
वैक्यूम	aspiradores
सर्वशक्तिमान	todopoderoso
कामरेड	camaradas
कामरेड	dos
कामरेड	compañeiros
सन्नी	filliño
कार्यविधि	procedemento
पालिश	polaca
रोगाणुओं	xermes
शॉक	choque
शॉक	de
शॉक	asalto
शॉक	conmoción
शॉक	electrochoques
खरोंच	cero
विनम्रता	humildade
न्यूक्लियर	nuclear
न्यूक्लियर	nucleares
पैट	pat
मिनिट	minuto
मिनिट	momento
मिनिट	intre
मिनिट	agarda
कॉर्नर	esquina
कॉर्नर	recuncho
रिज़ॉर्ट	recorren
रिज़ॉर्ट	recorrer
वाद्यों	instrumental
वाद्यों	instrumentos
एम्मा	emma
प्रधानाचार्य	director
प्रधानाचार्य	principal
खर्चा	custa
खर्चा	costa
खर्चा	custar
खर्चा	custos
खर्चा	sanitarios
क्रेता	comprador
जोर्डन	jordan
वसीय	graxos
बाधाएं	obstáculos
ओवन	cociniña
ओवन	forno
लात	unha
लात	malleira
लात	patada
लात	dáme
लात	una
लात	botar
लात	patea
मंत्रिपरिषद	minister
खोदने	cavando
असहज	incómoda
हताश	desesperado
हताश	e
दूकान	tenda
दूकान	de
दूकान	mae
दूकान	choio
दूकान	delegados
छवियाँ	as
छवियाँ	imaxes
छवियाँ	as
छवियाँ	fotos
छवियाँ	imaxes
छवियाँ	fotografías
तोपखाने	artillaría
तोपखाने	artillería
तैरता	flotante
तैरता	aboiando
आँगन	patio
डिब्बा	caixa
डिब्बा	palco
लीमा	lima
डिनर	cear
डिनर	cea
डिनर	a
हुनर	talento
छायाचित्र	fotos
छायाचित्र	fotografías
छायाचित्र	fotografía
टेस्टोस्टेरोन	testosterona
चलित	conducido
गुनाह	pecado
ताली	aplausos
ताली	aplauso
तूफानी	o
मर्डर	asasinatos
मर्डर	un
मर्डर	homicidio
मर्डर	asasinato
मर्डर	asasino
बूँद	lanzamento
वजूद	existencia
वजूद	vida
क्रिटिकल	crítica
सबकुछ	todo
सबकुछ	o
आदतें	costumes
आदतें	hábitos
गाड़ियाँ	coches
गाड़ियाँ	coche
गाड़ियाँ	autos
रेनबो	arco
रेनबो	vella
रेनबो	da
बंदूकों	armas
बंदूकों	fusís
बंदूकों	as
बंदूकों	armados
बंदूकों	metralladoras
बनाएं	crear
बनाएं	creamos
बनाएं	unha
बनाएं	crean
कसरत	exercicio
जीतना	gañar
दुर्गंध	noxento
ब्यूटीफुल	fermoso
ब्यूटीफुल	bonita
ब्यूटीफुल	fermosa
ब्यूटीफुल	precioso
ब्यूटीफुल	fermosas
बैलेंस	equilibrio
बैलेंस	balance
बैलेंस	o
नैनी	neneira
कुत्तो	cans
कुत्तो	can
कुत्तो	os
कुत्तो	aos
सुपुर्द	a
ट्विस्ट	xiro
आदरणीय	respectado
शीशा	o
शीशा	espello
कैसिनी	cassini
हँसते	rir
हँसते	de
हँसते	nunca
रिकॉर्डर	gravadora
रिकॉर्डर	magnetófono
दामों	prezos
दामों	os
नाश्ता	almorzo
नाश्ता	almorzar
पैरी	perry
वसन्त	primavera
वसन्त	a
डैनिश	danés
डैनिश	daneses
चुनौतियां	retos
चुनौतियां	desafíos
सार्जेंट	sarxento
सार्जेंट	o
डिफॉल्ट	defecto
डिफॉल्ट	por
थंडर	canóns
थंडर	trono
थंडर	os
थंडर	tronos
भतीजा	sobriño
जिल	jill
मर्द	homes
मर्द	os
राइड	pantalóns
राइड	volta
राइड	ir
राइड	liscar
विंग्स	as
विंग्स	ás
कटोरा	pratos
कटोरा	bowl
कटोरा	cunca
शुक्रिया	grazas
शुक्रिया	moitas
विन	gañar
नेटिव	nativo
नेटिव	onde
नेटिव	terra
फ़्री	libre
फ़्री	libres
फ़्री	balde
क्रास	cruzar
क्रास	cruz
क्रास	atravesar
क्रास	crosstree
घृणित	desagradable
घृणित	noxento
घृणित	porcallada
रहमत	misericordia
रहमत	piedade
रहमत	misericordioso
किंग्स्टन	kingston
बिता	pasar
प्रलोभन	tentación
प्रलोभन	deixes
ख़तरे	ameazas
ब्रूनो	bruno
अलबामा	alabama
घड़ियाँ	ve
घड़ियाँ	reloxos
घड़ियाँ	mira
कोना	esquina
कोना	recuncho
चपटा	plano
डेरी	leitería
अशाब्दिक	non
झूले	abaneo
झूले	xuntas
अवमानना	desprezo
बायां	esquerda
बायां	queda
कोशिशें	intenta
कोशिशें	tenta
कोशिशें	intentos
इन्सान	home
इन्सान	meu
सलेटी	gris
सलेटी	é
अपारदर्शी	opaco
कुआँ	ben
कुआँ	kuan
कुआँ	yew
कीटाणु	xermes
एकबार	cando
एकबार	unha
एकबार	vez
सुनो	escoitar
सुनो	escoita
सुनो	escoite
ग्लोरिया	gloria
षड्यन्त्र	conspiración
पुनर्भरण	de
पुनर्भरण	resposta
कंबल	mantas
कंबल	cobertores
डेम	eses
डेम	dama
गलियारा	galería
गलियारा	de
गलियारा	louvre
वाक्	charla
वाक्	discurso
वाक्	expresión
वाक्	fala
परियों	os
परियों	anxos
परियों	inferno
गैप	déficits
गैप	distancia
प्रॉब्लम	problema
मैडल	medalla
गलतियां	erros
गलतियां	culpa
गड़बड़	desastre
गड़बड़	boa
गड़बड़	lea
गड़बड़	porcallada
सुपरमार्केट	supermercado
औंस	onzas
डीलक्स	azul
डीलक्स	azuis
यादें	lembranzas
यादें	recordos
पाउण्ड	libra
पुश	presionar
अन्धकार	escuridade
मुसोलिनी	mussolini
सिसिली	sicilia
लंबवत	verticais
लंबवत	vertical
बेटियां	fillas
जुदा	separadas
जुदा	separar
वर्षगाँठ	aniversario
क्लिंट	clint
दिग्गजों	veteranos
भूखा	famentos
भूखा	fame
डिजीटल	dixital
डिजीटल	dixitais
चिरस्थायी	sostible
करेंसी	moeda
नाइस	bonito
नाइस	ben
नाइस	bonita
नाइस	bo
नाइस	boa
शैतानी	satanás
शैतानी	satán
स्टेटस	posición
स्टेटस	statu
स्टेटस	status
कूड़ा	lixo
कूड़ा	do
ट्रिप	a
ट्रिप	viaxe
ठेस	dano
ठेस	ferido
मन्द	lento
मन्द	lenta
मन्द	lentos
मन्द	ou
मन्द	frean
मन्द	tranquilo
तलाक़	divorcio
