cruci	kříže
conferit	svěřených
pierdute	ztracený
pierdute	ztraceno
pierdute	ztratil
pierdute	ztraceni
pierdute	ztracen
pierdute	ztracená
perioadele	období
perioadele	doby
ilustreaza	dokládá
ilustreaza	ilustrují
cardinal	kardinála
cardinal	kardinál
clare	clare
vulcan	vulkán
vulcan	sopka
vulcan	vulkán
vulcan	vulkánské
mostenit	zdědil
mostenit	zdědila
mostenit	zdědil
mostenit	zdědila
curentului	současné
curentului	aktuální
curentului	současná
curentului	současný
destinatie	cíl
destinatie	destinace
destinatie	cíl
destinatie	destinace
hawaii	havaj
hawaii	hawaii
sunetul	zvuk
xbox	xbox
gama	gamma
gama	gama
baby	baby
baby	zlato
baby	dítě
baby	miláček
evaluarea	oceňování
evaluarea	ocenění
evaluarea	ohodnocení
evaluarea	posuzování
evaluarea	vyhodnocení
evaluarea	hodnocení
evaluarea	posouzení
evaluarea	zhodnocení
evaluarea	vyhodnocení
evaluarea	hodnocení
evaluarea	zhodnocení
cinematografie	kinematografie
cinematografie	kamera
danez	dánský
danez	dánská
danez	dánské
raportat	hlášeny
raurilor	řek
raurilor	řeky
raurilor	rivers
paula	paulo
paula	paula
acoperis	střecha
acoperis	střecha
acoperis	střechy
acoperis	střechu
acoperis	střešní
acoperis	střecha
acoperis	střechy
acoperis	střechu
acoperis	střešní
acoperis	střecha
acoperis	střechy
acoperis	střechu
acoperis	střešní
legala	zákonné
legala	zákonný
legala	právní
legala	legální
civili	civilistů
civili	civilisté
civili	civilisty
elisabeth	alžběta
elisabeth	elisabeth
citeste	přečíst
citeste	čtěte
citeste	číst
citeste	přečíst
citeste	čtěte
citeste	číst
variate	rozmanité
variate	různorodé
bros	bros
prabusit	havaroval
prabusit	zkolaboval
clasificate	utajované
clasificate	tajné
clasificate	inzeráty
clasificate	inzerce
pic	pic
administrare	administrativa
administrare	podání
administrare	správa
cereale	obilí
cereale	zrna
cereale	zrní
cereale	obiloviny
cereale	vločky
cereale	obiloviny
cereale	cereálie
warren	warrena
warren	warren
parlamentara	parlamentní
ferenc	ferenc
pictori	malíři
pictori	malíře
stein	stein
basel	basilejské
doo	doo
étienne	étienne
trafic	provoz
trafic	doprava
baraj	přehrada
baraj	dam
baraj	hráz
baraj	přehradu
absolvent	absolvent
islamica	islámský
islamica	islámské
deriva	drift
deriva	drift
balta	rybník
balta	rybníku
balta	louže
balta	louže
aires	aires
roberts	roberts
kingdom	království
amandoi	obojí
amandoi	obě
amandoi	oba
statuie	sochu
statuie	socha
statuie	sochy
tennessee	tennessee
mostenirea	odkaz
mostenirea	dědictví
oslo	oslo
oslo	osla
turner	turner
turner	turnerová
turner	turnera
adaugate	přidáno
adaugate	přidána
adaugate	přidané
adaugate	přidán
adaugate	přidány
beta	beta
aripi	křídla
golf	golfu
golf	golf
