قفسه	선반
پرتقال	오렌지
پرتقال	오렌지색
پرتقال	오렌지
نایت	기사
نایت	나이트
کامیون	트럭
شهریاری	군주제
شهریاری	군주
فلک	페리스
اسپرت	스포츠
جواهرات	보석
جواهرات	보석
جواهرات	쥬얼리
کورپوریشن	코퍼레이션
کورپوریشن	주식회사
ویلی	윌리
مارپیچ	나선
مارپیچ	나선형
مارپیچ	나선
ترنر	터너
میکروسکوپ	현미경
بیم	워너
سگا	세가
سگا	개들
نهر	크리크
پارما	파르마
سوسک	바퀴벌레
سوسک	바퀴벌레
بزرگسال	성인
بزرگسال	어른
بزرگسال	성인
بزرگسال	어른
وجوه	기금
وجوه	자금
وجوه	펀드
فلیکس	펠릭스
پیکربندی	설정
پیکربندی	구성
پیکربندی	config
شنی	모래
شنی	모래시계
کلیولند	클리블랜드
رهنمودهای	가이드라인
رهنمودهای	지침
شیرجه	다이빙
شیرجه	잠수
شیرجه	dive
شیرجه	다이빙
شیرجه	잠수
قسمتهای	에피소드
معاف	면제
جدیدترین	최신
جدیدترین	최근
جدیدترین	최신
تصدیق	확인
تصدیق	확인하기
تصدیق	확인
تصدیق	검증
تصدیق	인증
رویارویی	조우
رویارویی	만남
گرگوری	그레고리
گرگوری	그레고리우스
کلارا	클라라
کینگز	킹스
سوشی	스시
واتسون	왓슨
استن	스탄
استن	스탠리
استن	스텐
استن	스탠
رصد	천문대
رصد	관찰
رصد	관측
سوژه	주제
سوژه	제목
تاخت	질주
تنباکو	담배
فنلاندی	핀란드어
فنلاندی	핀란드
منحرف	변태
عاقبت	결과
گنجشک	참새
گنجشک	참새
گنجشک	스패로
گنجشک	참새목
گاردین	수호
گاردین	보호자
گاردین	가디언
اسلو	오슬로
بلکبرن	블랙번
جردن	조던
جردن	조르당
فاستر	포스터
تراژدی	비극
پررنگ	소심한
رؤیای	드림
المپیاد	올림피아드
بتهوون	베토벤
کانونی	초점
موریتانی	모리타니
گراند	그란데
گراند	그랜드
شاهدخت	공주
شاهدخت	공주님
شاهدخت	프린세스
برمه	미얀마
برمه	버마
برمه	미얀마어
برمه	미얀마
برمه	버마
برمه	버마어
واعظ	설교
واعظ	설교자
خر	당나귀
هانوفر	하노버
هانوفر	하노버
پیشگام	파이어니어
پیشگام	파이오니아
الکترو	일렉트로
کریگ	크레이그
فشاری	압력
فشاری	압박
غریبه	이방인
شمشیربازی	펜싱
معلول	장애인
معلول	장애
معلول	장애인
هیروشیما	히로시마로
هیروشیما	히로시마
آپارتمان	아파트
شیمیدان	화학자
سفت	타이트
نیش	스팅
لیژ	리에주
دیروز	어제
کیوتو	교토
عیب	단층
عیب	결함
عیب	결함
ریل	레일
تعالیم	가르침
تعالیم	교리
معابد	신전
معابد	사원
ماهیگیری	낚시
غیرعادی	특이한
غیرعادی	unusual
پیرس	피어스
هولمز	홈즈
هولمز	홈스
