kupfer	copper
lincoln	lincoln
sandstein	sandstone
bedeuten	signify
bedeuten	imply
field	field
marken	brands
marken	marche
marken	brand
marken	marches
marken	trademarks
studieren	studying
überführt	convicted
nachts	nights
nachts	night
lasse	lasse
annähernd	approximate
annähernd	approximately
rezension	review
fische	fishes
fische	pisces
fische	fish
irgendwas	something
schiller	schiller
vierter	fourth
sven	sven
auszug	snippet
auszug	excerpt
auszug	extract
fordert	urges
fordert	calls
branche	sector
kleidung	apparel
kleidung	dress
kleidung	attire
kleidung	clothing
kleidung	clothes
erlaubnis	permission
eingeschränkt	restricted
eingeschränkt	limited
unterhält	maintains
norman	norman
player	player
atmosphäre	ambience
atmosphäre	atmosphere
atmosphäre	ambiance
atmosphäre	ambient
siemens	siemens
mini	mini
ernest	ernest
wen	whom
wen	who
wen	wen
bestattet	buried
geprüft	verified
geprüft	audited
geprüft	tested
geprüft	checked
geprüft	reviewed
kreuzer	cruisers
kreuzer	cruiser
erdbeben	seismic
erdbeben	earthquake
erdbeben	earthquakes
puerto	puerto
feier	ceremony
feier	party
feier	celebrations
feier	celebrate
feier	celebration
schäfer	shepherd
schäfer	schaefer
schäfer	schäfer
schäfer	shepherds
rückseite	reverse
rückseite	rear
rückseite	back
lokomotive	locomotive
vermutung	presumption
vermutung	conjecture
vermutung	assumptions
vermutung	guess
vermutung	supposition
propaganda	propaganda
kenntnisse	skills
kenntnisse	knowledge
spalte	column
spalte	columns
southern	southern
oswald	oswald
überlegungen	considerations
überlegungen	reflections
überlegungen	thoughts
zugeteilt	assigned
zugeteilt	allocated
report	report
geheimen	secret
teilung	partition
teilung	divide
fremde	strangers
fremde	outsiders
fremde	stranger
lkw	lorries
lkw	truck
lkw	lorry
lkw	trucks
registriert	registered
abbildungen	graphs
abbildungen	pictures
abbildungen	images
abbildungen	figures
abbildungen	illustrations
verschwinden	vanishing
verschwinden	disappearing
verschwinden	disappear
verschwinden	disappearance
magdalena	magdalene
magdalena	magdalena
spenden	donation
spenden	donate
spenden	donations
mdr	mdr
monarchie	monarchy
republikanischen	republican
bestätigen	verify
bestätigen	validate
bestätigen	acknowledge
bestätigen	confirm
scharf	sharp
scharf	spicy
vermittelt	mediated
frisch	fresh
frisch	freshly
frisch	frisch
kelly	kelly
alabama	alabama
dokument	document
loire	loire
audio	audio
kurfürsten	elector
kurfürsten	electors
kette	necklace
kette	chains
kette	chain
moderner	modern
herrenhaus	mansion
herrenhaus	manor
schicht	shift
schicht	layer
schicht	stratum
justiz	justice
justiz	judicial
justiz	judiciary
alberto	alberto
offizieller	official
bewaffneten	gunmen
bewaffneten	armed
mittelmeer	atlantic
mittelmeer	mediterranean
faktor	factor
ermordung	murder
ermordung	assassination
connecticut	connecticut
persönlichkeit	personalities
persönlichkeit	personality
etablierte	established
kaliningrad	kaliningrad
zusatz	addition
zusatz	addendum
zusatz	additive
guido	guido
gefangenen	prisoner
gefangenen	captive
gefangenen	prisoners
gefangenen	detainees
sank	sunk
sank	sank
leutnant	lieutenant
lateinische	latin
xvi	xvi
abbau	degradation
abbau	dismantling
vietnam	vietnam
strategie	strategies
strategie	strategy
uruguay	uruguay
einheimischen	natives
einheimischen	locals
gruyter	gruyter
liechtenstein	liechtenstein
liechtenstein	lichtenstein
holocaust	holocaust
siegel	seals
siegel	siegel
siegel	seal
quer	transverse
fragt	asked
ausscheiden	resignation
hamm	gam
hamm	hamm
auschwitz	auschwitz
zeitgenössische	contemporary
planungen	planning
planungen	plans
beendigung	termination
detroit	detroit
emma	emma
publikation	publications
publikation	publication
stoff	cloth
stoff	substance
stoff	fabric
fremden	strangers
fremden	aliens
fremden	stranger
ernsthaft	serious
ernsthaft	seriously
gelben	yellow
krankheiten	illnesses
krankheiten	illness
krankheiten	diseases
krankheiten	disorders
krankheiten	sickness
zentimetern	centimeters
bukarest	bucharest
mans	mans
denkmäler	memorials
denkmäler	monuments
maine	maine
rief	exclaimed
rief	shouted
rief	called
rief	cried
entlassung	discharge
entlassung	dismissal
entlassung	redundancy
kongo	congo
stämme	tribes
stämme	strains
siebten	seventh
musikern	musicians
grob	crude
grob	rough
grob	roughly
dialekt	dialect
dialekt	vernacular
dialekt	dialects
philologie	philology
hofmann	hofmann
südkorea	taiwan
südkorea	korea
südkorea	seoul
beachtung	attention
beachtung	observance
technischer	technical
grimm	grimm
merkmal	characteristic
merkmal	feature
merkmal	trait
orthodoxen	orthodoxy
orthodoxen	orthodox
epoche	eras
engineering	engineering
rechnung	account
rechnung	billing
rechnung	invoices
rechnung	bill
rechnung	invoice
browser	browsers
browser	browser
verwiesen	referenced
verwiesen	expelled
konsul	consul
stab	stab
stab	rod
draft	draft
benannten	designated
wertung	scoring
wertung	rating
vorschriften	regulations
vorschriften	rules
vorschriften	requirements
vorschriften	specifications
vorschriften	provisions
eintracht	eintracht
eintracht	harmony
eintragen	register
eintragen	enter
ähnelt	resemble
rad	wheel
rad	rad
götter	gods
vfb	vfb
lass	lass
lass	let
harz	harz
harz	resin
beitragen	contributing
beitragen	contribute
lars	lars
kopiert	copied
lucas	lucas
südtirol	südtirol
schiedsrichter	arbitrator
schiedsrichter	referee
schiedsrichter	ref
schiedsrichter	umpire
schiedsrichter	referees
dünn	skinny
dünn	thin
dünn	sparse
bestimmungen	regulations
bestimmungen	stipulations
bestimmungen	provisions
mauern	wall
mauern	walls
berechnet	calculated
berechnet	computed
berechnet	charged
three	three
verlieren	losing
verlieren	loose
verlieren	loses
verlieren	lose
gefangenschaft	prisoner
gefangenschaft	captive
gefangenschaft	imprisonment
gefangenschaft	detention
gefangenschaft	captivity
henning	henning
comics	comics
comics	comic
umfassenden	comprehensive
sainte	sainte
moon	moon
wem	whom
wem	who
wem	whose
teufel	hell
teufel	devil
teufel	satan
teufel	devils
notre	notre
leinwand	canvas
leinwand	screen
hauptdarsteller	starring
rugby	rugby
vorhaben	project
vorhaben	projects
verarbeitet	processed
verarbeitet	wrought
riga	riga
gültigen	valid
