ルクセンブルク	luxembourg
クレーン	kren
クレーン	bangau
クレーン	crane
クレーン	kren
シャワー	pancuran
シャワー	shower
シャワー	mandi
シャワー	mandi
シャワー	gerimis
マヌエル	manuel
ペリー	perry
野中	nonaka
有線	berwayar
被告	defendan
被告	tergugat
ジャガー	jaguar
イヴァン	ivan
キラー	killer
キラー	pembunuh
フィルター	penapis
フィルター	tapisan
フィルター	penapis
フィルター	tapisan
村松	muramatsu
津島	tsushima
ブダペスト	budapest
ヘクタール	hektar
ヘクタール	hektar
酒田	sakata
乃木坂	nogi
給与	gaji
十字架	rentas
十字架	salib
十字架	cross
十字架	langar
シンシナティ	cincinnati
アトラクション	tarikan
アトラクション	tarikan
フィレンツェ	florence
クリーン	bersih
こんにちは	hello
ナース	nurse
ナース	jururawat
アラバマ	alabama
オーロラ	aurora
恵比寿	ebisu
真空	vakum
真空	hampa
真空	vacuum
略奪	perampas
略奪	rompakan
北山	kitayama
田舎	countryside
上川	kamikawa
デュアル	dual
キャッチフレーズ	tagline
賃貸	pajakan
つばさ	tsubasa
ミッキー	mickey
ミッキー	micky
変態	cabul
変態	metamorfosis
ルーズベルト	roosevelt
反転	songsang
反転	terbalikkan
ナナ	nana
塩基	base
塩基	pengkalan
福知山	fukuchiyama
シャフト	shaft
マスト	mast
マスト	tiang
モーション	gerakan
モーション	pergerakan
モーション	gerak
天理	tenri
哲夫	tetsuo
運ぶ	carry
キン肉マン	kinnikuman
パイレーツ	lanun
パイレーツ	pirates
パイレーツ	perompak
鋳造	casting
岩本	iwamoto
コンサルティング	perunding
マウンテン	gunung
マウンテン	mountain
マウンテン	pergunungan
七尾	nanao
リナ	rina
リナ	lina
ストーム	ribut
ストーム	storm
バロック	barok
緊張	nervous
緊張	gementar
緊張	tegang
緊張	ketegangan
イアン	ian
増やす	meningkat
増やす	tingkatkan
たばこ	tembakau
黒沢	kurosawa
美作	mimasaka
堤防	embankment
哺乳類	mamalia
哺乳類	mamalia
長島	nagashima
ロペス	lópez
ロペス	lopes
ロペス	lopez
正樹	masaki
名声	kemasyhuran
名声	fame
離れる	tinggalkan
樹脂	resin
コスモ	cosmo
コスモ	kosmo
エステ	este
アドバイザー	penasihat
アドバイザー	penasihat
アドバイザー	advisor
原点	asal
原点	asalnya
グリー	glee
徳永	tokunaga
ウィル	will
ウィル	akan
公家	kuge
大樹	taiki
ヨハネス	johannes
利点	kelebihan
利点	keuntungan
利点	advantage
指針	guideline
破棄	dicabut
ロイ	roy
若葉	wakaba
おじさん	pakcik
レッズ	reds
スワン	swan
スワン	angsa
野沢	nozawa
肥後	higo
甲賀	koga
沈黙	senyap
ユタ	utah
ケント	kent
ランチ	lunch
ランチ	tengahari
三宮	sannomiya
ヤクザ	yakuza
東名	tomei
マヤ	maya
囚人	banduan
道徳	moral
泣き	menangis
泣き	nangis
泣き	tangis
泣き	cry
園田	sonoda
養老	yōrō
三越	mitsukoshi
邦彦	kunihiko
正則	masanori
柏崎	kashiwazaki
光子	foton
高倉	takakura
カジノ	kasino
カジノ	kasino
カジノ	casino
太刀	tachi
いちご	strawberry
いちご	strawberi
いちご	ichigo
いちご	strawberi
石塚	ishizuka
コイル	coil
並列	selari
キログラム	kilogram
キログラム	kilogram
ローソン	lawson
ゴミ	sampah
顕彰	menghormati
事柄	jirim
計算機	calculator
計算機	kalkulator
若狭	wakasa
インク	dakwat
ミサ	jisim
オバマ	obama
未亡人	janda
未亡人	janda
タブ	tab
タブ	bertab
タブ	tab
薬学	farmasi
食材	bahan
食材	foodstuffs
食材	ramuan
帝都	teito
岩倉	iwakura
暗い	gelap
ルース	ruth
ルース	longgar
熱い	hot
熱い	panas
風呂	mandian
風呂	mandian
風呂	mandi
風呂	bath
輝き	teja
輝き	bercahaya
輝き	berseri
ミント	mint
ベンツ	benz
融資	loan
融資	pinjaman
融資	pembiayaan
ピラミッド	piramid
ピラミッド	piramid
痛み	kepedihan
痛み	sakit
痛み	keperitan
痛み	kesakitan
痛み	pain
プロフェッショナル	profesionalisme
プロフェッショナル	profesional
プロフェッショナル	professional
プロフェッショナル	profesional
ストックホルム	stockholm
バトラー	butler
偶数	genap
コラボ	kolaborasi
パンツ	seluar
ソユーズ	soyuz
フランコ	franco
植木	ueki
放火	pembakaran
武雄	takeo
忠誠	kesetiaan
浅田	asada
エラー	ralat
エラー	ralat
ゆか	yuka
使い方	penggunaan
使い方	kegunaan
森永	morinaga
塚本	tsukamoto
シリンダー	silinder
シリンダー	cylinder
シリンダー	silinder
狩野	kanō
アスキー	ascii
ノード	nod
ノード	nod
ベラルーシ	belarus
ベラルーシ	belarus
ドミニカ	dominican
ドミニカ	dominica
硫酸	sulfat
マルタ	malta
マルタ	pengilang
マルタ	malta
なでしこ	nadeshiko
ゆず	yuzu
侍従	chamberlain
ゾウ	gajah
ゾウ	gajah
呪文	jampi
呪文	eja
創価	soka
サイボーグ	cyborg
エーカー	ekar
エーカー	ekar
エーカー	acre
カザフスタン	kazakhstan
ニュートン	newton
ニュートン	newtonian
何でも	sebarang
真澄	masumi
群れ	kawanan
群れ	kawanan
カイロ	kaherah
損害賠償	kerosakan
くるみ	kurumi
くるみ	kenari
くるみ	walnut
不具合	pepijat
不具合	pepijat
不具合	bug
幸雄	yukio
メロン	melon
メロン	tembikai
黒澤	kurosawa
英樹	hideki
クーペ	coupé
クーペ	coupe
男の子	boy
男の子	boys
刈谷	kariya
サバ	tenggiri
おおよそ	roughly
常盤	tokiwa
梶原	kajiwara
フィット	muatkan
フィット	fit
面白い	menarik
面白い	kelakar
面白い	lawak
アクセント	loghat
アクセント	loghat
クロウ	gagak
クロウ	crowe
丁寧	bersopan
丁寧	sopan
驚異	keajaiban
阿南	anan
派閥	golongan
あかり	akari
パケット	paket
パケット	packet
未定	mungkin
未定	maybe
岡野	okano
花子	hanako
意欲	kesediaan
三陸	sanriku
きわめて	amat
きわめて	teramat
三日月	sabit
井原	ihara
紅葉	koyo
金田一	kindaichi
子音	consonants
子音	konsonan
保護者	ibubapa
指輪	ring
指輪	cincin
指輪	berbunyi
ジャンヌ	jeanne
ホールド	dodoi
ホールド	hold
ホールド	tahan
証明書	sijil
証明書	sijil
五島	goto
末裔	zuriat
ボウル	mangkuk
ボウル	mangkuk
競泳	perenang
競泳	perenang
競泳	swimming
競泳	berenang
競泳	renang
クローバー	clover
鎌田	kamata
過半数	majoriti
過半数	majority
経理	perakaunan
硫黄	sulfur
硫黄	belerang
硫黄	belerang
桃子	momoko
卸売	pemborong
卸売	borong
フランチェスコ	francesco
向井	mukai
預金	penjimatan
預金	deposit
捕食	mangsa
捕食	pemangsaan
捕食	pemangsa
捕食	predator
ヘルメット	helmet
ヘルメット	helmet
雅彦	masahiko
スパーク	spark
スパーク	mka
発作	kejang
抽象	abstrak
赤城	akagi
スルー	thru
スルー	menerusi
スルー	melalui
穏やか	gentle
穏やか	lembut
穏やか	serene
フィリップス	philips
フィリップス	phillips
龍馬	ryoma
ケニア	kenya
藤崎	fujisaki
寄生	parasit
寄生	parasit
資本主義	kapitalisme
浸水	banjir
八雲	yakumo
意匠	rekaan
意匠	design
弾道	trajektori
弾道	balistik
ダーラン	dhahran
デフォルト	piawai
デフォルト	lalai
デフォルト	lalai
ベット	pertaruhan
ベット	bette
ベット	bet
ドジャース	dodgers
ソープ	sabun
ユネスコ	unesco
ナノ	nano
スチール	baja
スチール	steel
スチール	keluli
コスプレ	cosplay
茶色	brown
カズ	kazu
解像度	resolusi
解像度	resolusi
解像度	peleraian
初舞台	debuted
ロドリゲス	rodriguez
ラオス	laos
デュオ	duo
りえ	rie
リビア	libya
リビア	libya
ジェネレーション	janaan
丹羽	niwa
ランス	lance
支配人	pengurus
支配人	manager
クリニック	klinik
クリニック	klinik
キッチン	kitchen
キッチン	dapur
レイプ	rogol
ベータ	beta
葛西	kasai
クイン	quinn
没収	disita
真珠	pearl
真珠	mutiara
真珠	mutiara
赤外線	inframerah
赤外線	infrared
マカオ	macau
スカート	skirt
スカート	skirt
音頭	ondo
醤油	soy
アイン	anh
アイン	ein
マシュー	matthew
チャリティー	bersedekah
チャリティー	sedekah
職場	workplace
ウェルズ	wells
ウェルズ	telaga
ノリ	nori
ジェファーソン	jefferson
ウィスコンシン	wisconsin
英二	eiji
カタカナ	katakana
貴子	takako
淳一	junichi
隕石	meteorite
岩石	batuan
岩石	rocks
買う	beli
買う	buy
投げる	baling
投げる	balingan
盗賊	penyamun
盗賊	penyamun
シュトラウス	strauss
親戚	relatif
親戚	kerabat
乱れ	pergolakan
乱れ	gelora
シモン	simon
シモン	simón
羽根	bulu
イルカ	dolphin
イルカ	lumba
バーク	salak
バーク	menyalak
バーク	burke
アンサンブル	ensemble
かご	keranjang
かご	bakul
孤児	yatim
前川	maekawa
愛宕	atago
ホープ	harapan
ホープ	harap
ホープ	hope
アームストロング	armstrong
アジ	cencaru
アジ	selar
皮肉	sarcasm
皮肉	sindiran
皮肉	ironinya
テクニカル	teknikal
書記官	kerani
蝦夷	emishi
