mont	mont
tlenu	hapnik
tlenu	hapnikku
franciszkanów	frantsiskaani
classic	klassika
classic	klassikalised
classic	classic
classic	klassikaline
konto	konto
pat	pat
solidarność	solidaarsus
castro	castro
zalecenia	soovitus
zalecenia	soovitused
roberts	roberts
róża	rose
róża	roos
róża	roosi
róża	rosa
armaty	kahur
armaty	kahurid
jung	jung
dowody	tõendid
dowody	tõestus
dowody	tõendid
dowody	tõendusmaterjal
dowody	tõendeid
dowody	asitõend
zachowany	säilitatud
zachowany	säilinud
zachowany	säilitatud
zachowany	säilinud
zachowany	konserveeritud
amerykanie	ameeriklased
ósemka	kaheksa
obsługiwane	toetatud
obsługiwane	toetas
obsługiwane	hooldatud
kwitnie	õitseb
notowania	tsitaat
impreza	party
impreza	pidu
impreza	erakond
impreza	peole
uszkodzony	vigastatud
uszkodzony	kahjustatud
uszkodzony	kahjustunud
uszkodzony	rikutud
uszkodzony	defektne
administratorem	admin
administratorem	administraatori
administratorem	administraator
administratorem	haldur
administratorem	administraator
kierunki	suunad
kierunki	juhised
airways	airways
trofeum	trofee
mandatu	volitused
mandatu	mandaat
mandatu	volitus
legia	leegion
gabinet	kapp
zniszczenie	hävingut
zniszczenie	hävitamine
umieścić	pane
umieścić	panna
iran	iraani
iran	iraan
icao	icao
han	hani
han	han
dekret	dekreet
pisanie	kirjutades
pisanie	kirjutamine
olympic	olympic
olympic	olümpia
słownika	sõnastik
słownika	sõnaraamat
dochód	tulud
dochód	tulu
dochód	sissetulek
dochód	tulu
winter	talv
poprawki	parandused
poprawki	muudatused
samolotem	lennuk
samolotem	lennuk
samolotem	lennuk
zhang	zhang
anioł	angel
anioł	ingel
seattle	seattle
nadawania	ringhäälingu
łączna	kumulatiivne
zbędne	üleliigne
zbędne	ebavajalik
zbędne	mittevajalik
zbędne	tarbetu
zbędne	üleliigne
zawartych	sõlmitud
przekracza	ületab
dzieciństwie	lapsepõlv
dzieciństwie	lapsepõlve
dzieciństwie	lapsepõlves
santo	santo
bristol	bristol
centralna	kesksed
centralna	kesk
centralna	keskosa
centralna	keskne
mosty	sillad
traci	kaotab
działki	maatükke
działki	maatüki
działki	proovitüki
powstać	tekivad
powstać	tõuse
krajowym	riigisisesed
krajowym	kodumaine
nazwane	nimetatud
nazwane	nimega
autorskie	autoriõigus
gilbert	gilbert
równanie	võrrand
równanie	võrrandid
davisa	davis
rzekomo	väidetavalt
więzień	vangi
więzień	kinnipeetav
więzień	vang
więzień	kinnipeetav
więzień	vanglaid
więzień	vanglates
poinformował	informeeritud
telefon	telefoni
telefon	telefon
telefon	telefoni
telefon	telefon
jasno	hele
jasno	ere
kuba	kuuba
felix	felix
aktualne	aktiivne
aktualne	praeguse
aktualne	praegune
franka	frank
franka	franki
ujednoznacznienie	täpsustus
dachau	dachau
przemiany	ümberkujundamine
przemiany	muutumine
dziwne	veider
dziwne	imelik
dziwne	kummaline
dziwne	imelik
dziwne	veider
dziwne	veider
dziwne	imelik
gerard	gérard
gerard	gerard
zagraniczne	välismaised
zagraniczne	välismaa
wyrzutni	käivitaja
turynie	torino
pastor	pastor
brzegi	servad
urban	urban
fotograf	fotograaf
zaatakował	rünnatud
zaatakował	rünnati
zaatakował	rünnatud
zaatakował	ründasid
zaatakował	ründas
turystyczna	turist
symboli	tähised
symboli	sümbolid
podania	rakendused
podania	taotlused
zabił	tapetud
zabił	tapeti
zabił	tappis
rzeczywistość	tegelikkus
rzeczywistość	reaalsus
korporacji	korporatsioonid
korporacji	firmad
korporacji	ettevõtted
korporacji	corporation
korporacji	korporatsioon
ludzkości	inimlikkus
ludzkości	inimkonna
ludzkości	inimkond
ludzkości	inimkond
twierdza	kindlus
obserwacje	tähelepanekud
obserwacje	vaatlused
obserwacje	tähelepanek
obserwacje	vaatluse
obserwacje	vaatlus
satelity	satelliidid
satelity	satelliit
szyi	kaela
szyi	kael
młodzi	noored
młodzi	young
młodzi	noor
akademickich	akadeemiline
akademickich	akadeemilise
stalina	stalin
stalina	stalini
borys	boris
borys	boriss
uznana	tunnustatud
uznana	tunnustatud
tożsamość	identiteedi
tożsamość	identiteet
machine	masin
machine	masina
składników	koostisosad
składników	koostisained
sławy	kuulsused
sławy	kuulsus
wykonawcy	esitajad
wykonawcy	kunstnikud
wykonawcy	töövõtja
wykonawcy	esitajad
wykonawcy	töövõtjate
zaliczony	loetud
beta	beta
beta	beeta
rodríguez	rodriguez
rodríguez	rodríguez
zysk	kasum
zysk	kasum
zysk	kasumid
ring	rõngas
ring	ring
ring	sõrmuse
ring	sõrmus
instruktor	instruktor
instruktor	juhendaja
iata	iata
ludzkie	inimene
ludzkie	inimlik
resztki	ülejäägid
zagrożony	ohustatud
zagrożony	ohustatud
martínez	martínez
dzieciństwa	lapsepõlv
dzieciństwa	lapsepõlve
dzieciństwa	lapsepõlves
portów	sadamad
nicholas	nicolas
nicholas	nikolai
nicholas	nicholas
mateusza	matthew
punk	punk
brać	võtke
brać	võta
specjalistów	spetsialistid
specjalistów	spetsialistid
specjalistów	professionaalid
spencer	spencer
wiatru	tuul
wiatru	tuule
ósmy	kaheksas
syberii	siberi
tarcza	kilp
romuald	romuald
