que	че
del	дел
del	del
los	на
con	със
las	на
una	една
una	един
una	едно
categoría	категория
para	за
como	как
como	като
como	like
fue	бе
más	повече
más	още
sus	тяхното
sus	тяхната
sus	техните
sus	техният
sus	неговият
sus	неговата
sus	му
sus	неговия
sus	вашият
sus	твоят
sus	твоя
sus	твоята
también	също
entre	сред
entre	между
este	това
este	източно
este	изток
pero	но
años	години
años	годините
dos	дос
dos	двама
dos	две
son	са
sobre	относно
sobre	плик
año	година
año	годината
desde	от
esta	това
enlaces	връзки
hasta	дори
hasta	даже
hasta	докато
externos	външна
externos	външно
externos	външни
externos	външен
ciudad	град
ciudad	градът
ciudad	градче
ciudad	град
ciudad	градът
ciudad	сити
ciudad	city
ciudad	ciudad
ser	сер
ser	сир
parte	парти
parte	party
parte	купон
parte	партия
parte	част
sin	без
sin	грехът
sin	грехове
sin	грях
donde	къде
san	сан
san	сейнт
san	свети
san	светица
san	светец
era	бе
nacional	национална
nacional	национални
nacional	национален
nacional	национално
nacional	национал
primera	първи
primera	първо
team	тийм
team	отбор
team	отбора
team	екип
team	team
cuando	когато
cuando	кога
nombre	името
nombre	наименование
nombre	име
estados	държави
estados	щати
utc	utc
siglo	век
siglo	вековен
siglo	века
después	след
españa	испания
otros	друго
otros	друг
otros	други
otros	другите
otros	други
gran	биг
gran	голямо
gran	големи
gran	голям
gran	голяма
gran	страхотно
gran	бона
gran	гранд
unidos	обединени
unidos	обединена
unidos	обединен
unidos	юнайтед
unidos	обединено
puede	могат
puede	can
estado	статус
estado	състояние
estado	положение
estado	статут
estado	щат
estado	държава
estado	държавно
estado	състояние
estado	състоянието
estado	условие
uno	уно
uno	една
uno	един
uno	едно
lugar	място
lugar	местоположение
lugar	място
lugar	местонахождение
lugar	локация
primer	първи
primer	първо
población	популация
población	население
muy	много
mismo	същият
mismo	същата
mismo	същото
nueva	ню
nueva	ново
nueva	нов
nueva	нови
nueva	нова
fueron	бяха
historia	приказка
historia	история
historia	историята
historia	история
club	club
club	клуб
club	клубът
eran	бяха
cual	което
cual	която
universidad	университет
universidad	university
universidad	университета
universidad	колежа
universidad	колежът
universidad	колеж
forma	формата
forma	форма
forma	формуляр
forma	форма
tres	три
tres	трима
grupo	grupo
grupo	група
grupo	групово
grupo	групиране
grupo	групова
general	обща
general	общи
general	генерал
guerra	войната
guerra	война
aunque	макар
aunque	макар
tras	след
familia	фамилии
familia	семейства
familia	семейство
familia	семейството
además	също
además	плюс
todo	всичко
todo	всички
todo	всичко
sur	южен
sur	южни
sur	южна
sur	сур
sur	южно
sur	южен
sur	юг
sur	южна
mayor	майорът
mayor	майор
tiempo	времето
tiempo	времето
tiempo	време
provincia	провинцията
provincia	провинция
partido	парти
partido	party
partido	купон
partido	партия
partido	мач
partido	съвпадение
contra	контра
contra	брояч
contra	срещу
contra	против
contra	контра
encuentra	открийте
encuentra	намиране
encuentra	намерете
encuentra	намери
encuentra	намеря
encuentra	намира
municipio	община
otras	друго
otras	друг
otras	други
otras	другите
otras	други
todos	всички
todos	всичко
todos	всички
todos	всеки
juan	джон
juan	йоан
juan	джоан
juan	джоун
josé	жозеф
josé	джоузеф
josé	йосиф
josé	йозеф
josé	йосиф
josé	жозе
josé	хосе
bajo	под
bajo	долно
bajo	ниско
bajo	ниски
bajo	нисък
bajo	ниска
bajo	bajo
bajo	бас
bajo	баса
bajo	костур
serie	серия
serie	поредица
serie	сериал
serie	серии
serie	серийни
serie	сериен
serie	серия
cada	всяка
cada	всеки
cada	всяко
cada	всяка
cada	всеки
fútbol	футбол
fútbol	футбол
fútbol	футболен
equipo	оборудване
equipo	екипировка
equipo	тийм
equipo	отбор
equipo	отбора
equipo	екип
equipo	team
norte	norte
norte	северно
norte	север
norte	северна
norte	северни
norte	северен
norte	северна
norte	nord
río	рио
río	ривър
río	река
río	реката
méxico	мексико
han	хан
argentina	аржентина
argentina	аржентина
inglés	английски
inglés	bulgarian
inglés	англичани
nuevo	ню
nuevo	ново
nuevo	нов
nuevo	нови
nuevo	нова
véase	видя
véase	вижте
véase	виж
septiembre	септември
octubre	октомври
segunda	сегунда
segunda	второ
segunda	втора
segunda	втори
discusión	дискусия
discusión	обсъждания
discusión	дискусии
discusión	обсъждане
gobierno	управление
gobierno	правителство
condado	окръг
condado	графство
final	край
final	финал
final	финал
final	краен
final	окончателно
final	финали
final	финалите
final	изпити
vida	живот
vida	живота
vida	life
vida	лайф
vida	животът
vida	вида
personas	лица
personas	народ
personas	хора
personas	хората
español	испанци
español	испанска
español	испанско
español	испански
centro	centro
centro	център
centro	център
julio	хулио
julio	юлий
julio	джулиъс
julio	юли
hay	сеното
hay	сено
lincoln	линкълн
país	държава
país	страна
mientras	докато
web	уебсайт
web	сайт
web	web
web	уеб
internacional	internacional
internacional	международно
internacional	международен
internacional	интернешънъл
internacional	международни
internacional	международна
santa	свято
santa	свети
santa	свята
santa	сейнт
santa	свети
santa	светица
santa	светец
santa	санта
antes	преди
oficial	официален
oficial	официално
oficial	официална
oficial	офицер
oficial	полицай
quien	кой
mundo	свят
mundo	света
embargo	ембарго
tanto	двете
mayo	май
mayo	майо
mayo	майонеза
algunos	някои
temporada	сезонна
temporada	сезонни
temporada	сезон
temporada	сезона
luego	тогава
marzo	март
día	денят
día	ден
madrid	мадрид
madrid	ливърпул
enero	ян
enero	джан
enero	януари
número	брой
número	число
número	номер
agosto	август
agosto	аугуст
agosto	август
diciembre	декември
artículo	статия
artículo	член
artículo	точка
artículo	елемент
artículo	артикул
noviembre	ноември
noviembre	ноември
otro	друго
otro	друг
otro	други
otro	друг
estaba	бе
estos	тези
abril	ейприл
abril	април
total	общо
total	общ
total	обща
región	район
región	регион
región	област
sistema	система
sistema	системата
sistema	системни
habitantes	обитатели
habitantes	жители
habitantes	пребиваващи
habitantes	обитатели
habitantes	жители
maría	мари
maría	мери
maría	мария
real	истинско
real	реал
real	истинска
real	реално
real	истински
real	роял
real	кралско
real	кралска
real	royal
real	кралски
página	страница
página	страницата
página	page
esto	това
mundial	световно
mundial	световна
mundial	свят
mundial	света
mundial	световно
mundial	глобална
mundial	глобален
mundial	глобални
mundial	глобално
música	music
música	музиката
música	музика
presidente	председател
presidente	председателят
presidente	председател
presidente	президентът
presidente	президент
presidente	председател
casa	house
casa	къща
casa	къщата
casa	хаус
casa	дом
casa	домашен
casa	вкъщи
sólo	само
sólo	единствено
sólo	просто
sólo	само
álbum	албум
debido	дължима
debido	дължими
cuenta	брой
cuenta	сметка
cuenta	акаунт
junio	джун
junio	юни
febrero	февруари
ella	тя
ella	нея
pueden	могат
pueden	can
varios	различни
varios	разнообразни
varios	разни
varios	различни
varios	няколко
francia	франция
solo	сама
solo	сам
solo	соло
solo	само
solo	единствено
solo	просто
solo	само
chile	чилийски
chile	чили
chile	люти
chile	чили
tipo	вид
tipo	тип
obra	работа
obra	труд
obra	работи
iglesia	църква
iglesia	чърч
iglesia	църквата
película	филмова
película	филм
película	филм
película	лента
entonces	тогава
banda	група
banda	оркестър
banda	банда
banda	лента
banda	банда
cuatro	четири
cuatro	четирима
zona	зона
zona	зона
zona	площ
zona	област
zona	район
televisión	телевизия
televisión	телевизията
televisión	телевизор
principal	основни
principal	основна
principal	главна
principal	главен
principal	главни
principal	директор
carlos	карл
carlos	чарлз
carlos	чарлс
carlos	шарл
carlos	карл
carlos	карлос
carlos	чарли
otra	друг
rey	крал
rey	кинг
rey	кралят
rey	цар
rey	краля
premio	награда
premio	възлагане
premio	награда
edición	редактиране
edición	изданието
edición	издание
edición	редактиране
edición	монтаж
premios	награди
premios	награди
premios	награди
premios	възлагане
premios	награда
sitio	уебсайт
sitio	сайт
sitio	обсада
sitio	сайт
futbolistas	футболисти
futbolistas	футболистите
bien	добър
bien	добро
bien	добре
bien	еее
segundo	второ
segundo	втора
segundo	втори
mar	мар
mar	море
mar	морето
mar	океан
poco	малка
poco	малки
poco	малък
poco	литъл
poco	малко
orden	ред
orden	поръчка
estadounidense	американска
estadounidense	американско
estadounidense	американски
estadounidense	американец
agua	вода
agua	водата
tierra	земно
tierra	земята
tierra	земен
tierra	земя
tierra	земи
tierra	земя
tierra	тиера
tierra	почви
tierra	почва
título	заглавие
título	дял
título	титла
ellos	ги
ellos	тях
ellos	те
earth	земно
earth	земята
earth	земен
earth	земя
están	са
división	участък
división	разделение
división	дивизия
división	деление
canción	песен
canción	песничка
fecha	среща
fecha	дата
república	република
trabajo	работа
trabajo	йов
trabajo	работа
trabajo	труд
trabajo	работи
especie	видове
especie	вид
luis	louis
luis	луи
luis	луис
luis	луи
luis	лудвиг
luis	луис
caso	случай
caso	дело
caso	кейс
caso	случаят
caso	каса
dentro	вътрешно
dentro	вътре
obras	работи
obras	произведения
obras	пиеси
obras	играе
color	цветове
color	цвят
color	цветен
color	цветно
color	цветна
color	цветове
color	цвят
color	цветен
color	цветно
distrito	окръг
distrito	област
distrito	район
superficie	повърхност
superficie	повърхността
superficie	зона
superficie	площ
superficie	област
superficie	район
copa	копа
copa	чашка
copa	чаша
copa	купа
copa	къп
muchos	mnogo
muchos	много
línea	реплика
línea	линия
francisco	франциско
francisco	франсиско
francisco	францис
francisco	франсис
les	лес
siguiente	следващо
siguiente	следващ
siguiente	следваща
área	зона
área	площ
área	област
área	район
grandes	голямо
grandes	големи
grandes	голям
grandes	голяма
grandes	биг
grandes	голямо
grandes	големи
grandes	голям
grandes	голяма
grandes	grandes
censo	преброяването
censo	преброяване
liga	лигата
liga	лига
liga	лига
estas	тези
muerte	смърт
muerte	смъртта
medio	средна
medio	среден
medio	средни
medio	средно
medio	medio
medio	наполовина
medio	половината
política	политиката
política	полица
política	политика
política	политици
política	политиката
política	политика
menos	минус
largo	ларго
largo	дълги
largo	дълго
largo	дълъг
largo	лонг
buenos	добър
buenos	добро
buenos	добре
hijo	синко
hijo	сине
hijo	син
hecho	направена
hecho	направено
hecho	направен
hecho	направени
hecho	готово
hecho	направено
hecho	сторено
hecho	факт
algunas	някои
carrera	кариера
carrera	надпревара
carrera	надбягване
carrera	състезание
carrera	раса
carrera	карера
poder	мощност
poder	сила
poder	власт
poder	мощ
pueblo	град
pueblo	градът
pueblo	градче
pueblo	пуебло
pueblo	народ
pueblo	хора
pueblo	хората
pueblo	село
departamento	отдел
departamento	департамент
departamento	апартамент
localidades	места
localidades	местоположения
veces	пъти
veces	времена
veces	таймс
veces	times
reino	кралство
reino	царство
central	централно
central	централен
central	централа
central	централни
central	централна
todas	всички
todas	всичко
york	йорк
ejemplo	мостра
ejemplo	проба
ejemplo	извадка
ejemplo	примерна
ejemplo	пример
género	жанр
género	пол
género	пола
género	род
padre	баща
padre	татко
isbn	isbn
campo	полето
campo	поле
campo	лагер
campo	кампо
isla	острова
isla	island
isla	остров
isla	островът
isla	айлънд
isla	исла
hacer	направи
hacer	правене
misma	същият
misma	същата
misma	същото
ante	велур
ante	анте
conocido	позната
conocido	известни
conocido	познат
conocido	известна
conocido	известен
conocido	позната
conocido	познати
conocido	запознанство
conocido	познат
http	http
países	държави
países	страни
frente	преден
frente	предни
frente	отпред
frente	фронт
frente	предна
frente	чело
frente	челото
frente	чело
frente	челото
frente	вежди
antonio	антъни
antonio	тони
antonio	антоний
antonio	антонио
director	директорът
director	режисьор
director	директор
días	дни
días	дена
española	испанци
española	испанска
española	испанско
española	испански
versión	версия
varias	няколко
varias	различни
actual	ток
actual	текущ
actual	текуща
actual	текущи
actual	настоящ
momento	момент
momento	миг
lista	готови
lista	списък
jpg	jpg
densidad	плътност
campeonato	първенство
campeonato	шампионат
campeonato	първенство
campeonato	шампионат
tarde	късно
tarde	закъснява
tarde	вечер
tarde	вечерта
tarde	вечерно
tarde	следобедна
tarde	следобяд
tarde	следобед
ejército	военно
ejército	военен
ejército	военна
ejército	военни
ejército	армията
ejército	армеец
ejército	армия
ejército	армейски
porque	защото
estación	станция
estación	station
estación	гара
observatorio	обсерватория
observatorio	обсерваторията
aires	айрес
actualmente	понастоящем
desarrollo	развитие
desarrollo	разработване
desarrollo	разработка
escuela	училища
escuela	школи
escuela	училищата
escuela	училището
escuela	школа
escuela	училище
programa	програмата
programa	програма
programa	програма
información	информация
información	info
información	инфо
información	информация
información	информиране
importante	важно
importante	важен
importante	важни
importante	важна
último	последно
último	последен
último	последни
último	последна
canciones	песните
canciones	песни
uso	използване
uso	употреба
uso	използване
uso	употреба
uso	използвайте
juegos	хазарт
juegos	игри
juegos	игри
localidad	местност
base	основа
base	база
punto	пунто
punto	дот
punto	точка
posición	позиция
posición	положение
posición	длъжност
alemania	германия
alemania	вермахт
ubicación	разполагане
ubicación	поставяне
ubicación	позициониране
ubicación	местоположение
ubicación	място
ubicación	местонахождение
ubicación	локация
partidos	кибрит
partidos	съвпада
partidos	мачове
partidos	съвпадения
grupos	групи
john	джон
john	йоан
miembros	членството
miembros	членство
miembros	членове
miembros	членовете
pedro	педро
pedro	петър
pedro	питър
pedro	петер
capital	столица
capital	капитал
capital	капитали
capital	столицата
primeros	ранни
primeros	рано
primeros	ърли
primeros	първи
primeros	първо
teatro	театър
teatro	театър
datos	дейта
datos	данни
manera	начин
laboratorio	лабораторен
laboratorio	лабораторно
laboratorio	лаборатория
laboratorio	лабораторна
laboratorio	лабораторията
laboratorio	лаборатория
socorro	облекчение
libro	тефтер
libro	книга
estudios	студия
estudios	изследвания
estudios	проучвания
diferentes	различна
diferentes	различно
diferentes	различни
diferentes	различен
barcelona	барселона
nivel	равнище
nivel	ниво
llamado	наречен
llamado	наречена
mayoría	мнозинство
mayoría	мнозинството
mayoría	мажоритарен
unión	профсъюз
unión	съюз
unión	съюза
unión	юниън
unión	свързване
edad	възраст
artículos	изделия
artículos	статии
artículos	артикули
artículos	позиции
artículos	артикули
artículos	предмети
artículos	елементи
juego	хазарт
juego	игри
juego	мач
juego	гейм
juego	играта
juego	игра
juego	хазартни
juego	хазарт
juego	залагане
juego	хазарта
arte	изкуства
arte	изкуствата
arte	изкуство
arte	арт
arte	изкуството
arte	art
arte	изкуство
arte	картини
especies	видове
especies	вид
europa	европа
europa	europa
europa	европа
estilo	стил
cine	киното
cine	кино
cine	филмова
cine	филм
