and	ja
was	oli
was	oliko
for	varten
that	tuo
that	että
with	mukaan
with	mukana
with	with
with	kanssa
from	alkaen
from	from
this	tämän
this	tätä
this	tästä
this	tämä
his	hänen
not	ei
are	ovat
are	ovatko
talk	puhua
talk	puhu
talk	puhetta
which	jonka
which	joka
which	jota
which	johon
which	jotka
also	lisäksi
also	myöskin
also	myös
has	on
were	olivat
were	olivatko
but	mutta
one	yks
one	yksi
one	yhden
one	one
new	uudet
new	uusi
new	uutta
new	uusia
first	ensin
first	ensimmäinen
first	eka
first	ensiksi
page	sivu
page	sivulla
you	sinä
they	ne
they	he
had	oli
article	momentti
article	artikkeli
article	artikla
who	kuka
who	ketä
who	who
who	joka
all	kaikille
all	kaikki
their	heidän
their	niiden
there	tuolla
there	siellä
made	tehdyt
made	tehty
made	valmistettu
made	made
its	sen
people	ihmiset
people	ihmisiä
people	henkilöt
may	touko
may	toukokuu
may	voi
may	toukokuun
may	toukokuuta
after	jälkeen
after	after
other	muu
other	muut
should	pitäisi
should	pitäis
should	pitäisikö
two	kaksi
two	kaks
score	pisteet
her	hänen
can	voi
would	olisi
more	lisää
more	enemmän
she	hän
about	noin
when	kun
when	milloin
time	aika
time	ajan
time	aikaa
team	tiimi
team	ryhmä
team	joukkue
team	team
american	amerikkalainen
american	amerikan
american	amerikkalaiset
american	american
such	tällainen
discussion	keskustelua
discussion	keskustelun
discussion	keskustelu
links	linkit
links	yhteydet
links	linkkejä
links	linkkien
only	ainoastaan
only	vain
some	osa
some	joitakin
some	jotkut
see	nää
see	katso
united	yhdistyneiden
united	yhdistynyt
united	yhdistyneet
united	united
united	yhtenäinen
years	vuotta
years	vuodet
years	vuosien
years	vuosia
into	into
school	koulussa
school	koulun
school	koulu
school	koulua
school	school
world	maailmassa
world	maailma
world	maailmaa
world	maailman
world	world
world	maailmaan
university	korkeakoulu
university	yliopisto
during	aikana
out	ulos
state	osavaltio
state	valtion
state	valtio
states	valtioiden
states	valtiot
states	osavaltiot
national	kansallinen
national	kansalliset
national	kansallisten
wikipedia	wikipedia
year	vuoden
year	vuosi
year	vuonna
most	eniten
most	useimmat
most	useimmilla
most	useimpia
city	city
city	kaupunki
city	paikkakunta
used	käytetyt
used	käytetty
used	käytettyjä
then	sitten
county	lääni
county	piirikunnan
county	piirikunta
external	ulkoisen
external	ulkoinen
external	ulkoiset
external	ulkopuolinen
where	missä
where	jossa
will	will
will	tahto
what	mitä
what	mikä
delete	poistaa
delete	poista
these	nämä
these	näitä
january	tammikuu
january	tammikuussa
january	tammikuun
january	tammikuuta
march	marssi
march	maaliskuu
march	maaliskuuta
march	marssia
august	elokuu
august	elokuuta
august	elokuussa
august	elokuun
august	august
july	heinäkuu
july	heinäkuussa
july	heinäkuun
july	heinä
july	heinäkuuta
being	olemisen
being	oleminen
film	elokuva
film	kalvo
film	filmi
him	hänet
many	monet
many	monia
many	monta
many	moni
south	etelä
south	etelään
september	syys
september	syyskuuta
september	syyskuu
like	tykkää
like	kuten
like	kuin
between	väliin
between	välillä
between	välissä
october	lokakuussa
october	lokakuun
october	lokakuu
three	kolme
june	kesäkuu
june	kesäkuuta
june	kesäkuussa
use	käyttää
use	käyttö
use	käytä
use	käytettävä
war	sodan
war	sotaa
war	sota
under	alta
under	alle
under	alla
april	huhtikuu
april	huhtikuuta
april	huhtikuussa
april	huhtikuun
april	huhti
born	syntynyt
born	syntyneet
born	syntyi
december	joulukuu
december	joulukuussa
december	joulukuuta
link	yhteys
link	linkistä
link	linkkiä
link	linkin
link	linkki
later	myöhemmin
later	myöhempi
part	osa
part	osaa
part	osittain
november	marraskuuta
november	marraskuussa
november	marraskuu
players	toimijoiden
players	pelaajien
players	pelaajia
players	pelaajat
list	lista
list	luettelo
list	listan
list	listaa
list	luetteloon
following	seuraan
following	seuraavat
february	helmikuuta
february	helmikuussa
february	helmikuu
known	tiedossa
known	tunnetaan
known	tunnetut
known	tunnettu
second	toisena
second	toiseksi
second	toinen
name	nimi
name	nimeä
group	konserni
group	ryhmän
group	ryhmä
history	historia
history	historiaan
history	historiaa
history	historian
history	historiasta
series	sarja
series	sarjat
just	vain
north	pohjoinen
north	pohjoiseen
north	pohjois
work	työn
work	työ
work	työt
work	työtä
before	ennen
season	kausi
season	kauden
both	molemmat
both	molempia
both	kumpikin
high	high
high	korkea
high	korkeat
high	korkealla
through	kautta
through	läpi
district	piiri
district	piirikunta
now	nyt
comments	kommentit
comments	kommentteja
comments	huomautuksia
comments	huomautukset
because	koska
football	jalkapallon
football	jalkapallo
football	jalkapalloa
music	musiikkia
music	musiikin
music	music
music	musiikki
diff	diff
century	vuosisadan
century	vuosisata
league	league
league	liiga
edits	muokkaukset
debate	keskustelua
debate	väittely
debate	keskustelu
title	otsikko
title	osasto
title	nimike
articles	artikkelit
articles	artikkeleita
articles	artiklat
john	johannes
john	john
john	jukka
same	sama
same	samoin
same	samaa
could	vois
could	voisi
english	englanti
english	englantia
english	englanniksi
english	englannin
album	albumi
album	levyn
album	levy
album	albumin
album	albumia
number	lukumäärä
number	numero
number	luku
against	vastoin
against	vastaan
family	suku
family	perhe
family	perheen
user	käyttäjää
user	käyttäjän
user	käyttäjä
user	käyttäjät
based	perustuva
based	perustuu
based	perustuvat
area	alue
york	yorkiin
york	york
york	yorkin
life	life
life	elämää
life	elämän
life	elämä
british	britti
british	brittiläiset
british	brittiläinen
british	britit
british	britannian
international	kansainvälisen
international	kansainvälinen
international	kansainväliset
game	peliä
game	pelin
game	peli
above	yläpuolelle
above	yläpuolelta
above	yllä
above	yläpuolella
above	edellä
club	klubi
club	club
club	kerho
club	seura
your	sinun
until	kunnes
early	aikaisin
early	varhainen
early	aikainen
best	paras
best	parhaat
best	parhaiten
best	best
best	parasta
west	west
west	lännessä
west	läntinen
west	länsi
house	house
house	talo
house	talon
company	yritys
company	yhtiö
company	seura
company	komppania
general	yleinen
general	yleiset
general	kenraali
general	yleistä
left	vasemmalle
left	vasen
left	vasemmalla
very	hyvin
very	erittäin
here	täällä
here	tässä
don	don
living	asuminen
living	elävä
living	elää
living	eläminen
living	elävät
day	päivä
day	päivän
several	useita
several	useat
place	paikassa
place	paikka
place	place
party	osapuoli
party	juhla
party	puolue
party	juhlat
party	bileet
college	college
college	korkeakoulu
college	yliopisto
result	tulos
result	tuloksena
result	lopputulos
result	tuloksen
result	tulosta
keep	säilytä
keep	pidä
appropriate	tarkoituksenmukainen
appropriate	asianmukaiset
appropriate	asianmukainen
appropriate	sopivaa
appropriate	sopiva
four	nelonen
four	neljä
subsequent	myöhemmät
subsequent	myöhempi
even	edes
even	jopa
class	luokan
class	luokka
government	valtio
government	hallitus
government	hallituksen
how	miten
how	kuinka
called	kutsuttu
called	nimeltään
called	soitti
did	teki
each	jokainen
each	kunkin
each	kumpikin
each	kukin
found	löydetty
found	löytynyt
found	löydettiin
found	löysi
found	löyty
found	löytyi
center	keskus
center	keskelle
center	keskusta
center	center
per	per
style	style
style	tyyliä
style	tyyli
long	pitkät
long	kauan
long	pitkä
long	pitkään
long	long
country	maa
country	valtio
country	maata
country	maan
back	takaisin
back	selkä
back	taaksepäin
way	tapa
way	keino
way	way
does	tekee
www	www
modify	muokata
modify	muokkaa
end	loppu
end	loppua
end	päättyy
end	lopussa
end	päättynyt
make	make
make	tee
make	tehdä
public	julkinen
public	julkisen
public	julkiset
played	pelattu
played	soitettu
played	pelasi
played	pelannut
won	voitin
won	voitti
won	voittanut
another	toinen
released	julkaistu
released	vapautuu
released	luovutettu
released	vapautettu
added	lisättiin
added	lisäsi
added	lisätty
support	tuen
support	tukea
support	tuki
support	tue
games	pelejä
games	pelit
games	pelien
games	kisat
former	entinen
former	entiset
those	nuo
those	noi
films	elokuvat
films	elokuvia
church	kirkon
church	kirkossa
church	kirkkoon
church	kirkko
church	seurakunta
east	itä
east	itään
east	itäinen
line	jono
line	line
line	rivi
line	viiva
line	linja
major	majuri
major	major
members	jäseniä
members	jäsenet
good	hyvää
good	hyvä
much	much
much	paljon
much	paljo
image	kuva
show	näytä
show	show
still	vielä
still	vieläkin
still	edelleen
still	yhä
think	ajattele
think	mieti
below	alapuolelle
below	alle
below	alapuolella
below	alla
town	kaupunki
last	last
last	viimeisenä
last	viimeksi
last	viimeisin
last	viimeinen
last	viime
system	järjestelmän
system	systeemi
system	järjestelmä
system	system
song	biisi
song	song
song	laulua
song	laulu
song	kappale
notable	huomattava
section	jakso
section	pääluokka
single	naimaton
single	single
single	sinkku
single	yksittäinen
included	sisällytetty
included	sisältyy
align	yhdenmukaistaa
home	kotiin
home	kodin
home	kotona
home	koti
women	naisten
women	naiset
women	naisia
television	tv
television	televisio
seed	siemeniä
seed	siemen
seed	siemenet
seed	siementen
member	jäsen
member	jäsenen
goals	maalit
goals	tavoitteita
goals	maaleja
goals	tavoitteet
sources	lähteet
book	kirja
book	kirjaa
book	varaa
station	metroasema
station	rautatieasema
station	asema
order	tilata
order	tilaus
order	järjestys
order	tilaa
old	vanhat
old	vanhoja
old	vanha
old	vanhaa
information	tiedot
information	tiedotus
information	tietoa
information	tietoja
information	tiedottaminen
set	setti
set	määritä
set	asettaa
set	aseta
set	asetettu
own	omista
own	oman
own	oma
own	omat
text	teksti
text	tekstiä
text	tekstin
band	bändi
band	band
band	yhtye
band	bändiä
point	pisteen
point	kohta
point	pistettä
point	piste
point	point
local	paikallinen
local	paikalliset
local	paikallisia
local	paikallisesti
local	paikallisten
local	paikallista
around	ympärillä
around	ympäri
around	maisemissa
river	joen
river	joki
top	huippu
top	top
top	huippua
top	ylä
top	suosituimmat
main	main
main	pääasialliset
main	pääasiallinen
main	tärkein
main	tärkeimmät
language	kieli
language	kielet
french	ranska
french	ranskan
french	ranskalaiset
french	ranskalaisia
french	ranskalainen
https	https
named	nimeltään
named	nimetty
note	huomautus
note	huom
career	uran
career	ura
original	alkuperäinen
original	alkuperäiset
age	iän
age	ikää
age	ikä
service	palvelun
service	palvelu
service	palvelua
established	perustettu
located	sijaitsee
said	sanoi
website	sivuston
website	sivusto
website	verkkosivusto
population	väestö
population	väkiluku
population	väestön
air	ilma
air	ilmaa
german	saksaa
german	saksalainen
german	saksa
german	saksaksi
german	saksan
law	laki
law	oikeustieteen
law	lainsäädäntö
law	lakia
military	armeija
military	sotilas
military	sotilaallinen
military	armeijan
great	hienoa
within	kuluessa
clubs	seurat
published	julkaistu
published	julkaistaan
published	julkaistut
published	julkaissut
president	puhemies
president	presidentti
president	puheenjohtaja
park	park
park	puisto
park	puistoon
park	puiston
official	virkamies
official	viralliset
official	virallinen
case	case
case	tapauksessa
case	tapaus
case	salkku
london	lontoon
london	lontooseen
london	lontoo
london	lontoossa
times	aikoja
times	ajat
times	kertaa
times	times
although	vaikka
although	tosin
although	vaikkakin
small	pieni
small	pienet
third	kolmas
third	kolmannet
third	kolmanneksi
different	erilaiset
different	erilainen
different	eri
different	erilaista
get	hanki
get	saada
get	saa
get	hae
village	kylän
village	kylä
village	kylässä
village	kyl
closed	kiinni
closed	suljettu
art	taide
art	taidetta
player	pelaajan
player	pelaaja
final	lopullinen
final	finaali
community	yhteisön
community	yhteisö
again	uudestaan
again	uudelleen
again	taas
again	jälleen
began	alkanut
began	alkoi
began	aloitti
army	armeija
army	armeijan
award	palkintoa
award	palkinto
without	ilman
death	kuolemaa
death	death
death	kuoleman
death	kuolema
built	rakensi
built	rakennettu
men	miehiä
men	miesten
men	miehet
large	suuret
large	suuria
large	iso
large	suuri
site	sivuston
site	sivusto
using	käyttää
using	käyttö
using	käyttäen
using	käyttämällä
deletion	poistaminen
deletion	poisto
deletion	poistamista
white	valkoiset
white	valkoinen
white	valkoista
five	viisi
road	tie
road	tien
road	maantie
road	road
children	lasten
children	lapsia
children	lapset
free	ilmaista
free	ilmainen
free	vapaa
free	free
free	ilmaiseksi
took	otti
took	vei
england	englanti
england	englannin
england	englannista
england	englannissa
association	association
association	yhdistys
down	down
down	alas
down	alaspäin
given	annettu
given	annetut
source	lähde
california	kaliforniasta
california	kaliforniaan
california	kalifornia
california	kalifornian
man	mies
man	äijä
version	versio
version	version
version	versiota
written	kirjoitettu
written	kirjalliset
created	luotu
created	loi
created	luodut
created	luonut
created	luotiin
media	tiedotusvälineet
media	media
media	mediaa
media	medialle
media	tiedotusvälineiden
black	mustat
black	black
