蛍光	fluoresenssi
可愛い	söpö
可愛い	aika
可愛い	nätti
スピリット	hengen
スピリット	henki
グアム	guam
民兵	miliisi
側室	jalkavaimo
ルター	luther
共鳴	resonanssi
ジュリアン	julian
ジュリアン	julianin
受領	kuitti
受領	kuitin
受領	vastaanotto
チャーチル	churchill
ロフト	loft
シャム	siamilaiset
シャム	sham
帰属	nimeä
モモ	peach
コンボ	combo
デンバー	denver
デンバー	denverissä
感度	herkkyys
正午	keskipäivällä
正午	keskipäivän
正午	keskipäivällä
ハント	metsästää
ハント	hunt
ハント	huntin
ハント	jahti
ハント	metsästys
ドレスデン	dresden
欠席	poissa
欠席	poissaolo
欠席	puuttuminen
口座	tiliä
口座	tilin
口座	tili
口座	huomioon
批准	ratifiointi
説教	saarnoja
説教	saarnaa
説教	saarna
説教	saarnata
説教	saarnaa
フルーツ	hedelmä
フルーツ	hedelmät
フルーツ	hedelmiä
フルーツ	hedelmistä
フルーツ	hedelmät
フルーツ	hedelmiä
著しい	huomattavaa
著しい	merkittävä
著しい	merkittävää
著しい	huomattava
カウンティ	lääni
カウンティ	piirikunnan
カウンティ	piirikunta
カウンティ	maakunnat
カウンティ	läänit
チャネル	kanavia
チャネル	kanavien
チャネル	kanavat
チャネル	kanava
チャネル	kanavaa
チャネル	kanavalla
チャネル	kanavan
チャネル	channel
尾根	ridge
ウェスタン	western
ウェスタン	läntinen
ウェスタン	länsi
スキャン	skannaus
敬意	kunnioittaa
敬意	kunnioita
敬意	kunnioitus
敬意	kunnioitusta
オリエンタル	itämainen
鋭い	terävää
鋭い	sharp
鋭い	terävä
鋭い	terävät
お茶	tea
お茶	teetä
お茶	tee
クローズ	lähellä
クローズ	sulje
ダイナマイト	dynamiittia
コリンズ	collins
コリンズ	collinsin
飲む	juomisen
飲む	juoma
飲む	juo
飲む	juoda
飲む	juominen
飲む	juoma
飲む	juo
飲む	juoda
オークション	huutokauppa
オークション	huutokaupan
オークション	huutokaupassa
ポータブル	kannettava
ポータブル	kannettavat
モンロー	monroen
モンロー	monroe
産卵	kutu
トラップ	ansa
トラップ	ansoja
同値	vastaavuutta
同値	vastaavuus
同値	vastaavuuden
ローテーション	kierto
プリズム	prisma
フェアリー	keiju
ポット	pata
ポット	potti
ポット	pilveä
マッカーサー	macarthur
ハチ	ampiainen
ハチ	mehiläiset
ハチ	mehiläisten
ハチ	mehiläisiä
ミッチェル	mitchellin
ミッチェル	mitchell
カルト	kultti
家事	siivooja
消える	katoavan
消える	katoaminen
消える	katoavat
消える	katoaa
消える	kadota
消える	katoa
テンション	jännitys
テンション	jännite
テンション	jännitteitä
テンション	jännitteet
個別に	yksittäin
個別に	yksilöllisesti
ジャスト	vain
フォーカス	keskittyminen
フォーカス	keskity
フォーカス	focus
フォーカス	keskittyä
分化	erottelu
ウエスタン	western
ウエスタン	läntinen
ウエスタン	länsi
ラトビア	latvia
ラトビア	latviassa
ラトビア	latvian
ラトビア	latvia
ラトビア	latvian
酢酸	asetaatti
スタンプ	leima
スタンプ	leimaa
スタンプ	tarroja
スタンプ	tarra
スタンプ	stump
発令	liikkeeseen
激戦	hurja
おいしい	herkullinen
停滞	pysähtyneisyyden
停滞	paikallaan
スリップ	livahtaa
カブス	pennut
照射	altistuksen
照射	altistumista
照射	altistumisen
照射	altistuminen
照射	altistus
クルーザー	risteilijä
ハンドブック	käsikirjan
ハンドブック	käsikirja
江藤	eto
アーカンソー	arkansasin
パッド	kämppä
マナー	etiketti
マナー	tapoja
マナー	tavat
太陽光	auringonvaloa
バットマン	batman
バットマン	batmanin
タイル	laatta
タイル	laatat
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
鉄砲	teppo
レジスタ	rekisterit
レジスタ	rekisterien
レジスタ	rekisteriin
レジスタ	rekisteröi
レジスタ	rekisteri
レジスタ	rekisteröityä
ピュア	puhdasta
ピュア	puhtaana
ピュア	puhdas
ピュア	puhtaat
蒸留	tislattua
フレイ	frey
ブーツ	boot
ブーツ	saappaat
出版物	julkaisuja
出版物	julkaisut
出版物	julkaiseminen
出版物	julkaisu
ヒューズ	hughesin
ヒューズ	hughes
ヒューズ	sulake
問い合わせ	kyselyn
問い合わせ	kysely
問い合わせ	tutkimukset
連帯	solidaarisuus
連帯	solidaarisuutta
ポーター	porter
帰宅	kotiin
帰宅	kodin
帰宅	kotona
帰宅	koti
メイキング	tekeminen
メイキング	tekoa
エフェクト	seuraukset
エフェクト	vaikutus
エフェクト	vaikutuksia
エフェクト	vaikutukset
エフェクト	vaikutusta
エフェクト	vaikutus
エフェクト	seuraus
エフェクト	vaikutukset
デス	kuolemaa
デス	death
デス	kuoleman
デス	kuolema
バター	voita
教職員	tiedekunnan
結核	tuberkuloosin
結核	tuberkuloosi
ヨルダン	jordanian
ヨルダン	jordan
ヨルダン	jordanian
ヨルダン	jordania
ヨルダン	jordanin
コバルト	koboltti
ソフトボール	softball
起業	yrittäjä
起業	yrittäjyyttä
起業	yrittäjyys
起業	yrittäjyyden
欠陥	vika
未完	keskeneräinen
コブラ	cobra
シスター	siskon
シスター	sisko
グリル	grilli
グリル	grillin
脂肪	rasvaa
脂肪	rasva
脂肪	läski
脂肪	paksu
脂肪	lihava
アーネスト	ernest
眠る	uni
眠る	nuku
眠る	nukkua
アスレチック	urheilullinen
彼氏	poikaystävä
彼氏	poikaystävän
彼氏	poikaystävää
エミー	amy
エミー	amyn
迫害	vainoa
迫害	vainotaan
手数料	komission
手数料	komissio
手数料	maksu
手数料	palkkio
手数料	maksua
手数料	maksuja
手数料	maksut
手数料	palkkiot
バドミントン	sulkapallo
ザック	zac
陶器	keramiikka
スクリプト	skriptit
スクリプト	käsikirjoitus
トライアングル	kolmion
トライアングル	kolmio
溶岩	laavaa
フィニッシュ	loppuun
フン	hun
ハス	lotus
メグ	meg
ボールド	rohkeat
ボールド	rohkeaa
ボールド	rohkea
トッド	todd
入浴	uinti
入浴	kylpy
入浴	kylvyn
ハング	hung
ハング	hirteen
流体	nestettä
流体	neste
流体	nesteen
流体	nesteiden
流体	nesteet
流体	nesteitä
ジュネーヴ	geneven
ジュネーヴ	genevessä
ハーバート	herbert
お菓子	sweets
お菓子	makeisia
未完成	keskeneräinen
未完成	puutteellinen
未完成	keskeneräinen
未完成	epätäydellinen
オシ	työturvallisuus
オシ	ttt
ブレーメン	bremenin
共生	symbioottinen
チューブ	putken
チューブ	putki
チューブ	letku
ヒゲ	parrat
林業	metsätalouden
林業	metsätalous
変装	naamioitu
軍需	aseistus
シグナル	signaalit
シグナル	signaaleja
シグナル	signaalin
シグナル	signaali
オリーブ	olive
オリーブ	oliivien
オリーブ	oliiveja
面接	haastatteluun
面接	haastattelussa
面接	haastattelun
面接	haastattelu
ダイエット	ruokavalio
ダイエット	ruokavaliota
ダブリン	dublinissa
ダブリン	dublinin
ダブリン	dublin
信念	faith
信念	uskoa
信念	usko
信念	uskomuksia
スチュアート	stuart
ワイヤー	lanka
ワイヤー	johtoja
ワイヤー	johdot
アルブレヒト	albrecht
バレル	piippu
バレル	tynnyri
サンティアゴ	santiago
ブルターニュ	brittany
審判員	tuomari
さゆり	sayuri
スレッド	keskustelua
スレッド	keskustelu
スレッド	keskustelun
スレッド	säikeet
スレッド	lanka
スレッド	lankaa
スレッド	keskustelut
スレッド	keskusteluja
ドラキュラ	dracula
ルネ	rené
ルネ	rené
ルネ	rene
桟橋	laiturille
桟橋	laituri
亜鉛	sinkki
グラハム	grahamin
グラハム	graham
デューク	herttua
デューク	duke
語彙	sanasto
コーディネーター	koordinaattori
ソナー	kaikuluotain
ソナー	luotain
充電	lataus
充電	syyte
グラブ	tartu
グラブ	nappaa
バーミンガム	birmingham
マイヤー	meyer
リリー	lilyn
リリー	lily
大工	carpenter
隠岐	oki
チャイ	chai
ワクチン	rokotteet
ワクチン	rokotteiden
ワクチン	rokote
ワクチン	rokotteen
ワクチン	rokotetta
ワクチン	rokotus
監獄	vankila
監獄	vankilassa
監獄	vankiloissa
監獄	vankilat
デラウェア	delaware
売る	myy
売る	myydä
売る	myydään
破片	romua
ペーター	pekka
ペーター	petteri
ペーター	peter
ペーター	pietari
買い物	ostoksille
買い物	ostokset
買い物	ostoksia
買い物	ostoksilla
既婚	naimisissa
陽性	positiiviset
陽性	myönteinen
陽性	positiivinen
陽性	positiivista
チョーク	liitu
チョーク	kuristaa
四十	neljäkymmentä
四十	forty
エコー	kaiku
エコー	echon
エコー	echo
クランク	crank
コミュニティー	yhteisön
コミュニティー	yhteisö
施策	käytännöt
トラクター	traktoreita
トラクター	traktorin
トラクター	traktori
カリスマ	karismaa
カリスマ	karismaattinen
吹く	puhaltaa
吹く	iskuja
下着	alushousut
下着	kalsarit
下着	alusvaatteita
分泌	eritystä
ドキドキ	jännää
ドキドキ	jännittävää
ドキドキ	jännä
ドキドキ	jännittävä
驚き	yllätys
ジェフリー	jeffrey
廃墟	pilaa
廃墟	pilata
廃墟	pilaa
廃墟	rauniot
深度	syvyys
深度	syvyyteen
配当	osinko
配当	jakelu
配当	jakauma
配当	jakautuminen
配当	osingot
故意	harkittu
故意	tahallinen
故意	tahallista
故意	tahallinen
故意	tahallisesti
故意	tahallaan
故意	tarkoituksellisesti
ニコ	nico
クロム	chrome
クロム	kromi
クロム	kromi
生き方	elämäntapa
預言	ennustuksen
預言	ennustus
掲示	lähettämistä
掲示	julkaiseminen
掲示	julkaistaan
掲示	tiedotteen
パスポート	passit
パスポート	passeja
パスポート	passin
パスポート	passi
消化	ruoansulatusta
ヘビ	snake
ヘビ	käärme
ヘビ	käärmeitä
ヘビ	käärmeet
膨張	laajentuminen
膨張	laajentaminen
膨張	laajeneminen
膨張	laajennus
バッジ	merkit
残酷	julma
残酷	julmaa
残酷	julman
ペナルティ	seuraamus
ペナルティ	rangaistus
フェンス	aitaa
フェンス	aita
フェンス	aidan
船員	merimies
フォレスト	forrest
フォレスト	metsän
フォレスト	metsät
フォレスト	metsää
フォレスト	metsä
クラッチ	kytkin
見習い	oppipoika
見習い	harjoittelija
見習い	harjoittelija
黙示録	maailmanloppu
黙示録	maailmanlopun
枢機卿	kardinaali
メソッド	menetelmä
メソッド	menetelmän
メソッド	menetelmiä
メソッド	menetelmät
スチュワート	stewart
スギ	cedar
賭博	uhkapelejä
賭博	vedonlyönti
賭博	uhkapeli
賭博	pelaaminen
賭博	uhkapeliä
コップ	kuppi
コップ	kuppia
コップ	muki
コップ	cupin
コップ	cup
視界	näkyvyyttä
視界	näkyvyys
ニッケル	nikkeli
反響	kaiku
反響	echon
反響	echo
プラットホーム	alusta
プラットホーム	foorumi
プラットホーム	alustan
プラットホーム	laituri
カルチョ	calcio
スーザン	susanin
スーザン	susan
ハイチ	haitin
ハイチ	haitin
洗浄	pesu
洗浄	puhdistaminen
洗浄	siivous
洗浄	pesu
洗浄	puhdistus
不祥事	skandaalin
不祥事	skandaali
不祥事	skandaaleja
委任	valtuuskunnan
委任	lähetystö
委任	valtuuskunta
委任	valtuuskuntaa
委任	toimeksiannon
委任	toimeksianto
委任	valtuudet
委任	toimikausi
シエラ	sierra
手当	avustus
ボローニャ	bolognan
ヤギ	vuohen
ヤギ	vuohi
ヤギ	vuohet
ヤギ	vuohia
ヤギ	vuohet
ワークショップ	työpajoja
ワークショップ	työpaja
ワーグナー	wagner
金庫	turvassa
金庫	kassakaappi
金庫	turvallista
金庫	turvallinen
充当	määräraha
充当	määrärahat
被告人	syytetty
被告人	syytetyt
被告人	syytettynä
被告人	syytetty
被告人	vastaaja
バトン	baton
睡眠	uni
睡眠	nuku
睡眠	nukkua
モノクロ	yksivärinen
洗濯	pesu
洗濯	pesula
ツル	crane
ツル	kurki
リヒャルト	richardin
リヒャルト	richard
リヒャルト	rikhard
裏側	takaisin
裏側	selkä
裏側	taaksepäin
レズビアン	lesbo
芸者	geisha
チャップリン	chaplin
祝福	siunaus
祝福	siunausta
祝福	siunausta
祝福	siunattu
林檎	applen
林檎	omenaa
林檎	apple
林檎	omenan
林檎	omena
視力	näköä
ロナルド	ronald
ランニング	juoksu
ランニング	juoksevat
ランニング	juoksee
ランニング	käynnissä
届出	ilmoitus
届出	ilmoituksen
届出	ilmoittaminen
レスキュー	pelastaa
レスキュー	pelastus
レスキュー	pelastaminen
土居	doi
委嘱	valtuuskunnan
委嘱	lähetystö
委嘱	valtuuskunta
委嘱	valtuuskuntaa
委嘱	komission
委嘱	komissio
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	vitsi
お気に入り	suosikki
お気に入り	lempi
お気に入り	suosikkeja
お気に入り	suosikki
お気に入り	lempi
お気に入り	suosikit
ロッカー	kaappi
トゥルー	true
トゥルー	totta
ヨット	jahti
シェーン	shane
シェーン	shanen
ダイナミック	dynaamisia
ダイナミック	dynaamiset
ダイナミック	dynaaminen
ダイナミック	dynaamista
飛行船	ilmalaiva
陶芸	keramiikka
エリオット	elliott
エリオット	elliot
まみ	mami
フットサル	futsal
消去	pyyhkii
消去	tyhjennys
ストライカー	hyökkääjä
ストライカー	striker
バイザー	visiiri
ハンプシャー	hampshire
テント	telttoja
テント	teltta
テント	teltan
リソース	voimavara
リソース	resurssien
リソース	varat
リソース	voimavarat
リソース	resursseja
リソース	resurssit
粛清	puhdistus
崇拝	palvovat
ワトソン	watson
値段	hinta
値段	hinnan
値段	hintaa
快適	mukavasti
快適	mukavat
足跡	jalanjälki
足跡	jalanjälkiä
ロベール	robert
バスケ	korista
バスケ	koripalloa
バスケ	koripallo
獣医	veteraanit
獣医	eläinlääkäri
獣医	eläinlääkärin
獣医	eläinlääkäri
ヴァージン	neitsyen
ヴァージン	neitsyt
和音	sointu
帝政	imperiumin
帝政	empire
帝政	valtakunta
帝政	imperiumi
動揺	järkyttynyt
タブレット	tabletti
タブレット	tabletit
麻酔	anestesia
人魚	merenneito
ジュエル	jewel
ジュエル	jalokivi
サンチェス	sanchez
サンチェス	sánchez
サンチェス	sánchez
文字通り	kirjaimellisesti
目的地	määränpää
マルチメディア	multimedia
オーラ	aura
ディープ	syvälle
ディープ	syvällä
ディープ	syvä
ディープ	syvät
ディープ	deep
マリアナ	mariana
アマゾン	amazon
義雄	yoshio
年数	vuotta
年数	vuodet
年数	vuosien
年数	vuosia
サイコロ	noppaa
コロナ	corona
切符	liput
切符	lippuja
切符	lippujen
切符	lippu
教義	dogma
教義	creed
オメガ	omega
両面	duplex
地雷	miinoja
ホッケー	jääkiekko
ホッケー	jääkiekkoa
かもめ	lokki
マダガスカル	madagaskarin
事績	saavutuksia
事績	saavutukset
事績	saavutus
事績	saavuttaminen
上告	valitus
上告	valituksen
カートリッジ	patruunat
カートリッジ	säiliö
トレイル	polkua
臓器	elinten
臓器	elimet
臓器	elinten
臓器	elin
臓器	elimet
コロンボ	colombo
水銀	elohopea
水銀	elohopeaa
ニース	mukavaa
ニース	hienot
ニース	hieno
ニース	kiva
ホモ	homo
ユニーク	ainutlaatuinen
ユニーク	ainutlaatuista
ユニーク	yksilöllinen
ユニーク	yksilölliset
ステアリング	ohjaus
ステアリング	ohjauksen
城郭	linnoja
アドリア	adria
浄化	puhdistaminen
浄化	puhdistus
浄化	puhdistaa
浄化	puhdistaa
音節	tavu
音節	tavua
今野	konno
シダ	veera
大洲	ozu
炎症	tulehdus
ダンカン	duncanin
ダンカン	duncan
カッパ	kappa
長江	jangtse
摩擦	kitkaa
ドーン	dawn
芝生	nurmikon
芝生	nurmikko
久々	hyi
悪役	roisto
悪役	konna
実効	tehokkuutta
実効	tehokkuus
実効	tehokkuuden
実効	tehokasta
実効	tehokas
実効	tehokkaat
アルマ	alma
ルナ	luna
オリオン	orion
謙信	kenshin
ルーシー	lucy
ウィリー	willy
ステータス	status
ステータス	asema
ステータス	tila
ステータス	tilanne
アロン	aaron
アロン	aron
四川省	sichuanin
柔軟	joustavuutta
柔軟	joustavuus
イングリッシュ	englanti
イングリッシュ	englantia
イングリッシュ	englanniksi
イングリッシュ	englannin
浮気	uskottomuus
浮気	huijausta
マッサージ	hierontaa
マッサージ	hierontaa
マッサージ	hieronnan
マッサージ	hieronta
捕鯨	valaanpyynti
劣化	heikkeneminen
劣化	hajoaminen
劣化	hajoamista
工具	työkalun
工具	väline
工具	työkalu
上海市	shanghai
クイック	nopea
クイック	nopeasti
リニア	lineaarinen
ラーマ	lama
ラーマ	rama
卓也	takuya
サカ	saka
サンプリング	näytettä
サンプリング	otos
サンプリング	näytteen
サンプリング	otanta
サンプリング	näyte
サンプリング	näytteenotto
サンプリング	otanta
必死	epätoivoisesti
必死	epätoivoinen
失効	raukeaa
失効	vanhentunut
失効	vanhentuneet
失効	päättynyt
ねずみ	hiiri
ねずみ	hiirtä
ねずみ	hiiren
経典	sutra
オセアニア	oseania
大気圏	ilmakehä
大気圏	ilmapiiri
大気圏	tunnelma
大気圏	tunnelmaa
不審	epäilyttävä
不審	epäilyttävää
不審	epäluuloinen
リサイクル	kierrätys
リサイクル	kierrättää
リサイクル	kierrätys
リサイクル	kierrätystä
チェン	cheng
隠す	piilota
隠す	piilottaa
グラフィックス	grafiikka
マニ	mani
カモ	ankkoja
カモ	ankat
カモ	ankka
カモ	ankkaa
カモ	duck
無意味	turhaa
ビーズ	helmi
ビーズ	helmet
ビーズ	helmiä
旋風	pyörremyrsky
無敗	voittamaton
精製	puhdistettu
精製	jalostettu
精製	hienostunut
精製	tarkentaa
精製	puhdistaminen
精製	jalostuksen
責め	syytä
責め	syyttää
スナック	välipala
スナック	välipala
グリップ	ote
アレクサンドロス	aleksanteri
アレクサンドロス	alexander
ビザ	viisumin
ビザ	visa
ビザ	viisumi
ビザ	viisumia
紀子	noriko
トレス	tres
スタック	pino
スタック	stack
ヴァルター	walther
ヴァルター	walterin
ヴァルター	valtteri
ヴァルター	walter
悪性	pahanlaatuinen
強要	pakottamista
地球人	maalainen
隙間	aukkoja
隙間	aukot
ギャンブル	uhkapelejä
ギャンブル	vedonlyönti
ギャンブル	uhkapeli
ギャンブル	pelaaminen
ギャンブル	uhkapeliä
ギャンブル	uhkapeliä
ギャンブル	gamble
オリバー	oliver
長谷	hase
ハリソン	harrisonin
ハリソン	harrison
フリート	laivaston
フリート	laivue
フリート	kalusto
フリート	laivasto
風力	gale
強姦	raiskaus
センチュリー	vuosisadan
センチュリー	vuosisata
リカルド	ricardo
スルタン	sulttaani
バッグ	pussi
バッグ	säkki
バッグ	laukku
バッグ	laukkuja
バッグ	laukut
バッグ	pussit
画質	laadukas
画質	laatu
画質	laatua
シャア	sha
カヤ	kaya
福音書	gospel
侮辱	loukkaa
侮辱	loukata
侮辱	loukkaus
ロブ	rob
ロブ	ryöstää
ロブ	robb
平衡	tasapainon
平衡	tasapaino
平衡	tasapainoa
ダーウィン	darwin
乗馬	ratsastus
乗馬	ratsastaa
粘土	clayn
粘土	clay
占有	hallussapidosta
占有	hallussa
占有	hallussapito
モナ	mona
肝臓	maksa
アンゴラ	angolassa
アンゴラ	angolan
アンゴラ	angolan
味噌	miso
ノック	kop
ノック	nok
ジェシカ	jess
ジェシカ	jessican
ジェシカ	jessica
停戦	aselepo
停戦	tulitauko
真ん中	keskimmäinen
真ん中	lähi
真ん中	keski
ペイント	maalit
ペイント	maali
ペイント	maalia
ペイント	maalaa
ピーチ	peach
滑らか	sileä
滑らか	sujuvasti
ハイランド	highland
完備	täydelliset
完備	täydellinen
完備	täytetään
白血病	leukemia
アングル	kulma
アングル	kulmaa
アングル	kulmat
冷たい	kylmä
冷たい	kylmää
冷たい	kyl
ホノルル	honolulun
ハンプトン	hampton
ラウンジ	lounge
ラウンジ	aula
ディーラー	kauppias
ディーラー	välittäjä
デーモン	daemon
ナイス	mukavaa
ナイス	hienot
ナイス	hieno
ナイス	kiva
ケヴィン	kevin
信条	creed
入札	tarjous
入札	tarjouksen
入札	tarjoa
入札	tarjous
入札	tarjoaminen
入札	tarjoukset
入札	tarjouksia
シルエット	siluetti
エディンバラ	edinburghissa
エディンバラ	edinburghin
中性子	neutroni
パノラマ	panorama
クルト	kurt
反復	toisto
ヴィレッジ	kylän
ヴィレッジ	kylä
ヴィレッジ	kylässä
ヴィレッジ	kyl
ロジャース	rodgers
ロジャース	rogers
バレンタイン	valentine
ボルドー	bordeaux
ヴァンパイア	vampyyri
ヴァンパイア	vampyyrin
受け取り	vastaanotettu
受け取り	saadut
受け取り	saanut
受け取り	saatu
仲裁	sovittelu
顕微鏡	mikroskoopin
検察官	syyttäjä
検察官	syyte
検察官	syyttäjä
ボトル	pulloja
ボトル	pullot
ボトル	pullon
ボトル	purkki
ボトル	pullo
ダイハツ	daihatsu
神風	kamikaze
クォーター	neljännes
クォーター	neljäsosa
グリッド	verkkoon
リチウム	litium
わがまま	itsekäs
ラバー	kumia
ラバー	kumin
ラバー	kumi
インタラクティブ	interaktiivinen
セール	myyntiin
セール	myynti
アグネス	agnes
フェス	fez
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernandes
用紙	paperi
用紙	paperia
パラオ	palau
ミナ	mina
快楽	ilo
快楽	mielihyvää
快楽	nautinto
ヒール	parantua
ヒール	parane
ヒール	paranna
ヒール	parantaa
ヒール	kantapää
しみ	tahroja
しみ	tahra
均衡	tasapainon
均衡	tasapaino
均衡	tasapainoa
きれい	puhdasta
きれい	puhdas
きれい	puhtaat
気球	ilmapallo
イケメン	komeita
イケメン	komea
ディラン	dylan
リンパ	imusolmukkeiden
メンフィス	memphis
フィルタ	suodattimen
フィルタ	suodatin
フィルタ	suodattimet
フィルタ	suodattimia
ヴォルフガング	wolfgang
チコ	chico
蒸発	haihtuminen
ココ	coco
スクリュー	ruuvi
祈祷	rukouksen
祈祷	rukous
募金	lahjoitus
募金	lahjoituksen
募金	luovutuksen
募金	luovutus
募金	lahjoittaa
募金	lahjoituksia
募金	lahjoitukset
オリエント	orient
オーランド	ahvenanmaan
オーランド	orlando
作物	viljelykasvien
パウンド	punta
シャーロック	sherlock
スタッド	ori
リッター	ritter
逸脱	poikkeava
村人	kyläläiset
トカゲ	liskoja
トカゲ	lisko
参道	lähestymistapa
参道	lähestymistavan
飢饉	nälänhätä
ピストル	pistooli
ブランチ	oksa
別館	liite
聖歌	virsi
漁師	kalastajat
漁師	kalastajien
漁師	kalastajia
漁師	kalastaja
ガーナ	ghana
ミレニアム	millenium
ミレニアム	vuosituhannen
なぜなら	koska
釈迦	shaka
ジェニファー	jennifer
クレイグ	craig
クレイグ	craigin
アイザック	isaac
美学	estetiikka
死別	leski
筆記	kirjoitettu
筆記	kirjalliset
筆記	kirjoittaminen
筆記	kirjoitus
筆記	kirjoittaa
筆記	kirjoitusta
セバスチャン	sebastian
レコーダー	nauhuri
ダイアナ	diana
ダイアナ	dianan
リハビリ	kunnostaminen
リハビリ	kunnostus
リハビリ	kuntoutus
バーゼル	basel
テリア	terrieri
苦情	valitukset
苦情	valituksia
苦情	valitus
苦情	valitukset
苦情	kantelun
苦情	kantelu
二階	yläkerrassa
二階	yläkertaan
代名詞	pronomini
静脈	suonet
静脈	laskimoon
チューン	sävelmä
ノルマンディー	normandian
ハウ	howe
合法	aito
合法	laillista
合法	laillinen
開示	julkistaminen
エデン	eden
デザート	jälkiruoka
デザート	aavikkoa
デザート	aavikon
デザート	desert
デザート	jälkiruokia
動脈	valtimo
動脈	valtimo
ツイッター	twitter
発熱	kuume
発熱	kuumetta
リュック	reppu
リュック	luc
忍び	shinobi
織物	tekstiili
織物	kudonta
織物	kankaan
織物	kangasta
織物	kangas
織物	tekstiili
ペスト	vitsaus
ペスト	rutto
ペスト	ruttoa
ペスト	pestin
礼儀	etiketti
礼儀	kohteliaisuus
ボンド	bondin
ボンド	side
ボンド	bond
グロス	brutto
ヴィーナス	venus
ゴリラ	gorilla
ゴリラ	gorillat
フリッツ	fritz
ブランコ	blanco
ニトロ	nitro
ジュゼッペ	giuseppe
竜巻	tornado
竜巻	pyörremyrsky
竜巻	tornadoja
健治	kenji
苦悩	piinaa
苦悩	kärsimys
苦悩	ahdistusta
ゴリ	gori
ゴア	goa
ゴア	gore
ネブラスカ	nebraskan
ポロ	polo
日没	auringonlasku
日没	sunset
日没	auringonlaskun
日没	auringonlasku
山東省	shandongin
ミュラー	müller
ミュラー	mueller
ミュラー	müller
ミュラー	muller
セルティックス	celtics
ディナー	illallinen
ディナー	päivällinen
白金	platinaa
パラグアイ	paraguayn
ブカレスト	bukarestin
不信	epäluottamusta
ジェシー	jessen
ジェシー	jesse
オオカミ	susi
オオカミ	suden
オオカミ	wolf
コンタクト	yhteyttä
コンタクト	yhteyshenkilö
コンタクト	yhteystiedot
バスケット	korin
バスケット	kori
バスケット	koriin
バスケット	koria
ザルツブルク	salzburgin
特製	erikoisuus
快感	ilo
快感	mielihyvää
快感	nautinto
叔母	täti
パーソナル	henkilökohtaisia
パーソナル	henkilökohtaiset
