守山	moriyama
従兄弟	sorodnik
従兄弟	sestrična
従兄弟	bratranec
ギルド	ceha
ギルド	cehi
回生	regenerativno
ニュルンベルク	nürnbergu
ブラザー	bratec
ブラザー	brat
チューリッヒ	zürichu
チューリッヒ	zürichu
内線	razširitev
内線	podaljšek
内線	podaljšanje
ルクス	lux
ステッカー	nalepke
ステッカー	nalepko
ステッカー	nalepka
ステッカー	nalepke
ステッカー	nalepk
浅い	plitvo
カブ	repo
カブ	repa
カブ	mladič
パウル	paul
パウル	pavel
故人	umrli
故人	preminil
故人	umrl
ハンドボール	rokomet
オークス	oaks
エッグ	jajci
エッグ	jajc
エッグ	jajčeca
エッグ	jajca
エッグ	jajce
更生	rehabilitacija
更生	rehabilitacije
更生	rehabilitacijo
スキン	kože
スキン	koža
スキン	koži
スキン	kože
スキン	kožo
ピンチ	ščepec
パース	perth
エマ	ema
エマ	emma
ヌード	golote
ヌード	goli
ヌード	gola
ヌード	golo
ヌード	akti
公害	onesnaževanje
公害	onesnaženje
コペンハーゲン	københavnu
りんご	jabolka
りんご	jabolka
りんご	jabolčni
りんご	apple
りんご	jabolko
インフルエンザ	gripa
インフルエンザ	gripi
インフルエンザ	gripo
インフルエンザ	gripa
インフルエンザ	gripi
インフルエンザ	gripo
イラ	ila
オーボエ	oboa
毒性	strupena
毒性	strupeni
毒性	strupen
毒性	strupeno
毒性	strupenih
毒性	strupenost
毒性	toksičnost
メカニズム	mehanizmi
メカニズム	mehanizme
メカニズム	mehanizem
ファンタジア	fantazije
やさしい	počasi
ジャンボ	jumbo
ネギ	por
燃える	gori
燃える	gorenje
芳賀	haga
体質	ustava
イヌ	dog
イヌ	pasja
イヌ	kuža
イヌ	pasji
イヌ	pes
苦しみ	trpljenje
苦しみ	trpljenja
キノコ	gobe
キノコ	gobice
キノコ	goba
キノコ	gobe
厚い	debelo
厚い	debel
厚い	gosto
厚い	debela
ヤンキー	jenki
ヤンキー	yankee
飛躍	skok
飛躍	preskok
ボア	boa
麻痺	paralizo
麻痺	paraliza
麻痺	paralitični
麻痺	paralize
オリンピア	olimpija
クラウス	kraus
クラウス	klaus
証人	priče
証人	prič
証人	priča
賞賛	občudovanja
賞賛	občudovanje
賞賛	pohvala
賞賛	pohvale
シリアル	serijsko
シリアル	zaporedna
シリアル	serijski
シリアル	žita
シリアル	žito
シリアル	kosmiči
シリアル	žit
シリアル	žitarice
子育て	starševstvo
ウィンドウ	okence
ウィンドウ	okno
乱闘	pretep
水分	vlage
水分	vlaga
水分	vlažnost
バーバラ	barbara
遊ぶ	igraj
決済	izplačila
決済	plačila
決済	poravnave
決済	poravnava
決済	plačilo
決済	izplačilo
サニー	sončna
サニー	sončni
サニー	sončen
サニー	sunny
サニー	sončno
嫉妬	ljubosumen
嫉妬	ljubosumni
嫉妬	ljubosumna
嫉妬	ljubosumja
嫉妬	ljubosumje
ディスコ	disko
ブタ	prašiči
ブタ	pujs
ブタ	prašič
ノーマン	norman
尾翼	rep
尾翼	tail
退却	umik
悪意	zlonamerne
悪意	zlobo
悪意	zlobe
悪意	zloba
屋台	stojnicah
屋台	stojnice
伝導	prevodnost
受け取る	prejeti
アーロン	aaron
アーロン	aron
アンチ	anti
ベストセラー	uspešnica
ピコ	pico
ステンレス	nerjavnega
壁画	freska
エンブレム	emblemi
エンブレム	emblem
素敵	ljubka
素敵	lep
素敵	prijetno
素敵	lepo
思想家	misleci
ピクセル	pixel
コントローラ	kontrolorji
コントローラ	upravljavci
コントローラ	nadzornik
たまに	občasno
外科医	kirurg
外科医	kirurginja
伝送	menjalnik
伝送	posredovanje
伝送	prenos
伝送	pošiljanje
トロイ	troy
トロイ	trojo
タンカー	tanker
気体	bencin
気体	gas
気体	plin
気体	plinov
気体	plini
処罰	kaznoval
処罰	kaznovati
処罰	kaznuje
処罰	kaznovanje
処罰	kazen
処罰	kaznovanje
ロータス	lotus
キャンセル	preklic
キャンセル	odpovedati
キャンセル	odpovedal
キャンセル	preklicana
キャンセル	odpovedan
キャンセル	odpovedana
キャンセル	preklican
キャンセル	preklicano
キャンセル	odpovedan
キャンセル	preklicana
キャンセル	preklican
キャンセル	odpovedana
キャンセル	razveljavitev
キャンセル	preklic
キャンセル	izbris
不完全	nepopolno
不完全	nepopoln
ウィキ	wiki
リスボン	lizbonska
リスボン	lizboni
リスボン	lizbonske
リスボン	lisbon
剥奪	prikrajšani
剥奪	ogroženim
掘削	izkopavanje
掘削	vrtanje
ボリビア	bolivijske
ボリビア	boliviji
棄却	razrešitev
幼虫	ličink
幼虫	ličinke
悪夢	more
演目	programe
演目	programi
標準化	standardizacijo
チェルシー	chelsea
ナンシー	nancy
カタール	katar
解読	razvozlati
解読	dekodiranje
ゲイリー	gary
やまと	yamato
出血	krvavitve
出血	krvavitev
出血	krvavitve
出血	krvavitev
タンゴ	tango
濡れ	mokre
濡れ	mokro
濡れ	mokra
濡れ	mokri
濡れ	moker
ロンド	rondo
キックボクシング	kickboxing
台北市	tajpeju
諮問	posvet
諮問	posvetovanje
火事	ogenj
火事	požar
正夫	masao
ジュリエット	julijo
ジュリエット	juliet
ジュリエット	julija
マクラーレン	mclaren
オアシス	oasis
赤道	ekvator
クウェート	kuvajt
クウェート	kuvajtski
疲労	naporno
疲労	utrujenost
疲労	utrujenost
疲労	izčrpanosti
平壌	pjongjang
国々	države
ディー	dee
タコ	hobotnica
内訳	razčlenitev
内訳	razdelitev
内訳	razčlenitev
内訳	razčlenitve
ジャイアント	velikanski
ジャイアント	ogromen
ジャイアント	velikan
ジャイアント	orjaški
バディ	buddy
出願	zahtevek
出願	vloga
ウォーレン	warren
銃弾	metka
銃弾	naboj
銃弾	krogla
妥協	kompromis
ピストン	bat
ピストン	batni
ピストン	bata
派手	vpadljiv
抗体	protiteles
抗体	protitelesa
抗体	imunoglobulin
抗体	protitelesa
抗体	protiteles
抗体	protitelo
トモ	tomo
風船	balon
風船	baloni
風船	balonov
風船	balone
おばさん	teta
おばさん	tetka
おばさん	tetka
リターン	povratek
リターン	vrnitev
ユーラシア	evrazijskih
安定性	obstojnost
安定性	stabilnost
コメディアン	komik
コメディアン	komiki
フェリックス	felix
副官	pribočnik
エレクトロニクス	elektronika
エレクトロニクス	elektroniko
パトロール	patrulja
クレーター	kraterjev
クレーター	krater
キャピタル	kapitala
キャピタル	prestolnica
キャピタル	kapital
チャット	klepet
糖尿病	sladkorna
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	palček
エルフ	škrat
エルフ	škratje
エルフ	škrati
エルフ	palčki
バーガー	burger
バーガー	hamburger
カリウム	kalij
カリウム	kalija
カリウム	kalijev
サバイバル	preživetje
サバイバル	obstanek
シックス	šest
シックス	six
蛍光	fluorescenčne
蛍光	fluorescence
可愛い	luštno
可愛い	lepa
スピリット	duh
グアム	guam
民兵	milica
民兵	milice
側室	priležnica
側室	priležnic
ルター	luther
共鳴	resonance
ジュリアン	julian
ジュリアン	julien
受領	prejem
チャーチル	churchill
ロフト	podstrešje
湯川	jukava
及川	oikawa
シャム	siamska
帰属	dodeljevanje
帰属	dodelitev
モモ	breskev
モモ	breskve
モモ	momo
モモ	breskev
モモ	breskve
コンボ	kombinacija
デンバー	denverju
デンバー	denver
デンバー	denverja
感度	občutljivost
正午	opoldne
正午	poldne
ハント	hunt
ハント	lov
ドレスデン	dresden
欠席	odsotna
欠席	odsoten
欠席	odsotnosti
欠席	odsotnosti
欠席	odsotnost
口座	račun
批准	ratifikacija
説教	pridige
説教	pridiga
説教	pridigo
説教	pridiga
説教	pridigati
フルーツ	sadje
フルーツ	sadeži
