preguntarnos	問
corvos	烏鴉
prestar	付費
prestar	付款
prestar	支付
poñamos	讓
persoais	個人
herdanza	遺產
herdanza	繼承權
herdanza	繼承
herdanza	遺產
defecto	違約
defecto	預設
eléctrica	電氣
eléctrica	電
eléctrica	電動
eléctrica	電力
eléctrica	電源
eléctrica	動力
eléctrica	權力
prestado	借
prestado	借用
prestado	借
interiores	內心
interiores	內
interiores	內在
traxes	東方
traxes	東部
traxes	裙
traxes	裙子
traxes	禮服
traxes	西裝
limitado	有限
limitado	限量
limitado	限
limitado	受限
ancián	老
ancián	舊的
ancián	舊
ancián	老了
ancián	人
ancián	男人
ancián	man
infección	傳染
infección	感染
radicais	激進派
radicais	激進份子
radicais	激進
recente	最近
recente	近期
italianos	義大利文
italianos	義大利
xeracións	一代
xeracións	世代
barreira	屏障
ouviu	你
jamie	jamie
toquei	觸及
toquei	感動
toquei	touch
toquei	摸
toquei	觸碰
toquei	觸控
toquei	觸動
concertos	音樂會
concertos	演唱會
pecho	關閉
virus	病毒
pulmóns	肺
pulmóns	肺部
extremadamente	極度
extremadamente	極
fármacos	藥品
fármacos	藥物
fármacos	毒品
prácticas	實用
estudios	工作室
axuden	幫助
axuden	幫忙
hackers	駭客
arrecifes	珊瑚
arrecifes	珊瑚礁
ondas	浪
ondas	海浪
ondas	波浪
acabará	終結
acabará	結尾
acabará	結束
acabará	將
acabará	威爾
ártico	北極
mortas	死
egoísta	自私
camiñas	步行
camiñas	散步
camiñas	行走
camiñas	走路
camiñas	你
camiñas	步行
camiñas	散步
camiñas	走路
rescate	營救
rescate	救援
rescate	拯救
rescate	贖金
xerar	生成
esposo	丈夫
grecia	希臘
xove	年輕
xove	young
demáis	其他
xenético	遺傳
frecuencia	常常
frecuencia	經常
frecuencia	頻繁
frecuencia	時常
frecuencia	常常
frecuencia	經常
kilos	磅
kilos	公斤
agradecido	感恩
aburrida	無聊
aburrida	無聊
tentan	嘗試
tentan	試試
tentan	她們
tentan	他們
tentan	它們
tentan	嘗試
axencia	代理商
axencia	機構
motel	汽車旅館
responsables	負責
responsables	責任
responsables	誰
nobel	諾貝爾
nobel	獎品
nobel	獎賞
nobel	獎
bonos	郵票
sentiu	感受
sentiu	感覺
sentiu	她們
sentiu	他們
sentiu	它們
memorias	記憶
memorias	回憶
cultivar	成長
cultivar	生長
cultivar	培育
industriais	工業
industriais	廠
industriais	工廠
desigualdade	不等式
desigualdade	不平等
ameazas	威脅
belfast	貝爾法斯特
posesión	持有
posesión	擁有
posesión	佔有
poderiades	你
curva	曲線
curva	轉
entradas	票
entradas	門票
entradas	車票
entradas	票券
pasas	你
pasas	花費
cultivo	文化
tratamentos	治療
almacéns	部門
almacéns	店
almacéns	商店
mecanismo	機制
mecanismo	裝置
taylor	taylor
quinto	第五
quinto	第五次
quinto	地獄
xoguetes	玩具
xoguetes	玩具
vilas	城鎮
vilas	鄉村
vilas	村莊
viñetas	漫畫
viñetas	卡通
arquivos	文件
