освојувач	فاتح
југословенска	یوگوسلاوی
џеф	جف
подигање	چکمه
подигање	بعثت
мак	مکینتاش
мак	mac
мак	مک
мак	ماک
мак	ماک
колона	ستون
колона	ستونی
облаци	ابری
облаци	ابر
облаци	ابرها
адамс	آدامز
адамс	ادامز
самоа	ساموآ
иновации	نوآوری
иновации	نوآوری
топла	گرم
топла	داغ
топла	گرم
заинтересиран	علاقمندی
заинтересиран	علاقه
заинтересиран	علاقمند
спротивна	مخالف
забави	احزاب
грло	گلو
грло	گلوی
грло	گلوگاه
жорж	ژرژ
моќен	توانمند
моќен	مقتدر
моќен	توانا
моќен	نیرومند
моќен	پرقدرت
моќен	قدرتمند
воспоставена	تمکین
зими	وینترز
пилот	خلبان
пилот	راهبری
линколн	لینکن
линколн	لینکولن
линколн	لینکلن
вируси	ویروسی
вируси	ویروس
вируси	ویروسها
свесен	آگاه
свесен	هوشیاری
витез	شوالیه
витез	نایت
искористување	استثمار
рајх	رایش
семиња	بذر
семиња	دانه
интервјуа	مصاحبه
браната	دم
браната	سد
вагнер	وگنر
вагнер	واگنر
рејчел	راشل
рејчел	ریچل
рејчел	راچل
рамна	مسطح
рамна	فلت
предвидено	احیانا
санчез	سانچز
санчез	سانچز
извршувањето	اعدام
извршувањето	اعدامی
извршувањето	اجرا
извршувањето	اجرای
извршувањето	اعدامش
декади	دهه
забранети	ممنوعه
забранети	ممنوع
забранети	حرام
забранети	نهی
забранети	ممنوع
забранети	حرام
забранети	ممنوع
чудно	ناشیانه
чудно	ناجور
чудно	عجیبی
чудно	عجیب
чудно	عجیب
чудно	فرد
чудно	عجیب
писменост	سوادی
писменост	سواد
пијалоци	نوشیدنی
тактика	تاکتیکهای
тактика	تاکتیک
тактика	رزم
тактика	تاکتیک
кастро	کاسترو
одри	آدری
поплави	سیل
тринидад	ترینیداد
извоз	صادرات
благоевград	بلاگووگراد
единбург	ادینبورگ
тесна	سفت
тесна	تنگه
багдад	بغداد
ката	کاتا
ката	طبقه
ката	طبقات
аризона	آریزونا
