口服	வாய்வழி
嚴謹	கண்டிப்பு
嚴謹	கண்டிப்பான
三叉戟	திரிசூலம்
史詩	காவியம்
史詩	புராண
暹羅	சியாமிய
暹羅	சியாம்
鑄造	நடிக்க
刪去	அழி
刪去	நீக்கு
礦物	கனிமங்கள்
礦物	தாதுக்கள்
礦物	தாது
芳香	நறுமணம்
芳香	வாசனை
民謠	fry
民謠	நாட்டார்
民謠	கிராமிய
服務業	சேவைகள்
氣球	பலூன்
氣球	பலூன்கள்
一幕	காட்சி
摸	தொடுதல்
摸	டச்
摸	தொடு
投放	வாடா
投放	வழங்கல்
投放	டெலிவரி
神學院	seminary
瀋陽	shenyang
類比	ஒப்புமை
雅加達	ஜகார்த்தா
通宵	இரவில்
對照	வேறுபாடு
對照	வித்தியாசம்
營利	லாபம்
營利	இலாபம்
良心	மனசாட்சி
位移	displacement
招標	டெண்டர்
傳道	போதிக்க
波羅的海	பால்டிக்
雨傘	குடை
雨傘	குடைகள்
花生	நிலக்கடலை
花生	வேர்க்கடலை
花生	வேர்கடலை
閃光	ஃபிளாஷ்
閃光	பிளாஷ்
閃光	சுடரொளி
和弦	நாண்
和弦	கார்டு
削減	வெட்டுதல்
削減	கட்டிங்
削減	வெட்டு
削減	வெட்டி
削減	வெட்டுக்கள்
削減	வெட்டுதல்
髮型	கூந்தல்
髮型	முடி
髮型	கூந்தலில்
髮型	தலைமுடி
髮型	தலைமுடியை
里根	ரீகன்
殘酷	கொடூரமான
殘酷	கொடூரம்
殘酷	கொடூரமான
單身	தனியாள்
單身	ஒற்றை
大自然	இயற்கை
大自然	இயல்பை
犀	காண்டாமிருகம்
九個	ஒன்பது
九個	ஒன்பதாவது
雇用	பணியமர்த்தல்
悲傷	சோகம்
悲傷	சோகத்தை
悲傷	சோகம்
悲傷	வருத்தமளிக்கிறது
僧侶	துறவி
僧侶	துறவிகள்
沒收	பறிமுதல்
粉紅	இளஞ்சிவப்பு
粉紅	பிங்க்
反向	reverse
原油	கச்சா
浴	குளித்தல்
浴	குளியல்
浴	பாத்
感恩	நன்றியுடன்
生氣	கோபம்
生氣	கோபமாக
星期天	ஞாயிற்றுக்கிழமை
星期天	ஞாயிற்றுக்கிழமை
星期天	ஞாயிறு
塵埃	தூசி
加速器	முடுக்கு
加速器	முடுக்கி
穆爾	மூர்
薄弱	பலவீனம்
薄弱	பலவீனமான
指明	குறிப்பிடு
指明	குறிப்பிடவும்
謊言	பொய்
謊言	பொய்கள்
宙斯	ஜீயஸ்
野獸	மிருகம்
填充	நிரப்பல்
填充	நிரப்புதல்
填充	நிரப்பும்
填充	நிரப்பு
填充	நிரப்ப
起因	காரணங்கள்
起因	செய்கிறான்
水分	ஈரப்பதத்தை
縫	சேவ்
縫	தையல்
反省	பிரதிபலிப்பு
敲	நாக்
頂端	டாப்
頂端	மேலே
頂端	முதன்மை
頂端	மேல்
角落	மூலை
角落	மூலையில்
角落	கார்னர்
角落	மூலைகள்
郵輪	கப்பல்கள்
燈光	விளக்கும்
燈光	விளக்குகள்
燈光	விளக்கு
燈光	விளக்கு
燈光	ஒளி
燈光	வெளிச்சம்
燈光	லேசாக
瑪利亞	மரியா
太陽能	சோலார்
太陽能	சூரிய
儲備	ரிசர்வ்
儲備	முன்பதிவு
反對派	எதிர்ப்பு
池塘	குளம்
講話	சொற்பொழிவு
講話	பேச்சு
激發	inspire
激發	தூண்ட
禁忌	தடுக்கப்பட்டு
假說	கருதுகோள்
邪教	கல்ட்
醚	ஈதர்
孢子	spores
榮耀	மகிமை
偽裝	உருமறைப்பு
鳩	புறா
叛軍	போராளி
家園	தாய்நாடு
層次	அடுக்குகள்
層次	நிலை
層次	மட்டம்
矽	திடமான
矽	சிலிக்கான்
繡	எம்பிராய்டரி
繡	பூத்தையல்
笨	முட்டாள்தனமாக
笨	முட்டாள்
少了	குறைவான
少了	குறைவு
少了	குறைவாக
少了	குறைந்த
康復	குணப்படுத்தும்
康復	மீட்டெடுப்பு
康復	மீட்பு
莊園	மனோர்
欺騙	ஏமாற்ற
欺騙	ஏமாற்றும்
欺騙	ஏமாற்று
欺騙	ஏமாற்றுதல்
欺騙	ஏமாற்றும்
欺騙	ஏமாற்றி
欺騙	வஞ்சகம்
磁性	காந்த
磁性	காந்தவியல்
內政	உட்புற
內政	நுட்பமான
內政	உள்துறை
花朵	பூக்கள்
花朵	பூக்களை
花朵	மலர்கள்
花朵	மலர்களை
花朵	மலர்
花朵	பூ
花朵	மலர்களால்
造訪	வருகை
炸藥	டைனமைட்
皮革	தோல்
皮革	லெதர்
徒弟	சீடன்
徒弟	சீடர்
下限	மாடியில்
下限	மாடி
下限	தரை
親戚	உறவினர்
親戚	சார்ந்த
親戚	உறவினர்கள்
橢圓形	ஓவல்
追查	தடமறிதல்
疑慮	ஐயம்
疑慮	சந்தேகம்
疑慮	doubt
疑慮	சந்தேகங்கள்
上學	பள்ளிக்கு
上學	பள்ளி
上學	பாடசாலை
上學	பள்ளிக்கூடம்
窯	ware
乳房	மார்பக
乳房	மார்பகம்
乳房	நெஞ்சத்தை
流血	இரத்தம்
凍	உறைகிறது
諾亞	நோவா
歸屬	ஒதுக்கீடு
感興趣	ஆர்வமுள்ளவர்கள்
感興趣	ஆர்வம்
感興趣	விருப்பமுள்ளவர்கள்
鹽水	saline
泳池	பூல்
泳池	குளம்
舉例	மேற்கோள்கள்
舉例	எடுத்துக்காட்டுகள்
舉例	உதாரணங்கள்
黏	நீளமாக
黏	ஒட்டும்
灰姑娘	சிண்ட்ரெல்லா
牙買加	ஜமைக்கா
主宰	ஆதிக்கம்
迦太基	carthage
渡假	விடுமுறை
偏差	விலகல்
陰影	நிழல்
陰影	நிழல்கள்
陰影	நிழல்
陰影	நிழலை
陰影	நிழலில்
陰影	நிழலும்
陰影	நிழல்
陰影	சாயல்
驚訝	ஆச்சரியத்தில்
驚訝	ஆச்சரியமாக
鱷魚	முதலை
幾內亞	கினி
幾內亞	கினியா
籽	விதை
籽	விதைகள்
付款	செலுத்து
付款	ஊதியம்
付款	கட்டணங்கள்
付款	கட்டணம்
白銀	வெள்ளி
白銀	சில்வர்
水牛	எருமை
水牛	எருமைகள்
面部	முக
護航	எஸ்கார்ட்
厭惡	வெறுப்பைத்
孫子	பேரப்பிள்ளைகள்
孫子	பேரன்
師父	மாஸ்டர்
寶寶	குழந்தை
寶寶	பேபி
綠黨	கீரைகள்
損傷	காயம்
損傷	சேதம்
損傷	பாதிப்பு
缺口	சந்து
列舉	கணக்கீடு
列舉	கணக்கிடுதல்
列舉	கணக்கெடுப்பு
精華	சாரம்
刮	கீறல்
刮	தேய்த்து
蟒	பைத்தான்
口語	பேசிய
處罰	வேதனை
處罰	தண்டனை
處罰	வேதனையை
處罰	வேதனை
處罰	தண்டனை
名聲	புகழை
醋	வினிகர்
代理商	முகமை
代理商	ஏஜென்சி
代理商	முகவர்கள்
代理商	முகவர்
代理商	ஏஜென்ட்
舒適	ஆறுதல்
舒適	வசதி
舒適	வசதியாக
舒適	வசதி
充電	சார்ஜ்
充電	கட்டணம்
充電	சார்ஜ்
鎳	நிக்கல்
飛翔	பறந்து
飛翔	பறக்க
飛翔	பறந்து
飛翔	பறக்கும்
礦業	சுரங்க
礦業	சுரங்கம்
人馬座	தனுசு
谷地	பள்ளத்தாக்கு
桃子	பீச்
桃子	பீச்
電纜	கேபிள்கள்
電纜	வடம்
電纜	கேபிள்
蝨	பேன்
田野	புலங்கள்
腐敗	ஊழல்
腐敗	ஊழல்
少數民族	சிறுபான்மையினர்
無聊	சலித்து
藉口	புகழ்
造船廠	செய்கிறீர்கள்
女朋友	காதலியே
女朋友	காதலி
顎	தாடை
顎	அண்ணம்
酒館	பப்
政治學	அரசியல்
草甸	மெடோஸ்
請願	மனு
荒漠	பாலைவனத்தில்
荒漠	பாலைவனம்
荒漠	பாலைவனங்கள்
先天	குறை
先天	innate
偽造	இட்டுக்
鹿特丹	ராட்டர்டாம்
盎司	அவுன்ஸ்
放逐	நாட்டை
利息	வட்டி
利息	ஆர்வம்
物料	பொருள்
蟻	எறும்பு
蟻	எறும்புகளை
蟻	எறும்புகள்
耦合	coupling
砂岩	மணற்கல்
鏢	டார்ட்
石英	குவார்ட்ஸ்
辯護	பாதுகாப்பு
波浪	அலைகள்
波浪	அலை
波浪	அலை
波浪	வேவ்
成龍	ஜாக்கி
猶太教	யூதர்
猶太教	யூத
猶太教	யூதர்களின்
血清	சீரம்
小澤	ஒசாவா
凜	ரின்
愛人	காதலர்கள்
愛人	காதலர்
愛人	காதலன்
各區	மாவட்டங்கள்
瓶子	பாட்டில்கள்
瓶子	பாட்டில்
瓶子	bottle
前列腺	புரோஸ்டேட்
化妝	ஒப்பனை
演示	டெமோ
演示	ஆர்ப்பாட்டம்
游擊隊	கரந்தடி
定罪	குற்றவாளி
倡議	முனைப்பு
聘用	பணியமர்த்தல்
盒子	பெட்டி
勉強	அதிகமாக
液態	திரவ
液態	திரவம்
法郎	பிராங்குகள்
博弈	ஆட்டம்
博弈	கேம்
博弈	விளையாட்டு
博弈	ஆட்டத்தில்
百分比	விழுக்காடு
百分比	சதவீதம்
百分比	சதவிகிதம்
百分比	விழுக்காடு
百分比	விகிதம்
百分比	சதவீதம்
百分比	சதவிகிதம்
製造業	உற்பத்தி
妥協	சமரசம்
動議	இயக்கம்
鍋爐	உலை
奉獻	அர்ப்பணிப்பு
奉獻	பக்தி
奉獻	மெய்யியல்
奉獻	மோட்சம்
禮堂	அரங்கம்
藥品	மருந்து
藥品	மருத்துவம்
藥品	மருந்துகள்
盔	தலைக்கவசம்
盔	கவசம்
清新	புதிதாக
清新	புதிய
清新	புத்துணர்ச்சி
地基	அடித்தளங்கள்
雇主	நிறுவனம்
升起	உயரும்
升起	எழுச்சி
升起	உயர்வு
吃了	சாப்பிட
吃了	உண்
創始	founding
詐騙	மோசடி
詐騙	ஊழல்
偷渡	கடத்தல்
任用	சந்திப்புகள்
任用	அனுமதி
任用	சந்திப்பு
階梯	ஏணி
階梯	படிக்கட்டு
黃蜂	குளவி
煙火	பட்டாசு
反彈	குதிக்கும்
節點	முடிச்சு
節點	முடிச்சுகளை
姿勢	போஸ்
孤兒	அநாதை
孤兒	அனாதை
週四	வியாழன்
週四	thu
週四	வியாழன்
週四	வியாழக்கிழமை
船塢	டாக்
希伯來	எபிரேய
碉堡	பதுங்கு
魔術師	சூனியக்காரர்கள்
儒學	கன்பூசியம்
寶座	சிம்மாசனம்
電子郵件	மின்னஞ்சலை
電子郵件	மின்னஞ்சல்
跡象	அறிகுறிகள்
高能	சுறுசுறுப்பான
招聘	ஆட்சேர்ப்பு
招聘	பணியமர்த்தல்
加速度	முடுக்கம்
喇叭	கொம்பு
貝勒	பெல்லி
不平等	ஏற்றத்தாழ்வு
不平等	inequalities
晶體	கிரிஸ்டல்
開花	மலர
白話	நாட்டார்
熵	சிதறம்
廉價	மலிவான
音訊	ஒலி
音訊	ஆடியோ
叛逆	கிளர்ச்சி
外甥	மருமகன்
密封	முத்திரை
快車	விரைவுவண்டி
快車	எக்ஸ்பிரஸ்
彌撒	நிறை
彌撒	mass
彌撒	மாஸ்
兩棲	நிலத்திலும்
古物	antiquities
古物	antiquity
神道	சிந்தோ
撞球	பூல்
撞球	குளம்
後援	காப்பு
鼓舞	எழுச்சியூட்டும்
關稅	tariffs
關稅	தீர்வை
關稅	சுங்க
定性	qualitative
定性	characterization
讀取	வாசி
讀取	படியுங்கள்
讀取	வாசிக்க
讀取	படித்த
讀取	படித்தது
讀取	படி
紙幣	banknotes
十字軍	crusades
