هرمی	piramidės
تورهای	keliones
آرزوهای	optimistiškai
آرزوهای	lūkesčius
لم	siurbimo
رالی	ralio
آهوی	elniai
کاکتوس	kaktusais
گوگوریو	goguryeo
چرچیل	čerčilis
سوان	gulbė
بویز	boyz
متافیزیک	metafizika
تذکره	biografija
پرهای	plunksnos
ایدا	ada
کلیر	kler
کراولی	crowley
جسارت	prielaida
معصومی	nebūtini
کنسرسیوم	konsorciumo
کنسرسیوم	konsorciumas
زنگبار	zanzibaro
مهمانان	svečiai
باکتریایی	bakterijų
ژنراتور	generatorių
ژنراتور	generatorius
ریانا	rihanna
سای	sai
سای	psl
سمپدوریا	sampdoria
موریکونه	morricone
ساکس	altas
لونا	luna
فروشندگان	pardavėjai
فروشندگان	prekybininkai
فروشندگان	prekiautojai
فروشندگان	pardavėjai
فروشندگان	pardavėjai
لوآر	loire
لبخند	šypsena
لبخند	šypsenos
لبخند	šypsenos
سرزنش	kaltinti
مرورگرهای	naršykles
میدلزبورو	midlsbro
جوخه	būrys
جوخه	būrys
ممنوعه	draudžiama
فیلی	dramblys
نوسانات	svyravimų
نوسانات	svyravimai
لئوپولد	leopoldas
کولین	collin
کولین	colin
جنگلهای	miškais
جنگلهای	miškai
ایلخانان	ilchanatas
سیلیس	silicio
سعود	saudas
غشاء	membranos
کنسرواتوار	konservatorijos
مایورکا	maljorka
خاردار	spygliuotos
خاردار	dygliuotasis
رکس	rex
دردناک	skausmingas
دردناک	skausminga
گجرات	gudžarato
ناخودآگاه	pasąmonę
تالین	talino
عزیزان	brangieji
عدن	adeno
عدن	eden
یوم	jum
لوزان	lozanoje
بینندگان	žiūrovų
قرضه	skola
ناخن	nagų
ناخن	nagus
ناخن	nagai
خنجر	durklas
هایدگر	heidegger
خندق	griovį
خوابگاه	bendrabutis
آنتیل	antilų
متولی	patikėtinis
دایان	diana
وجدان	sąžinės
خودمختاری	autonomija
خودمختاری	autonomiją
خودمختاری	autonomijos
خودمختاری	savarankiškumas
سلین	céline
سلین	celine
علایق	interesus
غاز	žąsų
غاز	žąsys
غاز	žąsų
غاز	žąsys
طعمه	grobis
نای	trachėja
آسا	asa
صداقت	nuoširdumo
تعهدات	įsipareigojimai
رومانتیک	romantiška
غیرمجاز	neleistinų
ابریشمی	šilko
جانورشناسی	zoologija
سنگسار	akmens
هگل	hėgelis
سازش	liutnia
سازش	kompromisas
سازش	apgyvendinimo
سازش	apgyvendinimas
سازش	apgyvendinimą
سازش	būstas
ویت	witt
مرداب	pelkę
مرداب	lagūna
مرداب	marsh
چتر	parašiutu
چتر	skėtį
نیکوزیا	nikosijos
عزیزم	brangi
عزیزم	brangioji
عزیزم	brangus
عزیزم	baby
عزیزم	mažyte
عزیزم	mažylis
عزیزم	kūdikis
استعماری	kolonijinės
هاربر	uosto
هاربر	harbour
ادویه	spice
بامیان	bamijano
فدریکو	federico
هد	galvos
مومیایی	mumijos
ترومن	truman
گناهان	nuodėmes
جادوی	magija
ناراضی	nepatenkintas
کیتس	kitsas
دوج	dodge
متد	metodas
بردی	bardi
روشنفکر	intelektinė
روشنفکر	intelektinės
زامبی	zombių
شفق	saulėlydžio
هاوک	sakalas
اوان	avano
فریدمن	friedman
مصریان	egiptiečiai
وری	vir
نیوفاندلند	niufaundlando
مسیریابی	maršrutą
حسادت	pavydžiu
حسادت	pavydi
حسادت	pavydas
زمانهای	kartus
کنسرتو	concerto
معمای	marijos
معمای	paslaptis
معمای	molekulių
معمای	dilema
گرانیت	granitas
رویترز	reuters
مثلثی	trikampiai
باندی	bandis
کامپانیا	kampanija
حکیمی	išmintinga
ادل	adele
ژرمنی	germanų
کلاین	klein
شیلد	skydo
شیلد	skydas
بازرسان	inspektoriai
بازرسان	tyrėjai
داوکینز	dawkins
تولدو	toledo
تلاقی	sandūra
ساق	kojos
راههای	būdais
راههای	kelius
مونیکا	monika
کامی	kami
هدفی	tikslas
هدفی	paskirtis
چکش	plaktuką
گالن	galenas
گالن	gallen
گالن	galenitas
سوزا	souza
بناپارت	bonaparte
فانتوم	phantom
وداع	atsisveikinimo
قیصریه	musmirė
چارت	diagrama
تینا	tina
تره	torre
تره	tre
کید	vaikas
داو	daw
مته	pratybos
هیولا	pabaisa
هیولا	monstras
اسپرم	sperma
لاشه	skerdenos
ضمیر	įvardis
ایزاک	isaac
زینت	puošmena
اوکیناوا	okinavos
تدارکات	atsargų
تدارکات	maitinimo
تدارکات	maitinimas
ساراگوسا	saragosos
سودی	pelnas
سودی	pelno
سودی	naudos
ساکرامنتو	sakramentas
استیک	kepsnys
بزرگوار	inertinių
درایو	vykdyti
هرتز	hertz
دزدیده	pavogtas
دزدیده	pagrobė
مردود	atmetimas
مردود	atmetimo
ورم	patinimas
موم	vaškas
اجاق	viryklės
اجاق	orkaitėje
اجاق	krosnis
مرغابی	and
مرغابی	antis
ترا	tera
ترا	terra
کامو	kamiu
کامو	kamo
خاکسپاری	laidojimo
اتر	eteryje
مادربزرگ	močiute
مادربزرگ	močiutė
مادربزرگ	senelė
مادربزرگ	močiutės
مادربزرگ	kopenhagoje
مادربزرگ	močiute
مادربزرگ	močiutė
مادربزرگ	treniruotė
قلاب	kablys
همگن	vienalytis
تیگران	tigranas
سایتاما	saitamos
کارتونی	animacinis
معالجه	terapija
معالجه	gydymas
معالجه	gydymas
یانی	yanni
اوره	karbamidas
دوسلدورف	diuseldorfo
باربودا	barbuda
زننده	žiauri
قزاق	kazokas
پلیموث	plymouth
اورال	ural
اورال	žodžiu
دپ	dep
دپ	dap
دپ	depp
خواستگاری	siūlomas
وایلد	laukiniai
وایلد	laukinių
وایلد	wilde
لیدن	leideno
هانی	hani
محدب	išgaubtos
براک	brokas
نامرئی	nematomas
ارگانیک	ekologinio
جهانگردی	žvalgyba
جهانگردی	žvalgybos
جهانگردی	žvalgymo
ادلانته	división
حواصیل	garnys
اتوبان	greitkelis
سیک	sik
ریتا	rita
ومبلی	wembley
هوک	kablys
اعیاد	šventės
معنویت	dvasingumas
کوئن	cohen
بدرود	atsisveikinimo
پونتیاک	pontiac
آویخته	pakabinti
بوداگرایی	budizmas
تاکتیکی	taktinis
راهب	vienuolis
مردن	miręs
تخفیف	nuolaida
تخفیف	nuolaidos
محرکه	varymo
محرکه	lokomotyvų
مزاحم	trukdyti
میکی	mikis
میکی	miki
لایت	lite
خردسال	nedideli
گلچین	antologijoje
کوبین	cobain
لاکرونیا	coruña
عامر	amer
وولف	vilkas
پورتسموث	portsmouth
تاتار	totorių
کالری	kalorijų
فابیو	fabio
فابیو	fábio
بیسمارک	bismarkas
برانکس	bronkso
بایزید	bajazitas
متروکه	apleistas
متروکه	apleista
پوتین	putinas
پوتین	batai
پوتین	batus
سایبری	kibernetinio
اتیلن	etileno
دوبی	dubajaus
آلفونسو	alfonso
یوزپلنگ	gepardas
آنتورپ	antverpene
آدلر	adler
گلیز	gliese
سیمز	sims
والش	walsh
رونویسی	transkripcijos
بلی	pilvo
بلی	pilvas
گینس	gineso
هوم	mmm
سالیوان	sullivan
آرلینگتون	arlingtonas
ماراتن	maratonas
سیاهی	juodai
سیاهی	juodas
سیاهی	juodi
سیاهی	juoda
شبگرد	lėliniai
ایت	ait
لگن	vonia
ذوالفقار	zulfiqar
نیپون	nippon
ورقه	lapas
نواز	svetingai
مانعی	kliūtis
آنارشیسم	anarchizmas
جادوگری	raganos
جادوگری	ragana
تشابه	panašumas
تشابه	panašumo
خلقت	kūryba
خلقت	laikinojo
نولان	nolan
نیروانا	nirvana
اسپیرز	spears
لیان	leann
تروا	troy
تروا	trojos
تروا	trois
روا	priimtini
خوشبختی	laimės
خوشبختی	laime
خوشبختی	laimė
لیمو	citrinų
لیمو	citrinos
لیمو	citrinų
لیمو	citrinos
باکره	mergelių
مغناطیس	magnetas
مغناطیس	magnetizmas
ایلیا	ilja
سرجیو	sergio
صفرا	tulžies
سومری	šumerų
هکتور	hektoras
واتفورد	watford
کراکوف	krokuvos
ملیسا	melisa
لگاریتم	logaritmas
تخمدان	kiaušidės
تخمدان	kiaušidės
تخمدان	kiaušidžių
اورارتو	urartija
گلوگاه	gerklės
برنت	brent
یگانگی	susivienijimo
سی++	c++
عیلامی	elamitų
دکل	stiebo
ضمانت	garantijos
ضمانت	garantija
دارکوب	genys
مشروب	gėrimus
مشروب	gėrimus
ات	ott
صبحانه	pusryčiams
صبحانه	pusryčiai
صبحانه	pusryčių
پارانائنزه	paranaense
فرکانسی	dažnumas
فرکانسی	dažnis
کاپور	kapoor
ماندلا	mandela
درامر	būgnininkas
باریکه	siauros
باریکه	siauras
باریکه	siaura
بریت	britt
صرع	epilepsija
صرع	epilepsijos
صرع	epilepsijos
صرع	epilepsija
کدی	kodi
آدانا	adana
ناممکن	neįmanoma
هولشتاین	holstein
زیباتر	gražesnė
نعمتی	palaima
قمار	lošimai
قمار	lošimų
قارچی	grybelių
نیلی	indigo
پیمانکار	rangovas
ترکمنی	turkmėnų
بابایی	tėti
بابایی	tėtis
القای	indukcijos
لیوان	stiklas
لیوان	stiklinė
لیوان	stiklo
تئاتری	teatro
حریق	padegimas
تخمیر	fermentacijos
بارتون	burton
میلز	gamyklų
هارمونی	harmonija
دارک	tamsus
دارک	tamsi
دارک	tamsiai
تایتانیک	titanikas
دستگاههای	įrenginiai
دستگاههای	prietaisai
فرایبورگ	freiburg
پهناور	platus
پهناور	erdvų
ژرف	gilus
ژرف	gili
ژرف	giliai
گمراه	klaidinti
گمراه	err
موتسارت	mocartas
بیر	alaus
بیر	alus
بیر	matas
زرافه	žirafa
تلمبه	siurblys
تلمبه	pompa
زهکشی	drenažo
رله	apsauginis
مینسک	minsko
تسلا	tesla
تالکین	tolkien
اوستیای	osetijos
تایر	padangas
تایر	padanga
تایر	padangos
تایر	padanga
کالی	kulis
کالی	kali
گورجیف	gurdžijevas
میک	mikai
کلین	collin
کلین	klein
هانیبال	hanibalas
شهیدان	kankinių
شرور	blogis
شرور	blogio
گلدمن	goldman
ازمیر	izmire
فیلیپه	felipe
متفکر	mąstytojas
شیفت	pamaina
شیاطین	demonai
سرورهای	serveriai
هورن	ragas
میت	mate
مقتدر	galingų
فوکوئوکا	fukuoka
اقامتگاه	gyventi
اقامتگاه	ketvirčiai
اقامتگاه	ketvirčius
نابودگر	terminatorius
ملخ	skėriai
باهوش	protinga
باهوش	protingas
باهوش	protingi
باهوش	protingas
باهوش	protingos
هیوم	hume
دوسالانه	biennale
شلی	šeli
مکاتبات	korespondencija
مکاتبات	susirašinėjimas
معمر	muammar
بلیط	bilietai
بلیط	bilietus
بلیط	bilietų
بلیط	bilietas
بلیط	bilietų
بلیط	bilieto
تعاملی	interaktyvus
ناامید	nusivylęs
ناامید	beviltiška
نینجا	nindzė
نینجا	nindzės
عقلانی	intelektinė
عقلانی	intelektinės
جود	jude
مصونیت	imunitetą
مصونیت	imuniteto
مصونیت	imunitetas
کربنی	anglis
کربنی	anglies
رابرتس	roberts
فیصل	faisalas
شرمن	šermanas
بازگردانی	atstatyti
بازگردانی	atkūrimas
بازگردانی	atstatymas
بازگردانی	atkūrimo
ظرافت	elegancija
گورو	goro
گورو	guru
متالورژی	metalurgijos
گلابی	kriaušės
گلابی	kriaušių
دورگه	hibridinių
وایس	vice
نینوا	ninevijoje
کانو	cano
کانو	kanu
گلد	gould
گلد	auksinis
گلد	aukso
گلد	gold
گلد	auksas
شرم	gėda
بنتلی	bentley
حاملگی	nėštumas
چکیده	kompaktiškas
چکیده	abstraktus
چکیده	ekstraktas
چکیده	išrašas
چکیده	ištrauka
چکیده	virškinti
لابرادور	labradoras
مالاریا	maliarija
بویایی	uoslės
عمد	tyčia
پاستور	pastorius
تابشی	švytinti
کرکوک	kirkukas
عدنان	adnan
والد	wald
بارت	bartai
تز	disertacija
سانگ	dainavo
سانگ	sung
کاپلی	copley
ورسای	versalis
شست	plauti
شست	išplauti
شست	nykščiu
اوک	ąžuolo
اوک	ąžuolų
پاتریشیا	patricija
کدگذاری	kodavimas
کدگذاری	kodavimo
اسکورسیزی	scorsese
دوروتی	doroti
سگی	suo
سگی	šuo
شهبانو	imperatore
مر	mer
لغزش	slydimo
بکش	nužudyti
بنگ	bang
رادیواکتیو	radioaktyvumo
رادیواکتیو	radioaktyviųjų
تفتیش	tikrinimas
کراچی	karačis
گردشگر	turistai
گردشگر	turizmo
مسافری	bagažo
مسافری	keliautojas
