din	от
care	кой
care	което
care	която
mai	mai
mai	маи
mai	повече
mai	още
pentru	за
lui	неговият
lui	неговата
lui	му
lui	неговия
sunt	са
sit	сайт
după	след
ale	але
lea	леа
prin	чрез
prin	през
regiunea	район
regiunea	регион
regiunea	област
mare	страхотно
mare	биг
mare	голямо
mare	големи
mare	голям
mare	голяма
mare	море
mare	морето
anul	година
anul	годината
comună	обща
comună	общ
comună	общи
comună	чести
externe	външна
externe	външно
externe	външни
externe	външен
locuitori	обитатели
locuitori	жители
locuitori	пребиваващи
locuitori	обитатели
locuitori	жители
legături	връзки
legături	връзки
vezi	видя
vezi	вижте
vezi	виж
dar	но
cod	код
cod	треска
populație	популация
populație	население
bucurești	букурещ
românia	румъния
jpg	jpg
lista	списък
ucraina	украйна
nume	името
nume	наименование
nume	име
ani	нап
ani	ани
ani	години
ani	годините
între	между
până	тил
până	докато
comuna	община
comuna	обща
comuna	общ
comuna	общи
comuna	чести
două	двама
două	две
rege	крал
rege	кинг
rege	кралят
rege	цар
rege	краля
sub	под
alte	друго
alte	друг
alte	други
când	когато
când	кога
regiune	район
regiune	регион
regiune	област
anii	години
anii	годините
parte	част
județul	окръг
județul	графство
centura	колан
centura	колан
centura	колана
dinastia	династия
dinastia	династията
septembrie	септември
timp	времето
timp	време
despre	относно
unde	къде
majoritatea	повечето
majoritatea	мнозинство
majoritatea	мнозинството
majoritatea	мажоритарен
densitate	плътност
limbă	език
limbă	езикът
limbă	езика
limbă	език
iunie	джун
iunie	юни
multe	mnogo
multe	много
socorro	сокоро
prima	първи
prima	първо
octombrie	октомври
august	август
august	аугуст
sat	село
sat	сат
sat	седна
sat	sat
martie	март
biserica	църква
biserica	чърч
biserica	църквата
fișier	файл
fișier	файлът
fișier	досие
decembrie	декември
toate	всички
toate	всичко
ianuarie	януари
latns	latns
latd	latd
longd	longd
adresă	адрес
noiembrie	ноември
cum	как
imagine	снимка
imagine	картинка
imagine	имидж
imagine	картинка
imagine	образ
imagine	изображение
statul	щат
statul	държава
statul	държавно
lor	тяхното
lor	тяхната
lor	техните
lor	техният
familia	семейство
familia	семейството
numele	името
numele	наименование
numele	име
timpul	времето
timpul	време
nord	северно
nord	север
nord	северна
nord	nord
principală	основни
principală	основна
principală	главна
principală	главен
principală	главни
sud	южно
sud	южен
sud	юг
sud	южна
aprilie	ейприл
aprilie	април
erau	бяха
loc	място
primul	първи
primul	първо
iulie	юли
doar	само
doar	единствено
doar	просто
doar	само
editura	издател
editura	издателство
asteroid	астероид
februarie	февруари
recensământului	преброяването
recensământului	преброяване
listă	списък
trei	три
trei	трима
asteroizi	астероиди
limba	език
limba	езикът
limba	езика
limba	език
longm	longm
latm	latm
discuție	дискусия
discuție	обсъждания
discuție	дискусии
discuție	обсъждане
franța	франция
partea	част
fără	без
departamentul	отдел
departamentul	департамент
foarte	много
data	среща
data	дата
data	дейта
data	данни
departament	отдел
departament	департамент
unul	една
unul	един
unul	едно
apoi	тогава
grup	група
grup	групово
grup	групиране
grup	групова
locul	място
oraș	град
oraș	градът
oraș	градче
oraș	град
oraș	градът
oraș	сити
oraș	city
pot	могат
pot	can
camp	лагер
germania	германия
face	направи
satul	село
național	национална
național	национални
național	национален
național	национално
note	забележки
note	записки
note	бележки
note	ноти
perioada	период
minoritate	малцинство
minoritate	малцинството
ucraineană	украински
cadrul	рамка
general	обща
general	общи
general	генерал
război	войната
război	война
peste	над
română	румъния
română	румънски
română	румънска
află	научи
află	научете
