категорија	categoría
година	ano
како	como
како	que
како	canto
како	como
како	coma
како	como
како	coma
како	así
што	que
што	o
дека	que
дека	iso
бил	bill
бил	billete
бил	conta
бил	dereitos
бил	contrato
бил	foi
кои	quen
кои	que
кои	que
кои	cal
или	ou
или	ou
или	tampouco
кој	quen
кој	que
тоа	é
тоа	que
тоа	iso
тој	el
тој	que
тој	está
други	outra
други	outros
други	outro
други	outras
други	aos
други	outros
други	demais
други	outras
која	que
која	cal
така	así
така	que
така	entón
така	tan
има	ten
била	era
била	estaba
била	foi
била	foi
додека	mentres
додека	tempo
кога	cando
кога	se
страна	lado
страна	secundarios
биле	eran
биле	estaban
биле	foron
дел	parte
околу	sobre
околу	de
околу	redor
околу	arredor
околу	por
околу	aquí
време	momento
време	tempo
време	vez
време	hora
век	século
век	xiii
под	baixo
под	debaixo
под	baixo
под	debaixo
под	de
може	podía
може	podería
може	poden
може	podo
може	podes
може	podemos
може	pode
може	non
неговата	o
неговата	seu
неговата	súa
неговата	seus
неговата	a
еден	unha
еден	un
врски	lazos
врски	enlaces
врски	ligazóns
исто	mesmo
исто	mesmas
исто	mesma
повеќе	máis
податоци	datos
податоци	puntos
податоци	información
каде	onde
многу	moi
многу	canto
многу	grazas
многу	moito
многу	máis
многу	tanto
многу	moito
многу	moita
многу	moitos
многу	moitas
објекти	instalacións
објекти	obxectos
објекти	os
години	anos
сите	todo
сите	todos
сите	todas
сите	todo
сите	o
сите	mundo
сите	todos
една	unha
една	un
меѓу	entre
меѓу	os
меѓу	as
меѓу	entre
меѓу	entre
меѓу	os
било	calquera
било	máis
било	ningún
пред	de
пред	antes
ова	isto
ова	esta
ова	este
јазик	lingua
јазик	idioma
јазик	linguaxe
јазик	a
јазик	lingua
само	único
само	só
само	única
само	de
само	só
каталог	catálogos
каталог	catálogo
таа	ela
таа	que
број	número
овој	isto
овој	esta
овој	este
градот	city
градот	cidade
градот	da
беше	era
беше	estaba
беше	foi
беше	foi
кон	ao
кон	cara
кон	a
кај	na
кај	no
кај	en
оваа	isto
оваа	esta
оваа	este
тие	eses
тие	esas
тие	os
тие	que
тие	eles
нов	novo
нов	novas
нов	nova
нов	novos
времето	♫
времето	tempo
времето	do
времето	este
времето	ben
времето	momento
времето	tempo
времето	vez
времето	hora
некои	algúns
некои	algunhas
некои	algo
некои	de
некои	un
претставува	representa
претставува	posicións
место	lugar
место	momento
место	punto
место	sobre
место	lugar
место	casa
место	sitio
овие	estas
овие	estes
општина	concello
започнува	comeza
започнува	comeza
започнува	a
започнува	empeza
светот	mundo
биде	ser
биде	estar
преку	través
преку	via
преку	rúa
преку	través
преку	a
преку	por
неколку	poucos
неколку	poucas
неколку	uns
неколку	algunhas
неколку	algúns
неколку	unhas
неколку	varios
неколку	varias
земјата	terra
земјата	mundo
земјата	da
земјата	earth
две	dous
две	dúas
небо	ceo
небо	ceos
небо	ceo
уште	aínda
уште	segue
уште	máis
список	lista
список	listaxe
неговиот	o
неговиот	seu
неговиот	súa
неговиот	seus
неговиот	a
септември	setembro
септември	de
кое	que
кое	cal
сјај	fluorescente
град	cidade
град	pobo
град	vila
град	aldea
град	city
град	cidade
град	da
агол	esquina
агол	recuncho
агол	ángulo
село	aldea
село	da
село	pobo
село	vila
информации	información
германија	alemaña
помеѓу	entre
помеѓу	os
црква	igrexa
црква	á
црква	da
подоцна	despois
подоцна	máis
подоцна	tarde
подоцна	logo
познати	coñecido
познати	coñecidos
познати	de
познати	famoso
познати	famosos
познати	famosa
жители	habitantes
жители	residentes
бидејќи	porque
бидејќи	por
треба	precisamos
треба	necesitamos
треба	que
треба	preciso
својата	seus
својата	súas
својата	seu
својата	o
својата	súa
својата	a
мини	minas
против	en
против	contra
против	os
голем	grande
голем	gran
голем	grandes
голем	grande
голем	grandes
голем	gran
период	período
период	periodo
период	tempo
период	a
период	adolescencia
луѓе	homes
луѓе	os
луѓе	xente
луѓе	persoas
луѓе	a
луѓе	pobo
војна	guerra
војна	a
сад	eua
република	república
три	tres
три	3
без	sen
помош	axudar
помош	a
помош	axuda
помош	evitalo
поделба	división
поделба	dividen
космос	cosmos
освен	excepto
освен	só
освен	pero
освен	agás
освен	menos
над	por
над	de
над	sobre
над	ascende
над	por
над	riba
над	da
над	enriba
над	arriba
неговите	o
неговите	seu
неговите	súa
неговите	seus
неговите	a
иако	aínda
иако	que
иако	non
иако	pero
иако	malia
иако	aínda
иако	que
иако	se
низ	través
низ	a
низ	por
села	aldeas
села	pobos
пример	exemplo
пример	por
јазици	idiomas
јазици	linguaxes
јазици	linguas
јазици	as
јазици	faladas
потоа	logo
потоа	despois
потоа	entón
потоа	e
потоа	daquela
потоа	despois
ако	se
денес	hoxe
денес	día
видот	vista
начин	así
начин	xeito
начин	como
начин	maneira
начин	forma
начин	camiño
два	dous
два	dúas
точка	momento
точка	punto
заедно	xuntos
литература	literatura
пак	outra
пак	vez
пак	máis
пак	novo
пак	de
него	el
него	o
него	lle
покрај	lado
покрај	ao
сепак	aínda
сепак	aínda
сепак	segue
сепак	aínda
сепак	non
постојат	existen
постојат	existir
постојат	existe
своите	seus
своите	súas
своите	seu
своите	o
своите	súa
своите	a
објект	obxecto
објект	que
објект	instalacións
јануари	xaneiro
јануари	de
систем	sistema
систем	de
име	nome
име	se
десно	ben
основни	esenciais
основни	esencial
основни	básica
основни	básicos
основни	básico
основни	básicas
основни	as
можат	poden
можат	podo
можат	podes
можат	podemos
можат	pode
можат	non
користи	uso
користи	usamos
користи	usar
користи	usan
нив	eles
нив	os
нив	deles
група	grupo
група	de
истражувања	investigación
истражувања	de
истражувања	investigacións
истражувања	investigar
европа	europa
европа	en
прв	primeiro
прв	primeira
држави	unidos
држави	ee
држави	estados
држави	uu
држави	eua
држави	países
држави	paises
држави	dos
откриен	revelou
проучување	estudando
проучување	estudar
проучување	estudar
проучување	estudo
проучување	estudamos
проучување	despacho
пат	pat
пат	estrada
пат	camiño
галаксии	galaxias
август	de
август	agosto
вклучен	involucrado
вклучен	que
вклучен	implicado
вклучен	involucrada
предмет	obxecto
предмет	que
предмет	suxeito
предмет	tema
предмет	materia
набљудување	observación
мај	poden
мај	pode
мај	maio
мај	que
мај	podo
истражувачи	investigadores
март	marzo
март	de
март	marcha
користена	adoitaba
користена	antes
ѕвезди	estrelas
ѕвезди	das
голема	grande
голема	gran
голема	grandes
голема	grande
голема	grandes
голема	gran
секој	ninguén
секој	calquera
секој	alguén
секој	a
секој	os
секој	as
секој	todos
секој	cada
секој	todas
цел	obxectivo
оние	eses
оние	esas
оние	os
јули	xullo
јули	de
америка	américa
америка	ee
америка	america
америка	estados
америка	unidos
америка	uu
америка	nos
цар	tsar
цар	emperador
често	frecuencia
често	a
често	miúdo
често	moito
често	veces
често	acotío
припаѓа	pertence
истражување	enquisa
истражување	investigación
истражување	de
истражување	investigacións
истражување	investigar
работи	cousas
работи	as
работи	funciona
работи	traballa
работи	traballando
работи	a
работи	traballar
работи	traballo
работи	isto
работи	cousas
работи	material
градови	vilas
градови	cidades
градови	nas
места	lugares
места	sitios
места	onde
места	manchas
места	asentos
нема	non
нема	hai
април	abril
април	de
роден	nacín
роден	naceu
роден	nacer
роден	naciches
роден	nacen
октомври	outubro
октомври	de
земја	país
земја	terra
земја	mundo
земја	da
земја	earth
повторно	outra
повторно	vez
повторно	máis
повторно	novo
повторно	de
око	ollo
око	ollos
око	visual
франција	francia
франција	franza
округот	do
округот	condado
округот	o
округот	nado
позната	coñecido
позната	coñecidos
позната	de
позната	famoso
позната	famosos
позната	famosa
позната	familiar
позната	familiarizados
позната	familiares
позната	coñeces
нивните	seus
нивните	as
нивните	súas
нивните	os
нивните	seu
нивните	súa
игри	xogos
игри	xogar
игри	videoxogos
игри	os
историја	historia
историја	da
откако	tras
откако	de
откако	despois
откако	logo
ноември	novembro
ноември	de
јуни	xuño
станува	convértese
станува	en
станува	se
станува	vólvese
станува	é
живот	vida
живот	a
северна	do
северна	norte
настани	eventos
настани	sucesos
настани	feitos
настани	adversos
настани	os
настани	xuntanzas
настани	acontecementos
култура	cultura
култура	cultivo
култура	a
центар	centro
центар	center
центар	de
центар	centro
центар	cerne
втората	segundo
втората	segunda
население	poboación
население	mundial
декември	decembro
декември	de
мери	mary
мери	maría
дела	funciona
дела	traballa
дела	actos
дела	della
ден	días
ден	día
состојба	estado
состојба	condición
состојба	situación
состојба	doenza
состојба	estado
дијаметар	diámetro
рим	roma
особено	especialmente
особено	neno
особено	moi
особено	particularmente
особено	sobre
особено	todo
особено	particular
особено	especialmente
особено	sobre
особено	todo
италија	italia
тогаш	logo
тогаш	despois
тогаш	entón
тогаш	e
тогаш	daquela
реката	río
леќа	lentes
леќа	lente
земји	países
земји	paises
земји	dos
шаблон	padrón
шаблон	de
шаблон	patrón
шаблон	pauta
вид	tipo
вид	como
вид	clase
член	membro
член	da
член	membros
член	artigo
беа	eran
беа	estaban
беа	foron
познат	coñecido
познат	coñecidos
познат	de
познат	famoso
познат	famosos
познат	famosa
округ	do
округ	condado
округ	o
округ	nado
округ	distrito
округ	fiscal
округ	do
затоа	polo
затоа	tanto
затоа	por
затоа	iso
затоа	daquela
американски	estadounidense
американски	americanos
американски	americana
американски	americano
област	área
област	zona
јужна	do
јужна	sur
јужна	sur
јужна	do
јужна	sudáfrica
едно	unha
едно	un
етапа	escenario
етапа	etapa
етапа	no
етапа	palco
износ	cantidade
износ	enorme
филмови	filmes
филмови	filmes
филмови	cinema
англиски	inglés
англиски	ingleses
англиски	inglesa
дури	nin
дури	incluso
дури	aínda
дури	mesmo
дури	sequera
грција	grecia
однос	relación
милиони	millóns
милиони	de
милиони	millón
милиони	millóns
милиони	milleiros
милиони	de
збор	palabra
нивната	seus
нивната	as
нивната	súas
нивната	os
нивната	seu
нивната	súa
февруари	febreiro
февруари	de
работа	traballo
работа	traballo
работа	traballar
функција	función
функција	funcionar
функција	a
држава	país
држава	estado
секоја	os
секоја	as
секоја	todos
секоја	cada
секоја	todas
секоја	entre
секоја	cada
секоја	uns
секоја	un
русија	rusia
постои	existe
постои	real
постои	exista
метри	metros
нејзината	ela
нејзината	a
нејзината	seu
нејзината	súa
големи	grande
големи	gran
големи	grandes
големи	grande
големи	grandes
големи	gran
четири	catro
четири	4
џон	john
делови	partes
политика	político
политика	política
политика	a
политика	de
политика	póliza
политика	política
политика	a
политика	políticas
видови	tipo
видови	tipos
видови	variedades
видови	especie
видови	especies
главен	xefe
главен	o
главен	principal
главен	importante
врска	enlace
врска	relación
свети	brillar
свети	sagrado
свети	sagrados
свети	santo
свети	san
свети	fluorescente
вклучувајќи	incluíndo
вклучувајќи	mesmo
вклучувајќи	incluído
вклучувајќи	incluídos
вклучувајќи	a
телескоп	telescopio
групи	dous
групи	grupos
најчесто	principalmente
најчесто	maioría
најчесто	sobre
најчесто	todo
најчесто	maiormente
најчесто	maioritariamente
награда	recompensa
награда	nobel
награда	pulitzer
награда	o
награда	premio
награда	premio
значи	dicir
значи	así
значи	que
значи	entón
значи	tan
значи	significa
значи	dicir
значи	que
значи	medios
значи	quere
разговор	conversación
разговор	conversa
разговор	sobre
филм	película
филм	filme
филм	cine
филм	cinema
филм	película
филм	filme
крај	fin
крај	final
вода	auga
резултат	arranxar
резултат	consecuencia
резултат	resultado
улога	rol
улога	papel
претседател	presidente
претседател	vicepresidente
претседател	o
училиште	instituto
училиште	escola
