squid	lura
fabulous	fabuloso
oven	cociniña
oven	forno
dormitory	dormitorio
dormitory	inspección
jolly	moi
ubuntu	ubuntu
salad	ensalada
airplanes	avións
vaguely	vagamente
gustave	gustave
cops	poli
cops	policías
cops	policía
cops	polis
peugeot	peugeot
abigail	abigail
glow	fluorescente
radios	radios
mic	micrófono
swear	xuro
swear	xúrocho
swear	que
swear	xura
swear	xuraría
aspirations	aspiracións
injustice	inxustiza
injustice	inxustizas
hangs	colga
spoon	culler
ringo	ringo
reckless	imprudente
reckless	da
footprint	pegada
footprint	pequena
kingsley	kingsley
emile	emile
instinct	instinto
foolish	unha
penetrate	penetrar
supper	cea
schloss	o
schloss	castelo
darby	darby
cured	curarse
telescopes	telescopios
holm	holm
winslow	winslow
strive	por
confess	confesar
spreads	espállase
athenian	ateniense
paranoid	paranoico
paranoid	paranoia
gel	colle
slept	durmiu
slept	durmiches
mania	manía
pill	pílula
marge	marge
coward	covarde
dakar	dakar
faint	mal
faint	esvaecemento
misery	miseria
chickens	galiñas
chickens	polos
cursed	maldito
whisky	whisky
whisky	botellas
hurts	doe
bassett	bassett
plastics	plásticos
plastics	os
optimistic	optimistas
optimistic	optimista
utopia	utopía
lad	tipo
lad	mariñeiro
dentist	dentista
skirt	saia
triangles	triángulos
pills	pílulas
pills	pastillas
pills	somníferos
ours	noso
ours	nosas
ours	nós
ours	nosa
ours	nosos
scientifically	cientificamente
scientifically	científicamente
huh	eh
huh	non
huh	si
gigantic	enorme
gigantic	xigantesco
gigantic	pauta
spit	cuspir
shiny	brillante
shiny	brillantes
cries	prantos
cries	chora
cries	os
violently	violentamente
francs	francos
mushrooms	cogomelos
necklace	colar
hormones	hormonas
socrates	sócrates
antibiotics	antibióticos
antibiotics	coa
antibiotics	dos
antibiotics	os
cigar	cigarro
hypotheses	hipóteses
bless	bendiga
anxious	ansioso
ammonia	amoníaco
jacobite	xacobitas
jacobite	xacobita
vogel	vogelöd
vogel	vogel
goodness	deus
goodness	bondade
posse	partida
posse	armada
trousers	pantalóns
trousers	pantalón
cracked	roto
brandy	brandy
frontiers	fronteiras
delighted	encantado
cos	porque
wynn	wynn
violins	violíns
noisy	barullento
noisy	ruidoso
disappearing	desaparecendo
disappearing	desaparición
posture	postura
relax	reláxate
relax	relaxa
relax	relaxar
fidel	fidel
cong	cong
tents	tendas
truths	verdades
brutality	brutalidade
vaccines	vacinas
vaccines	das
vaccines	as
quorum	percepción
quorum	quórum
anthropologists	antropólogos
sentimental	sentimental
billions	millóns
billions	mil
billions	miles
leland	leland
hurry	rápido
hurry	axiña
hurry	presa
hurry	présa
hurry	apura
palette	paleta
fortunate	sorte
stu	stu
chew	mastigue
lucille	lucille
reunification	reunificación
hôtel	hotel
myriad	myriad
fats	fats
holiness	santidade
adolescents	adolescentes
adolescents	adolescencia
cartwright	cartwright
corpses	cadáveres
bonnet	bonnet
bacterium	bacteria
sheen	sheen
cassie	cassie
courtroom	sala
dough	diñeiro
mins	minutos
fascination	a
fascination	fascinación
scanner	escáner
coroner	xuíz
coroner	forense
cyborg	ciborg
heavens	ceos
cartoonists	debuxantes
cartoonists	caricaturistas
seniority	a
cristo	cristo
peanuts	cacahuetes
peanuts	cacahuete
worrying	preocupa
commandments	mandamentos
alistair	alistair
alistair	alister
sweetheart	querida
sweetheart	cariño
hubble	hubble
hubble	espacial
postcards	postais
smiling	sorrindo
transcripts	transcricións
dominates	domina
squeeze	expremer
cholesterol	colesterol
nope	non
postcard	postal
racially	segregación
racially	racial
forgetting	non
forgetting	esquezamos
forgetting	a
headache	cabeza
headache	dor
penitentiary	penitenciaría
arthritis	artrite
onions	cebola
selfish	egoísta
piccadilly	picadilly
shaking	a
pancreatic	páncreas
crawl	panteras
gown	vestido
swanson	swanson
elegans	elegans
goran	goran
smells	cheira
liza	liza
grossman	grossman
juliette	juliette
delicious	delicioso
nanny	neneira
patriotism	patriotismo
arteries	arterias
howie	howie
unequal	desigual
unequal	desiguais
discontent	descontento
agitation	axitación
groupings	agrupacións
spontaneously	espontaneamente
payroll	nómina
magellan	magalhães
appetite	apetito
appetite	fame
landry	landry
carlyle	carlyle
siren	serea
fong	fong
spaghetti	espaguetis
spaghetti	spaghetti
welt	welt
stratton	stratton
stratton	favor
stratton	ao
gladly	con
gladly	gusto
skinny	delgado
skinny	fraca
zeitung	zeitung
mum	mamá
mum	nai
psyche	psique
jagger	jagger
bibliothèque	biblioteca
paranoia	paranoide
microbial	microbiana
microbial	microbianas
blackmail	chantaxe
miserable	miserábel
miserable	vida
looting	saqueo
fascists	fascistas
skirts	saias
adolescence	adolescencia
opaque	opaco
neuron	neurona
neuron	neuronas
strap	correa
strap	os
strap	libros
gaze	mirada
nuisance	auténtica
nuisance	praga
nuisance	molestia
antibiotic	antibiótico
antibiotic	uso
antibiotic	antibióticos
antibiotic	dos
scoop	clientes
foreigner	estranxeira
loneliness	fica
loneliness	illado
loneliness	soidade
britton	britton
ashamed	vergoña
decreed	prohibe
chisholm	chisholm
observable	observable
shack	casa
sanity	cordura
radford	radford
disgusting	desagradable
disgusting	noxento
disgusting	porcallada
tadeusz	tadeusz
macgregor	macgregor
shelves	estantes
mouths	boca
mouths	bocas
bungalow	cabana
consciously	consciente
consciously	conscientemente
madam	señora
cultivate	cultivar
objectivity	obxectividade
borges	borges
steak	bisté
gimme	dame
joking	brincar
whisper	na
whisper	besbellei
calories	calorías
warmth	calor
disgrace	desgraza
disgrace	deshonra
kidding	serio
kidding	enganar
kidding	a
kidding	de
kidding	broma
kidding	brincar
kidding	bromear
perrin	perrin
geiger	geiger
sagan	sagan
jug	xarra
grandma	avoa
grandma	a
hurting	máncasme
empathy	empatía
monstrous	monstrosa
protons	protóns
yew	yew
svalbard	svalbard
sane	corda
sane	cordo
bum	vago
magnets	imáns
applause	aplausos
applause	aplauso
amen	amen
amen	amén
mulligan	mulligan
underwear	interior
underwear	lencería
hasbro	hasbro
goin	imos
goin	crosstree
goin	chegar
goliath	goliat
goliath	goliath
stork	cegoña
immoral	inmoral
immoral	o
vinnie	vinnie
drank	bebía
psychiatrists	psiquiatras
pasting	pegada
pasting	pegando
congratulations	parabéns
vents	hidrotérmicos
almighty	todopoderoso
smartphones	teléfonos
smartphones	intelixentes
smartphones	smartphones
civilized	civilizado
civilized	civilizados
paralyzed	paralizada
paralyzed	paralizado
distilled	destilada
comrade	compañeira
comrade	camarada
comrade	compañeiro
camels	camel
rudi	rudi
weary	cansos
goodnight	noites
carrot	cenoura
kissed	biquei
frazer	frazer
footprints	pegadas
informer	delator
excuses	escusas
excuses	excusas
aptitude	psicotécnico
higgs	higgs
higgs	de
uncles	tíos
beggar	moinantes
testosterone	testosterona
sweeps	de
leprosy	laceira
ovarian	ovario
tonkin	tonkín
sirens	sirenas
sirens	sereas
márquez	márquez
sore	pica
metaphors	metáforas
microorganisms	microorganismos
aye	si
aye	aí
aye	ai
elegance	elegancia
fuss	todo
unreal	falso
drown	afogar
sackville	sackville
tramp	vagabundo
aspiration	aspiración
aspiration	obxetivo
zara	zara
sucker	parvo
maddox	maddox
greet	saudar
ebola	ébola
helpless	impotentes
morphine	morfina
laing	lang
marvelous	marabilloso
downstairs	abaixo
improv	improv
improv	everywhere
thirst	sede
ounces	onzas
geometrical	xeométricas
loot	botín
lesion	lesión
skid	skid
skid	row
hallway	corredor
edouard	edouard
unbelievable	incrible
unbelievable	incribles
unbelievable	incríbel
isidore	isidore
cassius	cassius
emulation	emulación
pew	pew
suitcase	maleta
humility	humildade
cassini	cassini
murdock	murdock
calmly	con
calmly	calma
diagnose	diagnosticar
hackers	hackers
worldview	visión
worldview	do
worldview	mundo
rosalie	a
starving	fame
starving	de
starving	pasando
burglary	roubo
