les	என்ற
est	கிழக்கு
une	ஒன்று
une	ஒன்றை
une	ஒரு
catégorie	பிரிவு
catégorie	வகை
pour	இதற்கு
pour	க்கு
pour	இதற்காக
pour	க்காக
qui	யார்
qui	யாரால்
qui	யாரென்று
que	அந்த
que	என்று
avec	குல
avec	கொண்டு
avec	இதனால்
avec	உடன்
son	ஒலி
son	தன்
son	அவருடைய
son	அவனது
son	அவரின்
son	அவரது
son	அதன்
plus	பிளஸ்
plus	ப்ளஸ்
plus	பலவற்றிற்கு
plus	அதிகம்
plus	மேலும்
pas	அல்ல
pas	இல்லை
pas	கூடாது
sont	இருக்கிறார்கள்
elle	இவள்
elle	அவளுக்கு
elle	அவள்
elle	எல்லே
été	சம்மர்
été	கோடை
avancement	முன்னேற்றம்
avancement	முன்னேற்றத்தை
avancement	முன்னேற்ற
comme	போல்
comme	போல
comme	விரும்பு
comme	விருப்பம்
comme	பிடித்திருக்கிறது
mais	ஆனாலும்
mais	ஆனா
mais	ஆனால்
cette	இந்த
cette	இது
pop	பாப்ஸ்
pop	பாப்
deux	இரண்டு
deux	இருவர்
ses	தன்
ses	அவருடைய
ses	அவனது
ses	அவரின்
ses	அவரது
ses	ses
ses	அதன்
naissance	பிறந்தது
naissance	பிறப்பு
naissance	பிறந்து
naissance	பிறவி
naissance	பிறப்பு
naissance	பிறந்த
aussi	also
aussi	அத்துடன்
aussi	கூட
france	பிரான்சு
france	பிரான்ஸ்
saint	புனித
saint	பரிசுத்த
saint	துறவறம்
saint	புனிதர்
après	பிறகும்
après	பின்பும்
après	பிறகு
après	பின்
fait	செய்த
fait	made
fait	முடிந்தது
fait	முடிவுற்றது
notes	குறிப்புகள்
entre	இடையிலான
entre	இடையே
entre	இடைப்பட்ட
sous	அடியில்
sous	கீழ்
même	கம்பன்
même	கூட
même	அதே
même	ஒரே
être	இருப்பது
nom	பெயரிடப்படாத
nom	பெயர்
français	français
français	பிரெஞ்சு
ont	உண்டு
paris	பாரிஸ்
lui	அவருக்கு
lui	அவனுக்கு
lui	அவர்
lui	அவரை
lui	அவனை
lieu	நிகழ்விடம்
lieu	இடம்
lieu	இடத்தில்
lieu	இடத்தை
lieu	இடம்
lieu	இருப்பிடம்
lieu	அமைவிடம்
cet	இந்த
cet	இது
autres	மற்றவை
autres	பிற
autres	வேறு
autres	மற்ற
autres	மற்றவை
autres	மற்றவர்கள்
autres	பேர்
autres	பிறர்
autres	பிறரை
décès	இறப்பு
décès	மரணம்
décès	மறைவு
décès	மரணத்தை
décès	fatalities
références	உதாரணங்கள்
liens	இணைப்புகள்
liens	இணைப்புக்கள்
était	இருந்தது
commune	commune
commune	பொதுவான
commune	பொது
ville	ஊர்
ville	ஊருக்கு
ville	டவுன்
ville	நகரம்
ville	சிட்டி
jean	ஜீன்
jean	ஜான்
leur	அவர்களின்
leur	அவர்களது
leur	தங்கள்
date	தேதி
cest	cest
peut	மே
peut	முடியும்
depuis	என்பதால்
depuis	இருந்து
depuis	விட்டும்
depuis	அனுப்புநர்
depuis	முதல்
première	பிரிமியர்
première	பிரீமியர்
première	முதலாவது
première	முதலில்
première	முதல்
ans	ans
ans	ஆண்டுகள்
ans	வருடங்கள்
alors	பின்னர்
alors	அப்பொழுது
alors	பிறகு
alors	அப்போது
alors	பின்பு
externes	வெளி
externes	வெளிப்புற
site	இணையதளம்
site	வலைத்தளம்
site	இணையத்தளம்
site	இணையதளத்தை
site	தளம்
site	தளத்தில்
premier	பிரீமியர்
premier	முதலாவது
premier	முதலில்
premier	முதல்
ces	இவை
ces	இவற்றையும்
ces	இந்த
ces	இவற்றை
ces	இவைகளை
ces	இவர்கள்
fut	இருந்தது
http	http
ainsi	இவ்வாறே
film	திரைப்படம்
film	மூவி
film	திரைப்படம்
voir	பார்
voir	பார்க்க
voir	காண்கிறேன்
voir	பார்வை
voir	காட்சி
voir	காட்டு
pays	நாடு
pays	நாட்டின்
pays	நாடுகள்
source	மூலம்
source	ஆதாரம்
ils	அவர்கள்
grand	பெரியது
grand	மிகப்பெரிய
grand	பெரிய
grand	பெரியது
grand	பெரிய
grand	பெரிய
grand	பெரும்
grand	சிறந்த
grand	சிறப்பாக
grand	உயரிய
grand	பிரமாண்டம்
tout	அனைத்தும்
tout	எல்லாவற்றிலும்
tout	எல்லாம்
tout	எல்லாமும்
tout	எல்லாமே
tout	அனைத்தும்
tout	எல்லா
tout	அனைத்து
tout	எல்லாம்
tout	அனைவரும்
tout	எல்லாமே
lors	உடலுறவில்
lors	போது
groupe	இசைக்குழு
groupe	பேண்ட்
groupe	குழுவை
groupe	குழுவைப்
groupe	குழு
également	also
également	அத்துடன்
également	கூட
titre	தலைப்பு
monde	உலகம்
monde	உலக
monde	உலகமே
nord	வடக்கே
nord	வட
nord	வடக்கு
années	ஆண்டுகள்
années	வருடங்கள்
bien	நன்று
bien	குட்
bien	நல்லது
bien	நல்ல
bien	நன்மை
bien	நன்று
bien	சரி
bien	நன்கு
bien	நலம்
contre	எதிராக
contre	எதிர்த்து
contre	எதிரான
contre	எதிரானது
liste	பட்டியல்
