palestina	パレスチナ
rinascita	リバース
rinascita	リバイバル
kyle	カイル
abc	abc
scout	スカウト
scout	スカウト
osservata	観測
attrazione	アトラクション
divieto	禁酒
divieto	禁止
divieto	禁酒令
earl	アール
nana	ナナ
intelligente	賢い
intelligente	知能
intelligente	知的
intelligente	インテリジェント
intelligente	賢い
intelligente	スマート
minoranza	少数
navarra	パンプローナ
meriti	長所
meriti	メリット
michail	ミハイル
michelle	ミシェル
molecola	分子
square	正方形
square	四角
square	広場
anversa	アントワープ
steel	スチール
steel	鋼鉄
magica	magic
magica	魔法
magica	マジック
magica	マジカル
bacio	キス
bacio	接吻
bacio	キス
bacio	kiss
bacio	接吻
spara	シュート
elisa	エリザ
elisa	elisa
generico	ジェネリック
cartoni	カートン
incantesimo	加持
incantesimo	呪文
incantesimo	スペル
spade	刀剣
spade	スペード
senna	セナ
oliva	オリーブ
oliva	オリヴァ
oliva	オリバ
orsini	オルシーニ
innocenzo	無実
medievali	中世
diamond	ダイヤモンド
diamond	ダイアモンド
mappe	地図
mappe	マップ
soccer	サッカー
chang	チャン
miniera	鉱山
umanista	humanist
battute	ジョーク
trovate	find
ordinaria	普通
belli	美しい
belli	ビューティフル
bundesliga	ブンデスリーガ
riso	ご飯
riso	ライス
player	プレイヤー
player	プレーヤー
volpe	キツネ
poker	ポーカー
opzione	オプション
interviste	インタビュー
celebrare	祝う
giovinezza	青年
giovinezza	若者
giovinezza	ユース
giovinezza	青春
guitar	ギター
sostituisce	差し替え
vinti	ウォン
vinti	won
some	いくつか
some	一部
some	いくらか
sommergibile	潜水艦
denver	デンバー
costruttore	builder
costruttore	製造業者
costruttore	メーカー
pci	pci
württemberg	ヴュルテンベルク
vicente	ビセンテ
preparare	準備
intel	intel
southern	サザン
southern	南部
batte	ビーツ
bonifacio	ボニファシオ
madison	マディソン
lupi	ウルフ
lupi	オオカミ
abuso	誤用
abuso	誤用
abuso	虐待
capolinea	終着駅
capolinea	終点
moretti	モレッティ
spiriti	スピリッツ
dirty	汚い
dirty	ダーティ
dirty	ダーティー
sosta	立ち寄る
wisconsin	ウィスコンシン
lang	lang
lang	ラング
restaurato	リフォーム
joey	ジョーイ
sophie	ソフィー
povero	かわいそう
turistico	ツーリスト
turistico	観光
rivelazione	啓示
impegnata	忙しい
impegnata	ビジー
meyer	マイヤー
meyer	メイヤー
sottili	薄い
sottili	細い
spia	スパイ
becco	くちばし
combustibile	燃料
viso	フェイス
fischer	フィッシャー
schiena	戻る
schiena	後ろ
schiena	背中
schiena	裏側
risparmio	貯蓄
risparmio	貯金
risparmio	節約
risparmio	預金
risparmio	保存
mercanti	商人
brooks	ブルックス
dorothy	ドロシー
facebook	facebook
sostituendo	置換
motion	モーション
gómez	ゴメス
gómez	ゴメス
dotazione	寄附
annie	アニー
fianchi	股関節
fianchi	ヒップ
fianchi	股関節
bull	ブル
finanza	財務
finanza	金融
finanza	財政
finanza	ファイナンス
pressioni	気圧
pressioni	圧力
pressioni	圧力
deboli	気絶
deboli	弱い
metalli	メタル
metalli	金属
metalli	金属
mit	mit
mit	mlt
chirurgia	手術
diminuzione	減らす
vulcano	火山
vulcano	バルカン
sonoro	サウンド
dialoghi	台詞
adelaide	アデレード
radiale	放射状
schmidt	シュミット
molecolare	分子
sepoltura	埋葬
cohen	コーヘン
cohen	コーエン
tumore	腫瘍
tumore	腫瘍
cliente	カスタマー
cliente	顧客
cliente	クライアント
rovina	廃墟
break	休憩
break	ブレーク
break	区切り
harvard	ハーバード
affermare	assert
mantello	ケープ
mantello	クローク
mantello	マントル
angoli	アングル
edge	エッジ
edge	edge
duchi	公爵
duchi	デューク
sospetti	不審
sospetti	疑惑
sospetti	断崖
sanità	健康
tributo	朝貢
imposta	集合
imposta	セット
imposta	租税
imposta	税金
split	分ける
split	分割
split	スプリット
control	コントロール
miti	神話
tigre	トラ
tigre	タイガー
portico	ポーチ
spiegazioni	説明
spiegazioni	解説
spiegazioni	解説
hudson	ハドソン
granata	手榴弾
bordeaux	ボルドー
biblioteche	図書館
biblioteche	ライブラリ
biblioteche	図書館
biblioteche	ライブラリ
amiche	友だち
amiche	友達
corolla	カローラ
emiliano	エミリアーノ
mercurio	水星
mercurio	マーキュリー
mercurio	水銀
martirio	殉教
piattaforme	プラットフォーム
piattaforme	プラットフォーム
piattaforme	プラットホーム
fascio	ビーム
uci	uci
aiuti	扶助
aiuti	援助
missionario	宣教師
vasco	バスコ
vasco	ヴァスコ
damiano	ダミアン
damiano	ダミアン
damiano	ダミアーノ
